auction,bidder,price,dateTime,extra,processed_time
8950168,650380,4303.92,2026-04-23T21:59:17.131Z,bid-extra-60349150012,2026-04-23T23:55:14.039Z
8950298,650690,4939.52,2026-04-23T21:59:17.131Z,bid-extra-60349150022,2026-04-23T23:55:14.039Z
8950428,651000,5575.12,2026-04-23T21:59:17.131Z,bid-extra-60349150032,2026-04-23T23:55:14.039Z
8950558,651310,6210.72,2026-04-23T21:59:17.131Z,bid-extra-60349150042,2026-04-23T23:55:14.039Z
8950818,651930,7481.92,2026-04-23T21:59:17.132Z,bid-extra-60349150062,2026-04-23T23:55:14.039Z
8950948,652240,8117.52,2026-04-23T21:59:17.132Z,bid-extra-60349150072,2026-04-23T23:55:14.039Z
8951078,652550,8753.12,2026-04-23T21:59:17.132Z,bid-extra-60349150082,2026-04-23T23:55:14.039Z
8951208,652860,9388.720000000001,2026-04-23T21:59:17.132Z,bid-extra-60349150092,2026-04-23T23:55:14.039Z
8951468,653480,10659.92,2026-04-23T21:59:17.132Z,bid-extra-60349150112,2026-04-23T23:55:14.039Z
8951598,653790,6755.52,2026-04-23T21:59:17.132Z,bid-extra-60349150122,2026-04-23T23:55:14.039Z
8951728,654100,7391.12,2026-04-23T21:59:17.132Z,bid-extra-60349150132,2026-04-23T23:55:14.039Z
8951858,654410,8026.72,2026-04-23T21:59:17.132Z,bid-extra-60349150142,2026-04-23T23:55:14.039Z
8952118,655030,9297.92,2026-04-23T21:59:17.133Z,bid-extra-60349150162,2026-04-23T23:55:14.039Z
8952248,655340,9933.52,2026-04-23T21:59:17.133Z,bid-extra-60349150172,2026-04-23T23:55:14.039Z
8952378,655650,10569.12,2026-04-23T21:59:17.133Z,bid-extra-60349150182,2026-04-23T23:55:14.039Z
8952508,655960,11204.720000000001,2026-04-23T21:59:17.133Z,bid-extra-60349150192,2026-04-23T23:55:14.039Z
8952768,656580,3486.7200000000003,2026-04-23T21:59:17.133Z,bid-extra-60349150212,2026-04-23T23:55:14.039Z
8952898,656890,4122.32,2026-04-23T21:59:17.133Z,bid-extra-60349150222,2026-04-23T23:55:14.039Z
8953028,657200,4757.92,2026-04-23T21:59:17.133Z,bid-extra-60349150232,2026-04-23T23:55:14.039Z
8953158,657510,5393.52,2026-04-23T21:59:17.133Z,bid-extra-60349150242,2026-04-23T23:55:14.039Z
8953418,658130,2124.7200000000003,2026-04-23T21:59:17.134Z,bid-extra-60349150262,2026-04-23T23:55:14.039Z
8953548,658440,2760.32,2026-04-23T21:59:17.134Z,bid-extra-60349150272,2026-04-23T23:55:14.039Z
8953678,658750,3395.92,2026-04-23T21:59:17.134Z,bid-extra-60349150282,2026-04-23T23:55:14.039Z
8953808,659060,4031.52,2026-04-23T21:59:17.134Z,bid-extra-60349150292,2026-04-23T23:55:14.039Z
8954068,659680,5302.72,2026-04-23T21:59:17.134Z,bid-extra-60349150312,2026-04-23T23:55:14.039Z
8954198,659990,5938.320000000001,2026-04-23T21:59:17.134Z,bid-extra-60349150322,2026-04-23T23:55:14.039Z
8954328,660300,6573.92,2026-04-23T21:59:17.134Z,bid-extra-60349150332,2026-04-23T23:55:14.039Z
8954458,660610,7209.52,2026-04-23T21:59:17.134Z,bid-extra-60349150342,2026-04-23T23:55:14.039Z
8954718,661230,8480.720000000001,2026-04-23T21:59:17.135Z,bid-extra-60349150362,2026-04-23T23:55:14.039Z
8954848,661540,4576.32,2026-04-23T21:59:17.135Z,bid-extra-60349150372,2026-04-23T23:55:14.039Z
8954978,661850,5211.92,2026-04-23T21:59:17.135Z,bid-extra-60349150382,2026-04-23T23:55:14.039Z
