auction,bidder,price,dateTime,extra,processed_time
5200168,400380,9207.12,2026-04-23T22:01:09.631Z,bid-extra-60360400012,2026-04-23T23:55:14.039Z
5200298,400690,9842.720000000001,2026-04-23T22:01:09.631Z,bid-extra-60360400022,2026-04-23T23:55:14.039Z
5200428,401000,1489.1200000000001,2026-04-23T22:01:09.631Z,bid-extra-60360400032,2026-04-23T23:55:14.039Z
5200558,401310,2124.7200000000003,2026-04-23T22:01:09.631Z,bid-extra-60360400042,2026-04-23T23:55:14.039Z
5200818,401930,3395.92,2026-04-23T22:01:09.632Z,bid-extra-60360400062,2026-04-23T23:55:14.039Z
5200948,402240,4031.52,2026-04-23T22:01:09.632Z,bid-extra-60360400072,2026-04-23T23:55:14.039Z
5201078,402550,4667.12,2026-04-23T22:01:09.632Z,bid-extra-60360400082,2026-04-23T23:55:14.039Z
5201208,402860,5302.72,2026-04-23T22:01:09.632Z,bid-extra-60360400092,2026-04-23T23:55:14.039Z
5201468,403480,6573.92,2026-04-23T22:01:09.632Z,bid-extra-60360400112,2026-04-23T23:55:14.039Z
5201598,403790,2669.52,2026-04-23T22:01:09.632Z,bid-extra-60360400122,2026-04-23T23:55:14.039Z
5201728,404100,3305.12,2026-04-23T22:01:09.632Z,bid-extra-60360400132,2026-04-23T23:55:14.039Z
5201858,404410,3940.7200000000003,2026-04-23T22:01:09.632Z,bid-extra-60360400142,2026-04-23T23:55:14.039Z
5202118,405030,5211.92,2026-04-23T22:01:09.633Z,bid-extra-60360400162,2026-04-23T23:55:14.039Z
5202248,405340,5847.52,2026-04-23T22:01:09.633Z,bid-extra-60360400172,2026-04-23T23:55:14.039Z
5202378,405650,6483.12,2026-04-23T22:01:09.633Z,bid-extra-60360400182,2026-04-23T23:55:14.039Z
5202508,405960,7118.72,2026-04-23T22:01:09.633Z,bid-extra-60360400192,2026-04-23T23:55:14.039Z
5202768,406580,8389.92,2026-04-23T22:01:09.633Z,bid-extra-60360400212,2026-04-23T23:55:14.039Z
5202898,406890,9025.52,2026-04-23T22:01:09.633Z,bid-extra-60360400222,2026-04-23T23:55:14.039Z
5203028,407200,9661.12,2026-04-23T22:01:09.633Z,bid-extra-60360400232,2026-04-23T23:55:14.039Z
5203158,407510,10296.720000000001,2026-04-23T22:01:09.633Z,bid-extra-60360400242,2026-04-23T23:55:14.039Z
5203418,408130,7027.92,2026-04-23T22:01:09.634Z,bid-extra-60360400262,2026-04-23T23:55:14.039Z
5203548,408440,7663.52,2026-04-23T22:01:09.634Z,bid-extra-60360400272,2026-04-23T23:55:14.039Z
5203678,408750,8299.12,2026-04-23T22:01:09.634Z,bid-extra-60360400282,2026-04-23T23:55:14.039Z
5203808,409060,8934.720000000001,2026-04-23T22:01:09.634Z,bid-extra-60360400292,2026-04-23T23:55:14.039Z
5204068,409680,10205.92,2026-04-23T22:01:09.634Z,bid-extra-60360400312,2026-04-23T23:55:14.039Z
5204198,409990,10841.52,2026-04-23T22:01:09.634Z,bid-extra-60360400322,2026-04-23T23:55:14.039Z
5204328,410300,11477.12,2026-04-23T22:01:09.634Z,bid-extra-60360400332,2026-04-23T23:55:14.039Z
5204458,410610,12112.720000000001,2026-04-23T22:01:09.634Z,bid-extra-60360400342,2026-04-23T23:55:14.039Z
5204718,411230,13383.92,2026-04-23T22:01:09.635Z,bid-extra-60360400362,2026-04-23T23:55:14.039Z
5204848,411540,490.32,2026-04-23T22:01:09.635Z,bid-extra-60360400372,2026-04-23T23:55:14.039Z
5204978,411850,1125.92,2026-04-23T22:01:09.635Z,bid-extra-60360400382,2026-04-23T23:55:14.039Z
5205108,412160,1761.52,2026-04-23T22:01:09.635Z,bid-extra-60360400392,2026-04-23T23:55:14.039Z
5205368,412780,3032.7200000000003,2026-04-23T22:01:09.635Z,bid-extra-60360400412,2026-04-23T23:55:14.039Z
5205498,413090,3668.32,2026-04-23T22:01:09.635Z,bid-extra-60360400422,2026-04-23T23:55:14.039Z
5205628,413400,4303.92,2026-04-23T22:01:09.635Z,bid-extra-60360400432,2026-04-23T23:55:14.039Z
5205758,413710,4939.52,2026-04-23T22:01:09.635Z,bid-extra-60360400442,2026-04-23T23:55:14.039Z
5206018,414330,6210.72,2026-04-23T22:01:09.636Z,bid-extra-60360400462,2026-04-23T23:55:14.039Z
5206148,414640,6846.320000000001,2026-04-23T22:01:09.636Z,bid-extra-60360400472,2026-04-23T23:55:14.039Z
5206278,414950,7481.92,2026-04-23T22:01:09.636Z,bid-extra-60360400482,2026-04-23T23:55:14.039Z
5206408,415260,3577.52,2026-04-23T22:01:09.636Z,bid-extra-60360400492,2026-04-23T23:55:14.039Z
5206668,415880,4848.72,2026-04-23T22:01:09.636Z,bid-extra-60360400512,2026-04-23T23:55:14.039Z
5206798,416190,5484.320000000001,2026-04-23T22:01:09.636Z,bid-extra-60360400522,2026-04-23T23:55:14.039Z
5206928,416500,6119.92,2026-04-23T22:01:09.636Z,bid-extra-60360400532,2026-04-23T23:55:14.039Z
5207058,416810,6755.52,2026-04-23T22:01:09.636Z,bid-extra-60360400542,2026-04-23T23:55:14.039Z
5207318,417430,8026.72,2026-04-23T22:01:09.637Z,bid-extra-60360400562,2026-04-23T23:55:14.039Z
5207448,417740,8662.32,2026-04-23T22:01:09.637Z,bid-extra-60360400572,2026-04-23T23:55:14.039Z
5207578,418050,9297.92,2026-04-23T22:01:09.637Z,bid-extra-60360400582,2026-04-23T23:55:14.039Z
5207708,418360,9933.52,2026-04-23T22:01:09.637Z,bid-extra-60360400592,2026-04-23T23:55:14.039Z
5207968,418980,6664.72,2026-04-23T22:01:09.637Z,bid-extra-60360400612,2026-04-23T23:55:14.039Z
5208098,419290,7300.320000000001,2026-04-23T22:01:09.637Z,bid-extra-60360400622,2026-04-23T23:55:14.039Z
5208228,419600,7935.92,2026-04-23T22:01:09.637Z,bid-extra-60360400632,2026-04-23T23:55:14.039Z
5208358,419910,8571.52,2026-04-23T22:01:09.637Z,bid-extra-60360400642,2026-04-23T23:55:14.039Z
5208618,420530,9842.720000000001,2026-04-23T22:01:09.638Z,bid-extra-60360400662,2026-04-23T23:55:14.039Z
