auction,bidder,price,dateTime,extra,processed_time
3950168,650380,8480.720000000001,2026-04-23T22:00:07.131Z,bid-extra-60354150012,2026-04-23T23:55:14.039Z
3950298,650690,9116.32,2026-04-23T22:00:07.131Z,bid-extra-60354150022,2026-04-23T23:55:14.039Z
3950428,651000,9751.92,2026-04-23T22:00:07.131Z,bid-extra-60354150032,2026-04-23T23:55:14.039Z
3950558,651310,10387.52,2026-04-23T22:00:07.131Z,bid-extra-60354150042,2026-04-23T23:55:14.039Z
3950818,651930,2669.52,2026-04-23T22:00:07.132Z,bid-extra-60354150062,2026-04-23T23:55:14.039Z
3950948,652240,3305.12,2026-04-23T22:00:07.132Z,bid-extra-60354150072,2026-04-23T23:55:14.039Z
3951078,652550,3940.7200000000003,2026-04-23T22:00:07.132Z,bid-extra-60354150082,2026-04-23T23:55:14.039Z
3951208,652860,4576.32,2026-04-23T22:00:07.132Z,bid-extra-60354150092,2026-04-23T23:55:14.039Z
3951468,653480,5847.52,2026-04-23T22:00:07.132Z,bid-extra-60354150112,2026-04-23T23:55:14.039Z
3951598,653790,1943.1200000000001,2026-04-23T22:00:07.132Z,bid-extra-60354150122,2026-04-23T23:55:14.039Z
3951728,654100,2578.7200000000003,2026-04-23T22:00:07.132Z,bid-extra-60354150132,2026-04-23T23:55:14.039Z
3951858,654410,3214.32,2026-04-23T22:00:07.132Z,bid-extra-60354150142,2026-04-23T23:55:14.039Z
3952118,655030,4485.52,2026-04-23T22:00:07.133Z,bid-extra-60354150162,2026-04-23T23:55:14.039Z
3952248,655340,5121.12,2026-04-23T22:00:07.133Z,bid-extra-60354150172,2026-04-23T23:55:14.039Z
3952378,655650,5756.72,2026-04-23T22:00:07.133Z,bid-extra-60354150182,2026-04-23T23:55:14.039Z
3952508,655960,6392.320000000001,2026-04-23T22:00:07.133Z,bid-extra-60354150192,2026-04-23T23:55:14.039Z
3952768,656580,7663.52,2026-04-23T22:00:07.133Z,bid-extra-60354150212,2026-04-23T23:55:14.039Z
