auction,bidder,price,dateTime,extra,processed_time
1450181,150411,6455.88,2026-04-23T21:59:42.131Z,bid-extra-60351650013,2026-04-23T23:55:14.039Z
1450311,150721,7091.4800000000005,2026-04-23T21:59:42.131Z,bid-extra-60351650023,2026-04-23T23:55:14.039Z
1450441,151031,7727.08,2026-04-23T21:59:42.131Z,bid-extra-60351650033,2026-04-23T23:55:14.039Z
1450571,151341,8362.68,2026-04-23T21:59:42.131Z,bid-extra-60351650043,2026-04-23T23:55:14.039Z
1450831,151961,9633.880000000001,2026-04-23T21:59:42.132Z,bid-extra-60351650063,2026-04-23T23:55:14.039Z
1450961,152271,10269.48,2026-04-23T21:59:42.132Z,bid-extra-60351650073,2026-04-23T23:55:14.039Z
1451091,152581,10905.08,2026-04-23T21:59:42.132Z,bid-extra-60351650083,2026-04-23T23:55:14.039Z
1451221,152891,11540.68,2026-04-23T21:59:42.132Z,bid-extra-60351650093,2026-04-23T23:55:14.039Z
1451481,153511,12811.880000000001,2026-04-23T21:59:42.132Z,bid-extra-60351650113,2026-04-23T23:55:14.039Z
1451611,153821,8907.48,2026-04-23T21:59:42.132Z,bid-extra-60351650123,2026-04-23T23:55:14.039Z
1451741,154131,553.88,2026-04-23T21:59:42.132Z,bid-extra-60351650133,2026-04-23T23:55:14.039Z
1451871,154441,1189.48,2026-04-23T21:59:42.132Z,bid-extra-60351650143,2026-04-23T23:55:14.039Z
1452131,155061,2460.6800000000003,2026-04-23T21:59:42.133Z,bid-extra-60351650163,2026-04-23T23:55:14.039Z
1452261,155371,3096.28,2026-04-23T21:59:42.133Z,bid-extra-60351650173,2026-04-23T23:55:14.039Z
1452391,155681,3731.88,2026-04-23T21:59:42.133Z,bid-extra-60351650183,2026-04-23T23:55:14.039Z
1452521,155991,4367.4800000000005,2026-04-23T21:59:42.133Z,bid-extra-60351650193,2026-04-23T23:55:14.039Z
