auction,bidder,price,dateTime,extra,processed_time
200181,400411,4458.28,2026-04-23T22:01:59.631Z,bid-extra-60365400013,2026-04-23T23:55:14.039Z
200311,400721,5093.88,2026-04-23T22:01:59.631Z,bid-extra-60365400023,2026-04-23T23:55:14.039Z
200441,401031,5729.4800000000005,2026-04-23T22:01:59.631Z,bid-extra-60365400033,2026-04-23T23:55:14.039Z
200571,401341,6365.08,2026-04-23T22:01:59.631Z,bid-extra-60365400043,2026-04-23T23:55:14.039Z
200831,401961,7636.280000000001,2026-04-23T22:01:59.632Z,bid-extra-60365400063,2026-04-23T23:55:14.039Z
200961,402271,8271.880000000001,2026-04-23T22:01:59.632Z,bid-extra-60365400073,2026-04-23T23:55:14.039Z
201091,402581,8907.48,2026-04-23T22:01:59.632Z,bid-extra-60365400083,2026-04-23T23:55:14.039Z
201221,402891,9543.08,2026-04-23T22:01:59.632Z,bid-extra-60365400093,2026-04-23T23:55:14.039Z
201481,403511,10814.28,2026-04-23T22:01:59.632Z,bid-extra-60365400113,2026-04-23T23:55:14.039Z
201611,403821,6909.88,2026-04-23T22:01:59.632Z,bid-extra-60365400123,2026-04-23T23:55:14.039Z
201741,404131,7545.4800000000005,2026-04-23T22:01:59.632Z,bid-extra-60365400133,2026-04-23T23:55:14.039Z
201871,404441,8181.08,2026-04-23T22:01:59.632Z,bid-extra-60365400143,2026-04-23T23:55:14.039Z
202131,405061,9452.28,2026-04-23T22:01:59.633Z,bid-extra-60365400163,2026-04-23T23:55:14.039Z
202261,405371,10087.880000000001,2026-04-23T22:01:59.633Z,bid-extra-60365400173,2026-04-23T23:55:14.039Z
202391,405681,10723.48,2026-04-23T22:01:59.633Z,bid-extra-60365400183,2026-04-23T23:55:14.039Z
202521,405991,11359.08,2026-04-23T22:01:59.633Z,bid-extra-60365400193,2026-04-23T23:55:14.039Z
202781,406611,3641.08,2026-04-23T22:01:59.633Z,bid-extra-60365400213,2026-04-23T23:55:14.039Z
202911,406921,4276.68,2026-04-23T22:01:59.633Z,bid-extra-60365400223,2026-04-23T23:55:14.039Z
203041,407231,4912.28,2026-04-23T22:01:59.633Z,bid-extra-60365400233,2026-04-23T23:55:14.039Z
203171,407541,5547.88,2026-04-23T22:01:59.633Z,bid-extra-60365400243,2026-04-23T23:55:14.039Z
203431,408161,2279.08,2026-04-23T22:01:59.634Z,bid-extra-60365400263,2026-04-23T23:55:14.039Z
203561,408471,2914.6800000000003,2026-04-23T22:01:59.634Z,bid-extra-60365400273,2026-04-23T23:55:14.039Z
203691,408781,3550.28,2026-04-23T22:01:59.634Z,bid-extra-60365400283,2026-04-23T23:55:14.039Z
203821,409091,4185.88,2026-04-23T22:01:59.634Z,bid-extra-60365400293,2026-04-23T23:55:14.039Z
204081,409711,5457.08,2026-04-23T22:01:59.634Z,bid-extra-60365400313,2026-04-23T23:55:14.039Z
204211,410021,6092.68,2026-04-23T22:01:59.634Z,bid-extra-60365400323,2026-04-23T23:55:14.039Z
204341,410331,6728.280000000001,2026-04-23T22:01:59.634Z,bid-extra-60365400333,2026-04-23T23:55:14.039Z
204471,410641,7363.88,2026-04-23T22:01:59.634Z,bid-extra-60365400343,2026-04-23T23:55:14.039Z
204731,411261,8635.08,2026-04-23T22:01:59.635Z,bid-extra-60365400363,2026-04-23T23:55:14.039Z
204861,411571,4730.68,2026-04-23T22:01:59.635Z,bid-extra-60365400373,2026-04-23T23:55:14.039Z
204991,411881,5366.28,2026-04-23T22:01:59.635Z,bid-extra-60365400383,2026-04-23T23:55:14.039Z
205121,412191,6001.88,2026-04-23T22:01:59.635Z,bid-extra-60365400393,2026-04-23T23:55:14.039Z
205381,412811,7273.08,2026-04-23T22:01:59.635Z,bid-extra-60365400413,2026-04-23T23:55:14.039Z
205511,413121,7908.68,2026-04-23T22:01:59.635Z,bid-extra-60365400423,2026-04-23T23:55:14.039Z
205641,413431,8544.28,2026-04-23T22:01:59.635Z,bid-extra-60365400433,2026-04-23T23:55:14.039Z
205771,413741,9179.880000000001,2026-04-23T22:01:59.635Z,bid-extra-60365400443,2026-04-23T23:55:14.039Z
206031,414361,10451.08,2026-04-23T22:01:59.636Z,bid-extra-60365400463,2026-04-23T23:55:14.039Z
206161,414671,11086.68,2026-04-23T22:01:59.636Z,bid-extra-60365400473,2026-04-23T23:55:14.039Z
206291,414981,11722.28,2026-04-23T22:01:59.636Z,bid-extra-60365400483,2026-04-23T23:55:14.039Z
206421,415291,7817.88,2026-04-23T22:01:59.636Z,bid-extra-60365400493,2026-04-23T23:55:14.039Z
206681,415911,9089.08,2026-04-23T22:01:59.636Z,bid-extra-60365400513,2026-04-23T23:55:14.039Z
206811,416221,9724.68,2026-04-23T22:01:59.636Z,bid-extra-60365400523,2026-04-23T23:55:14.039Z
206941,416531,10360.28,2026-04-23T22:01:59.636Z,bid-extra-60365400533,2026-04-23T23:55:14.039Z
207071,416841,10995.880000000001,2026-04-23T22:01:59.636Z,bid-extra-60365400543,2026-04-23T23:55:14.039Z
207331,417461,3277.88,2026-04-23T22:01:59.637Z,bid-extra-60365400563,2026-04-23T23:55:14.039Z
207461,417771,3913.48,2026-04-23T22:01:59.637Z,bid-extra-60365400573,2026-04-23T23:55:14.039Z
207591,418081,4549.08,2026-04-23T22:01:59.637Z,bid-extra-60365400583,2026-04-23T23:55:14.039Z
207721,418391,5184.68,2026-04-23T22:01:59.637Z,bid-extra-60365400593,2026-04-23T23:55:14.039Z
207981,419011,1915.88,2026-04-23T22:01:59.637Z,bid-extra-60365400613,2026-04-23T23:55:14.039Z
208111,419321,2551.48,2026-04-23T22:01:59.637Z,bid-extra-60365400623,2026-04-23T23:55:14.039Z
208241,419631,3187.08,2026-04-23T22:01:59.637Z,bid-extra-60365400633,2026-04-23T23:55:14.039Z
208371,419941,3822.6800000000003,2026-04-23T22:01:59.637Z,bid-extra-60365400643,2026-04-23T23:55:14.039Z
208631,420561,5093.88,2026-04-23T22:01:59.638Z,bid-extra-60365400663,2026-04-23T23:55:14.039Z
208761,420871,5729.4800000000005,2026-04-23T22:01:59.638Z,bid-extra-60365400673,2026-04-23T23:55:14.039Z
208891,421181,6365.08,2026-04-23T22:01:59.638Z,bid-extra-60365400683,2026-04-23T23:55:14.039Z
209021,421491,7000.68,2026-04-23T22:01:59.638Z,bid-extra-60365400693,2026-04-23T23:55:14.039Z
209281,422111,8271.880000000001,2026-04-23T22:01:59.638Z,bid-extra-60365400713,2026-04-23T23:55:14.039Z
209411,422421,8907.48,2026-04-23T22:01:59.638Z,bid-extra-60365400723,2026-04-23T23:55:14.039Z
209541,422731,5003.08,2026-04-23T22:01:59.638Z,bid-extra-60365400733,2026-04-23T23:55:14.039Z
209671,423041,5638.68,2026-04-23T22:01:59.638Z,bid-extra-60365400743,2026-04-23T23:55:14.039Z
209931,423661,6909.88,2026-04-23T22:01:59.639Z,bid-extra-60365400763,2026-04-23T23:55:14.039Z
210061,423971,7545.4800000000005,2026-04-23T22:01:59.639Z,bid-extra-60365400773,2026-04-23T23:55:14.039Z
210191,424281,8181.08,2026-04-23T22:01:59.639Z,bid-extra-60365400783,2026-04-23T23:55:14.039Z
210321,424591,8816.68,2026-04-23T22:01:59.639Z,bid-extra-60365400793,2026-04-23T23:55:14.039Z
210581,425211,10087.880000000001,2026-04-23T22:01:59.639Z,bid-extra-60365400813,2026-04-23T23:55:14.039Z
210711,425521,10723.48,2026-04-23T22:01:59.639Z,bid-extra-60365400823,2026-04-23T23:55:14.039Z
210841,425831,11359.08,2026-04-23T22:01:59.639Z,bid-extra-60365400833,2026-04-23T23:55:14.039Z
210971,426141,11994.68,2026-04-23T22:01:59.639Z,bid-extra-60365400843,2026-04-23T23:55:14.039Z
211231,426761,8725.880000000001,2026-04-23T22:01:59.640Z,bid-extra-60365400863,2026-04-23T23:55:14.039Z
211361,427071,9361.48,2026-04-23T22:01:59.640Z,bid-extra-60365400873,2026-04-23T23:55:14.039Z
211491,427381,9997.08,2026-04-23T22:01:59.640Z,bid-extra-60365400883,2026-04-23T23:55:14.039Z
211621,427691,1643.48,2026-04-23T22:01:59.640Z,bid-extra-60365400893,2026-04-23T23:55:14.039Z
211881,428311,2914.6800000000003,2026-04-23T22:01:59.640Z,bid-extra-60365400913,2026-04-23T23:55:14.039Z
212011,428621,3550.28,2026-04-23T22:01:59.640Z,bid-extra-60365400923,2026-04-23T23:55:14.039Z
212141,428931,4185.88,2026-04-23T22:01:59.640Z,bid-extra-60365400933,2026-04-23T23:55:14.039Z
212271,429241,4821.4800000000005,2026-04-23T22:01:59.640Z,bid-extra-60365400943,2026-04-23T23:55:14.039Z
212531,429861,6092.68,2026-04-23T22:01:59.641Z,bid-extra-60365400963,2026-04-23T23:55:14.039Z
212661,430171,6728.280000000001,2026-04-23T22:01:59.641Z,bid-extra-60365400973,2026-04-23T23:55:14.039Z
212791,430481,2823.88,2026-04-23T22:01:59.641Z,bid-extra-60365400983,2026-04-23T23:55:14.039Z
212921,430791,3459.48,2026-04-23T22:01:59.641Z,bid-extra-60365400993,2026-04-23T23:55:14.039Z
213181,431411,4730.68,2026-04-23T22:01:59.641Z,bid-extra-60365401013,2026-04-23T23:55:14.039Z
213311,431721,5366.28,2026-04-23T22:01:59.641Z,bid-extra-60365401023,2026-04-23T23:55:14.039Z
213441,432031,6001.88,2026-04-23T22:01:59.641Z,bid-extra-60365401033,2026-04-23T23:55:14.039Z
213571,432341,6637.4800000000005,2026-04-23T22:01:59.641Z,bid-extra-60365401043,2026-04-23T23:55:14.039Z
213831,432961,7908.68,2026-04-23T22:01:59.642Z,bid-extra-60365401063,2026-04-23T23:55:14.039Z
