auction,bidder,price,dateTime,extra,processed_time
6450181,150411,1007.88,2026-04-23T22:02:12.131Z,bid-extra-60366650013,2026-04-23T23:55:14.039Z
6450311,150721,1643.48,2026-04-23T22:02:12.131Z,bid-extra-60366650023,2026-04-23T23:55:14.039Z
6450441,151031,2279.08,2026-04-23T22:02:12.131Z,bid-extra-60366650033,2026-04-23T23:55:14.039Z
6450571,151341,2914.6800000000003,2026-04-23T22:02:12.131Z,bid-extra-60366650043,2026-04-23T23:55:14.039Z
6450831,151961,4185.88,2026-04-23T22:02:12.132Z,bid-extra-60366650063,2026-04-23T23:55:14.039Z
6450961,152271,4821.4800000000005,2026-04-23T22:02:12.132Z,bid-extra-60366650073,2026-04-23T23:55:14.039Z
6451091,152581,5457.08,2026-04-23T22:02:12.132Z,bid-extra-60366650083,2026-04-23T23:55:14.039Z
6451221,152891,6092.68,2026-04-23T22:02:12.132Z,bid-extra-60366650093,2026-04-23T23:55:14.039Z
6451481,153511,7363.88,2026-04-23T22:02:12.132Z,bid-extra-60366650113,2026-04-23T23:55:14.039Z
6451611,153821,3459.48,2026-04-23T22:02:12.132Z,bid-extra-60366650123,2026-04-23T23:55:14.039Z
6451741,154131,4095.08,2026-04-23T22:02:12.132Z,bid-extra-60366650133,2026-04-23T23:55:14.039Z
6451871,154441,4730.68,2026-04-23T22:02:12.132Z,bid-extra-60366650143,2026-04-23T23:55:14.039Z
6452131,155061,6001.88,2026-04-23T22:02:12.133Z,bid-extra-60366650163,2026-04-23T23:55:14.039Z
6452261,155371,6637.4800000000005,2026-04-23T22:02:12.133Z,bid-extra-60366650173,2026-04-23T23:55:14.039Z
6452391,155681,7273.08,2026-04-23T22:02:12.133Z,bid-extra-60366650183,2026-04-23T23:55:14.039Z
6452521,155991,7908.68,2026-04-23T22:02:12.133Z,bid-extra-60366650193,2026-04-23T23:55:14.039Z
6452781,156611,9179.880000000001,2026-04-23T22:02:12.133Z,bid-extra-60366650213,2026-04-23T23:55:14.039Z
6452911,156921,9815.48,2026-04-23T22:02:12.133Z,bid-extra-60366650223,2026-04-23T23:55:14.039Z
6453041,157231,10451.08,2026-04-23T22:02:12.133Z,bid-extra-60366650233,2026-04-23T23:55:14.039Z
6453171,157541,11086.68,2026-04-23T22:02:12.133Z,bid-extra-60366650243,2026-04-23T23:55:14.039Z
6453431,158161,7817.88,2026-04-23T22:02:12.134Z,bid-extra-60366650263,2026-04-23T23:55:14.039Z
6453561,158471,8453.48,2026-04-23T22:02:12.134Z,bid-extra-60366650273,2026-04-23T23:55:14.039Z
6453691,158781,9089.08,2026-04-23T22:02:12.134Z,bid-extra-60366650283,2026-04-23T23:55:14.039Z
6453821,159091,9724.68,2026-04-23T22:02:12.134Z,bid-extra-60366650293,2026-04-23T23:55:14.039Z
6454081,159711,10995.880000000001,2026-04-23T22:02:12.134Z,bid-extra-60366650313,2026-04-23T23:55:14.039Z
6454211,160021,11631.48,2026-04-23T22:02:12.134Z,bid-extra-60366650323,2026-04-23T23:55:14.039Z
6454341,160331,12267.08,2026-04-23T22:02:12.134Z,bid-extra-60366650333,2026-04-23T23:55:14.039Z
6454471,160641,3913.48,2026-04-23T22:02:12.134Z,bid-extra-60366650343,2026-04-23T23:55:14.039Z
6454731,161261,5184.68,2026-04-23T22:02:12.135Z,bid-extra-60366650363,2026-04-23T23:55:14.039Z
6454861,161571,1280.28,2026-04-23T22:02:12.135Z,bid-extra-60366650373,2026-04-23T23:55:14.039Z
6454991,161881,1915.88,2026-04-23T22:02:12.135Z,bid-extra-60366650383,2026-04-23T23:55:14.039Z
6455121,162191,2551.48,2026-04-23T22:02:12.135Z,bid-extra-60366650393,2026-04-23T23:55:14.039Z
6455381,162811,3822.6800000000003,2026-04-23T22:02:12.135Z,bid-extra-60366650413,2026-04-23T23:55:14.039Z
6455511,163121,4458.28,2026-04-23T22:02:12.135Z,bid-extra-60366650423,2026-04-23T23:55:14.039Z
6455641,163431,5093.88,2026-04-23T22:02:12.135Z,bid-extra-60366650433,2026-04-23T23:55:14.039Z
6455771,163741,5729.4800000000005,2026-04-23T22:02:12.135Z,bid-extra-60366650443,2026-04-23T23:55:14.039Z
6456031,164361,7000.68,2026-04-23T22:02:12.136Z,bid-extra-60366650463,2026-04-23T23:55:14.039Z
6456161,164671,7636.280000000001,2026-04-23T22:02:12.136Z,bid-extra-60366650473,2026-04-23T23:55:14.039Z
6456291,164981,8271.880000000001,2026-04-23T22:02:12.136Z,bid-extra-60366650483,2026-04-23T23:55:14.039Z
6456421,165291,4367.4800000000005,2026-04-23T22:02:12.136Z,bid-extra-60366650493,2026-04-23T23:55:14.039Z
6456681,165911,5638.68,2026-04-23T22:02:12.136Z,bid-extra-60366650513,2026-04-23T23:55:14.039Z
6456811,166221,6274.280000000001,2026-04-23T22:02:12.136Z,bid-extra-60366650523,2026-04-23T23:55:14.039Z
6456941,166531,6909.88,2026-04-23T22:02:12.136Z,bid-extra-60366650533,2026-04-23T23:55:14.039Z
6457071,166841,7545.4800000000005,2026-04-23T22:02:12.136Z,bid-extra-60366650543,2026-04-23T23:55:14.039Z
6457331,167461,8816.68,2026-04-23T22:02:12.137Z,bid-extra-60366650563,2026-04-23T23:55:14.039Z
6457461,167771,9452.28,2026-04-23T22:02:12.137Z,bid-extra-60366650573,2026-04-23T23:55:14.039Z
6457591,168081,10087.880000000001,2026-04-23T22:02:12.137Z,bid-extra-60366650583,2026-04-23T23:55:14.039Z
6457721,168391,10723.48,2026-04-23T22:02:12.137Z,bid-extra-60366650593,2026-04-23T23:55:14.039Z
6457981,169011,7454.68,2026-04-23T22:02:12.137Z,bid-extra-60366650613,2026-04-23T23:55:14.039Z
6458111,169321,8090.280000000001,2026-04-23T22:02:12.137Z,bid-extra-60366650623,2026-04-23T23:55:14.039Z
6458241,169631,8725.880000000001,2026-04-23T22:02:12.137Z,bid-extra-60366650633,2026-04-23T23:55:14.039Z
6458371,169941,9361.48,2026-04-23T22:02:12.137Z,bid-extra-60366650643,2026-04-23T23:55:14.039Z
6458631,170561,10632.68,2026-04-23T22:02:12.138Z,bid-extra-60366650663,2026-04-23T23:55:14.039Z
6458761,170871,11268.28,2026-04-23T22:02:12.138Z,bid-extra-60366650673,2026-04-23T23:55:14.039Z
6458891,171181,2914.6800000000003,2026-04-23T22:02:12.138Z,bid-extra-60366650683,2026-04-23T23:55:14.039Z
6459021,171491,3550.28,2026-04-23T22:02:12.138Z,bid-extra-60366650693,2026-04-23T23:55:14.039Z
6459281,172111,4821.4800000000005,2026-04-23T22:02:12.138Z,bid-extra-60366650713,2026-04-23T23:55:14.039Z
6459411,172421,5457.08,2026-04-23T22:02:12.138Z,bid-extra-60366650723,2026-04-23T23:55:14.039Z
6459541,172731,1552.68,2026-04-23T22:02:12.138Z,bid-extra-60366650733,2026-04-23T23:55:14.039Z
6459671,173041,2188.28,2026-04-23T22:02:12.138Z,bid-extra-60366650743,2026-04-23T23:55:14.039Z
6459931,173661,3459.48,2026-04-23T22:02:12.139Z,bid-extra-60366650763,2026-04-23T23:55:14.039Z
6460061,173971,4095.08,2026-04-23T22:02:12.139Z,bid-extra-60366650773,2026-04-23T23:55:14.039Z
6460191,174281,4730.68,2026-04-23T22:02:12.139Z,bid-extra-60366650783,2026-04-23T23:55:14.039Z
6460321,174591,5366.28,2026-04-23T22:02:12.139Z,bid-extra-60366650793,2026-04-23T23:55:14.039Z
6460581,175211,6637.4800000000005,2026-04-23T22:02:12.139Z,bid-extra-60366650813,2026-04-23T23:55:14.039Z
6460711,175521,7273.08,2026-04-23T22:02:12.139Z,bid-extra-60366650823,2026-04-23T23:55:14.039Z
6460841,175831,7908.68,2026-04-23T22:02:12.139Z,bid-extra-60366650833,2026-04-23T23:55:14.039Z
6460971,176141,8544.28,2026-04-23T22:02:12.139Z,bid-extra-60366650843,2026-04-23T23:55:14.039Z
6461231,176761,5275.4800000000005,2026-04-23T22:02:12.140Z,bid-extra-60366650863,2026-04-23T23:55:14.039Z
6461361,177071,5911.08,2026-04-23T22:02:12.140Z,bid-extra-60366650873,2026-04-23T23:55:14.039Z
6461491,177381,6546.68,2026-04-23T22:02:12.140Z,bid-extra-60366650883,2026-04-23T23:55:14.039Z
6461621,177691,7182.280000000001,2026-04-23T22:02:12.140Z,bid-extra-60366650893,2026-04-23T23:55:14.039Z
6461881,178311,8453.48,2026-04-23T22:02:12.140Z,bid-extra-60366650913,2026-04-23T23:55:14.039Z
6462011,178621,9089.08,2026-04-23T22:02:12.140Z,bid-extra-60366650923,2026-04-23T23:55:14.039Z
6462141,178931,9724.68,2026-04-23T22:02:12.140Z,bid-extra-60366650933,2026-04-23T23:55:14.039Z
6462271,179241,10360.28,2026-04-23T22:02:12.140Z,bid-extra-60366650943,2026-04-23T23:55:14.039Z
6462531,179861,11631.48,2026-04-23T22:02:12.141Z,bid-extra-60366650963,2026-04-23T23:55:14.039Z
6462661,180171,12267.08,2026-04-23T22:02:12.141Z,bid-extra-60366650973,2026-04-23T23:55:14.039Z
6462791,180481,8362.68,2026-04-23T22:02:12.141Z,bid-extra-60366650983,2026-04-23T23:55:14.039Z
6462921,180791,8998.28,2026-04-23T22:02:12.141Z,bid-extra-60366650993,2026-04-23T23:55:14.039Z
6463181,181411,10269.48,2026-04-23T22:02:12.141Z,bid-extra-60366651013,2026-04-23T23:55:14.039Z
6463311,181721,1915.88,2026-04-23T22:02:12.141Z,bid-extra-60366651023,2026-04-23T23:55:14.039Z
6463441,182031,2551.48,2026-04-23T22:02:12.141Z,bid-extra-60366651033,2026-04-23T23:55:14.039Z
6463571,182341,3187.08,2026-04-23T22:02:12.141Z,bid-extra-60366651043,2026-04-23T23:55:14.039Z
6463831,182961,4458.28,2026-04-23T22:02:12.142Z,bid-extra-60366651063,2026-04-23T23:55:14.039Z
6463961,183271,5093.88,2026-04-23T22:02:12.142Z,bid-extra-60366651073,2026-04-23T23:55:14.039Z
6464091,183581,5729.4800000000005,2026-04-23T22:02:12.142Z,bid-extra-60366651083,2026-04-23T23:55:14.039Z
6464221,183891,6365.08,2026-04-23T22:02:12.142Z,bid-extra-60366651093,2026-04-23T23:55:14.039Z
6464481,184511,3096.28,2026-04-23T22:02:12.142Z,bid-extra-60366651113,2026-04-23T23:55:14.039Z
6464611,184821,3731.88,2026-04-23T22:02:12.142Z,bid-extra-60366651123,2026-04-23T23:55:14.039Z
6464741,185131,4367.4800000000005,2026-04-23T22:02:12.142Z,bid-extra-60366651133,2026-04-23T23:55:14.039Z
6464871,185441,5003.08,2026-04-23T22:02:12.142Z,bid-extra-60366651143,2026-04-23T23:55:14.039Z
6465131,186061,6274.280000000001,2026-04-23T22:02:12.143Z,bid-extra-60366651163,2026-04-23T23:55:14.039Z
6465261,186371,6909.88,2026-04-23T22:02:12.143Z,bid-extra-60366651173,2026-04-23T23:55:14.039Z
6465391,186681,7545.4800000000005,2026-04-23T22:02:12.143Z,bid-extra-60366651183,2026-04-23T23:55:14.039Z
6465521,186991,8181.08,2026-04-23T22:02:12.143Z,bid-extra-60366651193,2026-04-23T23:55:14.039Z
6465781,187611,9452.28,2026-04-23T22:02:12.143Z,bid-extra-60366651213,2026-04-23T23:55:14.039Z
6465911,187921,5547.88,2026-04-23T22:02:12.143Z,bid-extra-60366651223,2026-04-23T23:55:14.039Z
6466041,188231,6183.4800000000005,2026-04-23T22:02:12.143Z,bid-extra-60366651233,2026-04-23T23:55:14.039Z
6466171,188541,6819.08,2026-04-23T22:02:12.143Z,bid-extra-60366651243,2026-04-23T23:55:14.039Z
6466431,189161,8090.280000000001,2026-04-23T22:02:12.144Z,bid-extra-60366651263,2026-04-23T23:55:14.039Z
6466561,189471,8725.880000000001,2026-04-23T22:02:12.144Z,bid-extra-60366651273,2026-04-23T23:55:14.039Z
6466691,189781,9361.48,2026-04-23T22:02:12.144Z,bid-extra-60366651283,2026-04-23T23:55:14.039Z
6466821,190091,9997.08,2026-04-23T22:02:12.144Z,bid-extra-60366651293,2026-04-23T23:55:14.039Z
6467081,190711,11268.28,2026-04-23T22:02:12.144Z,bid-extra-60366651313,2026-04-23T23:55:14.039Z
6467211,191021,11903.880000000001,2026-04-23T22:02:12.144Z,bid-extra-60366651323,2026-04-23T23:55:14.039Z
6467341,191331,12539.48,2026-04-23T22:02:12.144Z,bid-extra-60366651333,2026-04-23T23:55:14.039Z
6467471,191641,8635.08,2026-04-23T22:02:12.144Z,bid-extra-60366651343,2026-04-23T23:55:14.039Z
6467731,192261,917.08,2026-04-23T22:02:12.145Z,bid-extra-60366651363,2026-04-23T23:55:14.039Z
6467861,192571,1552.68,2026-04-23T22:02:12.145Z,bid-extra-60366651373,2026-04-23T23:55:14.039Z
6467991,192881,2188.28,2026-04-23T22:02:12.145Z,bid-extra-60366651383,2026-04-23T23:55:14.039Z
6468121,193191,2823.88,2026-04-23T22:02:12.145Z,bid-extra-60366651393,2026-04-23T23:55:14.039Z
6468381,193811,4095.08,2026-04-23T22:02:12.145Z,bid-extra-60366651413,2026-04-23T23:55:14.039Z
6468511,194121,4730.68,2026-04-23T22:02:12.145Z,bid-extra-60366651423,2026-04-23T23:55:14.039Z
6468641,194431,5366.28,2026-04-23T22:02:12.145Z,bid-extra-60366651433,2026-04-23T23:55:14.039Z
6468771,194741,6001.88,2026-04-23T22:02:12.145Z,bid-extra-60366651443,2026-04-23T23:55:14.039Z
6469031,195361,7273.08,2026-04-23T22:02:12.146Z,bid-extra-60366651463,2026-04-23T23:55:14.039Z
6469161,195671,3368.6800000000003,2026-04-23T22:02:12.146Z,bid-extra-60366651473,2026-04-23T23:55:14.039Z
6469291,195981,4004.28,2026-04-23T22:02:12.146Z,bid-extra-60366651483,2026-04-23T23:55:14.039Z
6469421,196291,4639.88,2026-04-23T22:02:12.146Z,bid-extra-60366651493,2026-04-23T23:55:14.039Z
6469681,196911,5911.08,2026-04-23T22:02:12.146Z,bid-extra-60366651513,2026-04-23T23:55:14.039Z
6469811,197221,6546.68,2026-04-23T22:02:12.146Z,bid-extra-60366651523,2026-04-23T23:55:14.039Z
6469941,197531,7182.280000000001,2026-04-23T22:02:12.146Z,bid-extra-60366651533,2026-04-23T23:55:14.039Z
6470071,197841,7817.88,2026-04-23T22:02:12.146Z,bid-extra-60366651543,2026-04-23T23:55:14.039Z
6470331,198461,9089.08,2026-04-23T22:02:12.147Z,bid-extra-60366651563,2026-04-23T23:55:14.039Z
6470461,198771,9724.68,2026-04-23T22:02:12.147Z,bid-extra-60366651573,2026-04-23T23:55:14.039Z
6470591,199081,10360.28,2026-04-23T22:02:12.147Z,bid-extra-60366651583,2026-04-23T23:55:14.039Z
6470721,199391,6455.88,2026-04-23T22:02:12.147Z,bid-extra-60366651593,2026-04-23T23:55:14.039Z
6470981,200011,7727.08,2026-04-23T22:02:12.147Z,bid-extra-60366651613,2026-04-23T23:55:14.039Z
6471111,200321,8362.68,2026-04-23T22:02:12.147Z,bid-extra-60366651623,2026-04-23T23:55:14.039Z
6471241,200631,8998.28,2026-04-23T22:02:12.147Z,bid-extra-60366651633,2026-04-23T23:55:14.039Z
6471371,200941,9633.880000000001,2026-04-23T22:02:12.147Z,bid-extra-60366651643,2026-04-23T23:55:14.039Z
6471631,201561,10905.08,2026-04-23T22:02:12.148Z,bid-extra-60366651663,2026-04-23T23:55:14.039Z
6471761,201871,11540.68,2026-04-23T22:02:12.148Z,bid-extra-60366651673,2026-04-23T23:55:14.039Z
6471891,202181,12176.28,2026-04-23T22:02:12.148Z,bid-extra-60366651683,2026-04-23T23:55:14.039Z
6472021,202491,12811.880000000001,2026-04-23T22:02:12.148Z,bid-extra-60366651693,2026-04-23T23:55:14.039Z
6472281,203111,553.88,2026-04-23T22:02:12.148Z,bid-extra-60366651713,2026-04-23T23:55:14.039Z
6472411,203421,1189.48,2026-04-23T22:02:12.148Z,bid-extra-60366651723,2026-04-23T23:55:14.039Z
6472541,203731,1825.0800000000002,2026-04-23T22:02:12.148Z,bid-extra-60366651733,2026-04-23T23:55:14.039Z
6472671,204041,2460.6800000000003,2026-04-23T22:02:12.148Z,bid-extra-60366651743,2026-04-23T23:55:14.039Z
6472931,204661,3731.88,2026-04-23T22:02:12.149Z,bid-extra-60366651763,2026-04-23T23:55:14.039Z
6473061,204971,4367.4800000000005,2026-04-23T22:02:12.149Z,bid-extra-60366651773,2026-04-23T23:55:14.039Z
6473191,205281,5003.08,2026-04-23T22:02:12.149Z,bid-extra-60366651783,2026-04-23T23:55:14.039Z
6473321,205591,5638.68,2026-04-23T22:02:12.149Z,bid-extra-60366651793,2026-04-23T23:55:14.039Z
6473581,206211,6909.88,2026-04-23T22:02:12.149Z,bid-extra-60366651813,2026-04-23T23:55:14.039Z
6473711,206521,7545.4800000000005,2026-04-23T22:02:12.149Z,bid-extra-60366651823,2026-04-23T23:55:14.039Z
6473841,206831,3641.08,2026-04-23T22:02:12.149Z,bid-extra-60366651833,2026-04-23T23:55:14.039Z
6473971,207141,4276.68,2026-04-23T22:02:12.149Z,bid-extra-60366651843,2026-04-23T23:55:14.039Z
6474231,207761,5547.88,2026-04-23T22:02:12.150Z,bid-extra-60366651863,2026-04-23T23:55:14.039Z
6474361,208071,6183.4800000000005,2026-04-23T22:02:12.150Z,bid-extra-60366651873,2026-04-23T23:55:14.039Z
6474491,208381,6819.08,2026-04-23T22:02:12.150Z,bid-extra-60366651883,2026-04-23T23:55:14.039Z
6474621,208691,7454.68,2026-04-23T22:02:12.150Z,bid-extra-60366651893,2026-04-23T23:55:14.039Z
6474881,209311,8725.880000000001,2026-04-23T22:02:12.150Z,bid-extra-60366651913,2026-04-23T23:55:14.039Z
6475011,209621,9361.48,2026-04-23T22:02:12.150Z,bid-extra-60366651923,2026-04-23T23:55:14.039Z
6475141,209931,9997.08,2026-04-23T22:02:12.150Z,bid-extra-60366651933,2026-04-23T23:55:14.039Z
6475271,210241,10632.68,2026-04-23T22:02:12.150Z,bid-extra-60366651943,2026-04-23T23:55:14.039Z
6475531,210861,7363.88,2026-04-23T22:02:12.151Z,bid-extra-60366651963,2026-04-23T23:55:14.039Z
6475661,211171,7999.4800000000005,2026-04-23T22:02:12.151Z,bid-extra-60366651973,2026-04-23T23:55:14.039Z
6475791,211481,8635.08,2026-04-23T22:02:12.151Z,bid-extra-60366651983,2026-04-23T23:55:14.039Z
6475921,211791,9270.68,2026-04-23T22:02:12.151Z,bid-extra-60366651993,2026-04-23T23:55:14.039Z
6476181,212411,10541.880000000001,2026-04-23T22:02:12.151Z,bid-extra-60366652013,2026-04-23T23:55:14.039Z
6476311,212721,11177.48,2026-04-23T22:02:12.151Z,bid-extra-60366652023,2026-04-23T23:55:14.039Z
6476441,213031,11813.08,2026-04-23T22:02:12.151Z,bid-extra-60366652033,2026-04-23T23:55:14.039Z
6476571,213341,12448.68,2026-04-23T22:02:12.151Z,bid-extra-60366652043,2026-04-23T23:55:14.039Z
6476831,213961,4730.68,2026-04-23T22:02:12.152Z,bid-extra-60366652063,2026-04-23T23:55:14.039Z
6476961,214271,5366.28,2026-04-23T22:02:12.152Z,bid-extra-60366652073,2026-04-23T23:55:14.039Z
6477091,214581,1461.88,2026-04-23T22:02:12.152Z,bid-extra-60366652083,2026-04-23T23:55:14.039Z
6477221,214891,2097.48,2026-04-23T22:02:12.152Z,bid-extra-60366652093,2026-04-23T23:55:14.039Z
6477481,215511,3368.6800000000003,2026-04-23T22:02:12.152Z,bid-extra-60366652113,2026-04-23T23:55:14.039Z
6477611,215821,4004.28,2026-04-23T22:02:12.152Z,bid-extra-60366652123,2026-04-23T23:55:14.039Z
6477741,216131,4639.88,2026-04-23T22:02:12.152Z,bid-extra-60366652133,2026-04-23T23:55:14.039Z
6477871,216441,5275.4800000000005,2026-04-23T22:02:12.152Z,bid-extra-60366652143,2026-04-23T23:55:14.039Z
6478131,217061,6546.68,2026-04-23T22:02:12.153Z,bid-extra-60366652163,2026-04-23T23:55:14.039Z
6478261,217371,7182.280000000001,2026-04-23T22:02:12.153Z,bid-extra-60366652173,2026-04-23T23:55:14.039Z
6478391,217681,7817.88,2026-04-23T22:02:12.153Z,bid-extra-60366652183,2026-04-23T23:55:14.039Z
6478521,217991,8453.48,2026-04-23T22:02:12.153Z,bid-extra-60366652193,2026-04-23T23:55:14.039Z
6478781,218611,5184.68,2026-04-23T22:02:12.153Z,bid-extra-60366652213,2026-04-23T23:55:14.039Z
6478911,218921,5820.28,2026-04-23T22:02:12.153Z,bid-extra-60366652223,2026-04-23T23:55:14.039Z
6479041,219231,6455.88,2026-04-23T22:02:12.153Z,bid-extra-60366652233,2026-04-23T23:55:14.039Z
6479171,219541,7091.4800000000005,2026-04-23T22:02:12.153Z,bid-extra-60366652243,2026-04-23T23:55:14.039Z
6479431,220161,8362.68,2026-04-23T22:02:12.154Z,bid-extra-60366652263,2026-04-23T23:55:14.039Z
6479561,220471,8998.28,2026-04-23T22:02:12.154Z,bid-extra-60366652273,2026-04-23T23:55:14.039Z
6479691,220781,9633.880000000001,2026-04-23T22:02:12.154Z,bid-extra-60366652283,2026-04-23T23:55:14.039Z
6479821,221091,10269.48,2026-04-23T22:02:12.154Z,bid-extra-60366652293,2026-04-23T23:55:14.039Z
6480081,221711,11540.68,2026-04-23T22:02:12.154Z,bid-extra-60366652313,2026-04-23T23:55:14.039Z
6480211,222021,7636.280000000001,2026-04-23T22:02:12.154Z,bid-extra-60366652323,2026-04-23T23:55:14.039Z
6480341,222331,8271.880000000001,2026-04-23T22:02:12.154Z,bid-extra-60366652333,2026-04-23T23:55:14.039Z
6480471,222641,8907.48,2026-04-23T22:02:12.154Z,bid-extra-60366652343,2026-04-23T23:55:14.039Z
6480731,223261,10178.68,2026-04-23T22:02:12.155Z,bid-extra-60366652363,2026-04-23T23:55:14.039Z
6480861,223571,10814.28,2026-04-23T22:02:12.155Z,bid-extra-60366652373,2026-04-23T23:55:14.039Z
6480991,223881,11449.880000000001,2026-04-23T22:02:12.155Z,bid-extra-60366652383,2026-04-23T23:55:14.039Z
6481121,224191,3096.28,2026-04-23T22:02:12.155Z,bid-extra-60366652393,2026-04-23T23:55:14.039Z
6481381,224811,4367.4800000000005,2026-04-23T22:02:12.155Z,bid-extra-60366652413,2026-04-23T23:55:14.039Z
6481511,225121,5003.08,2026-04-23T22:02:12.155Z,bid-extra-60366652423,2026-04-23T23:55:14.039Z
6481641,225431,5638.68,2026-04-23T22:02:12.155Z,bid-extra-60366652433,2026-04-23T23:55:14.039Z
6481771,225741,1734.28,2026-04-23T22:02:12.155Z,bid-extra-60366652443,2026-04-23T23:55:14.039Z
6482031,226361,3005.48,2026-04-23T22:02:12.156Z,bid-extra-60366652463,2026-04-23T23:55:14.039Z
6482161,226671,3641.08,2026-04-23T22:02:12.156Z,bid-extra-60366652473,2026-04-23T23:55:14.039Z
6482291,226981,4276.68,2026-04-23T22:02:12.156Z,bid-extra-60366652483,2026-04-23T23:55:14.039Z
6482421,227291,4912.28,2026-04-23T22:02:12.156Z,bid-extra-60366652493,2026-04-23T23:55:14.039Z
