auction,bidder,price,dateTime,extra,processed_time
7700181,900411,3641.08,2026-04-23T21:58:14.631Z,bid-extra-60342900013,2026-04-23T23:55:14.039Z
7700311,900721,4276.68,2026-04-23T21:58:14.631Z,bid-extra-60342900023,2026-04-23T23:55:14.039Z
7700441,901031,4912.28,2026-04-23T21:58:14.631Z,bid-extra-60342900033,2026-04-23T23:55:14.039Z
7700571,901341,5547.88,2026-04-23T21:58:14.631Z,bid-extra-60342900043,2026-04-23T23:55:14.039Z
7700831,901961,6819.08,2026-04-23T21:58:14.632Z,bid-extra-60342900063,2026-04-23T23:55:14.039Z
7700961,902271,7454.68,2026-04-23T21:58:14.632Z,bid-extra-60342900073,2026-04-23T23:55:14.039Z
7701091,902581,8090.280000000001,2026-04-23T21:58:14.632Z,bid-extra-60342900083,2026-04-23T23:55:14.039Z
7701221,902891,8725.880000000001,2026-04-23T21:58:14.632Z,bid-extra-60342900093,2026-04-23T23:55:14.039Z
7701481,903511,9997.08,2026-04-23T21:58:14.632Z,bid-extra-60342900113,2026-04-23T23:55:14.039Z
7701611,903821,6092.68,2026-04-23T21:58:14.632Z,bid-extra-60342900123,2026-04-23T23:55:14.039Z
7701741,904131,6728.280000000001,2026-04-23T21:58:14.632Z,bid-extra-60342900133,2026-04-23T23:55:14.039Z
7701871,904441,7363.88,2026-04-23T21:58:14.632Z,bid-extra-60342900143,2026-04-23T23:55:14.039Z
7702131,905061,8635.08,2026-04-23T21:58:14.633Z,bid-extra-60342900163,2026-04-23T23:55:14.039Z
7702261,905371,9270.68,2026-04-23T21:58:14.633Z,bid-extra-60342900173,2026-04-23T23:55:14.039Z
7702391,905681,9906.28,2026-04-23T21:58:14.633Z,bid-extra-60342900183,2026-04-23T23:55:14.039Z
7702521,905991,10541.880000000001,2026-04-23T21:58:14.633Z,bid-extra-60342900193,2026-04-23T23:55:14.039Z
7702781,906611,11813.08,2026-04-23T21:58:14.633Z,bid-extra-60342900213,2026-04-23T23:55:14.039Z
7702911,906921,12448.68,2026-04-23T21:58:14.633Z,bid-extra-60342900223,2026-04-23T23:55:14.039Z
7703041,907231,13084.28,2026-04-23T21:58:14.633Z,bid-extra-60342900233,2026-04-23T23:55:14.039Z
7703171,907541,4730.68,2026-04-23T21:58:14.633Z,bid-extra-60342900243,2026-04-23T23:55:14.039Z
7703431,908161,1461.88,2026-04-23T21:58:14.634Z,bid-extra-60342900263,2026-04-23T23:55:14.039Z
7703561,908471,2097.48,2026-04-23T21:58:14.634Z,bid-extra-60342900273,2026-04-23T23:55:14.039Z
7703691,908781,2733.08,2026-04-23T21:58:14.634Z,bid-extra-60342900283,2026-04-23T23:55:14.039Z
7703821,909091,3368.6800000000003,2026-04-23T21:58:14.634Z,bid-extra-60342900293,2026-04-23T23:55:14.039Z
7704081,909711,4639.88,2026-04-23T21:58:14.634Z,bid-extra-60342900313,2026-04-23T23:55:14.039Z
