auction,bidder,price,dateTime,extra,processed_time
3950181,650411,9179.880000000001,2026-04-23T21:58:27.131Z,bid-extra-60344150013,2026-04-23T23:55:14.039Z
3950311,650721,9815.48,2026-04-23T21:58:27.131Z,bid-extra-60344150023,2026-04-23T23:55:14.039Z
3950441,651031,1461.88,2026-04-23T21:58:27.131Z,bid-extra-60344150033,2026-04-23T23:55:14.039Z
3950571,651341,2097.48,2026-04-23T21:58:27.131Z,bid-extra-60344150043,2026-04-23T23:55:14.039Z
3950831,651961,3368.6800000000003,2026-04-23T21:58:27.132Z,bid-extra-60344150063,2026-04-23T23:55:14.039Z
3950961,652271,4004.28,2026-04-23T21:58:27.132Z,bid-extra-60344150073,2026-04-23T23:55:14.039Z
3951091,652581,4639.88,2026-04-23T21:58:27.132Z,bid-extra-60344150083,2026-04-23T23:55:14.039Z
3951221,652891,5275.4800000000005,2026-04-23T21:58:27.132Z,bid-extra-60344150093,2026-04-23T23:55:14.039Z
3951481,653511,6546.68,2026-04-23T21:58:27.132Z,bid-extra-60344150113,2026-04-23T23:55:14.039Z
3951611,653821,2642.28,2026-04-23T21:58:27.132Z,bid-extra-60344150123,2026-04-23T23:55:14.039Z
3951741,654131,3277.88,2026-04-23T21:58:27.132Z,bid-extra-60344150133,2026-04-23T23:55:14.039Z
3951871,654441,3913.48,2026-04-23T21:58:27.132Z,bid-extra-60344150143,2026-04-23T23:55:14.039Z
3952131,655061,5184.68,2026-04-23T21:58:27.133Z,bid-extra-60344150163,2026-04-23T23:55:14.039Z
3952261,655371,5820.28,2026-04-23T21:58:27.133Z,bid-extra-60344150173,2026-04-23T23:55:14.039Z
3952391,655681,6455.88,2026-04-23T21:58:27.133Z,bid-extra-60344150183,2026-04-23T23:55:14.039Z
3952521,655991,7091.4800000000005,2026-04-23T21:58:27.133Z,bid-extra-60344150193,2026-04-23T23:55:14.039Z
3952781,656611,8362.68,2026-04-23T21:58:27.133Z,bid-extra-60344150213,2026-04-23T23:55:14.039Z
3952911,656921,8998.28,2026-04-23T21:58:27.133Z,bid-extra-60344150223,2026-04-23T23:55:14.039Z
3953041,657231,9633.880000000001,2026-04-23T21:58:27.133Z,bid-extra-60344150233,2026-04-23T23:55:14.039Z
3953171,657541,10269.48,2026-04-23T21:58:27.133Z,bid-extra-60344150243,2026-04-23T23:55:14.039Z
3953431,658161,7000.68,2026-04-23T21:58:27.134Z,bid-extra-60344150263,2026-04-23T23:55:14.039Z
3953561,658471,7636.280000000001,2026-04-23T21:58:27.134Z,bid-extra-60344150273,2026-04-23T23:55:14.039Z
3953691,658781,8271.880000000001,2026-04-23T21:58:27.134Z,bid-extra-60344150283,2026-04-23T23:55:14.039Z
3953821,659091,8907.48,2026-04-23T21:58:27.134Z,bid-extra-60344150293,2026-04-23T23:55:14.039Z
3954081,659711,10178.68,2026-04-23T21:58:27.134Z,bid-extra-60344150313,2026-04-23T23:55:14.039Z
3954211,660021,10814.28,2026-04-23T21:58:27.134Z,bid-extra-60344150323,2026-04-23T23:55:14.039Z
3954341,660331,11449.880000000001,2026-04-23T21:58:27.134Z,bid-extra-60344150333,2026-04-23T23:55:14.039Z
3954471,660641,12085.48,2026-04-23T21:58:27.134Z,bid-extra-60344150343,2026-04-23T23:55:14.039Z
3954731,661261,13356.68,2026-04-23T21:58:27.135Z,bid-extra-60344150363,2026-04-23T23:55:14.039Z
3954861,661571,463.08000000000004,2026-04-23T21:58:27.135Z,bid-extra-60344150373,2026-04-23T23:55:14.039Z
3954991,661881,1098.68,2026-04-23T21:58:27.135Z,bid-extra-60344150383,2026-04-23T23:55:14.039Z
3955121,662191,1734.28,2026-04-23T21:58:27.135Z,bid-extra-60344150393,2026-04-23T23:55:14.039Z
3955381,662811,3005.48,2026-04-23T21:58:27.135Z,bid-extra-60344150413,2026-04-23T23:55:14.039Z
3955511,663121,3641.08,2026-04-23T21:58:27.135Z,bid-extra-60344150423,2026-04-23T23:55:14.039Z
3955641,663431,4276.68,2026-04-23T21:58:27.135Z,bid-extra-60344150433,2026-04-23T23:55:14.039Z
3955771,663741,4912.28,2026-04-23T21:58:27.135Z,bid-extra-60344150443,2026-04-23T23:55:14.039Z
3956031,664361,6183.4800000000005,2026-04-23T21:58:27.136Z,bid-extra-60344150463,2026-04-23T23:55:14.039Z
3956161,664671,6819.08,2026-04-23T21:58:27.136Z,bid-extra-60344150473,2026-04-23T23:55:14.039Z
3956291,664981,7454.68,2026-04-23T21:58:27.136Z,bid-extra-60344150483,2026-04-23T23:55:14.039Z
3956421,665291,3550.28,2026-04-23T21:58:27.136Z,bid-extra-60344150493,2026-04-23T23:55:14.039Z
3956681,665911,4821.4800000000005,2026-04-23T21:58:27.136Z,bid-extra-60344150513,2026-04-23T23:55:14.039Z
3956811,666221,5457.08,2026-04-23T21:58:27.136Z,bid-extra-60344150523,2026-04-23T23:55:14.039Z
