auction,bidder,price,dateTime,extra,processed_time
3950181,650411,7273.08,2026-04-23T22:03:27.131Z,bid-extra-60374150013,2026-04-23T23:55:14.039Z
3950311,650721,7908.68,2026-04-23T22:03:27.131Z,bid-extra-60374150023,2026-04-23T23:55:14.039Z
3950441,651031,8544.28,2026-04-23T22:03:27.131Z,bid-extra-60374150033,2026-04-23T23:55:14.039Z
3950571,651341,9179.880000000001,2026-04-23T22:03:27.131Z,bid-extra-60374150043,2026-04-23T23:55:14.039Z
3950831,651961,10451.08,2026-04-23T22:03:27.132Z,bid-extra-60374150063,2026-04-23T23:55:14.039Z
3950961,652271,11086.68,2026-04-23T22:03:27.132Z,bid-extra-60374150073,2026-04-23T23:55:14.039Z
3951091,652581,11722.28,2026-04-23T22:03:27.132Z,bid-extra-60374150083,2026-04-23T23:55:14.039Z
3951221,652891,12357.880000000001,2026-04-23T22:03:27.132Z,bid-extra-60374150093,2026-04-23T23:55:14.039Z
3951481,653511,4639.88,2026-04-23T22:03:27.132Z,bid-extra-60374150113,2026-04-23T23:55:14.039Z
3951611,653821,735.48,2026-04-23T22:03:27.132Z,bid-extra-60374150123,2026-04-23T23:55:14.039Z
3951741,654131,1371.0800000000002,2026-04-23T22:03:27.132Z,bid-extra-60374150133,2026-04-23T23:55:14.039Z
3951871,654441,2006.68,2026-04-23T22:03:27.132Z,bid-extra-60374150143,2026-04-23T23:55:14.039Z
3952131,655061,3277.88,2026-04-23T22:03:27.133Z,bid-extra-60374150163,2026-04-23T23:55:14.039Z
3952261,655371,3913.48,2026-04-23T22:03:27.133Z,bid-extra-60374150173,2026-04-23T23:55:14.039Z
3952391,655681,4549.08,2026-04-23T22:03:27.133Z,bid-extra-60374150183,2026-04-23T23:55:14.039Z
3952521,655991,5184.68,2026-04-23T22:03:27.133Z,bid-extra-60374150193,2026-04-23T23:55:14.039Z
3952781,656611,6455.88,2026-04-23T22:03:27.133Z,bid-extra-60374150213,2026-04-23T23:55:14.039Z
3952911,656921,7091.4800000000005,2026-04-23T22:03:27.133Z,bid-extra-60374150223,2026-04-23T23:55:14.039Z
3953041,657231,7727.08,2026-04-23T22:03:27.133Z,bid-extra-60374150233,2026-04-23T23:55:14.039Z
3953171,657541,8362.68,2026-04-23T22:03:27.133Z,bid-extra-60374150243,2026-04-23T23:55:14.039Z
3953431,658161,5093.88,2026-04-23T22:03:27.134Z,bid-extra-60374150263,2026-04-23T23:55:14.039Z
3953561,658471,5729.4800000000005,2026-04-23T22:03:27.134Z,bid-extra-60374150273,2026-04-23T23:55:14.039Z
3953691,658781,6365.08,2026-04-23T22:03:27.134Z,bid-extra-60374150283,2026-04-23T23:55:14.039Z
3953821,659091,7000.68,2026-04-23T22:03:27.134Z,bid-extra-60374150293,2026-04-23T23:55:14.039Z
3954081,659711,8271.880000000001,2026-04-23T22:03:27.134Z,bid-extra-60374150313,2026-04-23T23:55:14.039Z
3954211,660021,8907.48,2026-04-23T22:03:27.134Z,bid-extra-60374150323,2026-04-23T23:55:14.039Z
3954341,660331,9543.08,2026-04-23T22:03:27.134Z,bid-extra-60374150333,2026-04-23T23:55:14.039Z
3954471,660641,10178.68,2026-04-23T22:03:27.134Z,bid-extra-60374150343,2026-04-23T23:55:14.039Z
3954731,661261,11449.880000000001,2026-04-23T22:03:27.135Z,bid-extra-60374150363,2026-04-23T23:55:14.039Z
3954861,661571,7545.4800000000005,2026-04-23T22:03:27.135Z,bid-extra-60374150373,2026-04-23T23:55:14.039Z
3954991,661881,8181.08,2026-04-23T22:03:27.135Z,bid-extra-60374150383,2026-04-23T23:55:14.039Z
3955121,662191,8816.68,2026-04-23T22:03:27.135Z,bid-extra-60374150393,2026-04-23T23:55:14.039Z
3955381,662811,10087.880000000001,2026-04-23T22:03:27.135Z,bid-extra-60374150413,2026-04-23T23:55:14.039Z
