auction,bidder,price,dateTime,extra,processed_time
6450181,150411,1643.48,2026-04-23T22:00:32.131Z,bid-extra-60356650013,2026-04-23T23:55:14.039Z
6450311,150721,2279.08,2026-04-23T22:00:32.131Z,bid-extra-60356650023,2026-04-23T23:55:14.039Z
6450441,151031,2914.6800000000003,2026-04-23T22:00:32.131Z,bid-extra-60356650033,2026-04-23T23:55:14.039Z
6450571,151341,3550.28,2026-04-23T22:00:32.131Z,bid-extra-60356650043,2026-04-23T23:55:14.039Z
6450831,151961,4821.4800000000005,2026-04-23T22:00:32.132Z,bid-extra-60356650063,2026-04-23T23:55:14.039Z
6450961,152271,5457.08,2026-04-23T22:00:32.132Z,bid-extra-60356650073,2026-04-23T23:55:14.039Z
6451091,152581,6092.68,2026-04-23T22:00:32.132Z,bid-extra-60356650083,2026-04-23T23:55:14.039Z
6451221,152891,6728.280000000001,2026-04-23T22:00:32.132Z,bid-extra-60356650093,2026-04-23T23:55:14.039Z
6451481,153511,7999.4800000000005,2026-04-23T22:00:32.132Z,bid-extra-60356650113,2026-04-23T23:55:14.039Z
6451611,153821,4095.08,2026-04-23T22:00:32.132Z,bid-extra-60356650123,2026-04-23T23:55:14.039Z
6451741,154131,4730.68,2026-04-23T22:00:32.132Z,bid-extra-60356650133,2026-04-23T23:55:14.039Z
6451871,154441,5366.28,2026-04-23T22:00:32.132Z,bid-extra-60356650143,2026-04-23T23:55:14.039Z
6452131,155061,6637.4800000000005,2026-04-23T22:00:32.133Z,bid-extra-60356650163,2026-04-23T23:55:14.039Z
6452261,155371,7273.08,2026-04-23T22:00:32.133Z,bid-extra-60356650173,2026-04-23T23:55:14.039Z
6452391,155681,7908.68,2026-04-23T22:00:32.133Z,bid-extra-60356650183,2026-04-23T23:55:14.039Z
6452521,155991,8544.28,2026-04-23T22:00:32.133Z,bid-extra-60356650193,2026-04-23T23:55:14.039Z
6452781,156611,9815.48,2026-04-23T22:00:32.133Z,bid-extra-60356650213,2026-04-23T23:55:14.039Z
6452911,156921,10451.08,2026-04-23T22:00:32.133Z,bid-extra-60356650223,2026-04-23T23:55:14.039Z
6453041,157231,11086.68,2026-04-23T22:00:32.133Z,bid-extra-60356650233,2026-04-23T23:55:14.039Z
6453171,157541,11722.28,2026-04-23T22:00:32.133Z,bid-extra-60356650243,2026-04-23T23:55:14.039Z
6453431,158161,8453.48,2026-04-23T22:00:32.134Z,bid-extra-60356650263,2026-04-23T23:55:14.039Z
6453561,158471,9089.08,2026-04-23T22:00:32.134Z,bid-extra-60356650273,2026-04-23T23:55:14.039Z
6453691,158781,9724.68,2026-04-23T22:00:32.134Z,bid-extra-60356650283,2026-04-23T23:55:14.039Z
6453821,159091,10360.28,2026-04-23T22:00:32.134Z,bid-extra-60356650293,2026-04-23T23:55:14.039Z
6454081,159711,11631.48,2026-04-23T22:00:32.134Z,bid-extra-60356650313,2026-04-23T23:55:14.039Z
6454211,160021,3277.88,2026-04-23T22:00:32.134Z,bid-extra-60356650323,2026-04-23T23:55:14.039Z
6454341,160331,3913.48,2026-04-23T22:00:32.134Z,bid-extra-60356650333,2026-04-23T23:55:14.039Z
6454471,160641,4549.08,2026-04-23T22:00:32.134Z,bid-extra-60356650343,2026-04-23T23:55:14.039Z
6454731,161261,5820.28,2026-04-23T22:00:32.135Z,bid-extra-60356650363,2026-04-23T23:55:14.039Z
6454861,161571,1915.88,2026-04-23T22:00:32.135Z,bid-extra-60356650373,2026-04-23T23:55:14.039Z
6454991,161881,2551.48,2026-04-23T22:00:32.135Z,bid-extra-60356650383,2026-04-23T23:55:14.039Z
6455121,162191,3187.08,2026-04-23T22:00:32.135Z,bid-extra-60356650393,2026-04-23T23:55:14.039Z
6455381,162811,4458.28,2026-04-23T22:00:32.135Z,bid-extra-60356650413,2026-04-23T23:55:14.039Z
6455511,163121,5093.88,2026-04-23T22:00:32.135Z,bid-extra-60356650423,2026-04-23T23:55:14.039Z
6455641,163431,5729.4800000000005,2026-04-23T22:00:32.135Z,bid-extra-60356650433,2026-04-23T23:55:14.039Z
6455771,163741,6365.08,2026-04-23T22:00:32.135Z,bid-extra-60356650443,2026-04-23T23:55:14.039Z
6456031,164361,7636.280000000001,2026-04-23T22:00:32.136Z,bid-extra-60356650463,2026-04-23T23:55:14.039Z
6456161,164671,8271.880000000001,2026-04-23T22:00:32.136Z,bid-extra-60356650473,2026-04-23T23:55:14.039Z
6456291,164981,8907.48,2026-04-23T22:00:32.136Z,bid-extra-60356650483,2026-04-23T23:55:14.039Z
6456421,165291,5003.08,2026-04-23T22:00:32.136Z,bid-extra-60356650493,2026-04-23T23:55:14.039Z
6456681,165911,6274.280000000001,2026-04-23T22:00:32.136Z,bid-extra-60356650513,2026-04-23T23:55:14.039Z
6456811,166221,6909.88,2026-04-23T22:00:32.136Z,bid-extra-60356650523,2026-04-23T23:55:14.039Z
6456941,166531,7545.4800000000005,2026-04-23T22:00:32.136Z,bid-extra-60356650533,2026-04-23T23:55:14.039Z
6457071,166841,8181.08,2026-04-23T22:00:32.136Z,bid-extra-60356650543,2026-04-23T23:55:14.039Z
6457331,167461,9452.28,2026-04-23T22:00:32.137Z,bid-extra-60356650563,2026-04-23T23:55:14.039Z
6457461,167771,10087.880000000001,2026-04-23T22:00:32.137Z,bid-extra-60356650573,2026-04-23T23:55:14.039Z
6457591,168081,10723.48,2026-04-23T22:00:32.137Z,bid-extra-60356650583,2026-04-23T23:55:14.039Z
6457721,168391,11359.08,2026-04-23T22:00:32.137Z,bid-extra-60356650593,2026-04-23T23:55:14.039Z
6457981,169011,8090.280000000001,2026-04-23T22:00:32.137Z,bid-extra-60356650613,2026-04-23T23:55:14.039Z
6458111,169321,8725.880000000001,2026-04-23T22:00:32.137Z,bid-extra-60356650623,2026-04-23T23:55:14.039Z
6458241,169631,9361.48,2026-04-23T22:00:32.137Z,bid-extra-60356650633,2026-04-23T23:55:14.039Z
6458371,169941,9997.08,2026-04-23T22:00:32.137Z,bid-extra-60356650643,2026-04-23T23:55:14.039Z
6458631,170561,2279.08,2026-04-23T22:00:32.138Z,bid-extra-60356650663,2026-04-23T23:55:14.039Z
6458761,170871,2914.6800000000003,2026-04-23T22:00:32.138Z,bid-extra-60356650673,2026-04-23T23:55:14.039Z
6458891,171181,3550.28,2026-04-23T22:00:32.138Z,bid-extra-60356650683,2026-04-23T23:55:14.039Z
6459021,171491,4185.88,2026-04-23T22:00:32.138Z,bid-extra-60356650693,2026-04-23T23:55:14.039Z
6459281,172111,5457.08,2026-04-23T22:00:32.138Z,bid-extra-60356650713,2026-04-23T23:55:14.039Z
6459411,172421,6092.68,2026-04-23T22:00:32.138Z,bid-extra-60356650723,2026-04-23T23:55:14.039Z
6459541,172731,2188.28,2026-04-23T22:00:32.138Z,bid-extra-60356650733,2026-04-23T23:55:14.039Z
6459671,173041,2823.88,2026-04-23T22:00:32.138Z,bid-extra-60356650743,2026-04-23T23:55:14.039Z
6459931,173661,4095.08,2026-04-23T22:00:32.139Z,bid-extra-60356650763,2026-04-23T23:55:14.039Z
6460061,173971,4730.68,2026-04-23T22:00:32.139Z,bid-extra-60356650773,2026-04-23T23:55:14.039Z
6460191,174281,5366.28,2026-04-23T22:00:32.139Z,bid-extra-60356650783,2026-04-23T23:55:14.039Z
6460321,174591,6001.88,2026-04-23T22:00:32.139Z,bid-extra-60356650793,2026-04-23T23:55:14.039Z
6460581,175211,7273.08,2026-04-23T22:00:32.139Z,bid-extra-60356650813,2026-04-23T23:55:14.039Z
6460711,175521,7908.68,2026-04-23T22:00:32.139Z,bid-extra-60356650823,2026-04-23T23:55:14.039Z
6460841,175831,8544.28,2026-04-23T22:00:32.139Z,bid-extra-60356650833,2026-04-23T23:55:14.039Z
6460971,176141,9179.880000000001,2026-04-23T22:00:32.139Z,bid-extra-60356650843,2026-04-23T23:55:14.039Z
6461231,176761,5911.08,2026-04-23T22:00:32.140Z,bid-extra-60356650863,2026-04-23T23:55:14.039Z
6461361,177071,6546.68,2026-04-23T22:00:32.140Z,bid-extra-60356650873,2026-04-23T23:55:14.039Z
6461491,177381,7182.280000000001,2026-04-23T22:00:32.140Z,bid-extra-60356650883,2026-04-23T23:55:14.039Z
6461621,177691,7817.88,2026-04-23T22:00:32.140Z,bid-extra-60356650893,2026-04-23T23:55:14.039Z
6461881,178311,9089.08,2026-04-23T22:00:32.140Z,bid-extra-60356650913,2026-04-23T23:55:14.039Z
6462011,178621,9724.68,2026-04-23T22:00:32.140Z,bid-extra-60356650923,2026-04-23T23:55:14.039Z
6462141,178931,10360.28,2026-04-23T22:00:32.140Z,bid-extra-60356650933,2026-04-23T23:55:14.039Z
6462271,179241,10995.880000000001,2026-04-23T22:00:32.140Z,bid-extra-60356650943,2026-04-23T23:55:14.039Z
6462531,179861,12267.08,2026-04-23T22:00:32.141Z,bid-extra-60356650963,2026-04-23T23:55:14.039Z
6462661,180171,12902.68,2026-04-23T22:00:32.141Z,bid-extra-60356650973,2026-04-23T23:55:14.039Z
6462791,180481,8998.28,2026-04-23T22:00:32.141Z,bid-extra-60356650983,2026-04-23T23:55:14.039Z
6462921,180791,9633.880000000001,2026-04-23T22:00:32.141Z,bid-extra-60356650993,2026-04-23T23:55:14.039Z
6463181,181411,1915.88,2026-04-23T22:00:32.141Z,bid-extra-60356651013,2026-04-23T23:55:14.039Z
6463311,181721,2551.48,2026-04-23T22:00:32.141Z,bid-extra-60356651023,2026-04-23T23:55:14.039Z
6463441,182031,3187.08,2026-04-23T22:00:32.141Z,bid-extra-60356651033,2026-04-23T23:55:14.039Z
6463571,182341,3822.6800000000003,2026-04-23T22:00:32.141Z,bid-extra-60356651043,2026-04-23T23:55:14.039Z
6463831,182961,5093.88,2026-04-23T22:00:32.142Z,bid-extra-60356651063,2026-04-23T23:55:14.039Z
6463961,183271,5729.4800000000005,2026-04-23T22:00:32.142Z,bid-extra-60356651073,2026-04-23T23:55:14.039Z
6464091,183581,6365.08,2026-04-23T22:00:32.142Z,bid-extra-60356651083,2026-04-23T23:55:14.039Z
6464221,183891,7000.68,2026-04-23T22:00:32.142Z,bid-extra-60356651093,2026-04-23T23:55:14.039Z
6464481,184511,3731.88,2026-04-23T22:00:32.142Z,bid-extra-60356651113,2026-04-23T23:55:14.039Z
6464611,184821,4367.4800000000005,2026-04-23T22:00:32.142Z,bid-extra-60356651123,2026-04-23T23:55:14.039Z
6464741,185131,5003.08,2026-04-23T22:00:32.142Z,bid-extra-60356651133,2026-04-23T23:55:14.039Z
6464871,185441,5638.68,2026-04-23T22:00:32.142Z,bid-extra-60356651143,2026-04-23T23:55:14.039Z
6465131,186061,6909.88,2026-04-23T22:00:32.143Z,bid-extra-60356651163,2026-04-23T23:55:14.039Z
6465261,186371,7545.4800000000005,2026-04-23T22:00:32.143Z,bid-extra-60356651173,2026-04-23T23:55:14.039Z
6465391,186681,8181.08,2026-04-23T22:00:32.143Z,bid-extra-60356651183,2026-04-23T23:55:14.039Z
6465521,186991,8816.68,2026-04-23T22:00:32.143Z,bid-extra-60356651193,2026-04-23T23:55:14.039Z
6465781,187611,10087.880000000001,2026-04-23T22:00:32.143Z,bid-extra-60356651213,2026-04-23T23:55:14.039Z
6465911,187921,6183.4800000000005,2026-04-23T22:00:32.143Z,bid-extra-60356651223,2026-04-23T23:55:14.039Z
6466041,188231,6819.08,2026-04-23T22:00:32.143Z,bid-extra-60356651233,2026-04-23T23:55:14.039Z
6466171,188541,7454.68,2026-04-23T22:00:32.143Z,bid-extra-60356651243,2026-04-23T23:55:14.039Z
6466431,189161,8725.880000000001,2026-04-23T22:00:32.144Z,bid-extra-60356651263,2026-04-23T23:55:14.039Z
6466561,189471,9361.48,2026-04-23T22:00:32.144Z,bid-extra-60356651273,2026-04-23T23:55:14.039Z
6466691,189781,9997.08,2026-04-23T22:00:32.144Z,bid-extra-60356651283,2026-04-23T23:55:14.039Z
6466821,190091,10632.68,2026-04-23T22:00:32.144Z,bid-extra-60356651293,2026-04-23T23:55:14.039Z
6467081,190711,11903.880000000001,2026-04-23T22:00:32.144Z,bid-extra-60356651313,2026-04-23T23:55:14.039Z
6467211,191021,12539.48,2026-04-23T22:00:32.144Z,bid-extra-60356651323,2026-04-23T23:55:14.039Z
6467341,191331,13175.08,2026-04-23T22:00:32.144Z,bid-extra-60356651333,2026-04-23T23:55:14.039Z
6467471,191641,281.48,2026-04-23T22:00:32.144Z,bid-extra-60356651343,2026-04-23T23:55:14.039Z
6467731,192261,1552.68,2026-04-23T22:00:32.145Z,bid-extra-60356651363,2026-04-23T23:55:14.039Z
6467861,192571,2188.28,2026-04-23T22:00:32.145Z,bid-extra-60356651373,2026-04-23T23:55:14.039Z
6467991,192881,2823.88,2026-04-23T22:00:32.145Z,bid-extra-60356651383,2026-04-23T23:55:14.039Z
6468121,193191,3459.48,2026-04-23T22:00:32.145Z,bid-extra-60356651393,2026-04-23T23:55:14.039Z
6468381,193811,4730.68,2026-04-23T22:00:32.145Z,bid-extra-60356651413,2026-04-23T23:55:14.039Z
6468511,194121,5366.28,2026-04-23T22:00:32.145Z,bid-extra-60356651423,2026-04-23T23:55:14.039Z
6468641,194431,6001.88,2026-04-23T22:00:32.145Z,bid-extra-60356651433,2026-04-23T23:55:14.039Z
6468771,194741,6637.4800000000005,2026-04-23T22:00:32.145Z,bid-extra-60356651443,2026-04-23T23:55:14.039Z
6469031,195361,7908.68,2026-04-23T22:00:32.146Z,bid-extra-60356651463,2026-04-23T23:55:14.039Z
