auction,bidder,price,dateTime,extra,processed_time
8950181,650411,3731.88,2026-04-23T22:00:57.131Z,bid-extra-60359150013,2026-04-23T23:55:14.039Z
8950311,650721,4367.4800000000005,2026-04-23T22:00:57.131Z,bid-extra-60359150023,2026-04-23T23:55:14.039Z
8950441,651031,5003.08,2026-04-23T22:00:57.131Z,bid-extra-60359150033,2026-04-23T23:55:14.039Z
8950571,651341,5638.68,2026-04-23T22:00:57.131Z,bid-extra-60359150043,2026-04-23T23:55:14.039Z
8950831,651961,6909.88,2026-04-23T22:00:57.132Z,bid-extra-60359150063,2026-04-23T23:55:14.039Z
8950961,652271,7545.4800000000005,2026-04-23T22:00:57.132Z,bid-extra-60359150073,2026-04-23T23:55:14.039Z
8951091,652581,8181.08,2026-04-23T22:00:57.132Z,bid-extra-60359150083,2026-04-23T23:55:14.039Z
8951221,652891,8816.68,2026-04-23T22:00:57.132Z,bid-extra-60359150093,2026-04-23T23:55:14.039Z
8951481,653511,10087.880000000001,2026-04-23T22:00:57.132Z,bid-extra-60359150113,2026-04-23T23:55:14.039Z
8951611,653821,6183.4800000000005,2026-04-23T22:00:57.132Z,bid-extra-60359150123,2026-04-23T23:55:14.039Z
8951741,654131,6819.08,2026-04-23T22:00:57.132Z,bid-extra-60359150133,2026-04-23T23:55:14.039Z
8951871,654441,7454.68,2026-04-23T22:00:57.132Z,bid-extra-60359150143,2026-04-23T23:55:14.039Z
8952131,655061,8725.880000000001,2026-04-23T22:00:57.133Z,bid-extra-60359150163,2026-04-23T23:55:14.039Z
8952261,655371,9361.48,2026-04-23T22:00:57.133Z,bid-extra-60359150173,2026-04-23T23:55:14.039Z
8952391,655681,9997.08,2026-04-23T22:00:57.133Z,bid-extra-60359150183,2026-04-23T23:55:14.039Z
8952521,655991,10632.68,2026-04-23T22:00:57.133Z,bid-extra-60359150193,2026-04-23T23:55:14.039Z
8952781,656611,11903.880000000001,2026-04-23T22:00:57.133Z,bid-extra-60359150213,2026-04-23T23:55:14.039Z
8952911,656921,12539.48,2026-04-23T22:00:57.133Z,bid-extra-60359150223,2026-04-23T23:55:14.039Z
8953041,657231,13175.08,2026-04-23T22:00:57.133Z,bid-extra-60359150233,2026-04-23T23:55:14.039Z
8953171,657541,4821.4800000000005,2026-04-23T22:00:57.133Z,bid-extra-60359150243,2026-04-23T23:55:14.039Z
8953431,658161,1552.68,2026-04-23T22:00:57.134Z,bid-extra-60359150263,2026-04-23T23:55:14.039Z
8953561,658471,2188.28,2026-04-23T22:00:57.134Z,bid-extra-60359150273,2026-04-23T23:55:14.039Z
8953691,658781,2823.88,2026-04-23T22:00:57.134Z,bid-extra-60359150283,2026-04-23T23:55:14.039Z
8953821,659091,3459.48,2026-04-23T22:00:57.134Z,bid-extra-60359150293,2026-04-23T23:55:14.039Z
8954081,659711,4730.68,2026-04-23T22:00:57.134Z,bid-extra-60359150313,2026-04-23T23:55:14.039Z
8954211,660021,5366.28,2026-04-23T22:00:57.134Z,bid-extra-60359150323,2026-04-23T23:55:14.039Z
8954341,660331,6001.88,2026-04-23T22:00:57.134Z,bid-extra-60359150333,2026-04-23T23:55:14.039Z
8954471,660641,6637.4800000000005,2026-04-23T22:00:57.134Z,bid-extra-60359150343,2026-04-23T23:55:14.039Z
8954731,661261,7908.68,2026-04-23T22:00:57.135Z,bid-extra-60359150363,2026-04-23T23:55:14.039Z
8954861,661571,4004.28,2026-04-23T22:00:57.135Z,bid-extra-60359150373,2026-04-23T23:55:14.039Z
8954991,661881,4639.88,2026-04-23T22:00:57.135Z,bid-extra-60359150383,2026-04-23T23:55:14.039Z
8955121,662191,5275.4800000000005,2026-04-23T22:00:57.135Z,bid-extra-60359150393,2026-04-23T23:55:14.039Z
8955381,662811,6546.68,2026-04-23T22:00:57.135Z,bid-extra-60359150413,2026-04-23T23:55:14.039Z
8955511,663121,7182.280000000001,2026-04-23T22:00:57.135Z,bid-extra-60359150423,2026-04-23T23:55:14.039Z
