auction,bidder,price,dateTime,extra,processed_time
8950181,650411,3096.28,2026-04-23T22:02:37.131Z,bid-extra-60369150013,2026-04-23T23:55:14.039Z
8950311,650721,3731.88,2026-04-23T22:02:37.131Z,bid-extra-60369150023,2026-04-23T23:55:14.039Z
8950441,651031,4367.4800000000005,2026-04-23T22:02:37.131Z,bid-extra-60369150033,2026-04-23T23:55:14.039Z
8950571,651341,5003.08,2026-04-23T22:02:37.131Z,bid-extra-60369150043,2026-04-23T23:55:14.039Z
8950831,651961,6274.280000000001,2026-04-23T22:02:37.132Z,bid-extra-60369150063,2026-04-23T23:55:14.039Z
8950961,652271,6909.88,2026-04-23T22:02:37.132Z,bid-extra-60369150073,2026-04-23T23:55:14.039Z
8951091,652581,7545.4800000000005,2026-04-23T22:02:37.132Z,bid-extra-60369150083,2026-04-23T23:55:14.039Z
8951221,652891,8181.08,2026-04-23T22:02:37.132Z,bid-extra-60369150093,2026-04-23T23:55:14.039Z
8951481,653511,9452.28,2026-04-23T22:02:37.132Z,bid-extra-60369150113,2026-04-23T23:55:14.039Z
8951611,653821,5547.88,2026-04-23T22:02:37.132Z,bid-extra-60369150123,2026-04-23T23:55:14.039Z
8951741,654131,6183.4800000000005,2026-04-23T22:02:37.132Z,bid-extra-60369150133,2026-04-23T23:55:14.039Z
8951871,654441,6819.08,2026-04-23T22:02:37.132Z,bid-extra-60369150143,2026-04-23T23:55:14.039Z
8952131,655061,8090.280000000001,2026-04-23T22:02:37.133Z,bid-extra-60369150163,2026-04-23T23:55:14.039Z
8952261,655371,8725.880000000001,2026-04-23T22:02:37.133Z,bid-extra-60369150173,2026-04-23T23:55:14.039Z
8952391,655681,9361.48,2026-04-23T22:02:37.133Z,bid-extra-60369150183,2026-04-23T23:55:14.039Z
8952521,655991,9997.08,2026-04-23T22:02:37.133Z,bid-extra-60369150193,2026-04-23T23:55:14.039Z
8952781,656611,11268.28,2026-04-23T22:02:37.133Z,bid-extra-60369150213,2026-04-23T23:55:14.039Z
8952911,656921,11903.880000000001,2026-04-23T22:02:37.133Z,bid-extra-60369150223,2026-04-23T23:55:14.039Z
8953041,657231,12539.48,2026-04-23T22:02:37.133Z,bid-extra-60369150233,2026-04-23T23:55:14.039Z
8953171,657541,13175.08,2026-04-23T22:02:37.133Z,bid-extra-60369150243,2026-04-23T23:55:14.039Z
8953431,658161,917.08,2026-04-23T22:02:37.134Z,bid-extra-60369150263,2026-04-23T23:55:14.039Z
8953561,658471,1552.68,2026-04-23T22:02:37.134Z,bid-extra-60369150273,2026-04-23T23:55:14.039Z
8953691,658781,2188.28,2026-04-23T22:02:37.134Z,bid-extra-60369150283,2026-04-23T23:55:14.039Z
8953821,659091,2823.88,2026-04-23T22:02:37.134Z,bid-extra-60369150293,2026-04-23T23:55:14.039Z
8954081,659711,4095.08,2026-04-23T22:02:37.134Z,bid-extra-60369150313,2026-04-23T23:55:14.039Z
8954211,660021,4730.68,2026-04-23T22:02:37.134Z,bid-extra-60369150323,2026-04-23T23:55:14.039Z
8954341,660331,5366.28,2026-04-23T22:02:37.134Z,bid-extra-60369150333,2026-04-23T23:55:14.039Z
8954471,660641,6001.88,2026-04-23T22:02:37.134Z,bid-extra-60369150343,2026-04-23T23:55:14.039Z
