auction,bidder,price,dateTime,extra,processed_time
7700181,900411,1734.28,2026-04-23T22:03:14.631Z,bid-extra-60372900013,2026-04-23T23:55:14.039Z
7700311,900721,2369.88,2026-04-23T22:03:14.631Z,bid-extra-60372900023,2026-04-23T23:55:14.039Z
7700441,901031,3005.48,2026-04-23T22:03:14.631Z,bid-extra-60372900033,2026-04-23T23:55:14.039Z
7700571,901341,3641.08,2026-04-23T22:03:14.631Z,bid-extra-60372900043,2026-04-23T23:55:14.039Z
7700831,901961,4912.28,2026-04-23T22:03:14.632Z,bid-extra-60372900063,2026-04-23T23:55:14.039Z
7700961,902271,5547.88,2026-04-23T22:03:14.632Z,bid-extra-60372900073,2026-04-23T23:55:14.039Z
7701091,902581,6183.4800000000005,2026-04-23T22:03:14.632Z,bid-extra-60372900083,2026-04-23T23:55:14.039Z
7701221,902891,6819.08,2026-04-23T22:03:14.632Z,bid-extra-60372900093,2026-04-23T23:55:14.039Z
7701481,903511,8090.280000000001,2026-04-23T22:03:14.632Z,bid-extra-60372900113,2026-04-23T23:55:14.039Z
7701611,903821,4185.88,2026-04-23T22:03:14.632Z,bid-extra-60372900123,2026-04-23T23:55:14.039Z
7701741,904131,4821.4800000000005,2026-04-23T22:03:14.632Z,bid-extra-60372900133,2026-04-23T23:55:14.039Z
7701871,904441,5457.08,2026-04-23T22:03:14.632Z,bid-extra-60372900143,2026-04-23T23:55:14.039Z
7702131,905061,6728.280000000001,2026-04-23T22:03:14.633Z,bid-extra-60372900163,2026-04-23T23:55:14.039Z
7702261,905371,7363.88,2026-04-23T22:03:14.633Z,bid-extra-60372900173,2026-04-23T23:55:14.039Z
7702391,905681,7999.4800000000005,2026-04-23T22:03:14.633Z,bid-extra-60372900183,2026-04-23T23:55:14.039Z
7702521,905991,8635.08,2026-04-23T22:03:14.633Z,bid-extra-60372900193,2026-04-23T23:55:14.039Z
7702781,906611,9906.28,2026-04-23T22:03:14.633Z,bid-extra-60372900213,2026-04-23T23:55:14.039Z
7702911,906921,10541.880000000001,2026-04-23T22:03:14.633Z,bid-extra-60372900223,2026-04-23T23:55:14.039Z
7703041,907231,11177.48,2026-04-23T22:03:14.633Z,bid-extra-60372900233,2026-04-23T23:55:14.039Z
7703171,907541,11813.08,2026-04-23T22:03:14.633Z,bid-extra-60372900243,2026-04-23T23:55:14.039Z
7703431,908161,8544.28,2026-04-23T22:03:14.634Z,bid-extra-60372900263,2026-04-23T23:55:14.039Z
7703561,908471,9179.880000000001,2026-04-23T22:03:14.634Z,bid-extra-60372900273,2026-04-23T23:55:14.039Z
7703691,908781,9815.48,2026-04-23T22:03:14.634Z,bid-extra-60372900283,2026-04-23T23:55:14.039Z
7703821,909091,10451.08,2026-04-23T22:03:14.634Z,bid-extra-60372900293,2026-04-23T23:55:14.039Z
7704081,909711,2733.08,2026-04-23T22:03:14.634Z,bid-extra-60372900313,2026-04-23T23:55:14.039Z
7704211,910021,3368.6800000000003,2026-04-23T22:03:14.634Z,bid-extra-60372900323,2026-04-23T23:55:14.039Z
7704341,910331,4004.28,2026-04-23T22:03:14.634Z,bid-extra-60372900333,2026-04-23T23:55:14.039Z
7704471,910641,4639.88,2026-04-23T22:03:14.634Z,bid-extra-60372900343,2026-04-23T23:55:14.039Z
7704731,911261,5911.08,2026-04-23T22:03:14.635Z,bid-extra-60372900363,2026-04-23T23:55:14.039Z
7704861,911571,2006.68,2026-04-23T22:03:14.635Z,bid-extra-60372900373,2026-04-23T23:55:14.039Z
7704991,911881,2642.28,2026-04-23T22:03:14.635Z,bid-extra-60372900383,2026-04-23T23:55:14.039Z
7705121,912191,3277.88,2026-04-23T22:03:14.635Z,bid-extra-60372900393,2026-04-23T23:55:14.039Z
7705381,912811,4549.08,2026-04-23T22:03:14.635Z,bid-extra-60372900413,2026-04-23T23:55:14.039Z
7705511,913121,5184.68,2026-04-23T22:03:14.635Z,bid-extra-60372900423,2026-04-23T23:55:14.039Z
7705641,913431,5820.28,2026-04-23T22:03:14.635Z,bid-extra-60372900433,2026-04-23T23:55:14.039Z
7705771,913741,6455.88,2026-04-23T22:03:14.635Z,bid-extra-60372900443,2026-04-23T23:55:14.039Z
7706031,914361,7727.08,2026-04-23T22:03:14.636Z,bid-extra-60372900463,2026-04-23T23:55:14.039Z
7706161,914671,8362.68,2026-04-23T22:03:14.636Z,bid-extra-60372900473,2026-04-23T23:55:14.039Z
7706291,914981,8998.28,2026-04-23T22:03:14.636Z,bid-extra-60372900483,2026-04-23T23:55:14.039Z
7706421,915291,5093.88,2026-04-23T22:03:14.636Z,bid-extra-60372900493,2026-04-23T23:55:14.039Z
7706681,915911,6365.08,2026-04-23T22:03:14.636Z,bid-extra-60372900513,2026-04-23T23:55:14.039Z
7706811,916221,7000.68,2026-04-23T22:03:14.636Z,bid-extra-60372900523,2026-04-23T23:55:14.039Z
7706941,916531,7636.280000000001,2026-04-23T22:03:14.636Z,bid-extra-60372900533,2026-04-23T23:55:14.039Z
7707071,916841,8271.880000000001,2026-04-23T22:03:14.636Z,bid-extra-60372900543,2026-04-23T23:55:14.039Z
7707331,917461,9543.08,2026-04-23T22:03:14.637Z,bid-extra-60372900563,2026-04-23T23:55:14.039Z
7707461,917771,10178.68,2026-04-23T22:03:14.637Z,bid-extra-60372900573,2026-04-23T23:55:14.039Z
7707591,918081,10814.28,2026-04-23T22:03:14.637Z,bid-extra-60372900583,2026-04-23T23:55:14.039Z
7707721,918391,11449.880000000001,2026-04-23T22:03:14.637Z,bid-extra-60372900593,2026-04-23T23:55:14.039Z
7707981,919011,8181.08,2026-04-23T22:03:14.637Z,bid-extra-60372900613,2026-04-23T23:55:14.039Z
7708111,919321,8816.68,2026-04-23T22:03:14.637Z,bid-extra-60372900623,2026-04-23T23:55:14.039Z
7708241,919631,9452.28,2026-04-23T22:03:14.637Z,bid-extra-60372900633,2026-04-23T23:55:14.039Z
7708371,919941,10087.880000000001,2026-04-23T22:03:14.637Z,bid-extra-60372900643,2026-04-23T23:55:14.039Z
7708631,920561,2369.88,2026-04-23T22:03:14.638Z,bid-extra-60372900663,2026-04-23T23:55:14.039Z
7708761,920871,3005.48,2026-04-23T22:03:14.638Z,bid-extra-60372900673,2026-04-23T23:55:14.039Z
7708891,921181,3641.08,2026-04-23T22:03:14.638Z,bid-extra-60372900683,2026-04-23T23:55:14.039Z
7709021,921491,4276.68,2026-04-23T22:03:14.638Z,bid-extra-60372900693,2026-04-23T23:55:14.039Z
7709281,922111,5547.88,2026-04-23T22:03:14.638Z,bid-extra-60372900713,2026-04-23T23:55:14.039Z
7709411,922421,6183.4800000000005,2026-04-23T22:03:14.638Z,bid-extra-60372900723,2026-04-23T23:55:14.039Z
7709541,922731,2279.08,2026-04-23T22:03:14.638Z,bid-extra-60372900733,2026-04-23T23:55:14.039Z
7709671,923041,2914.6800000000003,2026-04-23T22:03:14.638Z,bid-extra-60372900743,2026-04-23T23:55:14.039Z
7709931,923661,4185.88,2026-04-23T22:03:14.639Z,bid-extra-60372900763,2026-04-23T23:55:14.039Z
7710061,923971,4821.4800000000005,2026-04-23T22:03:14.639Z,bid-extra-60372900773,2026-04-23T23:55:14.039Z
7710191,924281,5457.08,2026-04-23T22:03:14.639Z,bid-extra-60372900783,2026-04-23T23:55:14.039Z
7710321,924591,6092.68,2026-04-23T22:03:14.639Z,bid-extra-60372900793,2026-04-23T23:55:14.039Z
7710581,925211,7363.88,2026-04-23T22:03:14.639Z,bid-extra-60372900813,2026-04-23T23:55:14.039Z
7710711,925521,7999.4800000000005,2026-04-23T22:03:14.639Z,bid-extra-60372900823,2026-04-23T23:55:14.039Z
7710841,925831,8635.08,2026-04-23T22:03:14.639Z,bid-extra-60372900833,2026-04-23T23:55:14.039Z
7710971,926141,9270.68,2026-04-23T22:03:14.639Z,bid-extra-60372900843,2026-04-23T23:55:14.039Z
7711231,926761,6001.88,2026-04-23T22:03:14.640Z,bid-extra-60372900863,2026-04-23T23:55:14.039Z
7711361,927071,6637.4800000000005,2026-04-23T22:03:14.640Z,bid-extra-60372900873,2026-04-23T23:55:14.039Z
7711491,927381,7273.08,2026-04-23T22:03:14.640Z,bid-extra-60372900883,2026-04-23T23:55:14.039Z
7711621,927691,7908.68,2026-04-23T22:03:14.640Z,bid-extra-60372900893,2026-04-23T23:55:14.039Z
7711881,928311,9179.880000000001,2026-04-23T22:03:14.640Z,bid-extra-60372900913,2026-04-23T23:55:14.039Z
7712011,928621,9815.48,2026-04-23T22:03:14.640Z,bid-extra-60372900923,2026-04-23T23:55:14.039Z
7712141,928931,10451.08,2026-04-23T22:03:14.640Z,bid-extra-60372900933,2026-04-23T23:55:14.039Z
7712271,929241,11086.68,2026-04-23T22:03:14.640Z,bid-extra-60372900943,2026-04-23T23:55:14.039Z
7712531,929861,12357.880000000001,2026-04-23T22:03:14.641Z,bid-extra-60372900963,2026-04-23T23:55:14.039Z
7712661,930171,12993.48,2026-04-23T22:03:14.641Z,bid-extra-60372900973,2026-04-23T23:55:14.039Z
7712791,930481,9089.08,2026-04-23T22:03:14.641Z,bid-extra-60372900983,2026-04-23T23:55:14.039Z
7712921,930791,9724.68,2026-04-23T22:03:14.641Z,bid-extra-60372900993,2026-04-23T23:55:14.039Z
7713181,931411,2006.68,2026-04-23T22:03:14.641Z,bid-extra-60372901013,2026-04-23T23:55:14.039Z
7713311,931721,2642.28,2026-04-23T22:03:14.641Z,bid-extra-60372901023,2026-04-23T23:55:14.039Z
7713441,932031,3277.88,2026-04-23T22:03:14.641Z,bid-extra-60372901033,2026-04-23T23:55:14.039Z
7713571,932341,3913.48,2026-04-23T22:03:14.641Z,bid-extra-60372901043,2026-04-23T23:55:14.039Z
7713831,932961,5184.68,2026-04-23T22:03:14.642Z,bid-extra-60372901063,2026-04-23T23:55:14.039Z
7713961,933271,5820.28,2026-04-23T22:03:14.642Z,bid-extra-60372901073,2026-04-23T23:55:14.039Z
7714091,933581,6455.88,2026-04-23T22:03:14.642Z,bid-extra-60372901083,2026-04-23T23:55:14.039Z
7714221,933891,7091.4800000000005,2026-04-23T22:03:14.642Z,bid-extra-60372901093,2026-04-23T23:55:14.039Z
7714481,934511,3822.6800000000003,2026-04-23T22:03:14.642Z,bid-extra-60372901113,2026-04-23T23:55:14.039Z
7714611,934821,4458.28,2026-04-23T22:03:14.642Z,bid-extra-60372901123,2026-04-23T23:55:14.039Z
7714741,935131,5093.88,2026-04-23T22:03:14.642Z,bid-extra-60372901133,2026-04-23T23:55:14.039Z
7714871,935441,5729.4800000000005,2026-04-23T22:03:14.642Z,bid-extra-60372901143,2026-04-23T23:55:14.039Z
7715131,936061,7000.68,2026-04-23T22:03:14.643Z,bid-extra-60372901163,2026-04-23T23:55:14.039Z
7715261,936371,7636.280000000001,2026-04-23T22:03:14.643Z,bid-extra-60372901173,2026-04-23T23:55:14.039Z
7715391,936681,8271.880000000001,2026-04-23T22:03:14.643Z,bid-extra-60372901183,2026-04-23T23:55:14.039Z
7715521,936991,8907.48,2026-04-23T22:03:14.643Z,bid-extra-60372901193,2026-04-23T23:55:14.039Z
7715781,937611,10178.68,2026-04-23T22:03:14.643Z,bid-extra-60372901213,2026-04-23T23:55:14.039Z
7715911,937921,6274.280000000001,2026-04-23T22:03:14.643Z,bid-extra-60372901223,2026-04-23T23:55:14.039Z
7716041,938231,6909.88,2026-04-23T22:03:14.643Z,bid-extra-60372901233,2026-04-23T23:55:14.039Z
7716171,938541,7545.4800000000005,2026-04-23T22:03:14.643Z,bid-extra-60372901243,2026-04-23T23:55:14.039Z
7716431,939161,8816.68,2026-04-23T22:03:14.644Z,bid-extra-60372901263,2026-04-23T23:55:14.039Z
7716561,939471,9452.28,2026-04-23T22:03:14.644Z,bid-extra-60372901273,2026-04-23T23:55:14.039Z
7716691,939781,10087.880000000001,2026-04-23T22:03:14.644Z,bid-extra-60372901283,2026-04-23T23:55:14.039Z
7716821,940091,10723.48,2026-04-23T22:03:14.644Z,bid-extra-60372901293,2026-04-23T23:55:14.039Z
7717081,940711,11994.68,2026-04-23T22:03:14.644Z,bid-extra-60372901313,2026-04-23T23:55:14.039Z
7717211,941021,12630.28,2026-04-23T22:03:14.644Z,bid-extra-60372901323,2026-04-23T23:55:14.039Z
7717341,941331,13265.880000000001,2026-04-23T22:03:14.644Z,bid-extra-60372901333,2026-04-23T23:55:14.039Z
