auction,bidder,price,dateTime,extra,processed_time
7700181,900411,2369.88,2026-04-23T22:01:34.631Z,bid-extra-60362900013,2026-04-23T23:55:14.039Z
7700311,900721,3005.48,2026-04-23T22:01:34.631Z,bid-extra-60362900023,2026-04-23T23:55:14.039Z
7700441,901031,3641.08,2026-04-23T22:01:34.631Z,bid-extra-60362900033,2026-04-23T23:55:14.039Z
7700571,901341,4276.68,2026-04-23T22:01:34.631Z,bid-extra-60362900043,2026-04-23T23:55:14.039Z
7700831,901961,5547.88,2026-04-23T22:01:34.632Z,bid-extra-60362900063,2026-04-23T23:55:14.039Z
7700961,902271,6183.4800000000005,2026-04-23T22:01:34.632Z,bid-extra-60362900073,2026-04-23T23:55:14.039Z
7701091,902581,6819.08,2026-04-23T22:01:34.632Z,bid-extra-60362900083,2026-04-23T23:55:14.039Z
7701221,902891,7454.68,2026-04-23T22:01:34.632Z,bid-extra-60362900093,2026-04-23T23:55:14.039Z
7701481,903511,8725.880000000001,2026-04-23T22:01:34.632Z,bid-extra-60362900113,2026-04-23T23:55:14.039Z
7701611,903821,4821.4800000000005,2026-04-23T22:01:34.632Z,bid-extra-60362900123,2026-04-23T23:55:14.039Z
7701741,904131,5457.08,2026-04-23T22:01:34.632Z,bid-extra-60362900133,2026-04-23T23:55:14.039Z
7701871,904441,6092.68,2026-04-23T22:01:34.632Z,bid-extra-60362900143,2026-04-23T23:55:14.039Z
7702131,905061,7363.88,2026-04-23T22:01:34.633Z,bid-extra-60362900163,2026-04-23T23:55:14.039Z
7702261,905371,7999.4800000000005,2026-04-23T22:01:34.633Z,bid-extra-60362900173,2026-04-23T23:55:14.039Z
7702391,905681,8635.08,2026-04-23T22:01:34.633Z,bid-extra-60362900183,2026-04-23T23:55:14.039Z
7702521,905991,9270.68,2026-04-23T22:01:34.633Z,bid-extra-60362900193,2026-04-23T23:55:14.039Z
7702781,906611,10541.880000000001,2026-04-23T22:01:34.633Z,bid-extra-60362900213,2026-04-23T23:55:14.039Z
7702911,906921,11177.48,2026-04-23T22:01:34.633Z,bid-extra-60362900223,2026-04-23T23:55:14.039Z
7703041,907231,11813.08,2026-04-23T22:01:34.633Z,bid-extra-60362900233,2026-04-23T23:55:14.039Z
7703171,907541,12448.68,2026-04-23T22:01:34.633Z,bid-extra-60362900243,2026-04-23T23:55:14.039Z
7703431,908161,9179.880000000001,2026-04-23T22:01:34.634Z,bid-extra-60362900263,2026-04-23T23:55:14.039Z
7703561,908471,9815.48,2026-04-23T22:01:34.634Z,bid-extra-60362900273,2026-04-23T23:55:14.039Z
7703691,908781,10451.08,2026-04-23T22:01:34.634Z,bid-extra-60362900283,2026-04-23T23:55:14.039Z
7703821,909091,2097.48,2026-04-23T22:01:34.634Z,bid-extra-60362900293,2026-04-23T23:55:14.039Z
7704081,909711,3368.6800000000003,2026-04-23T22:01:34.634Z,bid-extra-60362900313,2026-04-23T23:55:14.039Z
7704211,910021,4004.28,2026-04-23T22:01:34.634Z,bid-extra-60362900323,2026-04-23T23:55:14.039Z
7704341,910331,4639.88,2026-04-23T22:01:34.634Z,bid-extra-60362900333,2026-04-23T23:55:14.039Z
7704471,910641,5275.4800000000005,2026-04-23T22:01:34.634Z,bid-extra-60362900343,2026-04-23T23:55:14.039Z
7704731,911261,6546.68,2026-04-23T22:01:34.635Z,bid-extra-60362900363,2026-04-23T23:55:14.039Z
7704861,911571,2642.28,2026-04-23T22:01:34.635Z,bid-extra-60362900373,2026-04-23T23:55:14.039Z
7704991,911881,3277.88,2026-04-23T22:01:34.635Z,bid-extra-60362900383,2026-04-23T23:55:14.039Z
7705121,912191,3913.48,2026-04-23T22:01:34.635Z,bid-extra-60362900393,2026-04-23T23:55:14.039Z
7705381,912811,5184.68,2026-04-23T22:01:34.635Z,bid-extra-60362900413,2026-04-23T23:55:14.039Z
7705511,913121,5820.28,2026-04-23T22:01:34.635Z,bid-extra-60362900423,2026-04-23T23:55:14.039Z
7705641,913431,6455.88,2026-04-23T22:01:34.635Z,bid-extra-60362900433,2026-04-23T23:55:14.039Z
7705771,913741,7091.4800000000005,2026-04-23T22:01:34.635Z,bid-extra-60362900443,2026-04-23T23:55:14.039Z
7706031,914361,8362.68,2026-04-23T22:01:34.636Z,bid-extra-60362900463,2026-04-23T23:55:14.039Z
7706161,914671,8998.28,2026-04-23T22:01:34.636Z,bid-extra-60362900473,2026-04-23T23:55:14.039Z
7706291,914981,9633.880000000001,2026-04-23T22:01:34.636Z,bid-extra-60362900483,2026-04-23T23:55:14.039Z
7706421,915291,5729.4800000000005,2026-04-23T22:01:34.636Z,bid-extra-60362900493,2026-04-23T23:55:14.039Z
7706681,915911,7000.68,2026-04-23T22:01:34.636Z,bid-extra-60362900513,2026-04-23T23:55:14.039Z
7706811,916221,7636.280000000001,2026-04-23T22:01:34.636Z,bid-extra-60362900523,2026-04-23T23:55:14.039Z
7706941,916531,8271.880000000001,2026-04-23T22:01:34.636Z,bid-extra-60362900533,2026-04-23T23:55:14.039Z
7707071,916841,8907.48,2026-04-23T22:01:34.636Z,bid-extra-60362900543,2026-04-23T23:55:14.039Z
7707331,917461,10178.68,2026-04-23T22:01:34.637Z,bid-extra-60362900563,2026-04-23T23:55:14.039Z
7707461,917771,10814.28,2026-04-23T22:01:34.637Z,bid-extra-60362900573,2026-04-23T23:55:14.039Z
7707591,918081,11449.880000000001,2026-04-23T22:01:34.637Z,bid-extra-60362900583,2026-04-23T23:55:14.039Z
7707721,918391,12085.48,2026-04-23T22:01:34.637Z,bid-extra-60362900593,2026-04-23T23:55:14.039Z
7707981,919011,8816.68,2026-04-23T22:01:34.637Z,bid-extra-60362900613,2026-04-23T23:55:14.039Z
7708111,919321,9452.28,2026-04-23T22:01:34.637Z,bid-extra-60362900623,2026-04-23T23:55:14.039Z
7708241,919631,1098.68,2026-04-23T22:01:34.637Z,bid-extra-60362900633,2026-04-23T23:55:14.039Z
7708371,919941,1734.28,2026-04-23T22:01:34.637Z,bid-extra-60362900643,2026-04-23T23:55:14.039Z
7708631,920561,3005.48,2026-04-23T22:01:34.638Z,bid-extra-60362900663,2026-04-23T23:55:14.039Z
7708761,920871,3641.08,2026-04-23T22:01:34.638Z,bid-extra-60362900673,2026-04-23T23:55:14.039Z
7708891,921181,4276.68,2026-04-23T22:01:34.638Z,bid-extra-60362900683,2026-04-23T23:55:14.039Z
7709021,921491,4912.28,2026-04-23T22:01:34.638Z,bid-extra-60362900693,2026-04-23T23:55:14.039Z
7709281,922111,6183.4800000000005,2026-04-23T22:01:34.638Z,bid-extra-60362900713,2026-04-23T23:55:14.039Z
7709411,922421,6819.08,2026-04-23T22:01:34.638Z,bid-extra-60362900723,2026-04-23T23:55:14.039Z
7709541,922731,2914.6800000000003,2026-04-23T22:01:34.638Z,bid-extra-60362900733,2026-04-23T23:55:14.039Z
7709671,923041,3550.28,2026-04-23T22:01:34.638Z,bid-extra-60362900743,2026-04-23T23:55:14.039Z
7709931,923661,4821.4800000000005,2026-04-23T22:01:34.639Z,bid-extra-60362900763,2026-04-23T23:55:14.039Z
7710061,923971,5457.08,2026-04-23T22:01:34.639Z,bid-extra-60362900773,2026-04-23T23:55:14.039Z
7710191,924281,6092.68,2026-04-23T22:01:34.639Z,bid-extra-60362900783,2026-04-23T23:55:14.039Z
7710321,924591,6728.280000000001,2026-04-23T22:01:34.639Z,bid-extra-60362900793,2026-04-23T23:55:14.039Z
7710581,925211,7999.4800000000005,2026-04-23T22:01:34.639Z,bid-extra-60362900813,2026-04-23T23:55:14.039Z
7710711,925521,8635.08,2026-04-23T22:01:34.639Z,bid-extra-60362900823,2026-04-23T23:55:14.039Z
7710841,925831,9270.68,2026-04-23T22:01:34.639Z,bid-extra-60362900833,2026-04-23T23:55:14.039Z
7710971,926141,9906.28,2026-04-23T22:01:34.639Z,bid-extra-60362900843,2026-04-23T23:55:14.039Z
7711231,926761,6637.4800000000005,2026-04-23T22:01:34.640Z,bid-extra-60362900863,2026-04-23T23:55:14.039Z
7711361,927071,7273.08,2026-04-23T22:01:34.640Z,bid-extra-60362900873,2026-04-23T23:55:14.039Z
7711491,927381,7908.68,2026-04-23T22:01:34.640Z,bid-extra-60362900883,2026-04-23T23:55:14.039Z
7711621,927691,8544.28,2026-04-23T22:01:34.640Z,bid-extra-60362900893,2026-04-23T23:55:14.039Z
7711881,928311,9815.48,2026-04-23T22:01:34.640Z,bid-extra-60362900913,2026-04-23T23:55:14.039Z
7712011,928621,10451.08,2026-04-23T22:01:34.640Z,bid-extra-60362900923,2026-04-23T23:55:14.039Z
7712141,928931,11086.68,2026-04-23T22:01:34.640Z,bid-extra-60362900933,2026-04-23T23:55:14.039Z
7712271,929241,11722.28,2026-04-23T22:01:34.640Z,bid-extra-60362900943,2026-04-23T23:55:14.039Z
7712531,929861,12993.48,2026-04-23T22:01:34.641Z,bid-extra-60362900963,2026-04-23T23:55:14.039Z
7712661,930171,4639.88,2026-04-23T22:01:34.641Z,bid-extra-60362900973,2026-04-23T23:55:14.039Z
7712791,930481,735.48,2026-04-23T22:01:34.641Z,bid-extra-60362900983,2026-04-23T23:55:14.039Z
7712921,930791,1371.0800000000002,2026-04-23T22:01:34.641Z,bid-extra-60362900993,2026-04-23T23:55:14.039Z
7713181,931411,2642.28,2026-04-23T22:01:34.641Z,bid-extra-60362901013,2026-04-23T23:55:14.039Z
7713311,931721,3277.88,2026-04-23T22:01:34.641Z,bid-extra-60362901023,2026-04-23T23:55:14.039Z
