auction,bidder,price,dateTime,extra,processed_time
200181,400411,5729.4800000000005,2026-04-23T21:58:39.631Z,bid-extra-60345400013,2026-04-23T23:55:14.039Z
200311,400721,6365.08,2026-04-23T21:58:39.631Z,bid-extra-60345400023,2026-04-23T23:55:14.039Z
200441,401031,7000.68,2026-04-23T21:58:39.631Z,bid-extra-60345400033,2026-04-23T23:55:14.039Z
200571,401341,7636.280000000001,2026-04-23T21:58:39.631Z,bid-extra-60345400043,2026-04-23T23:55:14.039Z
200831,401961,8907.48,2026-04-23T21:58:39.632Z,bid-extra-60345400063,2026-04-23T23:55:14.039Z
200961,402271,9543.08,2026-04-23T21:58:39.632Z,bid-extra-60345400073,2026-04-23T23:55:14.039Z
201091,402581,10178.68,2026-04-23T21:58:39.632Z,bid-extra-60345400083,2026-04-23T23:55:14.039Z
201221,402891,10814.28,2026-04-23T21:58:39.632Z,bid-extra-60345400093,2026-04-23T23:55:14.039Z
201481,403511,12085.48,2026-04-23T21:58:39.632Z,bid-extra-60345400113,2026-04-23T23:55:14.039Z
201611,403821,8181.08,2026-04-23T21:58:39.632Z,bid-extra-60345400123,2026-04-23T23:55:14.039Z
201741,404131,8816.68,2026-04-23T21:58:39.632Z,bid-extra-60345400133,2026-04-23T23:55:14.039Z
201871,404441,9452.28,2026-04-23T21:58:39.632Z,bid-extra-60345400143,2026-04-23T23:55:14.039Z
202131,405061,1734.28,2026-04-23T21:58:39.633Z,bid-extra-60345400163,2026-04-23T23:55:14.039Z
202261,405371,2369.88,2026-04-23T21:58:39.633Z,bid-extra-60345400173,2026-04-23T23:55:14.039Z
202391,405681,3005.48,2026-04-23T21:58:39.633Z,bid-extra-60345400183,2026-04-23T23:55:14.039Z
202521,405991,3641.08,2026-04-23T21:58:39.633Z,bid-extra-60345400193,2026-04-23T23:55:14.039Z
202781,406611,4912.28,2026-04-23T21:58:39.633Z,bid-extra-60345400213,2026-04-23T23:55:14.039Z
202911,406921,5547.88,2026-04-23T21:58:39.633Z,bid-extra-60345400223,2026-04-23T23:55:14.039Z
203041,407231,6183.4800000000005,2026-04-23T21:58:39.633Z,bid-extra-60345400233,2026-04-23T23:55:14.039Z
203171,407541,6819.08,2026-04-23T21:58:39.633Z,bid-extra-60345400243,2026-04-23T23:55:14.039Z
203431,408161,3550.28,2026-04-23T21:58:39.634Z,bid-extra-60345400263,2026-04-23T23:55:14.039Z
203561,408471,4185.88,2026-04-23T21:58:39.634Z,bid-extra-60345400273,2026-04-23T23:55:14.039Z
203691,408781,4821.4800000000005,2026-04-23T21:58:39.634Z,bid-extra-60345400283,2026-04-23T23:55:14.039Z
203821,409091,5457.08,2026-04-23T21:58:39.634Z,bid-extra-60345400293,2026-04-23T23:55:14.039Z
204081,409711,6728.280000000001,2026-04-23T21:58:39.634Z,bid-extra-60345400313,2026-04-23T23:55:14.039Z
204211,410021,7363.88,2026-04-23T21:58:39.634Z,bid-extra-60345400323,2026-04-23T23:55:14.039Z
204341,410331,7999.4800000000005,2026-04-23T21:58:39.634Z,bid-extra-60345400333,2026-04-23T23:55:14.039Z
204471,410641,8635.08,2026-04-23T21:58:39.634Z,bid-extra-60345400343,2026-04-23T23:55:14.039Z
204731,411261,9906.28,2026-04-23T21:58:39.635Z,bid-extra-60345400363,2026-04-23T23:55:14.039Z
204861,411571,6001.88,2026-04-23T21:58:39.635Z,bid-extra-60345400373,2026-04-23T23:55:14.039Z
204991,411881,6637.4800000000005,2026-04-23T21:58:39.635Z,bid-extra-60345400383,2026-04-23T23:55:14.039Z
205121,412191,7273.08,2026-04-23T21:58:39.635Z,bid-extra-60345400393,2026-04-23T23:55:14.039Z
205381,412811,8544.28,2026-04-23T21:58:39.635Z,bid-extra-60345400413,2026-04-23T23:55:14.039Z
205511,413121,9179.880000000001,2026-04-23T21:58:39.635Z,bid-extra-60345400423,2026-04-23T23:55:14.039Z
205641,413431,9815.48,2026-04-23T21:58:39.635Z,bid-extra-60345400433,2026-04-23T23:55:14.039Z
205771,413741,10451.08,2026-04-23T21:58:39.635Z,bid-extra-60345400443,2026-04-23T23:55:14.039Z
206031,414361,11722.28,2026-04-23T21:58:39.636Z,bid-extra-60345400463,2026-04-23T23:55:14.039Z
206161,414671,12357.880000000001,2026-04-23T21:58:39.636Z,bid-extra-60345400473,2026-04-23T23:55:14.039Z
206291,414981,12993.48,2026-04-23T21:58:39.636Z,bid-extra-60345400483,2026-04-23T23:55:14.039Z
206421,415291,9089.08,2026-04-23T21:58:39.636Z,bid-extra-60345400493,2026-04-23T23:55:14.039Z
206681,415911,1371.0800000000002,2026-04-23T21:58:39.636Z,bid-extra-60345400513,2026-04-23T23:55:14.039Z
206811,416221,2006.68,2026-04-23T21:58:39.636Z,bid-extra-60345400523,2026-04-23T23:55:14.039Z
206941,416531,2642.28,2026-04-23T21:58:39.636Z,bid-extra-60345400533,2026-04-23T23:55:14.039Z
207071,416841,3277.88,2026-04-23T21:58:39.636Z,bid-extra-60345400543,2026-04-23T23:55:14.039Z
207331,417461,4549.08,2026-04-23T21:58:39.637Z,bid-extra-60345400563,2026-04-23T23:55:14.039Z
207461,417771,5184.68,2026-04-23T21:58:39.637Z,bid-extra-60345400573,2026-04-23T23:55:14.039Z
207591,418081,5820.28,2026-04-23T21:58:39.637Z,bid-extra-60345400583,2026-04-23T23:55:14.039Z
207721,418391,6455.88,2026-04-23T21:58:39.637Z,bid-extra-60345400593,2026-04-23T23:55:14.039Z
207981,419011,3187.08,2026-04-23T21:58:39.637Z,bid-extra-60345400613,2026-04-23T23:55:14.039Z
208111,419321,3822.6800000000003,2026-04-23T21:58:39.637Z,bid-extra-60345400623,2026-04-23T23:55:14.039Z
208241,419631,4458.28,2026-04-23T21:58:39.637Z,bid-extra-60345400633,2026-04-23T23:55:14.039Z
208371,419941,5093.88,2026-04-23T21:58:39.637Z,bid-extra-60345400643,2026-04-23T23:55:14.039Z
208631,420561,6365.08,2026-04-23T21:58:39.638Z,bid-extra-60345400663,2026-04-23T23:55:14.039Z
208761,420871,7000.68,2026-04-23T21:58:39.638Z,bid-extra-60345400673,2026-04-23T23:55:14.039Z
208891,421181,7636.280000000001,2026-04-23T21:58:39.638Z,bid-extra-60345400683,2026-04-23T23:55:14.039Z
209021,421491,8271.880000000001,2026-04-23T21:58:39.638Z,bid-extra-60345400693,2026-04-23T23:55:14.039Z
209281,422111,9543.08,2026-04-23T21:58:39.638Z,bid-extra-60345400713,2026-04-23T23:55:14.039Z
209411,422421,10178.68,2026-04-23T21:58:39.638Z,bid-extra-60345400723,2026-04-23T23:55:14.039Z
209541,422731,6274.280000000001,2026-04-23T21:58:39.638Z,bid-extra-60345400733,2026-04-23T23:55:14.039Z
209671,423041,6909.88,2026-04-23T21:58:39.638Z,bid-extra-60345400743,2026-04-23T23:55:14.039Z
209931,423661,8181.08,2026-04-23T21:58:39.639Z,bid-extra-60345400763,2026-04-23T23:55:14.039Z
210061,423971,8816.68,2026-04-23T21:58:39.639Z,bid-extra-60345400773,2026-04-23T23:55:14.039Z
210191,424281,9452.28,2026-04-23T21:58:39.639Z,bid-extra-60345400783,2026-04-23T23:55:14.039Z
210321,424591,10087.880000000001,2026-04-23T21:58:39.639Z,bid-extra-60345400793,2026-04-23T23:55:14.039Z
210581,425211,11359.08,2026-04-23T21:58:39.639Z,bid-extra-60345400813,2026-04-23T23:55:14.039Z
210711,425521,11994.68,2026-04-23T21:58:39.639Z,bid-extra-60345400823,2026-04-23T23:55:14.039Z
210841,425831,12630.28,2026-04-23T21:58:39.639Z,bid-extra-60345400833,2026-04-23T23:55:14.039Z
210971,426141,4276.68,2026-04-23T21:58:39.639Z,bid-extra-60345400843,2026-04-23T23:55:14.039Z
211231,426761,1007.88,2026-04-23T21:58:39.640Z,bid-extra-60345400863,2026-04-23T23:55:14.039Z
211361,427071,1643.48,2026-04-23T21:58:39.640Z,bid-extra-60345400873,2026-04-23T23:55:14.039Z
211491,427381,2279.08,2026-04-23T21:58:39.640Z,bid-extra-60345400883,2026-04-23T23:55:14.039Z
211621,427691,2914.6800000000003,2026-04-23T21:58:39.640Z,bid-extra-60345400893,2026-04-23T23:55:14.039Z
211881,428311,4185.88,2026-04-23T21:58:39.640Z,bid-extra-60345400913,2026-04-23T23:55:14.039Z
212011,428621,4821.4800000000005,2026-04-23T21:58:39.640Z,bid-extra-60345400923,2026-04-23T23:55:14.039Z
212141,428931,5457.08,2026-04-23T21:58:39.640Z,bid-extra-60345400933,2026-04-23T23:55:14.039Z
212271,429241,6092.68,2026-04-23T21:58:39.640Z,bid-extra-60345400943,2026-04-23T23:55:14.039Z
212531,429861,7363.88,2026-04-23T21:58:39.641Z,bid-extra-60345400963,2026-04-23T23:55:14.039Z
212661,430171,7999.4800000000005,2026-04-23T21:58:39.641Z,bid-extra-60345400973,2026-04-23T23:55:14.039Z
212791,430481,4095.08,2026-04-23T21:58:39.641Z,bid-extra-60345400983,2026-04-23T23:55:14.039Z
212921,430791,4730.68,2026-04-23T21:58:39.641Z,bid-extra-60345400993,2026-04-23T23:55:14.039Z
213181,431411,6001.88,2026-04-23T21:58:39.641Z,bid-extra-60345401013,2026-04-23T23:55:14.039Z
213311,431721,6637.4800000000005,2026-04-23T21:58:39.641Z,bid-extra-60345401023,2026-04-23T23:55:14.039Z
213441,432031,7273.08,2026-04-23T21:58:39.641Z,bid-extra-60345401033,2026-04-23T23:55:14.039Z
213571,432341,7908.68,2026-04-23T21:58:39.641Z,bid-extra-60345401043,2026-04-23T23:55:14.039Z
213831,432961,9179.880000000001,2026-04-23T21:58:39.642Z,bid-extra-60345401063,2026-04-23T23:55:14.039Z
213961,433271,9815.48,2026-04-23T21:58:39.642Z,bid-extra-60345401073,2026-04-23T23:55:14.039Z
214091,433581,10451.08,2026-04-23T21:58:39.642Z,bid-extra-60345401083,2026-04-23T23:55:14.039Z
214221,433891,11086.68,2026-04-23T21:58:39.642Z,bid-extra-60345401093,2026-04-23T23:55:14.039Z
214481,434511,7817.88,2026-04-23T21:58:39.642Z,bid-extra-60345401113,2026-04-23T23:55:14.039Z
214611,434821,8453.48,2026-04-23T21:58:39.642Z,bid-extra-60345401123,2026-04-23T23:55:14.039Z
214741,435131,9089.08,2026-04-23T21:58:39.642Z,bid-extra-60345401133,2026-04-23T23:55:14.039Z
