auction,bidder,price,dateTime,extra,processed_time
5200181,400411,9270.68,2026-04-23T22:01:09.631Z,bid-extra-60360400013,2026-04-23T23:55:14.039Z
5200311,400721,9906.28,2026-04-23T22:01:09.631Z,bid-extra-60360400023,2026-04-23T23:55:14.039Z
5200441,401031,1552.68,2026-04-23T22:01:09.631Z,bid-extra-60360400033,2026-04-23T23:55:14.039Z
5200571,401341,2188.28,2026-04-23T22:01:09.631Z,bid-extra-60360400043,2026-04-23T23:55:14.039Z
5200831,401961,3459.48,2026-04-23T22:01:09.632Z,bid-extra-60360400063,2026-04-23T23:55:14.039Z
5200961,402271,4095.08,2026-04-23T22:01:09.632Z,bid-extra-60360400073,2026-04-23T23:55:14.039Z
5201091,402581,4730.68,2026-04-23T22:01:09.632Z,bid-extra-60360400083,2026-04-23T23:55:14.039Z
5201221,402891,5366.28,2026-04-23T22:01:09.632Z,bid-extra-60360400093,2026-04-23T23:55:14.039Z
5201481,403511,6637.4800000000005,2026-04-23T22:01:09.632Z,bid-extra-60360400113,2026-04-23T23:55:14.039Z
5201611,403821,2733.08,2026-04-23T22:01:09.632Z,bid-extra-60360400123,2026-04-23T23:55:14.039Z
5201741,404131,3368.6800000000003,2026-04-23T22:01:09.632Z,bid-extra-60360400133,2026-04-23T23:55:14.039Z
5201871,404441,4004.28,2026-04-23T22:01:09.632Z,bid-extra-60360400143,2026-04-23T23:55:14.039Z
5202131,405061,5275.4800000000005,2026-04-23T22:01:09.633Z,bid-extra-60360400163,2026-04-23T23:55:14.039Z
5202261,405371,5911.08,2026-04-23T22:01:09.633Z,bid-extra-60360400173,2026-04-23T23:55:14.039Z
5202391,405681,6546.68,2026-04-23T22:01:09.633Z,bid-extra-60360400183,2026-04-23T23:55:14.039Z
5202521,405991,7182.280000000001,2026-04-23T22:01:09.633Z,bid-extra-60360400193,2026-04-23T23:55:14.039Z
5202781,406611,8453.48,2026-04-23T22:01:09.633Z,bid-extra-60360400213,2026-04-23T23:55:14.039Z
5202911,406921,9089.08,2026-04-23T22:01:09.633Z,bid-extra-60360400223,2026-04-23T23:55:14.039Z
5203041,407231,9724.68,2026-04-23T22:01:09.633Z,bid-extra-60360400233,2026-04-23T23:55:14.039Z
5203171,407541,10360.28,2026-04-23T22:01:09.633Z,bid-extra-60360400243,2026-04-23T23:55:14.039Z
5203431,408161,7091.4800000000005,2026-04-23T22:01:09.634Z,bid-extra-60360400263,2026-04-23T23:55:14.039Z
5203561,408471,7727.08,2026-04-23T22:01:09.634Z,bid-extra-60360400273,2026-04-23T23:55:14.039Z
5203691,408781,8362.68,2026-04-23T22:01:09.634Z,bid-extra-60360400283,2026-04-23T23:55:14.039Z
5203821,409091,8998.28,2026-04-23T22:01:09.634Z,bid-extra-60360400293,2026-04-23T23:55:14.039Z
5204081,409711,10269.48,2026-04-23T22:01:09.634Z,bid-extra-60360400313,2026-04-23T23:55:14.039Z
5204211,410021,10905.08,2026-04-23T22:01:09.634Z,bid-extra-60360400323,2026-04-23T23:55:14.039Z
5204341,410331,11540.68,2026-04-23T22:01:09.634Z,bid-extra-60360400333,2026-04-23T23:55:14.039Z
5204471,410641,12176.28,2026-04-23T22:01:09.634Z,bid-extra-60360400343,2026-04-23T23:55:14.039Z
5204731,411261,13447.48,2026-04-23T22:01:09.635Z,bid-extra-60360400363,2026-04-23T23:55:14.039Z
5204861,411571,553.88,2026-04-23T22:01:09.635Z,bid-extra-60360400373,2026-04-23T23:55:14.039Z
5204991,411881,1189.48,2026-04-23T22:01:09.635Z,bid-extra-60360400383,2026-04-23T23:55:14.039Z
5205121,412191,1825.0800000000002,2026-04-23T22:01:09.635Z,bid-extra-60360400393,2026-04-23T23:55:14.039Z
5205381,412811,3096.28,2026-04-23T22:01:09.635Z,bid-extra-60360400413,2026-04-23T23:55:14.039Z
5205511,413121,3731.88,2026-04-23T22:01:09.635Z,bid-extra-60360400423,2026-04-23T23:55:14.039Z
5205641,413431,4367.4800000000005,2026-04-23T22:01:09.635Z,bid-extra-60360400433,2026-04-23T23:55:14.039Z
5205771,413741,5003.08,2026-04-23T22:01:09.635Z,bid-extra-60360400443,2026-04-23T23:55:14.039Z
5206031,414361,6274.280000000001,2026-04-23T22:01:09.636Z,bid-extra-60360400463,2026-04-23T23:55:14.039Z
5206161,414671,6909.88,2026-04-23T22:01:09.636Z,bid-extra-60360400473,2026-04-23T23:55:14.039Z
5206291,414981,7545.4800000000005,2026-04-23T22:01:09.636Z,bid-extra-60360400483,2026-04-23T23:55:14.039Z
5206421,415291,3641.08,2026-04-23T22:01:09.636Z,bid-extra-60360400493,2026-04-23T23:55:14.039Z
5206681,415911,4912.28,2026-04-23T22:01:09.636Z,bid-extra-60360400513,2026-04-23T23:55:14.039Z
5206811,416221,5547.88,2026-04-23T22:01:09.636Z,bid-extra-60360400523,2026-04-23T23:55:14.039Z
5206941,416531,6183.4800000000005,2026-04-23T22:01:09.636Z,bid-extra-60360400533,2026-04-23T23:55:14.039Z
5207071,416841,6819.08,2026-04-23T22:01:09.636Z,bid-extra-60360400543,2026-04-23T23:55:14.039Z
5207331,417461,8090.280000000001,2026-04-23T22:01:09.637Z,bid-extra-60360400563,2026-04-23T23:55:14.039Z
5207461,417771,8725.880000000001,2026-04-23T22:01:09.637Z,bid-extra-60360400573,2026-04-23T23:55:14.039Z
5207591,418081,9361.48,2026-04-23T22:01:09.637Z,bid-extra-60360400583,2026-04-23T23:55:14.039Z
5207721,418391,9997.08,2026-04-23T22:01:09.637Z,bid-extra-60360400593,2026-04-23T23:55:14.039Z
5207981,419011,6728.280000000001,2026-04-23T22:01:09.637Z,bid-extra-60360400613,2026-04-23T23:55:14.039Z
5208111,419321,7363.88,2026-04-23T22:01:09.637Z,bid-extra-60360400623,2026-04-23T23:55:14.039Z
5208241,419631,7999.4800000000005,2026-04-23T22:01:09.637Z,bid-extra-60360400633,2026-04-23T23:55:14.039Z
5208371,419941,8635.08,2026-04-23T22:01:09.637Z,bid-extra-60360400643,2026-04-23T23:55:14.039Z
5208631,420561,9906.28,2026-04-23T22:01:09.638Z,bid-extra-60360400663,2026-04-23T23:55:14.039Z
5208761,420871,10541.880000000001,2026-04-23T22:01:09.638Z,bid-extra-60360400673,2026-04-23T23:55:14.039Z
5208891,421181,11177.48,2026-04-23T22:01:09.638Z,bid-extra-60360400683,2026-04-23T23:55:14.039Z
5209021,421491,11813.08,2026-04-23T22:01:09.638Z,bid-extra-60360400693,2026-04-23T23:55:14.039Z
5209281,422111,4095.08,2026-04-23T22:01:09.638Z,bid-extra-60360400713,2026-04-23T23:55:14.039Z
5209411,422421,4730.68,2026-04-23T22:01:09.638Z,bid-extra-60360400723,2026-04-23T23:55:14.039Z
5209541,422731,826.28,2026-04-23T22:01:09.638Z,bid-extra-60360400733,2026-04-23T23:55:14.039Z
5209671,423041,1461.88,2026-04-23T22:01:09.638Z,bid-extra-60360400743,2026-04-23T23:55:14.039Z
5209931,423661,2733.08,2026-04-23T22:01:09.639Z,bid-extra-60360400763,2026-04-23T23:55:14.039Z
5210061,423971,3368.6800000000003,2026-04-23T22:01:09.639Z,bid-extra-60360400773,2026-04-23T23:55:14.039Z
5210191,424281,4004.28,2026-04-23T22:01:09.639Z,bid-extra-60360400783,2026-04-23T23:55:14.039Z
5210321,424591,4639.88,2026-04-23T22:01:09.639Z,bid-extra-60360400793,2026-04-23T23:55:14.039Z
5210581,425211,5911.08,2026-04-23T22:01:09.639Z,bid-extra-60360400813,2026-04-23T23:55:14.039Z
5210711,425521,6546.68,2026-04-23T22:01:09.639Z,bid-extra-60360400823,2026-04-23T23:55:14.039Z
5210841,425831,7182.280000000001,2026-04-23T22:01:09.639Z,bid-extra-60360400833,2026-04-23T23:55:14.039Z
5210971,426141,7817.88,2026-04-23T22:01:09.639Z,bid-extra-60360400843,2026-04-23T23:55:14.039Z
5211231,426761,4549.08,2026-04-23T22:01:09.640Z,bid-extra-60360400863,2026-04-23T23:55:14.039Z
5211361,427071,5184.68,2026-04-23T22:01:09.640Z,bid-extra-60360400873,2026-04-23T23:55:14.039Z
5211491,427381,5820.28,2026-04-23T22:01:09.640Z,bid-extra-60360400883,2026-04-23T23:55:14.039Z
5211621,427691,6455.88,2026-04-23T22:01:09.640Z,bid-extra-60360400893,2026-04-23T23:55:14.039Z
5211881,428311,7727.08,2026-04-23T22:01:09.640Z,bid-extra-60360400913,2026-04-23T23:55:14.039Z
5212011,428621,8362.68,2026-04-23T22:01:09.640Z,bid-extra-60360400923,2026-04-23T23:55:14.039Z
5212141,428931,8998.28,2026-04-23T22:01:09.640Z,bid-extra-60360400933,2026-04-23T23:55:14.039Z
5212271,429241,9633.880000000001,2026-04-23T22:01:09.640Z,bid-extra-60360400943,2026-04-23T23:55:14.039Z
5212531,429861,10905.08,2026-04-23T22:01:09.641Z,bid-extra-60360400963,2026-04-23T23:55:14.039Z
5212661,430171,11540.68,2026-04-23T22:01:09.641Z,bid-extra-60360400973,2026-04-23T23:55:14.039Z
5212791,430481,7636.280000000001,2026-04-23T22:01:09.641Z,bid-extra-60360400983,2026-04-23T23:55:14.039Z
5212921,430791,8271.880000000001,2026-04-23T22:01:09.641Z,bid-extra-60360400993,2026-04-23T23:55:14.039Z
5213181,431411,9543.08,2026-04-23T22:01:09.641Z,bid-extra-60360401013,2026-04-23T23:55:14.039Z
5213311,431721,10178.68,2026-04-23T22:01:09.641Z,bid-extra-60360401023,2026-04-23T23:55:14.039Z
5213441,432031,10814.28,2026-04-23T22:01:09.641Z,bid-extra-60360401033,2026-04-23T23:55:14.039Z
5213571,432341,11449.880000000001,2026-04-23T22:01:09.641Z,bid-extra-60360401043,2026-04-23T23:55:14.039Z
5213831,432961,3731.88,2026-04-23T22:01:09.642Z,bid-extra-60360401063,2026-04-23T23:55:14.039Z
5213961,433271,4367.4800000000005,2026-04-23T22:01:09.642Z,bid-extra-60360401073,2026-04-23T23:55:14.039Z
5214091,433581,5003.08,2026-04-23T22:01:09.642Z,bid-extra-60360401083,2026-04-23T23:55:14.039Z
5214221,433891,5638.68,2026-04-23T22:01:09.642Z,bid-extra-60360401093,2026-04-23T23:55:14.039Z
5214481,434511,2369.88,2026-04-23T22:01:09.642Z,bid-extra-60360401113,2026-04-23T23:55:14.039Z
5214611,434821,3005.48,2026-04-23T22:01:09.642Z,bid-extra-60360401123,2026-04-23T23:55:14.039Z
5214741,435131,3641.08,2026-04-23T22:01:09.642Z,bid-extra-60360401133,2026-04-23T23:55:14.039Z
5214871,435441,4276.68,2026-04-23T22:01:09.642Z,bid-extra-60360401143,2026-04-23T23:55:14.039Z
5215131,436061,5547.88,2026-04-23T22:01:09.643Z,bid-extra-60360401163,2026-04-23T23:55:14.039Z
5215261,436371,6183.4800000000005,2026-04-23T22:01:09.643Z,bid-extra-60360401173,2026-04-23T23:55:14.039Z
5215391,436681,6819.08,2026-04-23T22:01:09.643Z,bid-extra-60360401183,2026-04-23T23:55:14.039Z
5215521,436991,7454.68,2026-04-23T22:01:09.643Z,bid-extra-60360401193,2026-04-23T23:55:14.039Z
5215781,437611,8725.880000000001,2026-04-23T22:01:09.643Z,bid-extra-60360401213,2026-04-23T23:55:14.039Z
5215911,437921,4821.4800000000005,2026-04-23T22:01:09.643Z,bid-extra-60360401223,2026-04-23T23:55:14.039Z
5216041,438231,5457.08,2026-04-23T22:01:09.643Z,bid-extra-60360401233,2026-04-23T23:55:14.039Z
5216171,438541,6092.68,2026-04-23T22:01:09.643Z,bid-extra-60360401243,2026-04-23T23:55:14.039Z
5216431,439161,7363.88,2026-04-23T22:01:09.644Z,bid-extra-60360401263,2026-04-23T23:55:14.039Z
5216561,439471,7999.4800000000005,2026-04-23T22:01:09.644Z,bid-extra-60360401273,2026-04-23T23:55:14.039Z
5216691,439781,8635.08,2026-04-23T22:01:09.644Z,bid-extra-60360401283,2026-04-23T23:55:14.039Z
5216821,440091,9270.68,2026-04-23T22:01:09.644Z,bid-extra-60360401293,2026-04-23T23:55:14.039Z
5217081,440711,10541.880000000001,2026-04-23T22:01:09.644Z,bid-extra-60360401313,2026-04-23T23:55:14.039Z
5217211,441021,11177.48,2026-04-23T22:01:09.644Z,bid-extra-60360401323,2026-04-23T23:55:14.039Z
5217341,441331,11813.08,2026-04-23T22:01:09.644Z,bid-extra-60360401333,2026-04-23T23:55:14.039Z
5217471,441641,7908.68,2026-04-23T22:01:09.644Z,bid-extra-60360401343,2026-04-23T23:55:14.039Z
5217731,442261,9179.880000000001,2026-04-23T22:01:09.645Z,bid-extra-60360401363,2026-04-23T23:55:14.039Z
