auction,bidder,price,dateTime,extra,processed_time
5200181,400411,917.08,2026-04-23T21:59:29.631Z,bid-extra-60350400013,2026-04-23T23:55:14.039Z
5200311,400721,1552.68,2026-04-23T21:59:29.631Z,bid-extra-60350400023,2026-04-23T23:55:14.039Z
5200441,401031,2188.28,2026-04-23T21:59:29.631Z,bid-extra-60350400033,2026-04-23T23:55:14.039Z
5200571,401341,2823.88,2026-04-23T21:59:29.631Z,bid-extra-60350400043,2026-04-23T23:55:14.039Z
5200831,401961,4095.08,2026-04-23T21:59:29.632Z,bid-extra-60350400063,2026-04-23T23:55:14.039Z
5200961,402271,4730.68,2026-04-23T21:59:29.632Z,bid-extra-60350400073,2026-04-23T23:55:14.039Z
5201091,402581,5366.28,2026-04-23T21:59:29.632Z,bid-extra-60350400083,2026-04-23T23:55:14.039Z
5201221,402891,6001.88,2026-04-23T21:59:29.632Z,bid-extra-60350400093,2026-04-23T23:55:14.039Z
5201481,403511,7273.08,2026-04-23T21:59:29.632Z,bid-extra-60350400113,2026-04-23T23:55:14.039Z
5201611,403821,3368.6800000000003,2026-04-23T21:59:29.632Z,bid-extra-60350400123,2026-04-23T23:55:14.039Z
5201741,404131,4004.28,2026-04-23T21:59:29.632Z,bid-extra-60350400133,2026-04-23T23:55:14.039Z
5201871,404441,4639.88,2026-04-23T21:59:29.632Z,bid-extra-60350400143,2026-04-23T23:55:14.039Z
5202131,405061,5911.08,2026-04-23T21:59:29.633Z,bid-extra-60350400163,2026-04-23T23:55:14.039Z
5202261,405371,6546.68,2026-04-23T21:59:29.633Z,bid-extra-60350400173,2026-04-23T23:55:14.039Z
5202391,405681,7182.280000000001,2026-04-23T21:59:29.633Z,bid-extra-60350400183,2026-04-23T23:55:14.039Z
5202521,405991,7817.88,2026-04-23T21:59:29.633Z,bid-extra-60350400193,2026-04-23T23:55:14.039Z
5202781,406611,9089.08,2026-04-23T21:59:29.633Z,bid-extra-60350400213,2026-04-23T23:55:14.039Z
5202911,406921,9724.68,2026-04-23T21:59:29.633Z,bid-extra-60350400223,2026-04-23T23:55:14.039Z
5203041,407231,10360.28,2026-04-23T21:59:29.633Z,bid-extra-60350400233,2026-04-23T23:55:14.039Z
