auction,bidder,price,dateTime,extra,processed_time
2700181,900411,7182.280000000001,2026-04-23T22:00:44.631Z,bid-extra-60357900013,2026-04-23T23:55:14.039Z
2700311,900721,7817.88,2026-04-23T22:00:44.631Z,bid-extra-60357900023,2026-04-23T23:55:14.039Z
2700441,901031,8453.48,2026-04-23T22:00:44.631Z,bid-extra-60357900033,2026-04-23T23:55:14.039Z
2700571,901341,9089.08,2026-04-23T22:00:44.631Z,bid-extra-60357900043,2026-04-23T23:55:14.039Z
2700831,901961,10360.28,2026-04-23T22:00:44.632Z,bid-extra-60357900063,2026-04-23T23:55:14.039Z
2700961,902271,10995.880000000001,2026-04-23T22:00:44.632Z,bid-extra-60357900073,2026-04-23T23:55:14.039Z
2701091,902581,11631.48,2026-04-23T22:00:44.632Z,bid-extra-60357900083,2026-04-23T23:55:14.039Z
2701221,902891,12267.08,2026-04-23T22:00:44.632Z,bid-extra-60357900093,2026-04-23T23:55:14.039Z
2701481,903511,4549.08,2026-04-23T22:00:44.632Z,bid-extra-60357900113,2026-04-23T23:55:14.039Z
2701611,903821,644.6800000000001,2026-04-23T22:00:44.632Z,bid-extra-60357900123,2026-04-23T23:55:14.039Z
2701741,904131,1280.28,2026-04-23T22:00:44.632Z,bid-extra-60357900133,2026-04-23T23:55:14.039Z
2701871,904441,1915.88,2026-04-23T22:00:44.632Z,bid-extra-60357900143,2026-04-23T23:55:14.039Z
2702131,905061,3187.08,2026-04-23T22:00:44.633Z,bid-extra-60357900163,2026-04-23T23:55:14.039Z
2702261,905371,3822.6800000000003,2026-04-23T22:00:44.633Z,bid-extra-60357900173,2026-04-23T23:55:14.039Z
2702391,905681,4458.28,2026-04-23T22:00:44.633Z,bid-extra-60357900183,2026-04-23T23:55:14.039Z
2702521,905991,5093.88,2026-04-23T22:00:44.633Z,bid-extra-60357900193,2026-04-23T23:55:14.039Z
2702781,906611,6365.08,2026-04-23T22:00:44.633Z,bid-extra-60357900213,2026-04-23T23:55:14.039Z
2702911,906921,7000.68,2026-04-23T22:00:44.633Z,bid-extra-60357900223,2026-04-23T23:55:14.039Z
2703041,907231,7636.280000000001,2026-04-23T22:00:44.633Z,bid-extra-60357900233,2026-04-23T23:55:14.039Z
2703171,907541,8271.880000000001,2026-04-23T22:00:44.633Z,bid-extra-60357900243,2026-04-23T23:55:14.039Z
2703431,908161,5003.08,2026-04-23T22:00:44.634Z,bid-extra-60357900263,2026-04-23T23:55:14.039Z
