auction,bidder,price,dateTime,extra,processed_time
3950181,650411,7908.68,2026-04-23T22:01:47.131Z,bid-extra-60364150013,2026-04-23T23:55:14.039Z
3950311,650721,8544.28,2026-04-23T22:01:47.131Z,bid-extra-60364150023,2026-04-23T23:55:14.039Z
3950441,651031,9179.880000000001,2026-04-23T22:01:47.131Z,bid-extra-60364150033,2026-04-23T23:55:14.039Z
3950571,651341,9815.48,2026-04-23T22:01:47.131Z,bid-extra-60364150043,2026-04-23T23:55:14.039Z
3950831,651961,11086.68,2026-04-23T22:01:47.132Z,bid-extra-60364150063,2026-04-23T23:55:14.039Z
3950961,652271,11722.28,2026-04-23T22:01:47.132Z,bid-extra-60364150073,2026-04-23T23:55:14.039Z
3951091,652581,3368.6800000000003,2026-04-23T22:01:47.132Z,bid-extra-60364150083,2026-04-23T23:55:14.039Z
3951221,652891,4004.28,2026-04-23T22:01:47.132Z,bid-extra-60364150093,2026-04-23T23:55:14.039Z
3951481,653511,5275.4800000000005,2026-04-23T22:01:47.132Z,bid-extra-60364150113,2026-04-23T23:55:14.039Z
3951611,653821,1371.0800000000002,2026-04-23T22:01:47.132Z,bid-extra-60364150123,2026-04-23T23:55:14.039Z
3951741,654131,2006.68,2026-04-23T22:01:47.132Z,bid-extra-60364150133,2026-04-23T23:55:14.039Z
3951871,654441,2642.28,2026-04-23T22:01:47.132Z,bid-extra-60364150143,2026-04-23T23:55:14.039Z
3952131,655061,3913.48,2026-04-23T22:01:47.133Z,bid-extra-60364150163,2026-04-23T23:55:14.039Z
3952261,655371,4549.08,2026-04-23T22:01:47.133Z,bid-extra-60364150173,2026-04-23T23:55:14.039Z
3952391,655681,5184.68,2026-04-23T22:01:47.133Z,bid-extra-60364150183,2026-04-23T23:55:14.039Z
3952521,655991,5820.28,2026-04-23T22:01:47.133Z,bid-extra-60364150193,2026-04-23T23:55:14.039Z
3952781,656611,7091.4800000000005,2026-04-23T22:01:47.133Z,bid-extra-60364150213,2026-04-23T23:55:14.039Z
3952911,656921,7727.08,2026-04-23T22:01:47.133Z,bid-extra-60364150223,2026-04-23T23:55:14.039Z
