auction,bidder,price,dateTime,extra,processed_time
5200181,400411,8635.08,2026-04-23T22:02:49.631Z,bid-extra-60370400013,2026-04-23T23:55:14.039Z
5200311,400721,9270.68,2026-04-23T22:02:49.631Z,bid-extra-60370400023,2026-04-23T23:55:14.039Z
5200441,401031,9906.28,2026-04-23T22:02:49.631Z,bid-extra-60370400033,2026-04-23T23:55:14.039Z
5200571,401341,10541.880000000001,2026-04-23T22:02:49.631Z,bid-extra-60370400043,2026-04-23T23:55:14.039Z
5200831,401961,2823.88,2026-04-23T22:02:49.632Z,bid-extra-60370400063,2026-04-23T23:55:14.039Z
5200961,402271,3459.48,2026-04-23T22:02:49.632Z,bid-extra-60370400073,2026-04-23T23:55:14.039Z
5201091,402581,4095.08,2026-04-23T22:02:49.632Z,bid-extra-60370400083,2026-04-23T23:55:14.039Z
5201221,402891,4730.68,2026-04-23T22:02:49.632Z,bid-extra-60370400093,2026-04-23T23:55:14.039Z
5201481,403511,6001.88,2026-04-23T22:02:49.632Z,bid-extra-60370400113,2026-04-23T23:55:14.039Z
5201611,403821,2097.48,2026-04-23T22:02:49.632Z,bid-extra-60370400123,2026-04-23T23:55:14.039Z
5201741,404131,2733.08,2026-04-23T22:02:49.632Z,bid-extra-60370400133,2026-04-23T23:55:14.039Z
5201871,404441,3368.6800000000003,2026-04-23T22:02:49.632Z,bid-extra-60370400143,2026-04-23T23:55:14.039Z
5202131,405061,4639.88,2026-04-23T22:02:49.633Z,bid-extra-60370400163,2026-04-23T23:55:14.039Z
5202261,405371,5275.4800000000005,2026-04-23T22:02:49.633Z,bid-extra-60370400173,2026-04-23T23:55:14.039Z
5202391,405681,5911.08,2026-04-23T22:02:49.633Z,bid-extra-60370400183,2026-04-23T23:55:14.039Z
5202521,405991,6546.68,2026-04-23T22:02:49.633Z,bid-extra-60370400193,2026-04-23T23:55:14.039Z
5202781,406611,7817.88,2026-04-23T22:02:49.633Z,bid-extra-60370400213,2026-04-23T23:55:14.039Z
5202911,406921,8453.48,2026-04-23T22:02:49.633Z,bid-extra-60370400223,2026-04-23T23:55:14.039Z
5203041,407231,9089.08,2026-04-23T22:02:49.633Z,bid-extra-60370400233,2026-04-23T23:55:14.039Z
5203171,407541,9724.68,2026-04-23T22:02:49.633Z,bid-extra-60370400243,2026-04-23T23:55:14.039Z
5203431,408161,6455.88,2026-04-23T22:02:49.634Z,bid-extra-60370400263,2026-04-23T23:55:14.039Z
5203561,408471,7091.4800000000005,2026-04-23T22:02:49.634Z,bid-extra-60370400273,2026-04-23T23:55:14.039Z
5203691,408781,7727.08,2026-04-23T22:02:49.634Z,bid-extra-60370400283,2026-04-23T23:55:14.039Z
5203821,409091,8362.68,2026-04-23T22:02:49.634Z,bid-extra-60370400293,2026-04-23T23:55:14.039Z
5204081,409711,9633.880000000001,2026-04-23T22:02:49.634Z,bid-extra-60370400313,2026-04-23T23:55:14.039Z
5204211,410021,10269.48,2026-04-23T22:02:49.634Z,bid-extra-60370400323,2026-04-23T23:55:14.039Z
5204341,410331,10905.08,2026-04-23T22:02:49.634Z,bid-extra-60370400333,2026-04-23T23:55:14.039Z
5204471,410641,11540.68,2026-04-23T22:02:49.634Z,bid-extra-60370400343,2026-04-23T23:55:14.039Z
5204731,411261,12811.880000000001,2026-04-23T22:02:49.635Z,bid-extra-60370400363,2026-04-23T23:55:14.039Z
5204861,411571,8907.48,2026-04-23T22:02:49.635Z,bid-extra-60370400373,2026-04-23T23:55:14.039Z
