auction,bidder,price,dateTime,extra,processed_time
8950181,650411,4367.4800000000005,2026-04-23T21:59:17.131Z,bid-extra-60349150013,2026-04-23T23:55:14.039Z
8950311,650721,5003.08,2026-04-23T21:59:17.131Z,bid-extra-60349150023,2026-04-23T23:55:14.039Z
8950441,651031,5638.68,2026-04-23T21:59:17.131Z,bid-extra-60349150033,2026-04-23T23:55:14.039Z
8950571,651341,6274.280000000001,2026-04-23T21:59:17.131Z,bid-extra-60349150043,2026-04-23T23:55:14.039Z
8950831,651961,7545.4800000000005,2026-04-23T21:59:17.132Z,bid-extra-60349150063,2026-04-23T23:55:14.039Z
8950961,652271,8181.08,2026-04-23T21:59:17.132Z,bid-extra-60349150073,2026-04-23T23:55:14.039Z
8951091,652581,8816.68,2026-04-23T21:59:17.132Z,bid-extra-60349150083,2026-04-23T23:55:14.039Z
8951221,652891,9452.28,2026-04-23T21:59:17.132Z,bid-extra-60349150093,2026-04-23T23:55:14.039Z
8951481,653511,10723.48,2026-04-23T21:59:17.132Z,bid-extra-60349150113,2026-04-23T23:55:14.039Z
8951611,653821,6819.08,2026-04-23T21:59:17.132Z,bid-extra-60349150123,2026-04-23T23:55:14.039Z
8951741,654131,7454.68,2026-04-23T21:59:17.132Z,bid-extra-60349150133,2026-04-23T23:55:14.039Z
8951871,654441,8090.280000000001,2026-04-23T21:59:17.132Z,bid-extra-60349150143,2026-04-23T23:55:14.039Z
8952131,655061,9361.48,2026-04-23T21:59:17.133Z,bid-extra-60349150163,2026-04-23T23:55:14.039Z
8952261,655371,9997.08,2026-04-23T21:59:17.133Z,bid-extra-60349150173,2026-04-23T23:55:14.039Z
8952391,655681,10632.68,2026-04-23T21:59:17.133Z,bid-extra-60349150183,2026-04-23T23:55:14.039Z
8952521,655991,11268.28,2026-04-23T21:59:17.133Z,bid-extra-60349150193,2026-04-23T23:55:14.039Z
8952781,656611,3550.28,2026-04-23T21:59:17.133Z,bid-extra-60349150213,2026-04-23T23:55:14.039Z
8952911,656921,4185.88,2026-04-23T21:59:17.133Z,bid-extra-60349150223,2026-04-23T23:55:14.039Z
8953041,657231,4821.4800000000005,2026-04-23T21:59:17.133Z,bid-extra-60349150233,2026-04-23T23:55:14.039Z
8953171,657541,5457.08,2026-04-23T21:59:17.133Z,bid-extra-60349150243,2026-04-23T23:55:14.039Z
8953431,658161,2188.28,2026-04-23T21:59:17.134Z,bid-extra-60349150263,2026-04-23T23:55:14.039Z
8953561,658471,2823.88,2026-04-23T21:59:17.134Z,bid-extra-60349150273,2026-04-23T23:55:14.039Z
8953691,658781,3459.48,2026-04-23T21:59:17.134Z,bid-extra-60349150283,2026-04-23T23:55:14.039Z
8953821,659091,4095.08,2026-04-23T21:59:17.134Z,bid-extra-60349150293,2026-04-23T23:55:14.039Z
8954081,659711,5366.28,2026-04-23T21:59:17.134Z,bid-extra-60349150313,2026-04-23T23:55:14.039Z
8954211,660021,6001.88,2026-04-23T21:59:17.134Z,bid-extra-60349150323,2026-04-23T23:55:14.039Z
8954341,660331,6637.4800000000005,2026-04-23T21:59:17.134Z,bid-extra-60349150333,2026-04-23T23:55:14.039Z
8954471,660641,7273.08,2026-04-23T21:59:17.134Z,bid-extra-60349150343,2026-04-23T23:55:14.039Z
8954731,661261,8544.28,2026-04-23T21:59:17.135Z,bid-extra-60349150363,2026-04-23T23:55:14.039Z
8954861,661571,4639.88,2026-04-23T21:59:17.135Z,bid-extra-60349150373,2026-04-23T23:55:14.039Z
8954991,661881,5275.4800000000005,2026-04-23T21:59:17.135Z,bid-extra-60349150383,2026-04-23T23:55:14.039Z
8955121,662191,5911.08,2026-04-23T21:59:17.135Z,bid-extra-60349150393,2026-04-23T23:55:14.039Z
8955381,662811,7182.280000000001,2026-04-23T21:59:17.135Z,bid-extra-60349150413,2026-04-23T23:55:14.039Z
8955511,663121,7817.88,2026-04-23T21:59:17.135Z,bid-extra-60349150423,2026-04-23T23:55:14.039Z
8955641,663431,8453.48,2026-04-23T21:59:17.135Z,bid-extra-60349150433,2026-04-23T23:55:14.039Z
8955771,663741,9089.08,2026-04-23T21:59:17.135Z,bid-extra-60349150443,2026-04-23T23:55:14.039Z
8956031,664361,10360.28,2026-04-23T21:59:17.136Z,bid-extra-60349150463,2026-04-23T23:55:14.039Z
8956161,664671,10995.880000000001,2026-04-23T21:59:17.136Z,bid-extra-60349150473,2026-04-23T23:55:14.039Z
8956291,664981,11631.48,2026-04-23T21:59:17.136Z,bid-extra-60349150483,2026-04-23T23:55:14.039Z
8956421,665291,7727.08,2026-04-23T21:59:17.136Z,bid-extra-60349150493,2026-04-23T23:55:14.039Z
8956681,665911,8998.28,2026-04-23T21:59:17.136Z,bid-extra-60349150513,2026-04-23T23:55:14.039Z
8956811,666221,9633.880000000001,2026-04-23T21:59:17.136Z,bid-extra-60349150523,2026-04-23T23:55:14.039Z
8956941,666531,10269.48,2026-04-23T21:59:17.136Z,bid-extra-60349150533,2026-04-23T23:55:14.039Z
8957071,666841,10905.08,2026-04-23T21:59:17.136Z,bid-extra-60349150543,2026-04-23T23:55:14.039Z
8957331,667461,3187.08,2026-04-23T21:59:17.137Z,bid-extra-60349150563,2026-04-23T23:55:14.039Z
8957461,667771,3822.6800000000003,2026-04-23T21:59:17.137Z,bid-extra-60349150573,2026-04-23T23:55:14.039Z
8957591,668081,4458.28,2026-04-23T21:59:17.137Z,bid-extra-60349150583,2026-04-23T23:55:14.039Z
8957721,668391,5093.88,2026-04-23T21:59:17.137Z,bid-extra-60349150593,2026-04-23T23:55:14.039Z
8957981,669011,1825.0800000000002,2026-04-23T21:59:17.137Z,bid-extra-60349150613,2026-04-23T23:55:14.039Z
8958111,669321,2460.6800000000003,2026-04-23T21:59:17.137Z,bid-extra-60349150623,2026-04-23T23:55:14.039Z
8958241,669631,3096.28,2026-04-23T21:59:17.137Z,bid-extra-60349150633,2026-04-23T23:55:14.039Z
8958371,669941,3731.88,2026-04-23T21:59:17.137Z,bid-extra-60349150643,2026-04-23T23:55:14.039Z
8958631,670561,5003.08,2026-04-23T21:59:17.138Z,bid-extra-60349150663,2026-04-23T23:55:14.039Z
8958761,670871,5638.68,2026-04-23T21:59:17.138Z,bid-extra-60349150673,2026-04-23T23:55:14.039Z
8958891,671181,6274.280000000001,2026-04-23T21:59:17.138Z,bid-extra-60349150683,2026-04-23T23:55:14.039Z
8959021,671491,6909.88,2026-04-23T21:59:17.138Z,bid-extra-60349150693,2026-04-23T23:55:14.039Z
8959281,672111,8181.08,2026-04-23T21:59:17.138Z,bid-extra-60349150713,2026-04-23T23:55:14.039Z
8959411,672421,8816.68,2026-04-23T21:59:17.138Z,bid-extra-60349150723,2026-04-23T23:55:14.039Z
8959541,672731,4912.28,2026-04-23T21:59:17.138Z,bid-extra-60349150733,2026-04-23T23:55:14.039Z
8959671,673041,5547.88,2026-04-23T21:59:17.138Z,bid-extra-60349150743,2026-04-23T23:55:14.039Z
8959931,673661,6819.08,2026-04-23T21:59:17.139Z,bid-extra-60349150763,2026-04-23T23:55:14.039Z
8960061,673971,7454.68,2026-04-23T21:59:17.139Z,bid-extra-60349150773,2026-04-23T23:55:14.039Z
8960191,674281,8090.280000000001,2026-04-23T21:59:17.139Z,bid-extra-60349150783,2026-04-23T23:55:14.039Z
8960321,674591,8725.880000000001,2026-04-23T21:59:17.139Z,bid-extra-60349150793,2026-04-23T23:55:14.039Z
8960581,675211,9997.08,2026-04-23T21:59:17.139Z,bid-extra-60349150813,2026-04-23T23:55:14.039Z
8960711,675521,10632.68,2026-04-23T21:59:17.139Z,bid-extra-60349150823,2026-04-23T23:55:14.039Z
8960841,675831,11268.28,2026-04-23T21:59:17.139Z,bid-extra-60349150833,2026-04-23T23:55:14.039Z
8960971,676141,11903.880000000001,2026-04-23T21:59:17.139Z,bid-extra-60349150843,2026-04-23T23:55:14.039Z
8961231,676761,8635.08,2026-04-23T21:59:17.140Z,bid-extra-60349150863,2026-04-23T23:55:14.039Z
8961361,677071,9270.68,2026-04-23T21:59:17.140Z,bid-extra-60349150873,2026-04-23T23:55:14.039Z
8961491,677381,9906.28,2026-04-23T21:59:17.140Z,bid-extra-60349150883,2026-04-23T23:55:14.039Z
8961621,677691,10541.880000000001,2026-04-23T21:59:17.140Z,bid-extra-60349150893,2026-04-23T23:55:14.039Z
8961881,678311,2823.88,2026-04-23T21:59:17.140Z,bid-extra-60349150913,2026-04-23T23:55:14.039Z
8962011,678621,3459.48,2026-04-23T21:59:17.140Z,bid-extra-60349150923,2026-04-23T23:55:14.039Z
8962141,678931,4095.08,2026-04-23T21:59:17.140Z,bid-extra-60349150933,2026-04-23T23:55:14.039Z
8962271,679241,4730.68,2026-04-23T21:59:17.140Z,bid-extra-60349150943,2026-04-23T23:55:14.039Z
8962531,679861,6001.88,2026-04-23T21:59:17.141Z,bid-extra-60349150963,2026-04-23T23:55:14.039Z
8962661,680171,6637.4800000000005,2026-04-23T21:59:17.141Z,bid-extra-60349150973,2026-04-23T23:55:14.039Z
8962791,680481,2733.08,2026-04-23T21:59:17.141Z,bid-extra-60349150983,2026-04-23T23:55:14.039Z
8962921,680791,3368.6800000000003,2026-04-23T21:59:17.141Z,bid-extra-60349150993,2026-04-23T23:55:14.039Z
8963181,681411,4639.88,2026-04-23T21:59:17.141Z,bid-extra-60349151013,2026-04-23T23:55:14.039Z
8963311,681721,5275.4800000000005,2026-04-23T21:59:17.141Z,bid-extra-60349151023,2026-04-23T23:55:14.039Z
8963441,682031,5911.08,2026-04-23T21:59:17.141Z,bid-extra-60349151033,2026-04-23T23:55:14.039Z
8963571,682341,6546.68,2026-04-23T21:59:17.141Z,bid-extra-60349151043,2026-04-23T23:55:14.039Z
8963831,682961,7817.88,2026-04-23T21:59:17.142Z,bid-extra-60349151063,2026-04-23T23:55:14.039Z
8963961,683271,8453.48,2026-04-23T21:59:17.142Z,bid-extra-60349151073,2026-04-23T23:55:14.039Z
8964091,683581,9089.08,2026-04-23T21:59:17.142Z,bid-extra-60349151083,2026-04-23T23:55:14.039Z
8964221,683891,9724.68,2026-04-23T21:59:17.142Z,bid-extra-60349151093,2026-04-23T23:55:14.039Z
