auction,bidder,price,dateTime,extra,processed_time
2700181,900411,7817.88,2026-04-23T21:59:04.631Z,bid-extra-60347900013,2026-04-23T23:55:14.039Z
2700311,900721,8453.48,2026-04-23T21:59:04.631Z,bid-extra-60347900023,2026-04-23T23:55:14.039Z
2700441,901031,9089.08,2026-04-23T21:59:04.631Z,bid-extra-60347900033,2026-04-23T23:55:14.039Z
2700571,901341,9724.68,2026-04-23T21:59:04.631Z,bid-extra-60347900043,2026-04-23T23:55:14.039Z
2700831,901961,10995.880000000001,2026-04-23T21:59:04.632Z,bid-extra-60347900063,2026-04-23T23:55:14.039Z
2700961,902271,11631.48,2026-04-23T21:59:04.632Z,bid-extra-60347900073,2026-04-23T23:55:14.039Z
2701091,902581,3277.88,2026-04-23T21:59:04.632Z,bid-extra-60347900083,2026-04-23T23:55:14.039Z
2701221,902891,3913.48,2026-04-23T21:59:04.632Z,bid-extra-60347900093,2026-04-23T23:55:14.039Z
2701481,903511,5184.68,2026-04-23T21:59:04.632Z,bid-extra-60347900113,2026-04-23T23:55:14.039Z
2701611,903821,1280.28,2026-04-23T21:59:04.632Z,bid-extra-60347900123,2026-04-23T23:55:14.039Z
2701741,904131,1915.88,2026-04-23T21:59:04.632Z,bid-extra-60347900133,2026-04-23T23:55:14.039Z
2701871,904441,2551.48,2026-04-23T21:59:04.632Z,bid-extra-60347900143,2026-04-23T23:55:14.039Z
2702131,905061,3822.6800000000003,2026-04-23T21:59:04.633Z,bid-extra-60347900163,2026-04-23T23:55:14.039Z
2702261,905371,4458.28,2026-04-23T21:59:04.633Z,bid-extra-60347900173,2026-04-23T23:55:14.039Z
2702391,905681,5093.88,2026-04-23T21:59:04.633Z,bid-extra-60347900183,2026-04-23T23:55:14.039Z
2702521,905991,5729.4800000000005,2026-04-23T21:59:04.633Z,bid-extra-60347900193,2026-04-23T23:55:14.039Z
2702781,906611,7000.68,2026-04-23T21:59:04.633Z,bid-extra-60347900213,2026-04-23T23:55:14.039Z
2702911,906921,7636.280000000001,2026-04-23T21:59:04.633Z,bid-extra-60347900223,2026-04-23T23:55:14.039Z
