auction,bidder,price,dateTime,extra,processed_time
3950181,650411,8544.28,2026-04-23T22:00:07.131Z,bid-extra-60354150013,2026-04-23T23:55:14.039Z
3950311,650721,9179.880000000001,2026-04-23T22:00:07.131Z,bid-extra-60354150023,2026-04-23T23:55:14.039Z
3950441,651031,9815.48,2026-04-23T22:00:07.131Z,bid-extra-60354150033,2026-04-23T23:55:14.039Z
3950571,651341,10451.08,2026-04-23T22:00:07.131Z,bid-extra-60354150043,2026-04-23T23:55:14.039Z
3950831,651961,2733.08,2026-04-23T22:00:07.132Z,bid-extra-60354150063,2026-04-23T23:55:14.039Z
3950961,652271,3368.6800000000003,2026-04-23T22:00:07.132Z,bid-extra-60354150073,2026-04-23T23:55:14.039Z
3951091,652581,4004.28,2026-04-23T22:00:07.132Z,bid-extra-60354150083,2026-04-23T23:55:14.039Z
3951221,652891,4639.88,2026-04-23T22:00:07.132Z,bid-extra-60354150093,2026-04-23T23:55:14.039Z
3951481,653511,5911.08,2026-04-23T22:00:07.132Z,bid-extra-60354150113,2026-04-23T23:55:14.039Z
3951611,653821,2006.68,2026-04-23T22:00:07.132Z,bid-extra-60354150123,2026-04-23T23:55:14.039Z
3951741,654131,2642.28,2026-04-23T22:00:07.132Z,bid-extra-60354150133,2026-04-23T23:55:14.039Z
3951871,654441,3277.88,2026-04-23T22:00:07.132Z,bid-extra-60354150143,2026-04-23T23:55:14.039Z
3952131,655061,4549.08,2026-04-23T22:00:07.133Z,bid-extra-60354150163,2026-04-23T23:55:14.039Z
3952261,655371,5184.68,2026-04-23T22:00:07.133Z,bid-extra-60354150173,2026-04-23T23:55:14.039Z
3952391,655681,5820.28,2026-04-23T22:00:07.133Z,bid-extra-60354150183,2026-04-23T23:55:14.039Z
3952521,655991,6455.88,2026-04-23T22:00:07.133Z,bid-extra-60354150193,2026-04-23T23:55:14.039Z
3952781,656611,7727.08,2026-04-23T22:00:07.133Z,bid-extra-60354150213,2026-04-23T23:55:14.039Z
3952911,656921,8362.68,2026-04-23T22:00:07.133Z,bid-extra-60354150223,2026-04-23T23:55:14.039Z
3953041,657231,8998.28,2026-04-23T22:00:07.133Z,bid-extra-60354150233,2026-04-23T23:55:14.039Z
3953171,657541,9633.880000000001,2026-04-23T22:00:07.133Z,bid-extra-60354150243,2026-04-23T23:55:14.039Z
3953431,658161,6365.08,2026-04-23T22:00:07.134Z,bid-extra-60354150263,2026-04-23T23:55:14.039Z
3953561,658471,7000.68,2026-04-23T22:00:07.134Z,bid-extra-60354150273,2026-04-23T23:55:14.039Z
3953691,658781,7636.280000000001,2026-04-23T22:00:07.134Z,bid-extra-60354150283,2026-04-23T23:55:14.039Z
3953821,659091,8271.880000000001,2026-04-23T22:00:07.134Z,bid-extra-60354150293,2026-04-23T23:55:14.039Z
3954081,659711,9543.08,2026-04-23T22:00:07.134Z,bid-extra-60354150313,2026-04-23T23:55:14.039Z
3954211,660021,10178.68,2026-04-23T22:00:07.134Z,bid-extra-60354150323,2026-04-23T23:55:14.039Z
3954341,660331,10814.28,2026-04-23T22:00:07.134Z,bid-extra-60354150333,2026-04-23T23:55:14.039Z
3954471,660641,11449.880000000001,2026-04-23T22:00:07.134Z,bid-extra-60354150343,2026-04-23T23:55:14.039Z
3954731,661261,12721.08,2026-04-23T22:00:07.135Z,bid-extra-60354150363,2026-04-23T23:55:14.039Z
3954861,661571,8816.68,2026-04-23T22:00:07.135Z,bid-extra-60354150373,2026-04-23T23:55:14.039Z
3954991,661881,9452.28,2026-04-23T22:00:07.135Z,bid-extra-60354150383,2026-04-23T23:55:14.039Z
3955121,662191,10087.880000000001,2026-04-23T22:00:07.135Z,bid-extra-60354150393,2026-04-23T23:55:14.039Z
3955381,662811,2369.88,2026-04-23T22:00:07.135Z,bid-extra-60354150413,2026-04-23T23:55:14.039Z
3955511,663121,3005.48,2026-04-23T22:00:07.135Z,bid-extra-60354150423,2026-04-23T23:55:14.039Z
3955641,663431,3641.08,2026-04-23T22:00:07.135Z,bid-extra-60354150433,2026-04-23T23:55:14.039Z
3955771,663741,4276.68,2026-04-23T22:00:07.135Z,bid-extra-60354150443,2026-04-23T23:55:14.039Z
3956031,664361,5547.88,2026-04-23T22:00:07.136Z,bid-extra-60354150463,2026-04-23T23:55:14.039Z
3956161,664671,6183.4800000000005,2026-04-23T22:00:07.136Z,bid-extra-60354150473,2026-04-23T23:55:14.039Z
3956291,664981,6819.08,2026-04-23T22:00:07.136Z,bid-extra-60354150483,2026-04-23T23:55:14.039Z
3956421,665291,2914.6800000000003,2026-04-23T22:00:07.136Z,bid-extra-60354150493,2026-04-23T23:55:14.039Z
3956681,665911,4185.88,2026-04-23T22:00:07.136Z,bid-extra-60354150513,2026-04-23T23:55:14.039Z
3956811,666221,4821.4800000000005,2026-04-23T22:00:07.136Z,bid-extra-60354150523,2026-04-23T23:55:14.039Z
3956941,666531,5457.08,2026-04-23T22:00:07.136Z,bid-extra-60354150533,2026-04-23T23:55:14.039Z
3957071,666841,6092.68,2026-04-23T22:00:07.136Z,bid-extra-60354150543,2026-04-23T23:55:14.039Z
3957331,667461,7363.88,2026-04-23T22:00:07.137Z,bid-extra-60354150563,2026-04-23T23:55:14.039Z
3957461,667771,7999.4800000000005,2026-04-23T22:00:07.137Z,bid-extra-60354150573,2026-04-23T23:55:14.039Z
3957591,668081,8635.08,2026-04-23T22:00:07.137Z,bid-extra-60354150583,2026-04-23T23:55:14.039Z
3957721,668391,9270.68,2026-04-23T22:00:07.137Z,bid-extra-60354150593,2026-04-23T23:55:14.039Z
3957981,669011,6001.88,2026-04-23T22:00:07.137Z,bid-extra-60354150613,2026-04-23T23:55:14.039Z
3958111,669321,6637.4800000000005,2026-04-23T22:00:07.137Z,bid-extra-60354150623,2026-04-23T23:55:14.039Z
3958241,669631,7273.08,2026-04-23T22:00:07.137Z,bid-extra-60354150633,2026-04-23T23:55:14.039Z
3958371,669941,7908.68,2026-04-23T22:00:07.137Z,bid-extra-60354150643,2026-04-23T23:55:14.039Z
3958631,670561,9179.880000000001,2026-04-23T22:00:07.138Z,bid-extra-60354150663,2026-04-23T23:55:14.039Z
3958761,670871,9815.48,2026-04-23T22:00:07.138Z,bid-extra-60354150673,2026-04-23T23:55:14.039Z
3958891,671181,10451.08,2026-04-23T22:00:07.138Z,bid-extra-60354150683,2026-04-23T23:55:14.039Z
3959021,671491,11086.68,2026-04-23T22:00:07.138Z,bid-extra-60354150693,2026-04-23T23:55:14.039Z
3959281,672111,12357.880000000001,2026-04-23T22:00:07.138Z,bid-extra-60354150713,2026-04-23T23:55:14.039Z
3959411,672421,12993.48,2026-04-23T22:00:07.138Z,bid-extra-60354150723,2026-04-23T23:55:14.039Z
3959541,672731,9089.08,2026-04-23T22:00:07.138Z,bid-extra-60354150733,2026-04-23T23:55:14.039Z
3959671,673041,735.48,2026-04-23T22:00:07.138Z,bid-extra-60354150743,2026-04-23T23:55:14.039Z
3959931,673661,2006.68,2026-04-23T22:00:07.139Z,bid-extra-60354150763,2026-04-23T23:55:14.039Z
3960061,673971,2642.28,2026-04-23T22:00:07.139Z,bid-extra-60354150773,2026-04-23T23:55:14.039Z
3960191,674281,3277.88,2026-04-23T22:00:07.139Z,bid-extra-60354150783,2026-04-23T23:55:14.039Z
3960321,674591,3913.48,2026-04-23T22:00:07.139Z,bid-extra-60354150793,2026-04-23T23:55:14.039Z
3960581,675211,5184.68,2026-04-23T22:00:07.139Z,bid-extra-60354150813,2026-04-23T23:55:14.039Z
3960711,675521,5820.28,2026-04-23T22:00:07.139Z,bid-extra-60354150823,2026-04-23T23:55:14.039Z
3960841,675831,6455.88,2026-04-23T22:00:07.139Z,bid-extra-60354150833,2026-04-23T23:55:14.039Z
3960971,676141,7091.4800000000005,2026-04-23T22:00:07.139Z,bid-extra-60354150843,2026-04-23T23:55:14.039Z
3961231,676761,3822.6800000000003,2026-04-23T22:00:07.140Z,bid-extra-60354150863,2026-04-23T23:55:14.039Z
3961361,677071,4458.28,2026-04-23T22:00:07.140Z,bid-extra-60354150873,2026-04-23T23:55:14.039Z
3961491,677381,5093.88,2026-04-23T22:00:07.140Z,bid-extra-60354150883,2026-04-23T23:55:14.039Z
3961621,677691,5729.4800000000005,2026-04-23T22:00:07.140Z,bid-extra-60354150893,2026-04-23T23:55:14.039Z
3961881,678311,7000.68,2026-04-23T22:00:07.140Z,bid-extra-60354150913,2026-04-23T23:55:14.039Z
3962011,678621,7636.280000000001,2026-04-23T22:00:07.140Z,bid-extra-60354150923,2026-04-23T23:55:14.039Z
3962141,678931,8271.880000000001,2026-04-23T22:00:07.140Z,bid-extra-60354150933,2026-04-23T23:55:14.039Z
3962271,679241,8907.48,2026-04-23T22:00:07.140Z,bid-extra-60354150943,2026-04-23T23:55:14.039Z
3962531,679861,10178.68,2026-04-23T22:00:07.141Z,bid-extra-60354150963,2026-04-23T23:55:14.039Z
3962661,680171,10814.28,2026-04-23T22:00:07.141Z,bid-extra-60354150973,2026-04-23T23:55:14.039Z
3962791,680481,6909.88,2026-04-23T22:00:07.141Z,bid-extra-60354150983,2026-04-23T23:55:14.039Z
3962921,680791,7545.4800000000005,2026-04-23T22:00:07.141Z,bid-extra-60354150993,2026-04-23T23:55:14.039Z
3963181,681411,8816.68,2026-04-23T22:00:07.141Z,bid-extra-60354151013,2026-04-23T23:55:14.039Z
3963311,681721,9452.28,2026-04-23T22:00:07.141Z,bid-extra-60354151023,2026-04-23T23:55:14.039Z
3963441,682031,10087.880000000001,2026-04-23T22:00:07.141Z,bid-extra-60354151033,2026-04-23T23:55:14.039Z
3963571,682341,10723.48,2026-04-23T22:00:07.141Z,bid-extra-60354151043,2026-04-23T23:55:14.039Z
3963831,682961,11994.68,2026-04-23T22:00:07.142Z,bid-extra-60354151063,2026-04-23T23:55:14.039Z
3963961,683271,12630.28,2026-04-23T22:00:07.142Z,bid-extra-60354151073,2026-04-23T23:55:14.039Z
3964091,683581,4276.68,2026-04-23T22:00:07.142Z,bid-extra-60354151083,2026-04-23T23:55:14.039Z
3964221,683891,4912.28,2026-04-23T22:00:07.142Z,bid-extra-60354151093,2026-04-23T23:55:14.039Z
3964481,684511,1643.48,2026-04-23T22:00:07.142Z,bid-extra-60354151113,2026-04-23T23:55:14.039Z
3964611,684821,2279.08,2026-04-23T22:00:07.142Z,bid-extra-60354151123,2026-04-23T23:55:14.039Z
3964741,685131,2914.6800000000003,2026-04-23T22:00:07.142Z,bid-extra-60354151133,2026-04-23T23:55:14.039Z
3964871,685441,3550.28,2026-04-23T22:00:07.142Z,bid-extra-60354151143,2026-04-23T23:55:14.039Z
3965131,686061,4821.4800000000005,2026-04-23T22:00:07.143Z,bid-extra-60354151163,2026-04-23T23:55:14.039Z
3965261,686371,5457.08,2026-04-23T22:00:07.143Z,bid-extra-60354151173,2026-04-23T23:55:14.039Z
3965391,686681,6092.68,2026-04-23T22:00:07.143Z,bid-extra-60354151183,2026-04-23T23:55:14.039Z
3965521,686991,6728.280000000001,2026-04-23T22:00:07.143Z,bid-extra-60354151193,2026-04-23T23:55:14.039Z
3965781,687611,7999.4800000000005,2026-04-23T22:00:07.143Z,bid-extra-60354151213,2026-04-23T23:55:14.039Z
3965911,687921,4095.08,2026-04-23T22:00:07.143Z,bid-extra-60354151223,2026-04-23T23:55:14.039Z
3966041,688231,4730.68,2026-04-23T22:00:07.143Z,bid-extra-60354151233,2026-04-23T23:55:14.039Z
3966171,688541,5366.28,2026-04-23T22:00:07.143Z,bid-extra-60354151243,2026-04-23T23:55:14.039Z
3966431,689161,6637.4800000000005,2026-04-23T22:00:07.144Z,bid-extra-60354151263,2026-04-23T23:55:14.039Z
3966561,689471,7273.08,2026-04-23T22:00:07.144Z,bid-extra-60354151273,2026-04-23T23:55:14.039Z
3966691,689781,7908.68,2026-04-23T22:00:07.144Z,bid-extra-60354151283,2026-04-23T23:55:14.039Z
3966821,690091,8544.28,2026-04-23T22:00:07.144Z,bid-extra-60354151293,2026-04-23T23:55:14.039Z
3967081,690711,9815.48,2026-04-23T22:00:07.144Z,bid-extra-60354151313,2026-04-23T23:55:14.039Z
3967211,691021,10451.08,2026-04-23T22:00:07.144Z,bid-extra-60354151323,2026-04-23T23:55:14.039Z
3967341,691331,11086.68,2026-04-23T22:00:07.144Z,bid-extra-60354151333,2026-04-23T23:55:14.039Z
3967471,691641,7182.280000000001,2026-04-23T22:00:07.144Z,bid-extra-60354151343,2026-04-23T23:55:14.039Z
3967731,692261,8453.48,2026-04-23T22:00:07.145Z,bid-extra-60354151363,2026-04-23T23:55:14.039Z
3967861,692571,9089.08,2026-04-23T22:00:07.145Z,bid-extra-60354151373,2026-04-23T23:55:14.039Z
3967991,692881,9724.68,2026-04-23T22:00:07.145Z,bid-extra-60354151383,2026-04-23T23:55:14.039Z
