auction,bidder,price,dateTime,extra,processed_time
6450181,150411,2279.08,2026-04-23T21:58:52.131Z,bid-extra-60346650013,2026-04-23T23:55:14.039Z
6450311,150721,2914.6800000000003,2026-04-23T21:58:52.131Z,bid-extra-60346650023,2026-04-23T23:55:14.039Z
6450441,151031,3550.28,2026-04-23T21:58:52.131Z,bid-extra-60346650033,2026-04-23T23:55:14.039Z
6450571,151341,4185.88,2026-04-23T21:58:52.131Z,bid-extra-60346650043,2026-04-23T23:55:14.039Z
6450831,151961,5457.08,2026-04-23T21:58:52.132Z,bid-extra-60346650063,2026-04-23T23:55:14.039Z
6450961,152271,6092.68,2026-04-23T21:58:52.132Z,bid-extra-60346650073,2026-04-23T23:55:14.039Z
6451091,152581,6728.280000000001,2026-04-23T21:58:52.132Z,bid-extra-60346650083,2026-04-23T23:55:14.039Z
6451221,152891,7363.88,2026-04-23T21:58:52.132Z,bid-extra-60346650093,2026-04-23T23:55:14.039Z
6451481,153511,8635.08,2026-04-23T21:58:52.132Z,bid-extra-60346650113,2026-04-23T23:55:14.039Z
6451611,153821,4730.68,2026-04-23T21:58:52.132Z,bid-extra-60346650123,2026-04-23T23:55:14.039Z
6451741,154131,5366.28,2026-04-23T21:58:52.132Z,bid-extra-60346650133,2026-04-23T23:55:14.039Z
6451871,154441,6001.88,2026-04-23T21:58:52.132Z,bid-extra-60346650143,2026-04-23T23:55:14.039Z
6452131,155061,7273.08,2026-04-23T21:58:52.133Z,bid-extra-60346650163,2026-04-23T23:55:14.039Z
6452261,155371,7908.68,2026-04-23T21:58:52.133Z,bid-extra-60346650173,2026-04-23T23:55:14.039Z
6452391,155681,8544.28,2026-04-23T21:58:52.133Z,bid-extra-60346650183,2026-04-23T23:55:14.039Z
6452521,155991,9179.880000000001,2026-04-23T21:58:52.133Z,bid-extra-60346650193,2026-04-23T23:55:14.039Z
6452781,156611,10451.08,2026-04-23T21:58:52.133Z,bid-extra-60346650213,2026-04-23T23:55:14.039Z
6452911,156921,11086.68,2026-04-23T21:58:52.133Z,bid-extra-60346650223,2026-04-23T23:55:14.039Z
6453041,157231,11722.28,2026-04-23T21:58:52.133Z,bid-extra-60346650233,2026-04-23T23:55:14.039Z
6453171,157541,12357.880000000001,2026-04-23T21:58:52.133Z,bid-extra-60346650243,2026-04-23T23:55:14.039Z
6453431,158161,9089.08,2026-04-23T21:58:52.134Z,bid-extra-60346650263,2026-04-23T23:55:14.039Z
6453561,158471,9724.68,2026-04-23T21:58:52.134Z,bid-extra-60346650273,2026-04-23T23:55:14.039Z
6453691,158781,10360.28,2026-04-23T21:58:52.134Z,bid-extra-60346650283,2026-04-23T23:55:14.039Z
6453821,159091,2006.68,2026-04-23T21:58:52.134Z,bid-extra-60346650293,2026-04-23T23:55:14.039Z
6454081,159711,3277.88,2026-04-23T21:58:52.134Z,bid-extra-60346650313,2026-04-23T23:55:14.039Z
6454211,160021,3913.48,2026-04-23T21:58:52.134Z,bid-extra-60346650323,2026-04-23T23:55:14.039Z
6454341,160331,4549.08,2026-04-23T21:58:52.134Z,bid-extra-60346650333,2026-04-23T23:55:14.039Z
6454471,160641,5184.68,2026-04-23T21:58:52.134Z,bid-extra-60346650343,2026-04-23T23:55:14.039Z
6454731,161261,6455.88,2026-04-23T21:58:52.135Z,bid-extra-60346650363,2026-04-23T23:55:14.039Z
6454861,161571,2551.48,2026-04-23T21:58:52.135Z,bid-extra-60346650373,2026-04-23T23:55:14.039Z
6454991,161881,3187.08,2026-04-23T21:58:52.135Z,bid-extra-60346650383,2026-04-23T23:55:14.039Z
6455121,162191,3822.6800000000003,2026-04-23T21:58:52.135Z,bid-extra-60346650393,2026-04-23T23:55:14.039Z
6455381,162811,5093.88,2026-04-23T21:58:52.135Z,bid-extra-60346650413,2026-04-23T23:55:14.039Z
6455511,163121,5729.4800000000005,2026-04-23T21:58:52.135Z,bid-extra-60346650423,2026-04-23T23:55:14.039Z
6455641,163431,6365.08,2026-04-23T21:58:52.135Z,bid-extra-60346650433,2026-04-23T23:55:14.039Z
6455771,163741,7000.68,2026-04-23T21:58:52.135Z,bid-extra-60346650443,2026-04-23T23:55:14.039Z
6456031,164361,8271.880000000001,2026-04-23T21:58:52.136Z,bid-extra-60346650463,2026-04-23T23:55:14.039Z
6456161,164671,8907.48,2026-04-23T21:58:52.136Z,bid-extra-60346650473,2026-04-23T23:55:14.039Z
6456291,164981,9543.08,2026-04-23T21:58:52.136Z,bid-extra-60346650483,2026-04-23T23:55:14.039Z
6456421,165291,5638.68,2026-04-23T21:58:52.136Z,bid-extra-60346650493,2026-04-23T23:55:14.039Z
6456681,165911,6909.88,2026-04-23T21:58:52.136Z,bid-extra-60346650513,2026-04-23T23:55:14.039Z
6456811,166221,7545.4800000000005,2026-04-23T21:58:52.136Z,bid-extra-60346650523,2026-04-23T23:55:14.039Z
6456941,166531,8181.08,2026-04-23T21:58:52.136Z,bid-extra-60346650533,2026-04-23T23:55:14.039Z
6457071,166841,8816.68,2026-04-23T21:58:52.136Z,bid-extra-60346650543,2026-04-23T23:55:14.039Z
6457331,167461,10087.880000000001,2026-04-23T21:58:52.137Z,bid-extra-60346650563,2026-04-23T23:55:14.039Z
6457461,167771,10723.48,2026-04-23T21:58:52.137Z,bid-extra-60346650573,2026-04-23T23:55:14.039Z
