auction,bidder,price,dateTime,extra,processed_time
1450181,150411,5184.68,2026-04-23T22:03:02.131Z,bid-extra-60371650013,2026-04-23T23:55:14.039Z
1450311,150721,5820.28,2026-04-23T22:03:02.131Z,bid-extra-60371650023,2026-04-23T23:55:14.039Z
1450441,151031,6455.88,2026-04-23T22:03:02.131Z,bid-extra-60371650033,2026-04-23T23:55:14.039Z
1450571,151341,7091.4800000000005,2026-04-23T22:03:02.131Z,bid-extra-60371650043,2026-04-23T23:55:14.039Z
1450831,151961,8362.68,2026-04-23T22:03:02.132Z,bid-extra-60371650063,2026-04-23T23:55:14.039Z
1450961,152271,8998.28,2026-04-23T22:03:02.132Z,bid-extra-60371650073,2026-04-23T23:55:14.039Z
1451091,152581,9633.880000000001,2026-04-23T22:03:02.132Z,bid-extra-60371650083,2026-04-23T23:55:14.039Z
1451221,152891,10269.48,2026-04-23T22:03:02.132Z,bid-extra-60371650093,2026-04-23T23:55:14.039Z
1451481,153511,11540.68,2026-04-23T22:03:02.132Z,bid-extra-60371650113,2026-04-23T23:55:14.039Z
1451611,153821,7636.280000000001,2026-04-23T22:03:02.132Z,bid-extra-60371650123,2026-04-23T23:55:14.039Z
1451741,154131,8271.880000000001,2026-04-23T22:03:02.132Z,bid-extra-60371650133,2026-04-23T23:55:14.039Z
1451871,154441,8907.48,2026-04-23T22:03:02.132Z,bid-extra-60371650143,2026-04-23T23:55:14.039Z
1452131,155061,10178.68,2026-04-23T22:03:02.133Z,bid-extra-60371650163,2026-04-23T23:55:14.039Z
1452261,155371,10814.28,2026-04-23T22:03:02.133Z,bid-extra-60371650173,2026-04-23T23:55:14.039Z
1452391,155681,2460.6800000000003,2026-04-23T22:03:02.133Z,bid-extra-60371650183,2026-04-23T23:55:14.039Z
1452521,155991,3096.28,2026-04-23T22:03:02.133Z,bid-extra-60371650193,2026-04-23T23:55:14.039Z
1452781,156611,4367.4800000000005,2026-04-23T22:03:02.133Z,bid-extra-60371650213,2026-04-23T23:55:14.039Z
1452911,156921,5003.08,2026-04-23T22:03:02.133Z,bid-extra-60371650223,2026-04-23T23:55:14.039Z
1453041,157231,5638.68,2026-04-23T22:03:02.133Z,bid-extra-60371650233,2026-04-23T23:55:14.039Z
1453171,157541,6274.280000000001,2026-04-23T22:03:02.133Z,bid-extra-60371650243,2026-04-23T23:55:14.039Z
1453431,158161,3005.48,2026-04-23T22:03:02.134Z,bid-extra-60371650263,2026-04-23T23:55:14.039Z
1453561,158471,3641.08,2026-04-23T22:03:02.134Z,bid-extra-60371650273,2026-04-23T23:55:14.039Z
1453691,158781,4276.68,2026-04-23T22:03:02.134Z,bid-extra-60371650283,2026-04-23T23:55:14.039Z
1453821,159091,4912.28,2026-04-23T22:03:02.134Z,bid-extra-60371650293,2026-04-23T23:55:14.039Z
1454081,159711,6183.4800000000005,2026-04-23T22:03:02.134Z,bid-extra-60371650313,2026-04-23T23:55:14.039Z
1454211,160021,6819.08,2026-04-23T22:03:02.134Z,bid-extra-60371650323,2026-04-23T23:55:14.039Z
1454341,160331,7454.68,2026-04-23T22:03:02.134Z,bid-extra-60371650333,2026-04-23T23:55:14.039Z
1454471,160641,8090.280000000001,2026-04-23T22:03:02.134Z,bid-extra-60371650343,2026-04-23T23:55:14.039Z
1454731,161261,9361.48,2026-04-23T22:03:02.135Z,bid-extra-60371650363,2026-04-23T23:55:14.039Z
1454861,161571,5457.08,2026-04-23T22:03:02.135Z,bid-extra-60371650373,2026-04-23T23:55:14.039Z
1454991,161881,6092.68,2026-04-23T22:03:02.135Z,bid-extra-60371650383,2026-04-23T23:55:14.039Z
1455121,162191,6728.280000000001,2026-04-23T22:03:02.135Z,bid-extra-60371650393,2026-04-23T23:55:14.039Z
1455381,162811,7999.4800000000005,2026-04-23T22:03:02.135Z,bid-extra-60371650413,2026-04-23T23:55:14.039Z
1455511,163121,8635.08,2026-04-23T22:03:02.135Z,bid-extra-60371650423,2026-04-23T23:55:14.039Z
1455641,163431,9270.68,2026-04-23T22:03:02.135Z,bid-extra-60371650433,2026-04-23T23:55:14.039Z
1455771,163741,9906.28,2026-04-23T22:03:02.135Z,bid-extra-60371650443,2026-04-23T23:55:14.039Z
1456031,164361,11177.48,2026-04-23T22:03:02.136Z,bid-extra-60371650463,2026-04-23T23:55:14.039Z
1456161,164671,11813.08,2026-04-23T22:03:02.136Z,bid-extra-60371650473,2026-04-23T23:55:14.039Z
1456291,164981,12448.68,2026-04-23T22:03:02.136Z,bid-extra-60371650483,2026-04-23T23:55:14.039Z
1456421,165291,8544.28,2026-04-23T22:03:02.136Z,bid-extra-60371650493,2026-04-23T23:55:14.039Z
1456681,165911,9815.48,2026-04-23T22:03:02.136Z,bid-extra-60371650513,2026-04-23T23:55:14.039Z
1456811,166221,1461.88,2026-04-23T22:03:02.136Z,bid-extra-60371650523,2026-04-23T23:55:14.039Z
1456941,166531,2097.48,2026-04-23T22:03:02.136Z,bid-extra-60371650533,2026-04-23T23:55:14.039Z
1457071,166841,2733.08,2026-04-23T22:03:02.136Z,bid-extra-60371650543,2026-04-23T23:55:14.039Z
1457331,167461,4004.28,2026-04-23T22:03:02.137Z,bid-extra-60371650563,2026-04-23T23:55:14.039Z
1457461,167771,4639.88,2026-04-23T22:03:02.137Z,bid-extra-60371650573,2026-04-23T23:55:14.039Z
1457591,168081,5275.4800000000005,2026-04-23T22:03:02.137Z,bid-extra-60371650583,2026-04-23T23:55:14.039Z
1457721,168391,5911.08,2026-04-23T22:03:02.137Z,bid-extra-60371650593,2026-04-23T23:55:14.039Z
1457981,169011,2642.28,2026-04-23T22:03:02.137Z,bid-extra-60371650613,2026-04-23T23:55:14.039Z
1458111,169321,3277.88,2026-04-23T22:03:02.137Z,bid-extra-60371650623,2026-04-23T23:55:14.039Z
1458241,169631,3913.48,2026-04-23T22:03:02.137Z,bid-extra-60371650633,2026-04-23T23:55:14.039Z
1458371,169941,4549.08,2026-04-23T22:03:02.137Z,bid-extra-60371650643,2026-04-23T23:55:14.039Z
1458631,170561,5820.28,2026-04-23T22:03:02.138Z,bid-extra-60371650663,2026-04-23T23:55:14.039Z
