auction,bidder,price,dateTime,extra,processed_time
2700181,900411,6546.68,2026-04-23T22:02:24.631Z,bid-extra-60367900013,2026-04-23T23:55:14.039Z
2700311,900721,7182.280000000001,2026-04-23T22:02:24.631Z,bid-extra-60367900023,2026-04-23T23:55:14.039Z
2700441,901031,7817.88,2026-04-23T22:02:24.631Z,bid-extra-60367900033,2026-04-23T23:55:14.039Z
2700571,901341,8453.48,2026-04-23T22:02:24.631Z,bid-extra-60367900043,2026-04-23T23:55:14.039Z
2700831,901961,9724.68,2026-04-23T22:02:24.632Z,bid-extra-60367900063,2026-04-23T23:55:14.039Z
2700961,902271,10360.28,2026-04-23T22:02:24.632Z,bid-extra-60367900073,2026-04-23T23:55:14.039Z
2701091,902581,10995.880000000001,2026-04-23T22:02:24.632Z,bid-extra-60367900083,2026-04-23T23:55:14.039Z
2701221,902891,11631.48,2026-04-23T22:02:24.632Z,bid-extra-60367900093,2026-04-23T23:55:14.039Z
2701481,903511,12902.68,2026-04-23T22:02:24.632Z,bid-extra-60367900113,2026-04-23T23:55:14.039Z
2701611,903821,8998.28,2026-04-23T22:02:24.632Z,bid-extra-60367900123,2026-04-23T23:55:14.039Z
2701741,904131,644.6800000000001,2026-04-23T22:02:24.632Z,bid-extra-60367900133,2026-04-23T23:55:14.039Z
2701871,904441,1280.28,2026-04-23T22:02:24.632Z,bid-extra-60367900143,2026-04-23T23:55:14.039Z
2702131,905061,2551.48,2026-04-23T22:02:24.633Z,bid-extra-60367900163,2026-04-23T23:55:14.039Z
2702261,905371,3187.08,2026-04-23T22:02:24.633Z,bid-extra-60367900173,2026-04-23T23:55:14.039Z
2702391,905681,3822.6800000000003,2026-04-23T22:02:24.633Z,bid-extra-60367900183,2026-04-23T23:55:14.039Z
2702521,905991,4458.28,2026-04-23T22:02:24.633Z,bid-extra-60367900193,2026-04-23T23:55:14.039Z
2702781,906611,5729.4800000000005,2026-04-23T22:02:24.633Z,bid-extra-60367900213,2026-04-23T23:55:14.039Z
2702911,906921,6365.08,2026-04-23T22:02:24.633Z,bid-extra-60367900223,2026-04-23T23:55:14.039Z
2703041,907231,7000.68,2026-04-23T22:02:24.633Z,bid-extra-60367900233,2026-04-23T23:55:14.039Z
2703171,907541,7636.280000000001,2026-04-23T22:02:24.633Z,bid-extra-60367900243,2026-04-23T23:55:14.039Z
2703431,908161,4367.4800000000005,2026-04-23T22:02:24.634Z,bid-extra-60367900263,2026-04-23T23:55:14.039Z
2703561,908471,5003.08,2026-04-23T22:02:24.634Z,bid-extra-60367900273,2026-04-23T23:55:14.039Z
