auction,bidder,price,dateTime,extra,processed_time
200181,400411,5093.88,2026-04-23T22:00:19.631Z,bid-extra-60355400013,2026-04-23T23:55:14.039Z
200311,400721,5729.4800000000005,2026-04-23T22:00:19.631Z,bid-extra-60355400023,2026-04-23T23:55:14.039Z
200441,401031,6365.08,2026-04-23T22:00:19.631Z,bid-extra-60355400033,2026-04-23T23:55:14.039Z
200571,401341,7000.68,2026-04-23T22:00:19.631Z,bid-extra-60355400043,2026-04-23T23:55:14.039Z
200831,401961,8271.880000000001,2026-04-23T22:00:19.632Z,bid-extra-60355400063,2026-04-23T23:55:14.039Z
200961,402271,8907.48,2026-04-23T22:00:19.632Z,bid-extra-60355400073,2026-04-23T23:55:14.039Z
201091,402581,9543.08,2026-04-23T22:00:19.632Z,bid-extra-60355400083,2026-04-23T23:55:14.039Z
201221,402891,10178.68,2026-04-23T22:00:19.632Z,bid-extra-60355400093,2026-04-23T23:55:14.039Z
201481,403511,11449.880000000001,2026-04-23T22:00:19.632Z,bid-extra-60355400113,2026-04-23T23:55:14.039Z
201611,403821,7545.4800000000005,2026-04-23T22:00:19.632Z,bid-extra-60355400123,2026-04-23T23:55:14.039Z
201741,404131,8181.08,2026-04-23T22:00:19.632Z,bid-extra-60355400133,2026-04-23T23:55:14.039Z
201871,404441,8816.68,2026-04-23T22:00:19.632Z,bid-extra-60355400143,2026-04-23T23:55:14.039Z
202131,405061,10087.880000000001,2026-04-23T22:00:19.633Z,bid-extra-60355400163,2026-04-23T23:55:14.039Z
202261,405371,10723.48,2026-04-23T22:00:19.633Z,bid-extra-60355400173,2026-04-23T23:55:14.039Z
202391,405681,2369.88,2026-04-23T22:00:19.633Z,bid-extra-60355400183,2026-04-23T23:55:14.039Z
202521,405991,3005.48,2026-04-23T22:00:19.633Z,bid-extra-60355400193,2026-04-23T23:55:14.039Z
202781,406611,4276.68,2026-04-23T22:00:19.633Z,bid-extra-60355400213,2026-04-23T23:55:14.039Z
202911,406921,4912.28,2026-04-23T22:00:19.633Z,bid-extra-60355400223,2026-04-23T23:55:14.039Z
203041,407231,5547.88,2026-04-23T22:00:19.633Z,bid-extra-60355400233,2026-04-23T23:55:14.039Z
203171,407541,6183.4800000000005,2026-04-23T22:00:19.633Z,bid-extra-60355400243,2026-04-23T23:55:14.039Z
203431,408161,2914.6800000000003,2026-04-23T22:00:19.634Z,bid-extra-60355400263,2026-04-23T23:55:14.039Z
203561,408471,3550.28,2026-04-23T22:00:19.634Z,bid-extra-60355400273,2026-04-23T23:55:14.039Z
203691,408781,4185.88,2026-04-23T22:00:19.634Z,bid-extra-60355400283,2026-04-23T23:55:14.039Z
203821,409091,4821.4800000000005,2026-04-23T22:00:19.634Z,bid-extra-60355400293,2026-04-23T23:55:14.039Z
204081,409711,6092.68,2026-04-23T22:00:19.634Z,bid-extra-60355400313,2026-04-23T23:55:14.039Z
204211,410021,6728.280000000001,2026-04-23T22:00:19.634Z,bid-extra-60355400323,2026-04-23T23:55:14.039Z
204341,410331,7363.88,2026-04-23T22:00:19.634Z,bid-extra-60355400333,2026-04-23T23:55:14.039Z
204471,410641,7999.4800000000005,2026-04-23T22:00:19.634Z,bid-extra-60355400343,2026-04-23T23:55:14.039Z
204731,411261,9270.68,2026-04-23T22:00:19.635Z,bid-extra-60355400363,2026-04-23T23:55:14.039Z
204861,411571,5366.28,2026-04-23T22:00:19.635Z,bid-extra-60355400373,2026-04-23T23:55:14.039Z
204991,411881,6001.88,2026-04-23T22:00:19.635Z,bid-extra-60355400383,2026-04-23T23:55:14.039Z
205121,412191,6637.4800000000005,2026-04-23T22:00:19.635Z,bid-extra-60355400393,2026-04-23T23:55:14.039Z
205381,412811,7908.68,2026-04-23T22:00:19.635Z,bid-extra-60355400413,2026-04-23T23:55:14.039Z
205511,413121,8544.28,2026-04-23T22:00:19.635Z,bid-extra-60355400423,2026-04-23T23:55:14.039Z
205641,413431,9179.880000000001,2026-04-23T22:00:19.635Z,bid-extra-60355400433,2026-04-23T23:55:14.039Z
205771,413741,9815.48,2026-04-23T22:00:19.635Z,bid-extra-60355400443,2026-04-23T23:55:14.039Z
206031,414361,11086.68,2026-04-23T22:00:19.636Z,bid-extra-60355400463,2026-04-23T23:55:14.039Z
206161,414671,11722.28,2026-04-23T22:00:19.636Z,bid-extra-60355400473,2026-04-23T23:55:14.039Z
206291,414981,12357.880000000001,2026-04-23T22:00:19.636Z,bid-extra-60355400483,2026-04-23T23:55:14.039Z
206421,415291,8453.48,2026-04-23T22:00:19.636Z,bid-extra-60355400493,2026-04-23T23:55:14.039Z
206681,415911,9724.68,2026-04-23T22:00:19.636Z,bid-extra-60355400513,2026-04-23T23:55:14.039Z
206811,416221,10360.28,2026-04-23T22:00:19.636Z,bid-extra-60355400523,2026-04-23T23:55:14.039Z
206941,416531,2006.68,2026-04-23T22:00:19.636Z,bid-extra-60355400533,2026-04-23T23:55:14.039Z
207071,416841,2642.28,2026-04-23T22:00:19.636Z,bid-extra-60355400543,2026-04-23T23:55:14.039Z
207331,417461,3913.48,2026-04-23T22:00:19.637Z,bid-extra-60355400563,2026-04-23T23:55:14.039Z
207461,417771,4549.08,2026-04-23T22:00:19.637Z,bid-extra-60355400573,2026-04-23T23:55:14.039Z
207591,418081,5184.68,2026-04-23T22:00:19.637Z,bid-extra-60355400583,2026-04-23T23:55:14.039Z
207721,418391,5820.28,2026-04-23T22:00:19.637Z,bid-extra-60355400593,2026-04-23T23:55:14.039Z
207981,419011,2551.48,2026-04-23T22:00:19.637Z,bid-extra-60355400613,2026-04-23T23:55:14.039Z
208111,419321,3187.08,2026-04-23T22:00:19.637Z,bid-extra-60355400623,2026-04-23T23:55:14.039Z
208241,419631,3822.6800000000003,2026-04-23T22:00:19.637Z,bid-extra-60355400633,2026-04-23T23:55:14.039Z
208371,419941,4458.28,2026-04-23T22:00:19.637Z,bid-extra-60355400643,2026-04-23T23:55:14.039Z
208631,420561,5729.4800000000005,2026-04-23T22:00:19.638Z,bid-extra-60355400663,2026-04-23T23:55:14.039Z
208761,420871,6365.08,2026-04-23T22:00:19.638Z,bid-extra-60355400673,2026-04-23T23:55:14.039Z
208891,421181,7000.68,2026-04-23T22:00:19.638Z,bid-extra-60355400683,2026-04-23T23:55:14.039Z
209021,421491,7636.280000000001,2026-04-23T22:00:19.638Z,bid-extra-60355400693,2026-04-23T23:55:14.039Z
209281,422111,8907.48,2026-04-23T22:00:19.638Z,bid-extra-60355400713,2026-04-23T23:55:14.039Z
209411,422421,9543.08,2026-04-23T22:00:19.638Z,bid-extra-60355400723,2026-04-23T23:55:14.039Z
209541,422731,5638.68,2026-04-23T22:00:19.638Z,bid-extra-60355400733,2026-04-23T23:55:14.039Z
209671,423041,6274.280000000001,2026-04-23T22:00:19.638Z,bid-extra-60355400743,2026-04-23T23:55:14.039Z
209931,423661,7545.4800000000005,2026-04-23T22:00:19.639Z,bid-extra-60355400763,2026-04-23T23:55:14.039Z
210061,423971,8181.08,2026-04-23T22:00:19.639Z,bid-extra-60355400773,2026-04-23T23:55:14.039Z
210191,424281,8816.68,2026-04-23T22:00:19.639Z,bid-extra-60355400783,2026-04-23T23:55:14.039Z
210321,424591,9452.28,2026-04-23T22:00:19.639Z,bid-extra-60355400793,2026-04-23T23:55:14.039Z
210581,425211,10723.48,2026-04-23T22:00:19.639Z,bid-extra-60355400813,2026-04-23T23:55:14.039Z
210711,425521,11359.08,2026-04-23T22:00:19.639Z,bid-extra-60355400823,2026-04-23T23:55:14.039Z
210841,425831,11994.68,2026-04-23T22:00:19.639Z,bid-extra-60355400833,2026-04-23T23:55:14.039Z
210971,426141,12630.28,2026-04-23T22:00:19.639Z,bid-extra-60355400843,2026-04-23T23:55:14.039Z
211231,426761,9361.48,2026-04-23T22:00:19.640Z,bid-extra-60355400863,2026-04-23T23:55:14.039Z
211361,427071,1007.88,2026-04-23T22:00:19.640Z,bid-extra-60355400873,2026-04-23T23:55:14.039Z
211491,427381,1643.48,2026-04-23T22:00:19.640Z,bid-extra-60355400883,2026-04-23T23:55:14.039Z
211621,427691,2279.08,2026-04-23T22:00:19.640Z,bid-extra-60355400893,2026-04-23T23:55:14.039Z
211881,428311,3550.28,2026-04-23T22:00:19.640Z,bid-extra-60355400913,2026-04-23T23:55:14.039Z
212011,428621,4185.88,2026-04-23T22:00:19.640Z,bid-extra-60355400923,2026-04-23T23:55:14.039Z
212141,428931,4821.4800000000005,2026-04-23T22:00:19.640Z,bid-extra-60355400933,2026-04-23T23:55:14.039Z
212271,429241,5457.08,2026-04-23T22:00:19.640Z,bid-extra-60355400943,2026-04-23T23:55:14.039Z
212531,429861,6728.280000000001,2026-04-23T22:00:19.641Z,bid-extra-60355400963,2026-04-23T23:55:14.039Z
212661,430171,7363.88,2026-04-23T22:00:19.641Z,bid-extra-60355400973,2026-04-23T23:55:14.039Z
212791,430481,3459.48,2026-04-23T22:00:19.641Z,bid-extra-60355400983,2026-04-23T23:55:14.039Z
212921,430791,4095.08,2026-04-23T22:00:19.641Z,bid-extra-60355400993,2026-04-23T23:55:14.039Z
213181,431411,5366.28,2026-04-23T22:00:19.641Z,bid-extra-60355401013,2026-04-23T23:55:14.039Z
213311,431721,6001.88,2026-04-23T22:00:19.641Z,bid-extra-60355401023,2026-04-23T23:55:14.039Z
213441,432031,6637.4800000000005,2026-04-23T22:00:19.641Z,bid-extra-60355401033,2026-04-23T23:55:14.039Z
213571,432341,7273.08,2026-04-23T22:00:19.641Z,bid-extra-60355401043,2026-04-23T23:55:14.039Z
213831,432961,8544.28,2026-04-23T22:00:19.642Z,bid-extra-60355401063,2026-04-23T23:55:14.039Z
213961,433271,9179.880000000001,2026-04-23T22:00:19.642Z,bid-extra-60355401073,2026-04-23T23:55:14.039Z
214091,433581,9815.48,2026-04-23T22:00:19.642Z,bid-extra-60355401083,2026-04-23T23:55:14.039Z
214221,433891,10451.08,2026-04-23T22:00:19.642Z,bid-extra-60355401093,2026-04-23T23:55:14.039Z
214481,434511,7182.280000000001,2026-04-23T22:00:19.642Z,bid-extra-60355401113,2026-04-23T23:55:14.039Z
214611,434821,7817.88,2026-04-23T22:00:19.642Z,bid-extra-60355401123,2026-04-23T23:55:14.039Z
214741,435131,8453.48,2026-04-23T22:00:19.642Z,bid-extra-60355401133,2026-04-23T23:55:14.039Z
214871,435441,9089.08,2026-04-23T22:00:19.642Z,bid-extra-60355401143,2026-04-23T23:55:14.039Z
215131,436061,10360.28,2026-04-23T22:00:19.643Z,bid-extra-60355401163,2026-04-23T23:55:14.039Z
215261,436371,10995.880000000001,2026-04-23T22:00:19.643Z,bid-extra-60355401173,2026-04-23T23:55:14.039Z
215391,436681,11631.48,2026-04-23T22:00:19.643Z,bid-extra-60355401183,2026-04-23T23:55:14.039Z
215521,436991,12267.08,2026-04-23T22:00:19.643Z,bid-extra-60355401193,2026-04-23T23:55:14.039Z
215781,437611,4549.08,2026-04-23T22:00:19.643Z,bid-extra-60355401213,2026-04-23T23:55:14.039Z
215911,437921,644.6800000000001,2026-04-23T22:00:19.643Z,bid-extra-60355401223,2026-04-23T23:55:14.039Z
216041,438231,1280.28,2026-04-23T22:00:19.643Z,bid-extra-60355401233,2026-04-23T23:55:14.039Z
216171,438541,1915.88,2026-04-23T22:00:19.643Z,bid-extra-60355401243,2026-04-23T23:55:14.039Z
216431,439161,3187.08,2026-04-23T22:00:19.644Z,bid-extra-60355401263,2026-04-23T23:55:14.039Z
216561,439471,3822.6800000000003,2026-04-23T22:00:19.644Z,bid-extra-60355401273,2026-04-23T23:55:14.039Z
216691,439781,4458.28,2026-04-23T22:00:19.644Z,bid-extra-60355401283,2026-04-23T23:55:14.039Z
216821,440091,5093.88,2026-04-23T22:00:19.644Z,bid-extra-60355401293,2026-04-23T23:55:14.039Z
217081,440711,6365.08,2026-04-23T22:00:19.644Z,bid-extra-60355401313,2026-04-23T23:55:14.039Z
217211,441021,7000.68,2026-04-23T22:00:19.644Z,bid-extra-60355401323,2026-04-23T23:55:14.039Z
217341,441331,7636.280000000001,2026-04-23T22:00:19.644Z,bid-extra-60355401333,2026-04-23T23:55:14.039Z
217471,441641,3731.88,2026-04-23T22:00:19.644Z,bid-extra-60355401343,2026-04-23T23:55:14.039Z
217731,442261,5003.08,2026-04-23T22:00:19.645Z,bid-extra-60355401363,2026-04-23T23:55:14.039Z
217861,442571,5638.68,2026-04-23T22:00:19.645Z,bid-extra-60355401373,2026-04-23T23:55:14.039Z
217991,442881,6274.280000000001,2026-04-23T22:00:19.645Z,bid-extra-60355401383,2026-04-23T23:55:14.039Z
218121,443191,6909.88,2026-04-23T22:00:19.645Z,bid-extra-60355401393,2026-04-23T23:55:14.039Z
218381,443811,8181.08,2026-04-23T22:00:19.645Z,bid-extra-60355401413,2026-04-23T23:55:14.039Z
218511,444121,8816.68,2026-04-23T22:00:19.645Z,bid-extra-60355401423,2026-04-23T23:55:14.039Z
218641,444431,9452.28,2026-04-23T22:00:19.645Z,bid-extra-60355401433,2026-04-23T23:55:14.039Z
218771,444741,10087.880000000001,2026-04-23T22:00:19.645Z,bid-extra-60355401443,2026-04-23T23:55:14.039Z
219031,445361,11359.08,2026-04-23T22:00:19.646Z,bid-extra-60355401463,2026-04-23T23:55:14.039Z
219161,445671,7454.68,2026-04-23T22:00:19.646Z,bid-extra-60355401473,2026-04-23T23:55:14.039Z
219291,445981,8090.280000000001,2026-04-23T22:00:19.646Z,bid-extra-60355401483,2026-04-23T23:55:14.039Z
219421,446291,8725.880000000001,2026-04-23T22:00:19.646Z,bid-extra-60355401493,2026-04-23T23:55:14.039Z
219681,446911,9997.08,2026-04-23T22:00:19.646Z,bid-extra-60355401513,2026-04-23T23:55:14.039Z
