auction,bidder,price,dateTime,extra,processed_time
9700064,900132,3977.04,2026-04-23T22:00:34.631Z,bid-extra-60356900004,2026-04-23T23:55:14.039Z
9700194,900442,4612.64,2026-04-23T22:00:34.631Z,bid-extra-60356900014,2026-04-23T23:55:14.039Z
9700324,900752,5248.24,2026-04-23T22:00:34.631Z,bid-extra-60356900024,2026-04-23T23:55:14.039Z
9700454,901062,5883.84,2026-04-23T22:00:34.631Z,bid-extra-60356900034,2026-04-23T23:55:14.039Z
9700584,901372,6519.4400000000005,2026-04-23T22:00:34.631Z,bid-extra-60356900044,2026-04-23T23:55:14.039Z
9700714,901682,7155.04,2026-04-23T22:00:34.632Z,bid-extra-60356900054,2026-04-23T23:55:14.039Z
9700844,901992,7790.64,2026-04-23T22:00:34.632Z,bid-extra-60356900064,2026-04-23T23:55:14.039Z
9700974,902302,8426.24,2026-04-23T22:00:34.632Z,bid-extra-60356900074,2026-04-23T23:55:14.039Z
9701104,902612,9061.84,2026-04-23T22:00:34.632Z,bid-extra-60356900084,2026-04-23T23:55:14.039Z
9701234,902922,9697.44,2026-04-23T22:00:34.632Z,bid-extra-60356900094,2026-04-23T23:55:14.039Z
9701364,903232,10333.04,2026-04-23T22:00:34.632Z,bid-extra-60356900104,2026-04-23T23:55:14.039Z
9701494,903542,10968.640000000001,2026-04-23T22:00:34.632Z,bid-extra-60356900114,2026-04-23T23:55:14.039Z
9701624,903852,7064.24,2026-04-23T22:00:34.632Z,bid-extra-60356900124,2026-04-23T23:55:14.039Z
9701754,904162,7699.84,2026-04-23T22:00:34.632Z,bid-extra-60356900134,2026-04-23T23:55:14.039Z
9701884,904472,8335.44,2026-04-23T22:00:34.632Z,bid-extra-60356900144,2026-04-23T23:55:14.039Z
9702014,904782,8971.04,2026-04-23T22:00:34.633Z,bid-extra-60356900154,2026-04-23T23:55:14.039Z
9702144,905092,9606.64,2026-04-23T22:00:34.633Z,bid-extra-60356900164,2026-04-23T23:55:14.039Z
9702274,905402,10242.24,2026-04-23T22:00:34.633Z,bid-extra-60356900174,2026-04-23T23:55:14.039Z
9702404,905712,10877.84,2026-04-23T22:00:34.633Z,bid-extra-60356900184,2026-04-23T23:55:14.039Z
9702534,906022,11513.44,2026-04-23T22:00:34.633Z,bid-extra-60356900194,2026-04-23T23:55:14.039Z
9702664,906332,3159.84,2026-04-23T22:00:34.633Z,bid-extra-60356900204,2026-04-23T23:55:14.039Z
9702794,906642,3795.44,2026-04-23T22:00:34.633Z,bid-extra-60356900214,2026-04-23T23:55:14.039Z
9702924,906952,4431.04,2026-04-23T22:00:34.633Z,bid-extra-60356900224,2026-04-23T23:55:14.039Z
9703054,907262,5066.64,2026-04-23T22:00:34.633Z,bid-extra-60356900234,2026-04-23T23:55:14.039Z
9703184,907572,1162.24,2026-04-23T22:00:34.633Z,bid-extra-60356900244,2026-04-23T23:55:14.039Z
9703314,907882,1797.8400000000001,2026-04-23T22:00:34.634Z,bid-extra-60356900254,2026-04-23T23:55:14.039Z
9703444,908192,2433.44,2026-04-23T22:00:34.634Z,bid-extra-60356900264,2026-04-23T23:55:14.039Z
9703574,908502,3069.04,2026-04-23T22:00:34.634Z,bid-extra-60356900274,2026-04-23T23:55:14.039Z
9703704,908812,3704.6400000000003,2026-04-23T22:00:34.634Z,bid-extra-60356900284,2026-04-23T23:55:14.039Z
9703834,909122,4340.24,2026-04-23T22:00:34.634Z,bid-extra-60356900294,2026-04-23T23:55:14.039Z
9703964,909432,4975.84,2026-04-23T22:00:34.634Z,bid-extra-60356900304,2026-04-23T23:55:14.039Z
9704094,909742,5611.4400000000005,2026-04-23T22:00:34.634Z,bid-extra-60356900314,2026-04-23T23:55:14.039Z
9704224,910052,6247.04,2026-04-23T22:00:34.634Z,bid-extra-60356900324,2026-04-23T23:55:14.039Z
9704354,910362,6882.64,2026-04-23T22:00:34.634Z,bid-extra-60356900334,2026-04-23T23:55:14.039Z
9704484,910672,7518.240000000001,2026-04-23T22:00:34.634Z,bid-extra-60356900344,2026-04-23T23:55:14.039Z
9704614,910982,8153.84,2026-04-23T22:00:34.635Z,bid-extra-60356900354,2026-04-23T23:55:14.039Z
9704744,911292,8789.44,2026-04-23T22:00:34.635Z,bid-extra-60356900364,2026-04-23T23:55:14.039Z
