auction,bidder,price,dateTime,extra,processed_time
700064,900132,5702.24,2026-04-23T21:58:24.631Z,bid-extra-60343900004,2026-04-23T23:55:14.039Z
700194,900442,6337.84,2026-04-23T21:58:24.631Z,bid-extra-60343900014,2026-04-23T23:55:14.039Z
700324,900752,6973.4400000000005,2026-04-23T21:58:24.631Z,bid-extra-60343900024,2026-04-23T23:55:14.039Z
700454,901062,7609.04,2026-04-23T21:58:24.631Z,bid-extra-60343900034,2026-04-23T23:55:14.039Z
700584,901372,8244.64,2026-04-23T21:58:24.631Z,bid-extra-60343900044,2026-04-23T23:55:14.039Z
700714,901682,8880.24,2026-04-23T21:58:24.632Z,bid-extra-60343900054,2026-04-23T23:55:14.039Z
700844,901992,9515.84,2026-04-23T21:58:24.632Z,bid-extra-60343900064,2026-04-23T23:55:14.039Z
700974,902302,10151.44,2026-04-23T21:58:24.632Z,bid-extra-60343900074,2026-04-23T23:55:14.039Z
701104,902612,10787.04,2026-04-23T21:58:24.632Z,bid-extra-60343900084,2026-04-23T23:55:14.039Z
701234,902922,11422.640000000001,2026-04-23T21:58:24.632Z,bid-extra-60343900094,2026-04-23T23:55:14.039Z
701364,903232,12058.24,2026-04-23T21:58:24.632Z,bid-extra-60343900104,2026-04-23T23:55:14.039Z
701494,903542,12693.84,2026-04-23T21:58:24.632Z,bid-extra-60343900114,2026-04-23T23:55:14.039Z
701624,903852,8789.44,2026-04-23T21:58:24.632Z,bid-extra-60343900124,2026-04-23T23:55:14.039Z
701754,904162,9425.04,2026-04-23T21:58:24.632Z,bid-extra-60343900134,2026-04-23T23:55:14.039Z
701884,904472,1071.44,2026-04-23T21:58:24.632Z,bid-extra-60343900144,2026-04-23T23:55:14.039Z
702014,904782,1707.04,2026-04-23T21:58:24.633Z,bid-extra-60343900154,2026-04-23T23:55:14.039Z
702144,905092,2342.64,2026-04-23T21:58:24.633Z,bid-extra-60343900164,2026-04-23T23:55:14.039Z
702274,905402,2978.2400000000002,2026-04-23T21:58:24.633Z,bid-extra-60343900174,2026-04-23T23:55:14.039Z
702404,905712,3613.84,2026-04-23T21:58:24.633Z,bid-extra-60343900184,2026-04-23T23:55:14.039Z
702534,906022,4249.4400000000005,2026-04-23T21:58:24.633Z,bid-extra-60343900194,2026-04-23T23:55:14.039Z
702664,906332,4885.04,2026-04-23T21:58:24.633Z,bid-extra-60343900204,2026-04-23T23:55:14.039Z
702794,906642,5520.64,2026-04-23T21:58:24.633Z,bid-extra-60343900214,2026-04-23T23:55:14.039Z
702924,906952,6156.24,2026-04-23T21:58:24.633Z,bid-extra-60343900224,2026-04-23T23:55:14.039Z
703054,907262,6791.84,2026-04-23T21:58:24.633Z,bid-extra-60343900234,2026-04-23T23:55:14.039Z
703184,907572,2887.44,2026-04-23T21:58:24.633Z,bid-extra-60343900244,2026-04-23T23:55:14.039Z
703314,907882,3523.04,2026-04-23T21:58:24.634Z,bid-extra-60343900254,2026-04-23T23:55:14.039Z
