auction,bidder,price,dateTime,extra,processed_time
2700064,900132,5974.64,2026-04-23T22:02:24.631Z,bid-extra-60367900004,2026-04-23T23:55:14.039Z
2700194,900442,6610.24,2026-04-23T22:02:24.631Z,bid-extra-60367900014,2026-04-23T23:55:14.039Z
2700324,900752,7245.84,2026-04-23T22:02:24.631Z,bid-extra-60367900024,2026-04-23T23:55:14.039Z
2700454,901062,7881.4400000000005,2026-04-23T22:02:24.631Z,bid-extra-60367900034,2026-04-23T23:55:14.039Z
2700584,901372,8517.04,2026-04-23T22:02:24.631Z,bid-extra-60367900044,2026-04-23T23:55:14.039Z
2700714,901682,9152.64,2026-04-23T22:02:24.632Z,bid-extra-60367900054,2026-04-23T23:55:14.039Z
2700844,901992,9788.24,2026-04-23T22:02:24.632Z,bid-extra-60367900064,2026-04-23T23:55:14.039Z
2700974,902302,10423.84,2026-04-23T22:02:24.632Z,bid-extra-60367900074,2026-04-23T23:55:14.039Z
2701104,902612,11059.44,2026-04-23T22:02:24.632Z,bid-extra-60367900084,2026-04-23T23:55:14.039Z
2701234,902922,11695.04,2026-04-23T22:02:24.632Z,bid-extra-60367900094,2026-04-23T23:55:14.039Z
2701364,903232,12330.640000000001,2026-04-23T22:02:24.632Z,bid-extra-60367900104,2026-04-23T23:55:14.039Z
2701494,903542,12966.24,2026-04-23T22:02:24.632Z,bid-extra-60367900114,2026-04-23T23:55:14.039Z
2701624,903852,9061.84,2026-04-23T22:02:24.632Z,bid-extra-60367900124,2026-04-23T23:55:14.039Z
2701754,904162,708.24,2026-04-23T22:02:24.632Z,bid-extra-60367900134,2026-04-23T23:55:14.039Z
2701884,904472,1343.8400000000001,2026-04-23T22:02:24.632Z,bid-extra-60367900144,2026-04-23T23:55:14.039Z
2702014,904782,1979.44,2026-04-23T22:02:24.633Z,bid-extra-60367900154,2026-04-23T23:55:14.039Z
2702144,905092,2615.04,2026-04-23T22:02:24.633Z,bid-extra-60367900164,2026-04-23T23:55:14.039Z
2702274,905402,3250.6400000000003,2026-04-23T22:02:24.633Z,bid-extra-60367900174,2026-04-23T23:55:14.039Z
2702404,905712,3886.2400000000002,2026-04-23T22:02:24.633Z,bid-extra-60367900184,2026-04-23T23:55:14.039Z
2702534,906022,4521.84,2026-04-23T22:02:24.633Z,bid-extra-60367900194,2026-04-23T23:55:14.039Z
2702664,906332,5157.4400000000005,2026-04-23T22:02:24.633Z,bid-extra-60367900204,2026-04-23T23:55:14.039Z
2702794,906642,5793.04,2026-04-23T22:02:24.633Z,bid-extra-60367900214,2026-04-23T23:55:14.039Z
2702924,906952,6428.64,2026-04-23T22:02:24.633Z,bid-extra-60367900224,2026-04-23T23:55:14.039Z
2703054,907262,7064.24,2026-04-23T22:02:24.633Z,bid-extra-60367900234,2026-04-23T23:55:14.039Z
2703184,907572,3159.84,2026-04-23T22:02:24.633Z,bid-extra-60367900244,2026-04-23T23:55:14.039Z
2703314,907882,3795.44,2026-04-23T22:02:24.634Z,bid-extra-60367900254,2026-04-23T23:55:14.039Z
2703444,908192,4431.04,2026-04-23T22:02:24.634Z,bid-extra-60367900264,2026-04-23T23:55:14.039Z
2703574,908502,5066.64,2026-04-23T22:02:24.634Z,bid-extra-60367900274,2026-04-23T23:55:14.039Z
2703704,908812,5702.24,2026-04-23T22:02:24.634Z,bid-extra-60367900284,2026-04-23T23:55:14.039Z
2703834,909122,6337.84,2026-04-23T22:02:24.634Z,bid-extra-60367900294,2026-04-23T23:55:14.039Z
2703964,909432,6973.4400000000005,2026-04-23T22:02:24.634Z,bid-extra-60367900304,2026-04-23T23:55:14.039Z
2704094,909742,7609.04,2026-04-23T22:02:24.634Z,bid-extra-60367900314,2026-04-23T23:55:14.039Z
2704224,910052,8244.64,2026-04-23T22:02:24.634Z,bid-extra-60367900324,2026-04-23T23:55:14.039Z
2704354,910362,8880.24,2026-04-23T22:02:24.634Z,bid-extra-60367900334,2026-04-23T23:55:14.039Z
2704484,910672,9515.84,2026-04-23T22:02:24.634Z,bid-extra-60367900344,2026-04-23T23:55:14.039Z
2704614,910982,10151.44,2026-04-23T22:02:24.635Z,bid-extra-60367900354,2026-04-23T23:55:14.039Z
2704744,911292,10787.04,2026-04-23T22:02:24.635Z,bid-extra-60367900364,2026-04-23T23:55:14.039Z
2704874,911602,6882.64,2026-04-23T22:02:24.635Z,bid-extra-60367900374,2026-04-23T23:55:14.039Z
2705004,911912,7518.240000000001,2026-04-23T22:02:24.635Z,bid-extra-60367900384,2026-04-23T23:55:14.039Z
2705134,912222,8153.84,2026-04-23T22:02:24.635Z,bid-extra-60367900394,2026-04-23T23:55:14.039Z
2705264,912532,8789.44,2026-04-23T22:02:24.635Z,bid-extra-60367900404,2026-04-23T23:55:14.039Z
2705394,912842,9425.04,2026-04-23T22:02:24.635Z,bid-extra-60367900414,2026-04-23T23:55:14.039Z
2705524,913152,10060.64,2026-04-23T22:02:24.635Z,bid-extra-60367900424,2026-04-23T23:55:14.039Z
2705654,913462,10696.24,2026-04-23T22:02:24.635Z,bid-extra-60367900434,2026-04-23T23:55:14.039Z
2705784,913772,11331.84,2026-04-23T22:02:24.635Z,bid-extra-60367900444,2026-04-23T23:55:14.039Z
2705914,914082,11967.44,2026-04-23T22:02:24.636Z,bid-extra-60367900454,2026-04-23T23:55:14.039Z
2706044,914392,12603.04,2026-04-23T22:02:24.636Z,bid-extra-60367900464,2026-04-23T23:55:14.039Z
2706174,914702,4249.4400000000005,2026-04-23T22:02:24.636Z,bid-extra-60367900474,2026-04-23T23:55:14.039Z
2706304,915012,4885.04,2026-04-23T22:02:24.636Z,bid-extra-60367900484,2026-04-23T23:55:14.039Z
2706434,915322,980.64,2026-04-23T22:02:24.636Z,bid-extra-60367900494,2026-04-23T23:55:14.039Z
2706564,915632,1616.24,2026-04-23T22:02:24.636Z,bid-extra-60367900504,2026-04-23T23:55:14.039Z
2706694,915942,2251.84,2026-04-23T22:02:24.636Z,bid-extra-60367900514,2026-04-23T23:55:14.039Z
2706824,916252,2887.44,2026-04-23T22:02:24.636Z,bid-extra-60367900524,2026-04-23T23:55:14.039Z
2706954,916562,3523.04,2026-04-23T22:02:24.636Z,bid-extra-60367900534,2026-04-23T23:55:14.039Z
2707084,916872,4158.64,2026-04-23T22:02:24.636Z,bid-extra-60367900544,2026-04-23T23:55:14.039Z
2707214,917182,4794.24,2026-04-23T22:02:24.637Z,bid-extra-60367900554,2026-04-23T23:55:14.039Z
2707344,917492,5429.84,2026-04-23T22:02:24.637Z,bid-extra-60367900564,2026-04-23T23:55:14.039Z
2707474,917802,6065.4400000000005,2026-04-23T22:02:24.637Z,bid-extra-60367900574,2026-04-23T23:55:14.039Z
2707604,918112,6701.04,2026-04-23T22:02:24.637Z,bid-extra-60367900584,2026-04-23T23:55:14.039Z
2707734,918422,7336.64,2026-04-23T22:02:24.637Z,bid-extra-60367900594,2026-04-23T23:55:14.039Z
2707864,918732,7972.240000000001,2026-04-23T22:02:24.637Z,bid-extra-60367900604,2026-04-23T23:55:14.039Z
2707994,919042,4067.84,2026-04-23T22:02:24.637Z,bid-extra-60367900614,2026-04-23T23:55:14.039Z
2708124,919352,4703.4400000000005,2026-04-23T22:02:24.637Z,bid-extra-60367900624,2026-04-23T23:55:14.039Z
2708254,919662,5339.04,2026-04-23T22:02:24.637Z,bid-extra-60367900634,2026-04-23T23:55:14.039Z
2708384,919972,5974.64,2026-04-23T22:02:24.637Z,bid-extra-60367900644,2026-04-23T23:55:14.039Z
2708514,920282,6610.24,2026-04-23T22:02:24.638Z,bid-extra-60367900654,2026-04-23T23:55:14.039Z
2708644,920592,7245.84,2026-04-23T22:02:24.638Z,bid-extra-60367900664,2026-04-23T23:55:14.039Z
2708774,920902,7881.4400000000005,2026-04-23T22:02:24.638Z,bid-extra-60367900674,2026-04-23T23:55:14.039Z
2708904,921212,8517.04,2026-04-23T22:02:24.638Z,bid-extra-60367900684,2026-04-23T23:55:14.039Z
2709034,921522,9152.64,2026-04-23T22:02:24.638Z,bid-extra-60367900694,2026-04-23T23:55:14.039Z
2709164,921832,9788.24,2026-04-23T22:02:24.638Z,bid-extra-60367900704,2026-04-23T23:55:14.039Z
2709294,922142,10423.84,2026-04-23T22:02:24.638Z,bid-extra-60367900714,2026-04-23T23:55:14.039Z
2709424,922452,11059.44,2026-04-23T22:02:24.638Z,bid-extra-60367900724,2026-04-23T23:55:14.039Z
2709554,922762,7155.04,2026-04-23T22:02:24.638Z,bid-extra-60367900734,2026-04-23T23:55:14.039Z
2709684,923072,7790.64,2026-04-23T22:02:24.638Z,bid-extra-60367900744,2026-04-23T23:55:14.039Z
2709814,923382,8426.24,2026-04-23T22:02:24.639Z,bid-extra-60367900754,2026-04-23T23:55:14.039Z
2709944,923692,9061.84,2026-04-23T22:02:24.639Z,bid-extra-60367900764,2026-04-23T23:55:14.039Z
2710074,924002,9697.44,2026-04-23T22:02:24.639Z,bid-extra-60367900774,2026-04-23T23:55:14.039Z
2710204,924312,10333.04,2026-04-23T22:02:24.639Z,bid-extra-60367900784,2026-04-23T23:55:14.039Z
