auction,bidder,price,dateTime,extra,processed_time
8700064,900132,2251.84,2026-04-23T22:02:44.631Z,bid-extra-60369900004,2026-04-23T23:55:14.039Z
8700194,900442,2887.44,2026-04-23T22:02:44.631Z,bid-extra-60369900014,2026-04-23T23:55:14.039Z
8700324,900752,3523.04,2026-04-23T22:02:44.631Z,bid-extra-60369900024,2026-04-23T23:55:14.039Z
8700454,901062,4158.64,2026-04-23T22:02:44.631Z,bid-extra-60369900034,2026-04-23T23:55:14.039Z
8700584,901372,4794.24,2026-04-23T22:02:44.631Z,bid-extra-60369900044,2026-04-23T23:55:14.039Z
8700714,901682,5429.84,2026-04-23T22:02:44.632Z,bid-extra-60369900054,2026-04-23T23:55:14.039Z
8700844,901992,6065.4400000000005,2026-04-23T22:02:44.632Z,bid-extra-60369900064,2026-04-23T23:55:14.039Z
8700974,902302,6701.04,2026-04-23T22:02:44.632Z,bid-extra-60369900074,2026-04-23T23:55:14.039Z
8701104,902612,7336.64,2026-04-23T22:02:44.632Z,bid-extra-60369900084,2026-04-23T23:55:14.039Z
8701234,902922,7972.240000000001,2026-04-23T22:02:44.632Z,bid-extra-60369900094,2026-04-23T23:55:14.039Z
8701364,903232,8607.84,2026-04-23T22:02:44.632Z,bid-extra-60369900104,2026-04-23T23:55:14.039Z
8701494,903542,9243.44,2026-04-23T22:02:44.632Z,bid-extra-60369900114,2026-04-23T23:55:14.039Z
8701624,903852,5339.04,2026-04-23T22:02:44.632Z,bid-extra-60369900124,2026-04-23T23:55:14.039Z
8701754,904162,5974.64,2026-04-23T22:02:44.632Z,bid-extra-60369900134,2026-04-23T23:55:14.039Z
8701884,904472,6610.24,2026-04-23T22:02:44.632Z,bid-extra-60369900144,2026-04-23T23:55:14.039Z
8702014,904782,7245.84,2026-04-23T22:02:44.633Z,bid-extra-60369900154,2026-04-23T23:55:14.039Z
8702144,905092,7881.4400000000005,2026-04-23T22:02:44.633Z,bid-extra-60369900164,2026-04-23T23:55:14.039Z
8702274,905402,8517.04,2026-04-23T22:02:44.633Z,bid-extra-60369900174,2026-04-23T23:55:14.039Z
8702404,905712,9152.64,2026-04-23T22:02:44.633Z,bid-extra-60369900184,2026-04-23T23:55:14.039Z
8702534,906022,9788.24,2026-04-23T22:02:44.633Z,bid-extra-60369900194,2026-04-23T23:55:14.039Z
8702664,906332,10423.84,2026-04-23T22:02:44.633Z,bid-extra-60369900204,2026-04-23T23:55:14.039Z
8702794,906642,11059.44,2026-04-23T22:02:44.633Z,bid-extra-60369900214,2026-04-23T23:55:14.039Z
8702924,906952,11695.04,2026-04-23T22:02:44.633Z,bid-extra-60369900224,2026-04-23T23:55:14.039Z
8703054,907262,12330.640000000001,2026-04-23T22:02:44.633Z,bid-extra-60369900234,2026-04-23T23:55:14.039Z
8703184,907572,8426.24,2026-04-23T22:02:44.633Z,bid-extra-60369900244,2026-04-23T23:55:14.039Z
8703314,907882,9061.84,2026-04-23T22:02:44.634Z,bid-extra-60369900254,2026-04-23T23:55:14.039Z
8703444,908192,9697.44,2026-04-23T22:02:44.634Z,bid-extra-60369900264,2026-04-23T23:55:14.039Z
8703574,908502,1343.8400000000001,2026-04-23T22:02:44.634Z,bid-extra-60369900274,2026-04-23T23:55:14.039Z
8703704,908812,1979.44,2026-04-23T22:02:44.634Z,bid-extra-60369900284,2026-04-23T23:55:14.039Z
8703834,909122,2615.04,2026-04-23T22:02:44.634Z,bid-extra-60369900294,2026-04-23T23:55:14.039Z
8703964,909432,3250.6400000000003,2026-04-23T22:02:44.634Z,bid-extra-60369900304,2026-04-23T23:55:14.039Z
8704094,909742,3886.2400000000002,2026-04-23T22:02:44.634Z,bid-extra-60369900314,2026-04-23T23:55:14.039Z
8704224,910052,4521.84,2026-04-23T22:02:44.634Z,bid-extra-60369900324,2026-04-23T23:55:14.039Z
8704354,910362,5157.4400000000005,2026-04-23T22:02:44.634Z,bid-extra-60369900334,2026-04-23T23:55:14.039Z
8704484,910672,5793.04,2026-04-23T22:02:44.634Z,bid-extra-60369900344,2026-04-23T23:55:14.039Z
8704614,910982,6428.64,2026-04-23T22:02:44.635Z,bid-extra-60369900354,2026-04-23T23:55:14.039Z
8704744,911292,7064.24,2026-04-23T22:02:44.635Z,bid-extra-60369900364,2026-04-23T23:55:14.039Z
8704874,911602,3159.84,2026-04-23T22:02:44.635Z,bid-extra-60369900374,2026-04-23T23:55:14.039Z
8705004,911912,3795.44,2026-04-23T22:02:44.635Z,bid-extra-60369900384,2026-04-23T23:55:14.039Z
8705134,912222,4431.04,2026-04-23T22:02:44.635Z,bid-extra-60369900394,2026-04-23T23:55:14.039Z
8705264,912532,5066.64,2026-04-23T22:02:44.635Z,bid-extra-60369900404,2026-04-23T23:55:14.039Z
8705394,912842,5702.24,2026-04-23T22:02:44.635Z,bid-extra-60369900414,2026-04-23T23:55:14.039Z
8705524,913152,6337.84,2026-04-23T22:02:44.635Z,bid-extra-60369900424,2026-04-23T23:55:14.039Z
8705654,913462,6973.4400000000005,2026-04-23T22:02:44.635Z,bid-extra-60369900434,2026-04-23T23:55:14.039Z
8705784,913772,7609.04,2026-04-23T22:02:44.635Z,bid-extra-60369900444,2026-04-23T23:55:14.039Z
8705914,914082,8244.64,2026-04-23T22:02:44.636Z,bid-extra-60369900454,2026-04-23T23:55:14.039Z
8706044,914392,8880.24,2026-04-23T22:02:44.636Z,bid-extra-60369900464,2026-04-23T23:55:14.039Z
8706174,914702,9515.84,2026-04-23T22:02:44.636Z,bid-extra-60369900474,2026-04-23T23:55:14.039Z
