auction,bidder,price,dateTime,extra,processed_time
7700064,900132,1797.8400000000001,2026-04-23T22:01:34.631Z,bid-extra-60362900004,2026-04-23T23:55:14.039Z
7700194,900442,2433.44,2026-04-23T22:01:34.631Z,bid-extra-60362900014,2026-04-23T23:55:14.039Z
7700324,900752,3069.04,2026-04-23T22:01:34.631Z,bid-extra-60362900024,2026-04-23T23:55:14.039Z
7700454,901062,3704.6400000000003,2026-04-23T22:01:34.631Z,bid-extra-60362900034,2026-04-23T23:55:14.039Z
7700584,901372,4340.24,2026-04-23T22:01:34.631Z,bid-extra-60362900044,2026-04-23T23:55:14.039Z
7700714,901682,4975.84,2026-04-23T22:01:34.632Z,bid-extra-60362900054,2026-04-23T23:55:14.039Z
7700844,901992,5611.4400000000005,2026-04-23T22:01:34.632Z,bid-extra-60362900064,2026-04-23T23:55:14.039Z
7700974,902302,6247.04,2026-04-23T22:01:34.632Z,bid-extra-60362900074,2026-04-23T23:55:14.039Z
7701104,902612,6882.64,2026-04-23T22:01:34.632Z,bid-extra-60362900084,2026-04-23T23:55:14.039Z
7701234,902922,7518.240000000001,2026-04-23T22:01:34.632Z,bid-extra-60362900094,2026-04-23T23:55:14.039Z
7701364,903232,8153.84,2026-04-23T22:01:34.632Z,bid-extra-60362900104,2026-04-23T23:55:14.039Z
7701494,903542,8789.44,2026-04-23T22:01:34.632Z,bid-extra-60362900114,2026-04-23T23:55:14.039Z
7701624,903852,4885.04,2026-04-23T22:01:34.632Z,bid-extra-60362900124,2026-04-23T23:55:14.039Z
7701754,904162,5520.64,2026-04-23T22:01:34.632Z,bid-extra-60362900134,2026-04-23T23:55:14.039Z
7701884,904472,6156.24,2026-04-23T22:01:34.632Z,bid-extra-60362900144,2026-04-23T23:55:14.039Z
7702014,904782,6791.84,2026-04-23T22:01:34.633Z,bid-extra-60362900154,2026-04-23T23:55:14.039Z
7702144,905092,7427.4400000000005,2026-04-23T22:01:34.633Z,bid-extra-60362900164,2026-04-23T23:55:14.039Z
7702274,905402,8063.04,2026-04-23T22:01:34.633Z,bid-extra-60362900174,2026-04-23T23:55:14.039Z
7702404,905712,8698.64,2026-04-23T22:01:34.633Z,bid-extra-60362900184,2026-04-23T23:55:14.039Z
7702534,906022,9334.24,2026-04-23T22:01:34.633Z,bid-extra-60362900194,2026-04-23T23:55:14.039Z
7702664,906332,9969.84,2026-04-23T22:01:34.633Z,bid-extra-60362900204,2026-04-23T23:55:14.039Z
7702794,906642,10605.44,2026-04-23T22:01:34.633Z,bid-extra-60362900214,2026-04-23T23:55:14.039Z
7702924,906952,11241.04,2026-04-23T22:01:34.633Z,bid-extra-60362900224,2026-04-23T23:55:14.039Z
7703054,907262,11876.640000000001,2026-04-23T22:01:34.633Z,bid-extra-60362900234,2026-04-23T23:55:14.039Z
7703184,907572,7972.240000000001,2026-04-23T22:01:34.633Z,bid-extra-60362900244,2026-04-23T23:55:14.039Z
7703314,907882,8607.84,2026-04-23T22:01:34.634Z,bid-extra-60362900254,2026-04-23T23:55:14.039Z
7703444,908192,9243.44,2026-04-23T22:01:34.634Z,bid-extra-60362900264,2026-04-23T23:55:14.039Z
7703574,908502,9879.04,2026-04-23T22:01:34.634Z,bid-extra-60362900274,2026-04-23T23:55:14.039Z
7703704,908812,10514.640000000001,2026-04-23T22:01:34.634Z,bid-extra-60362900284,2026-04-23T23:55:14.039Z
7703834,909122,2161.04,2026-04-23T22:01:34.634Z,bid-extra-60362900294,2026-04-23T23:55:14.039Z
7703964,909432,2796.64,2026-04-23T22:01:34.634Z,bid-extra-60362900304,2026-04-23T23:55:14.039Z
7704094,909742,3432.2400000000002,2026-04-23T22:01:34.634Z,bid-extra-60362900314,2026-04-23T23:55:14.039Z
7704224,910052,4067.84,2026-04-23T22:01:34.634Z,bid-extra-60362900324,2026-04-23T23:55:14.039Z
7704354,910362,4703.4400000000005,2026-04-23T22:01:34.634Z,bid-extra-60362900334,2026-04-23T23:55:14.039Z
7704484,910672,5339.04,2026-04-23T22:01:34.634Z,bid-extra-60362900344,2026-04-23T23:55:14.039Z
