auction,bidder,price,dateTime,extra,processed_time
2700064,900132,6610.24,2026-04-23T22:00:44.631Z,bid-extra-60357900004,2026-04-23T23:55:14.039Z
2700194,900442,7245.84,2026-04-23T22:00:44.631Z,bid-extra-60357900014,2026-04-23T23:55:14.039Z
2700324,900752,7881.4400000000005,2026-04-23T22:00:44.631Z,bid-extra-60357900024,2026-04-23T23:55:14.039Z
2700454,901062,8517.04,2026-04-23T22:00:44.631Z,bid-extra-60357900034,2026-04-23T23:55:14.039Z
2700584,901372,9152.64,2026-04-23T22:00:44.631Z,bid-extra-60357900044,2026-04-23T23:55:14.039Z
2700714,901682,9788.24,2026-04-23T22:00:44.632Z,bid-extra-60357900054,2026-04-23T23:55:14.039Z
2700844,901992,10423.84,2026-04-23T22:00:44.632Z,bid-extra-60357900064,2026-04-23T23:55:14.039Z
2700974,902302,11059.44,2026-04-23T22:00:44.632Z,bid-extra-60357900074,2026-04-23T23:55:14.039Z
2701104,902612,11695.04,2026-04-23T22:00:44.632Z,bid-extra-60357900084,2026-04-23T23:55:14.039Z
2701234,902922,12330.640000000001,2026-04-23T22:00:44.632Z,bid-extra-60357900094,2026-04-23T23:55:14.039Z
2701364,903232,3977.04,2026-04-23T22:00:44.632Z,bid-extra-60357900104,2026-04-23T23:55:14.039Z
2701494,903542,4612.64,2026-04-23T22:00:44.632Z,bid-extra-60357900114,2026-04-23T23:55:14.039Z
2701624,903852,708.24,2026-04-23T22:00:44.632Z,bid-extra-60357900124,2026-04-23T23:55:14.039Z
2701754,904162,1343.8400000000001,2026-04-23T22:00:44.632Z,bid-extra-60357900134,2026-04-23T23:55:14.039Z
2701884,904472,1979.44,2026-04-23T22:00:44.632Z,bid-extra-60357900144,2026-04-23T23:55:14.039Z
2702014,904782,2615.04,2026-04-23T22:00:44.633Z,bid-extra-60357900154,2026-04-23T23:55:14.039Z
2702144,905092,3250.6400000000003,2026-04-23T22:00:44.633Z,bid-extra-60357900164,2026-04-23T23:55:14.039Z
2702274,905402,3886.2400000000002,2026-04-23T22:00:44.633Z,bid-extra-60357900174,2026-04-23T23:55:14.039Z
2702404,905712,4521.84,2026-04-23T22:00:44.633Z,bid-extra-60357900184,2026-04-23T23:55:14.039Z
2702534,906022,5157.4400000000005,2026-04-23T22:00:44.633Z,bid-extra-60357900194,2026-04-23T23:55:14.039Z
2702664,906332,5793.04,2026-04-23T22:00:44.633Z,bid-extra-60357900204,2026-04-23T23:55:14.039Z
2702794,906642,6428.64,2026-04-23T22:00:44.633Z,bid-extra-60357900214,2026-04-23T23:55:14.039Z
2702924,906952,7064.24,2026-04-23T22:00:44.633Z,bid-extra-60357900224,2026-04-23T23:55:14.039Z
2703054,907262,7699.84,2026-04-23T22:00:44.633Z,bid-extra-60357900234,2026-04-23T23:55:14.039Z
2703184,907572,3795.44,2026-04-23T22:00:44.633Z,bid-extra-60357900244,2026-04-23T23:55:14.039Z
2703314,907882,4431.04,2026-04-23T22:00:44.634Z,bid-extra-60357900254,2026-04-23T23:55:14.039Z
2703444,908192,5066.64,2026-04-23T22:00:44.634Z,bid-extra-60357900264,2026-04-23T23:55:14.039Z
2703574,908502,5702.24,2026-04-23T22:00:44.634Z,bid-extra-60357900274,2026-04-23T23:55:14.039Z
2703704,908812,6337.84,2026-04-23T22:00:44.634Z,bid-extra-60357900284,2026-04-23T23:55:14.039Z
2703834,909122,6973.4400000000005,2026-04-23T22:00:44.634Z,bid-extra-60357900294,2026-04-23T23:55:14.039Z
2703964,909432,7609.04,2026-04-23T22:00:44.634Z,bid-extra-60357900304,2026-04-23T23:55:14.039Z
2704094,909742,8244.64,2026-04-23T22:00:44.634Z,bid-extra-60357900314,2026-04-23T23:55:14.039Z
2704224,910052,8880.24,2026-04-23T22:00:44.634Z,bid-extra-60357900324,2026-04-23T23:55:14.039Z
2704354,910362,9515.84,2026-04-23T22:00:44.634Z,bid-extra-60357900334,2026-04-23T23:55:14.039Z
2704484,910672,10151.44,2026-04-23T22:00:44.634Z,bid-extra-60357900344,2026-04-23T23:55:14.039Z
2704614,910982,10787.04,2026-04-23T22:00:44.635Z,bid-extra-60357900354,2026-04-23T23:55:14.039Z
2704744,911292,11422.640000000001,2026-04-23T22:00:44.635Z,bid-extra-60357900364,2026-04-23T23:55:14.039Z
2704874,911602,7518.240000000001,2026-04-23T22:00:44.635Z,bid-extra-60357900374,2026-04-23T23:55:14.039Z
2705004,911912,8153.84,2026-04-23T22:00:44.635Z,bid-extra-60357900384,2026-04-23T23:55:14.039Z
2705134,912222,8789.44,2026-04-23T22:00:44.635Z,bid-extra-60357900394,2026-04-23T23:55:14.039Z
2705264,912532,9425.04,2026-04-23T22:00:44.635Z,bid-extra-60357900404,2026-04-23T23:55:14.039Z
2705394,912842,10060.64,2026-04-23T22:00:44.635Z,bid-extra-60357900414,2026-04-23T23:55:14.039Z
2705524,913152,10696.24,2026-04-23T22:00:44.635Z,bid-extra-60357900424,2026-04-23T23:55:14.039Z
2705654,913462,11331.84,2026-04-23T22:00:44.635Z,bid-extra-60357900434,2026-04-23T23:55:14.039Z
2705784,913772,11967.44,2026-04-23T22:00:44.635Z,bid-extra-60357900444,2026-04-23T23:55:14.039Z
2705914,914082,3613.84,2026-04-23T22:00:44.636Z,bid-extra-60357900454,2026-04-23T23:55:14.039Z
2706044,914392,4249.4400000000005,2026-04-23T22:00:44.636Z,bid-extra-60357900464,2026-04-23T23:55:14.039Z
2706174,914702,4885.04,2026-04-23T22:00:44.636Z,bid-extra-60357900474,2026-04-23T23:55:14.039Z
2706304,915012,5520.64,2026-04-23T22:00:44.636Z,bid-extra-60357900484,2026-04-23T23:55:14.039Z
