auction,bidder,price,dateTime,extra,processed_time
700064,900132,5066.64,2026-04-23T22:00:04.631Z,bid-extra-60353900004,2026-04-23T23:55:14.039Z
700194,900442,5702.24,2026-04-23T22:00:04.631Z,bid-extra-60353900014,2026-04-23T23:55:14.039Z
700324,900752,6337.84,2026-04-23T22:00:04.631Z,bid-extra-60353900024,2026-04-23T23:55:14.039Z
700454,901062,6973.4400000000005,2026-04-23T22:00:04.631Z,bid-extra-60353900034,2026-04-23T23:55:14.039Z
700584,901372,7609.04,2026-04-23T22:00:04.631Z,bid-extra-60353900044,2026-04-23T23:55:14.039Z
700714,901682,8244.64,2026-04-23T22:00:04.632Z,bid-extra-60353900054,2026-04-23T23:55:14.039Z
700844,901992,8880.24,2026-04-23T22:00:04.632Z,bid-extra-60353900064,2026-04-23T23:55:14.039Z
700974,902302,9515.84,2026-04-23T22:00:04.632Z,bid-extra-60353900074,2026-04-23T23:55:14.039Z
701104,902612,10151.44,2026-04-23T22:00:04.632Z,bid-extra-60353900084,2026-04-23T23:55:14.039Z
701234,902922,10787.04,2026-04-23T22:00:04.632Z,bid-extra-60353900094,2026-04-23T23:55:14.039Z
701364,903232,11422.640000000001,2026-04-23T22:00:04.632Z,bid-extra-60353900104,2026-04-23T23:55:14.039Z
701494,903542,12058.24,2026-04-23T22:00:04.632Z,bid-extra-60353900114,2026-04-23T23:55:14.039Z
701624,903852,8153.84,2026-04-23T22:00:04.632Z,bid-extra-60353900124,2026-04-23T23:55:14.039Z
701754,904162,8789.44,2026-04-23T22:00:04.632Z,bid-extra-60353900134,2026-04-23T23:55:14.039Z
701884,904472,9425.04,2026-04-23T22:00:04.632Z,bid-extra-60353900144,2026-04-23T23:55:14.039Z
702014,904782,10060.64,2026-04-23T22:00:04.633Z,bid-extra-60353900154,2026-04-23T23:55:14.039Z
702144,905092,1707.04,2026-04-23T22:00:04.633Z,bid-extra-60353900164,2026-04-23T23:55:14.039Z
702274,905402,2342.64,2026-04-23T22:00:04.633Z,bid-extra-60353900174,2026-04-23T23:55:14.039Z
702404,905712,2978.2400000000002,2026-04-23T22:00:04.633Z,bid-extra-60353900184,2026-04-23T23:55:14.039Z
702534,906022,3613.84,2026-04-23T22:00:04.633Z,bid-extra-60353900194,2026-04-23T23:55:14.039Z
702664,906332,4249.4400000000005,2026-04-23T22:00:04.633Z,bid-extra-60353900204,2026-04-23T23:55:14.039Z
702794,906642,4885.04,2026-04-23T22:00:04.633Z,bid-extra-60353900214,2026-04-23T23:55:14.039Z
702924,906952,5520.64,2026-04-23T22:00:04.633Z,bid-extra-60353900224,2026-04-23T23:55:14.039Z
703054,907262,6156.24,2026-04-23T22:00:04.633Z,bid-extra-60353900234,2026-04-23T23:55:14.039Z
703184,907572,2251.84,2026-04-23T22:00:04.633Z,bid-extra-60353900244,2026-04-23T23:55:14.039Z
703314,907882,2887.44,2026-04-23T22:00:04.634Z,bid-extra-60353900254,2026-04-23T23:55:14.039Z
703444,908192,3523.04,2026-04-23T22:00:04.634Z,bid-extra-60353900264,2026-04-23T23:55:14.039Z
703574,908502,4158.64,2026-04-23T22:00:04.634Z,bid-extra-60353900274,2026-04-23T23:55:14.039Z
703704,908812,4794.24,2026-04-23T22:00:04.634Z,bid-extra-60353900284,2026-04-23T23:55:14.039Z
703834,909122,5429.84,2026-04-23T22:00:04.634Z,bid-extra-60353900294,2026-04-23T23:55:14.039Z
703964,909432,6065.4400000000005,2026-04-23T22:00:04.634Z,bid-extra-60353900304,2026-04-23T23:55:14.039Z
704094,909742,6701.04,2026-04-23T22:00:04.634Z,bid-extra-60353900314,2026-04-23T23:55:14.039Z
704224,910052,7336.64,2026-04-23T22:00:04.634Z,bid-extra-60353900324,2026-04-23T23:55:14.039Z
704354,910362,7972.240000000001,2026-04-23T22:00:04.634Z,bid-extra-60353900334,2026-04-23T23:55:14.039Z
704484,910672,8607.84,2026-04-23T22:00:04.634Z,bid-extra-60353900344,2026-04-23T23:55:14.039Z
704614,910982,9243.44,2026-04-23T22:00:04.635Z,bid-extra-60353900354,2026-04-23T23:55:14.039Z
704744,911292,9879.04,2026-04-23T22:00:04.635Z,bid-extra-60353900364,2026-04-23T23:55:14.039Z
704874,911602,5974.64,2026-04-23T22:00:04.635Z,bid-extra-60353900374,2026-04-23T23:55:14.039Z
705004,911912,6610.24,2026-04-23T22:00:04.635Z,bid-extra-60353900384,2026-04-23T23:55:14.039Z
705134,912222,7245.84,2026-04-23T22:00:04.635Z,bid-extra-60353900394,2026-04-23T23:55:14.039Z
705264,912532,7881.4400000000005,2026-04-23T22:00:04.635Z,bid-extra-60353900404,2026-04-23T23:55:14.039Z
705394,912842,8517.04,2026-04-23T22:00:04.635Z,bid-extra-60353900414,2026-04-23T23:55:14.039Z
705524,913152,9152.64,2026-04-23T22:00:04.635Z,bid-extra-60353900424,2026-04-23T23:55:14.039Z
705654,913462,9788.24,2026-04-23T22:00:04.635Z,bid-extra-60353900434,2026-04-23T23:55:14.039Z
