auction,bidder,price,dateTime,extra,processed_time
8700064,900132,2887.44,2026-04-23T22:01:04.631Z,bid-extra-60359900004,2026-04-23T23:55:14.039Z
8700194,900442,3523.04,2026-04-23T22:01:04.631Z,bid-extra-60359900014,2026-04-23T23:55:14.039Z
8700324,900752,4158.64,2026-04-23T22:01:04.631Z,bid-extra-60359900024,2026-04-23T23:55:14.039Z
8700454,901062,4794.24,2026-04-23T22:01:04.631Z,bid-extra-60359900034,2026-04-23T23:55:14.039Z
8700584,901372,5429.84,2026-04-23T22:01:04.631Z,bid-extra-60359900044,2026-04-23T23:55:14.039Z
8700714,901682,6065.4400000000005,2026-04-23T22:01:04.632Z,bid-extra-60359900054,2026-04-23T23:55:14.039Z
8700844,901992,6701.04,2026-04-23T22:01:04.632Z,bid-extra-60359900064,2026-04-23T23:55:14.039Z
8700974,902302,7336.64,2026-04-23T22:01:04.632Z,bid-extra-60359900074,2026-04-23T23:55:14.039Z
8701104,902612,7972.240000000001,2026-04-23T22:01:04.632Z,bid-extra-60359900084,2026-04-23T23:55:14.039Z
8701234,902922,8607.84,2026-04-23T22:01:04.632Z,bid-extra-60359900094,2026-04-23T23:55:14.039Z
8701364,903232,9243.44,2026-04-23T22:01:04.632Z,bid-extra-60359900104,2026-04-23T23:55:14.039Z
8701494,903542,9879.04,2026-04-23T22:01:04.632Z,bid-extra-60359900114,2026-04-23T23:55:14.039Z
8701624,903852,5974.64,2026-04-23T22:01:04.632Z,bid-extra-60359900124,2026-04-23T23:55:14.039Z
8701754,904162,6610.24,2026-04-23T22:01:04.632Z,bid-extra-60359900134,2026-04-23T23:55:14.039Z
8701884,904472,7245.84,2026-04-23T22:01:04.632Z,bid-extra-60359900144,2026-04-23T23:55:14.039Z
8702014,904782,7881.4400000000005,2026-04-23T22:01:04.633Z,bid-extra-60359900154,2026-04-23T23:55:14.039Z
8702144,905092,8517.04,2026-04-23T22:01:04.633Z,bid-extra-60359900164,2026-04-23T23:55:14.039Z
8702274,905402,9152.64,2026-04-23T22:01:04.633Z,bid-extra-60359900174,2026-04-23T23:55:14.039Z
8702404,905712,9788.24,2026-04-23T22:01:04.633Z,bid-extra-60359900184,2026-04-23T23:55:14.039Z
8702534,906022,10423.84,2026-04-23T22:01:04.633Z,bid-extra-60359900194,2026-04-23T23:55:14.039Z
8702664,906332,11059.44,2026-04-23T22:01:04.633Z,bid-extra-60359900204,2026-04-23T23:55:14.039Z
8702794,906642,11695.04,2026-04-23T22:01:04.633Z,bid-extra-60359900214,2026-04-23T23:55:14.039Z
8702924,906952,12330.640000000001,2026-04-23T22:01:04.633Z,bid-extra-60359900224,2026-04-23T23:55:14.039Z
8703054,907262,12966.24,2026-04-23T22:01:04.633Z,bid-extra-60359900234,2026-04-23T23:55:14.039Z
8703184,907572,9061.84,2026-04-23T22:01:04.633Z,bid-extra-60359900244,2026-04-23T23:55:14.039Z
8703314,907882,708.24,2026-04-23T22:01:04.634Z,bid-extra-60359900254,2026-04-23T23:55:14.039Z
8703444,908192,1343.8400000000001,2026-04-23T22:01:04.634Z,bid-extra-60359900264,2026-04-23T23:55:14.039Z
8703574,908502,1979.44,2026-04-23T22:01:04.634Z,bid-extra-60359900274,2026-04-23T23:55:14.039Z
8703704,908812,2615.04,2026-04-23T22:01:04.634Z,bid-extra-60359900284,2026-04-23T23:55:14.039Z
8703834,909122,3250.6400000000003,2026-04-23T22:01:04.634Z,bid-extra-60359900294,2026-04-23T23:55:14.039Z
8703964,909432,3886.2400000000002,2026-04-23T22:01:04.634Z,bid-extra-60359900304,2026-04-23T23:55:14.039Z
8704094,909742,4521.84,2026-04-23T22:01:04.634Z,bid-extra-60359900314,2026-04-23T23:55:14.039Z
8704224,910052,5157.4400000000005,2026-04-23T22:01:04.634Z,bid-extra-60359900324,2026-04-23T23:55:14.039Z
8704354,910362,5793.04,2026-04-23T22:01:04.634Z,bid-extra-60359900334,2026-04-23T23:55:14.039Z
8704484,910672,6428.64,2026-04-23T22:01:04.634Z,bid-extra-60359900344,2026-04-23T23:55:14.039Z
8704614,910982,7064.24,2026-04-23T22:01:04.635Z,bid-extra-60359900354,2026-04-23T23:55:14.039Z
8704744,911292,7699.84,2026-04-23T22:01:04.635Z,bid-extra-60359900364,2026-04-23T23:55:14.039Z
8704874,911602,3795.44,2026-04-23T22:01:04.635Z,bid-extra-60359900374,2026-04-23T23:55:14.039Z
8705004,911912,4431.04,2026-04-23T22:01:04.635Z,bid-extra-60359900384,2026-04-23T23:55:14.039Z
8705134,912222,5066.64,2026-04-23T22:01:04.635Z,bid-extra-60359900394,2026-04-23T23:55:14.039Z
8705264,912532,5702.24,2026-04-23T22:01:04.635Z,bid-extra-60359900404,2026-04-23T23:55:14.039Z
8705394,912842,6337.84,2026-04-23T22:01:04.635Z,bid-extra-60359900414,2026-04-23T23:55:14.039Z
8705524,913152,6973.4400000000005,2026-04-23T22:01:04.635Z,bid-extra-60359900424,2026-04-23T23:55:14.039Z
8705654,913462,7609.04,2026-04-23T22:01:04.635Z,bid-extra-60359900434,2026-04-23T23:55:14.039Z
8705784,913772,8244.64,2026-04-23T22:01:04.635Z,bid-extra-60359900444,2026-04-23T23:55:14.039Z
8705914,914082,8880.24,2026-04-23T22:01:04.636Z,bid-extra-60359900454,2026-04-23T23:55:14.039Z
8706044,914392,9515.84,2026-04-23T22:01:04.636Z,bid-extra-60359900464,2026-04-23T23:55:14.039Z
8706174,914702,10151.44,2026-04-23T22:01:04.636Z,bid-extra-60359900474,2026-04-23T23:55:14.039Z
8706304,915012,10787.04,2026-04-23T22:01:04.636Z,bid-extra-60359900484,2026-04-23T23:55:14.039Z
8706434,915322,6882.64,2026-04-23T22:01:04.636Z,bid-extra-60359900494,2026-04-23T23:55:14.039Z
8706564,915632,7518.240000000001,2026-04-23T22:01:04.636Z,bid-extra-60359900504,2026-04-23T23:55:14.039Z
8706694,915942,8153.84,2026-04-23T22:01:04.636Z,bid-extra-60359900514,2026-04-23T23:55:14.039Z
8706824,916252,8789.44,2026-04-23T22:01:04.636Z,bid-extra-60359900524,2026-04-23T23:55:14.039Z
8706954,916562,9425.04,2026-04-23T22:01:04.636Z,bid-extra-60359900534,2026-04-23T23:55:14.039Z
8707084,916872,10060.64,2026-04-23T22:01:04.636Z,bid-extra-60359900544,2026-04-23T23:55:14.039Z
8707214,917182,10696.24,2026-04-23T22:01:04.637Z,bid-extra-60359900554,2026-04-23T23:55:14.039Z
8707344,917492,11331.84,2026-04-23T22:01:04.637Z,bid-extra-60359900564,2026-04-23T23:55:14.039Z
8707474,917802,11967.44,2026-04-23T22:01:04.637Z,bid-extra-60359900574,2026-04-23T23:55:14.039Z
