auction,bidder,price,dateTime,extra,processed_time
7700064,900132,1162.24,2026-04-23T22:03:14.631Z,bid-extra-60372900004,2026-04-23T23:55:14.039Z
7700194,900442,1797.8400000000001,2026-04-23T22:03:14.631Z,bid-extra-60372900014,2026-04-23T23:55:14.039Z
7700324,900752,2433.44,2026-04-23T22:03:14.631Z,bid-extra-60372900024,2026-04-23T23:55:14.039Z
7700454,901062,3069.04,2026-04-23T22:03:14.631Z,bid-extra-60372900034,2026-04-23T23:55:14.039Z
7700584,901372,3704.6400000000003,2026-04-23T22:03:14.631Z,bid-extra-60372900044,2026-04-23T23:55:14.039Z
7700714,901682,4340.24,2026-04-23T22:03:14.632Z,bid-extra-60372900054,2026-04-23T23:55:14.039Z
7700844,901992,4975.84,2026-04-23T22:03:14.632Z,bid-extra-60372900064,2026-04-23T23:55:14.039Z
7700974,902302,5611.4400000000005,2026-04-23T22:03:14.632Z,bid-extra-60372900074,2026-04-23T23:55:14.039Z
7701104,902612,6247.04,2026-04-23T22:03:14.632Z,bid-extra-60372900084,2026-04-23T23:55:14.039Z
7701234,902922,6882.64,2026-04-23T22:03:14.632Z,bid-extra-60372900094,2026-04-23T23:55:14.039Z
7701364,903232,7518.240000000001,2026-04-23T22:03:14.632Z,bid-extra-60372900104,2026-04-23T23:55:14.039Z
7701494,903542,8153.84,2026-04-23T22:03:14.632Z,bid-extra-60372900114,2026-04-23T23:55:14.039Z
7701624,903852,4249.4400000000005,2026-04-23T22:03:14.632Z,bid-extra-60372900124,2026-04-23T23:55:14.039Z
7701754,904162,4885.04,2026-04-23T22:03:14.632Z,bid-extra-60372900134,2026-04-23T23:55:14.039Z
7701884,904472,5520.64,2026-04-23T22:03:14.632Z,bid-extra-60372900144,2026-04-23T23:55:14.039Z
7702014,904782,6156.24,2026-04-23T22:03:14.633Z,bid-extra-60372900154,2026-04-23T23:55:14.039Z
7702144,905092,6791.84,2026-04-23T22:03:14.633Z,bid-extra-60372900164,2026-04-23T23:55:14.039Z
7702274,905402,7427.4400000000005,2026-04-23T22:03:14.633Z,bid-extra-60372900174,2026-04-23T23:55:14.039Z
7702404,905712,8063.04,2026-04-23T22:03:14.633Z,bid-extra-60372900184,2026-04-23T23:55:14.039Z
7702534,906022,8698.64,2026-04-23T22:03:14.633Z,bid-extra-60372900194,2026-04-23T23:55:14.039Z
7702664,906332,9334.24,2026-04-23T22:03:14.633Z,bid-extra-60372900204,2026-04-23T23:55:14.039Z
7702794,906642,9969.84,2026-04-23T22:03:14.633Z,bid-extra-60372900214,2026-04-23T23:55:14.039Z
7702924,906952,10605.44,2026-04-23T22:03:14.633Z,bid-extra-60372900224,2026-04-23T23:55:14.039Z
7703054,907262,11241.04,2026-04-23T22:03:14.633Z,bid-extra-60372900234,2026-04-23T23:55:14.039Z
7703184,907572,7336.64,2026-04-23T22:03:14.633Z,bid-extra-60372900244,2026-04-23T23:55:14.039Z
7703314,907882,7972.240000000001,2026-04-23T22:03:14.634Z,bid-extra-60372900254,2026-04-23T23:55:14.039Z
7703444,908192,8607.84,2026-04-23T22:03:14.634Z,bid-extra-60372900264,2026-04-23T23:55:14.039Z
7703574,908502,9243.44,2026-04-23T22:03:14.634Z,bid-extra-60372900274,2026-04-23T23:55:14.039Z
7703704,908812,9879.04,2026-04-23T22:03:14.634Z,bid-extra-60372900284,2026-04-23T23:55:14.039Z
7703834,909122,10514.640000000001,2026-04-23T22:03:14.634Z,bid-extra-60372900294,2026-04-23T23:55:14.039Z
7703964,909432,11150.24,2026-04-23T22:03:14.634Z,bid-extra-60372900304,2026-04-23T23:55:14.039Z
7704094,909742,2796.64,2026-04-23T22:03:14.634Z,bid-extra-60372900314,2026-04-23T23:55:14.039Z
7704224,910052,3432.2400000000002,2026-04-23T22:03:14.634Z,bid-extra-60372900324,2026-04-23T23:55:14.039Z
7704354,910362,4067.84,2026-04-23T22:03:14.634Z,bid-extra-60372900334,2026-04-23T23:55:14.039Z
7704484,910672,4703.4400000000005,2026-04-23T22:03:14.634Z,bid-extra-60372900344,2026-04-23T23:55:14.039Z
7704614,910982,5339.04,2026-04-23T22:03:14.635Z,bid-extra-60372900354,2026-04-23T23:55:14.039Z
