auction,bidder,price,dateTime,extra,processed_time
5700064,900132,8607.84,2026-04-23T22:02:34.631Z,bid-extra-60368900004,2026-04-23T23:55:14.039Z
5700194,900442,9243.44,2026-04-23T22:02:34.631Z,bid-extra-60368900014,2026-04-23T23:55:14.039Z
5700324,900752,9879.04,2026-04-23T22:02:34.631Z,bid-extra-60368900024,2026-04-23T23:55:14.039Z
5700454,901062,1525.44,2026-04-23T22:02:34.631Z,bid-extra-60368900034,2026-04-23T23:55:14.039Z
5700584,901372,2161.04,2026-04-23T22:02:34.631Z,bid-extra-60368900044,2026-04-23T23:55:14.039Z
5700714,901682,2796.64,2026-04-23T22:02:34.632Z,bid-extra-60368900054,2026-04-23T23:55:14.039Z
5700844,901992,3432.2400000000002,2026-04-23T22:02:34.632Z,bid-extra-60368900064,2026-04-23T23:55:14.039Z
5700974,902302,4067.84,2026-04-23T22:02:34.632Z,bid-extra-60368900074,2026-04-23T23:55:14.039Z
5701104,902612,4703.4400000000005,2026-04-23T22:02:34.632Z,bid-extra-60368900084,2026-04-23T23:55:14.039Z
5701234,902922,5339.04,2026-04-23T22:02:34.632Z,bid-extra-60368900094,2026-04-23T23:55:14.039Z
5701364,903232,5974.64,2026-04-23T22:02:34.632Z,bid-extra-60368900104,2026-04-23T23:55:14.039Z
5701494,903542,6610.24,2026-04-23T22:02:34.632Z,bid-extra-60368900114,2026-04-23T23:55:14.039Z
5701624,903852,2705.84,2026-04-23T22:02:34.632Z,bid-extra-60368900124,2026-04-23T23:55:14.039Z
5701754,904162,3341.44,2026-04-23T22:02:34.632Z,bid-extra-60368900134,2026-04-23T23:55:14.039Z
5701884,904472,3977.04,2026-04-23T22:02:34.632Z,bid-extra-60368900144,2026-04-23T23:55:14.039Z
5702014,904782,4612.64,2026-04-23T22:02:34.633Z,bid-extra-60368900154,2026-04-23T23:55:14.039Z
5702144,905092,5248.24,2026-04-23T22:02:34.633Z,bid-extra-60368900164,2026-04-23T23:55:14.039Z
5702274,905402,5883.84,2026-04-23T22:02:34.633Z,bid-extra-60368900174,2026-04-23T23:55:14.039Z
5702404,905712,6519.4400000000005,2026-04-23T22:02:34.633Z,bid-extra-60368900184,2026-04-23T23:55:14.039Z
5702534,906022,7155.04,2026-04-23T22:02:34.633Z,bid-extra-60368900194,2026-04-23T23:55:14.039Z
5702664,906332,7790.64,2026-04-23T22:02:34.633Z,bid-extra-60368900204,2026-04-23T23:55:14.039Z
5702794,906642,8426.24,2026-04-23T22:02:34.633Z,bid-extra-60368900214,2026-04-23T23:55:14.039Z
5702924,906952,9061.84,2026-04-23T22:02:34.633Z,bid-extra-60368900224,2026-04-23T23:55:14.039Z
5703054,907262,9697.44,2026-04-23T22:02:34.633Z,bid-extra-60368900234,2026-04-23T23:55:14.039Z
5703184,907572,5793.04,2026-04-23T22:02:34.633Z,bid-extra-60368900244,2026-04-23T23:55:14.039Z
5703314,907882,6428.64,2026-04-23T22:02:34.634Z,bid-extra-60368900254,2026-04-23T23:55:14.039Z
5703444,908192,7064.24,2026-04-23T22:02:34.634Z,bid-extra-60368900264,2026-04-23T23:55:14.039Z
5703574,908502,7699.84,2026-04-23T22:02:34.634Z,bid-extra-60368900274,2026-04-23T23:55:14.039Z
5703704,908812,8335.44,2026-04-23T22:02:34.634Z,bid-extra-60368900284,2026-04-23T23:55:14.039Z
5703834,909122,8971.04,2026-04-23T22:02:34.634Z,bid-extra-60368900294,2026-04-23T23:55:14.039Z
5703964,909432,9606.64,2026-04-23T22:02:34.634Z,bid-extra-60368900304,2026-04-23T23:55:14.039Z
5704094,909742,10242.24,2026-04-23T22:02:34.634Z,bid-extra-60368900314,2026-04-23T23:55:14.039Z
5704224,910052,10877.84,2026-04-23T22:02:34.634Z,bid-extra-60368900324,2026-04-23T23:55:14.039Z
5704354,910362,11513.44,2026-04-23T22:02:34.634Z,bid-extra-60368900334,2026-04-23T23:55:14.039Z
5704484,910672,12149.04,2026-04-23T22:02:34.634Z,bid-extra-60368900344,2026-04-23T23:55:14.039Z
5704614,910982,12784.640000000001,2026-04-23T22:02:34.635Z,bid-extra-60368900354,2026-04-23T23:55:14.039Z
5704744,911292,13420.24,2026-04-23T22:02:34.635Z,bid-extra-60368900364,2026-04-23T23:55:14.039Z
5704874,911602,526.64,2026-04-23T22:02:34.635Z,bid-extra-60368900374,2026-04-23T23:55:14.039Z
5705004,911912,1162.24,2026-04-23T22:02:34.635Z,bid-extra-60368900384,2026-04-23T23:55:14.039Z
5705134,912222,1797.8400000000001,2026-04-23T22:02:34.635Z,bid-extra-60368900394,2026-04-23T23:55:14.039Z
5705264,912532,2433.44,2026-04-23T22:02:34.635Z,bid-extra-60368900404,2026-04-23T23:55:14.039Z
5705394,912842,3069.04,2026-04-23T22:02:34.635Z,bid-extra-60368900414,2026-04-23T23:55:14.039Z
5705524,913152,3704.6400000000003,2026-04-23T22:02:34.635Z,bid-extra-60368900424,2026-04-23T23:55:14.039Z
5705654,913462,4340.24,2026-04-23T22:02:34.635Z,bid-extra-60368900434,2026-04-23T23:55:14.039Z
5705784,913772,4975.84,2026-04-23T22:02:34.635Z,bid-extra-60368900444,2026-04-23T23:55:14.039Z
5705914,914082,5611.4400000000005,2026-04-23T22:02:34.636Z,bid-extra-60368900454,2026-04-23T23:55:14.039Z
5706044,914392,6247.04,2026-04-23T22:02:34.636Z,bid-extra-60368900464,2026-04-23T23:55:14.039Z
5706174,914702,6882.64,2026-04-23T22:02:34.636Z,bid-extra-60368900474,2026-04-23T23:55:14.039Z
5706304,915012,7518.240000000001,2026-04-23T22:02:34.636Z,bid-extra-60368900484,2026-04-23T23:55:14.039Z
5706434,915322,3613.84,2026-04-23T22:02:34.636Z,bid-extra-60368900494,2026-04-23T23:55:14.039Z
5706564,915632,4249.4400000000005,2026-04-23T22:02:34.636Z,bid-extra-60368900504,2026-04-23T23:55:14.039Z
5706694,915942,4885.04,2026-04-23T22:02:34.636Z,bid-extra-60368900514,2026-04-23T23:55:14.039Z
