auction,bidder,price,dateTime,extra,processed_time
3700064,900132,8335.44,2026-04-23T21:58:34.631Z,bid-extra-60344900004,2026-04-23T23:55:14.039Z
3700194,900442,8971.04,2026-04-23T21:58:34.631Z,bid-extra-60344900014,2026-04-23T23:55:14.039Z
3700324,900752,9606.64,2026-04-23T21:58:34.631Z,bid-extra-60344900024,2026-04-23T23:55:14.039Z
3700454,901062,10242.24,2026-04-23T21:58:34.631Z,bid-extra-60344900034,2026-04-23T23:55:14.039Z
3700584,901372,1888.64,2026-04-23T21:58:34.631Z,bid-extra-60344900044,2026-04-23T23:55:14.039Z
3700714,901682,2524.2400000000002,2026-04-23T21:58:34.632Z,bid-extra-60344900054,2026-04-23T23:55:14.039Z
3700844,901992,3159.84,2026-04-23T21:58:34.632Z,bid-extra-60344900064,2026-04-23T23:55:14.039Z
3700974,902302,3795.44,2026-04-23T21:58:34.632Z,bid-extra-60344900074,2026-04-23T23:55:14.039Z
3701104,902612,4431.04,2026-04-23T21:58:34.632Z,bid-extra-60344900084,2026-04-23T23:55:14.039Z
3701234,902922,5066.64,2026-04-23T21:58:34.632Z,bid-extra-60344900094,2026-04-23T23:55:14.039Z
3701364,903232,5702.24,2026-04-23T21:58:34.632Z,bid-extra-60344900104,2026-04-23T23:55:14.039Z
3701494,903542,6337.84,2026-04-23T21:58:34.632Z,bid-extra-60344900114,2026-04-23T23:55:14.039Z
3701624,903852,2433.44,2026-04-23T21:58:34.632Z,bid-extra-60344900124,2026-04-23T23:55:14.039Z
3701754,904162,3069.04,2026-04-23T21:58:34.632Z,bid-extra-60344900134,2026-04-23T23:55:14.039Z
3701884,904472,3704.6400000000003,2026-04-23T21:58:34.632Z,bid-extra-60344900144,2026-04-23T23:55:14.039Z
3702014,904782,4340.24,2026-04-23T21:58:34.633Z,bid-extra-60344900154,2026-04-23T23:55:14.039Z
3702144,905092,4975.84,2026-04-23T21:58:34.633Z,bid-extra-60344900164,2026-04-23T23:55:14.039Z
3702274,905402,5611.4400000000005,2026-04-23T21:58:34.633Z,bid-extra-60344900174,2026-04-23T23:55:14.039Z
3702404,905712,6247.04,2026-04-23T21:58:34.633Z,bid-extra-60344900184,2026-04-23T23:55:14.039Z
3702534,906022,6882.64,2026-04-23T21:58:34.633Z,bid-extra-60344900194,2026-04-23T23:55:14.039Z
3702664,906332,7518.240000000001,2026-04-23T21:58:34.633Z,bid-extra-60344900204,2026-04-23T23:55:14.039Z
3702794,906642,8153.84,2026-04-23T21:58:34.633Z,bid-extra-60344900214,2026-04-23T23:55:14.039Z
3702924,906952,8789.44,2026-04-23T21:58:34.633Z,bid-extra-60344900224,2026-04-23T23:55:14.039Z
3703054,907262,9425.04,2026-04-23T21:58:34.633Z,bid-extra-60344900234,2026-04-23T23:55:14.039Z
3703184,907572,5520.64,2026-04-23T21:58:34.633Z,bid-extra-60344900244,2026-04-23T23:55:14.039Z
3703314,907882,6156.24,2026-04-23T21:58:34.634Z,bid-extra-60344900254,2026-04-23T23:55:14.039Z
3703444,908192,6791.84,2026-04-23T21:58:34.634Z,bid-extra-60344900264,2026-04-23T23:55:14.039Z
3703574,908502,7427.4400000000005,2026-04-23T21:58:34.634Z,bid-extra-60344900274,2026-04-23T23:55:14.039Z
3703704,908812,8063.04,2026-04-23T21:58:34.634Z,bid-extra-60344900284,2026-04-23T23:55:14.039Z
3703834,909122,8698.64,2026-04-23T21:58:34.634Z,bid-extra-60344900294,2026-04-23T23:55:14.039Z
3703964,909432,9334.24,2026-04-23T21:58:34.634Z,bid-extra-60344900304,2026-04-23T23:55:14.039Z
3704094,909742,9969.84,2026-04-23T21:58:34.634Z,bid-extra-60344900314,2026-04-23T23:55:14.039Z
3704224,910052,10605.44,2026-04-23T21:58:34.634Z,bid-extra-60344900324,2026-04-23T23:55:14.039Z
3704354,910362,11241.04,2026-04-23T21:58:34.634Z,bid-extra-60344900334,2026-04-23T23:55:14.039Z
3704484,910672,11876.640000000001,2026-04-23T21:58:34.634Z,bid-extra-60344900344,2026-04-23T23:55:14.039Z
3704614,910982,12512.24,2026-04-23T21:58:34.635Z,bid-extra-60344900354,2026-04-23T23:55:14.039Z
3704744,911292,13147.84,2026-04-23T21:58:34.635Z,bid-extra-60344900364,2026-04-23T23:55:14.039Z
3704874,911602,9243.44,2026-04-23T21:58:34.635Z,bid-extra-60344900374,2026-04-23T23:55:14.039Z
3705004,911912,889.84,2026-04-23T21:58:34.635Z,bid-extra-60344900384,2026-04-23T23:55:14.039Z
3705134,912222,1525.44,2026-04-23T21:58:34.635Z,bid-extra-60344900394,2026-04-23T23:55:14.039Z
3705264,912532,2161.04,2026-04-23T21:58:34.635Z,bid-extra-60344900404,2026-04-23T23:55:14.039Z
3705394,912842,2796.64,2026-04-23T21:58:34.635Z,bid-extra-60344900414,2026-04-23T23:55:14.039Z
3705524,913152,3432.2400000000002,2026-04-23T21:58:34.635Z,bid-extra-60344900424,2026-04-23T23:55:14.039Z
3705654,913462,4067.84,2026-04-23T21:58:34.635Z,bid-extra-60344900434,2026-04-23T23:55:14.039Z
3705784,913772,4703.4400000000005,2026-04-23T21:58:34.635Z,bid-extra-60344900444,2026-04-23T23:55:14.039Z
3705914,914082,5339.04,2026-04-23T21:58:34.636Z,bid-extra-60344900454,2026-04-23T23:55:14.039Z
3706044,914392,5974.64,2026-04-23T21:58:34.636Z,bid-extra-60344900464,2026-04-23T23:55:14.039Z
3706174,914702,6610.24,2026-04-23T21:58:34.636Z,bid-extra-60344900474,2026-04-23T23:55:14.039Z
3706304,915012,7245.84,2026-04-23T21:58:34.636Z,bid-extra-60344900484,2026-04-23T23:55:14.039Z
3706434,915322,3341.44,2026-04-23T21:58:34.636Z,bid-extra-60344900494,2026-04-23T23:55:14.039Z
3706564,915632,3977.04,2026-04-23T21:58:34.636Z,bid-extra-60344900504,2026-04-23T23:55:14.039Z
3706694,915942,4612.64,2026-04-23T21:58:34.636Z,bid-extra-60344900514,2026-04-23T23:55:14.039Z
3706824,916252,5248.24,2026-04-23T21:58:34.636Z,bid-extra-60344900524,2026-04-23T23:55:14.039Z
3706954,916562,5883.84,2026-04-23T21:58:34.636Z,bid-extra-60344900534,2026-04-23T23:55:14.039Z
3707084,916872,6519.4400000000005,2026-04-23T21:58:34.636Z,bid-extra-60344900544,2026-04-23T23:55:14.039Z
3707214,917182,7155.04,2026-04-23T21:58:34.637Z,bid-extra-60344900554,2026-04-23T23:55:14.039Z
3707344,917492,7790.64,2026-04-23T21:58:34.637Z,bid-extra-60344900564,2026-04-23T23:55:14.039Z
3707474,917802,8426.24,2026-04-23T21:58:34.637Z,bid-extra-60344900574,2026-04-23T23:55:14.039Z
3707604,918112,9061.84,2026-04-23T21:58:34.637Z,bid-extra-60344900584,2026-04-23T23:55:14.039Z
3707734,918422,9697.44,2026-04-23T21:58:34.637Z,bid-extra-60344900594,2026-04-23T23:55:14.039Z
3707864,918732,10333.04,2026-04-23T21:58:34.637Z,bid-extra-60344900604,2026-04-23T23:55:14.039Z
3707994,919042,6428.64,2026-04-23T21:58:34.637Z,bid-extra-60344900614,2026-04-23T23:55:14.039Z
3708124,919352,7064.24,2026-04-23T21:58:34.637Z,bid-extra-60344900624,2026-04-23T23:55:14.039Z
3708254,919662,7699.84,2026-04-23T21:58:34.637Z,bid-extra-60344900634,2026-04-23T23:55:14.039Z
