auction,bidder,price,dateTime,extra,processed_time
4700064,900132,7518.240000000001,2026-04-23T22:03:04.631Z,bid-extra-60371900004,2026-04-23T23:55:14.039Z
4700194,900442,8153.84,2026-04-23T22:03:04.631Z,bid-extra-60371900014,2026-04-23T23:55:14.039Z
4700324,900752,8789.44,2026-04-23T22:03:04.631Z,bid-extra-60371900024,2026-04-23T23:55:14.039Z
4700454,901062,9425.04,2026-04-23T22:03:04.631Z,bid-extra-60371900034,2026-04-23T23:55:14.039Z
4700584,901372,10060.64,2026-04-23T22:03:04.631Z,bid-extra-60371900044,2026-04-23T23:55:14.039Z
4700714,901682,10696.24,2026-04-23T22:03:04.632Z,bid-extra-60371900054,2026-04-23T23:55:14.039Z
4700844,901992,11331.84,2026-04-23T22:03:04.632Z,bid-extra-60371900064,2026-04-23T23:55:14.039Z
4700974,902302,2978.2400000000002,2026-04-23T22:03:04.632Z,bid-extra-60371900074,2026-04-23T23:55:14.039Z
4701104,902612,3613.84,2026-04-23T22:03:04.632Z,bid-extra-60371900084,2026-04-23T23:55:14.039Z
4701234,902922,4249.4400000000005,2026-04-23T22:03:04.632Z,bid-extra-60371900094,2026-04-23T23:55:14.039Z
4701364,903232,4885.04,2026-04-23T22:03:04.632Z,bid-extra-60371900104,2026-04-23T23:55:14.039Z
4701494,903542,5520.64,2026-04-23T22:03:04.632Z,bid-extra-60371900114,2026-04-23T23:55:14.039Z
4701624,903852,1616.24,2026-04-23T22:03:04.632Z,bid-extra-60371900124,2026-04-23T23:55:14.039Z
4701754,904162,2251.84,2026-04-23T22:03:04.632Z,bid-extra-60371900134,2026-04-23T23:55:14.039Z
4701884,904472,2887.44,2026-04-23T22:03:04.632Z,bid-extra-60371900144,2026-04-23T23:55:14.039Z
4702014,904782,3523.04,2026-04-23T22:03:04.633Z,bid-extra-60371900154,2026-04-23T23:55:14.039Z
4702144,905092,4158.64,2026-04-23T22:03:04.633Z,bid-extra-60371900164,2026-04-23T23:55:14.039Z
4702274,905402,4794.24,2026-04-23T22:03:04.633Z,bid-extra-60371900174,2026-04-23T23:55:14.039Z
4702404,905712,5429.84,2026-04-23T22:03:04.633Z,bid-extra-60371900184,2026-04-23T23:55:14.039Z
4702534,906022,6065.4400000000005,2026-04-23T22:03:04.633Z,bid-extra-60371900194,2026-04-23T23:55:14.039Z
4702664,906332,6701.04,2026-04-23T22:03:04.633Z,bid-extra-60371900204,2026-04-23T23:55:14.039Z
4702794,906642,7336.64,2026-04-23T22:03:04.633Z,bid-extra-60371900214,2026-04-23T23:55:14.039Z
4702924,906952,7972.240000000001,2026-04-23T22:03:04.633Z,bid-extra-60371900224,2026-04-23T23:55:14.039Z
4703054,907262,8607.84,2026-04-23T22:03:04.633Z,bid-extra-60371900234,2026-04-23T23:55:14.039Z
4703184,907572,4703.4400000000005,2026-04-23T22:03:04.633Z,bid-extra-60371900244,2026-04-23T23:55:14.039Z
4703314,907882,5339.04,2026-04-23T22:03:04.634Z,bid-extra-60371900254,2026-04-23T23:55:14.039Z
4703444,908192,5974.64,2026-04-23T22:03:04.634Z,bid-extra-60371900264,2026-04-23T23:55:14.039Z
4703574,908502,6610.24,2026-04-23T22:03:04.634Z,bid-extra-60371900274,2026-04-23T23:55:14.039Z
4703704,908812,7245.84,2026-04-23T22:03:04.634Z,bid-extra-60371900284,2026-04-23T23:55:14.039Z
4703834,909122,7881.4400000000005,2026-04-23T22:03:04.634Z,bid-extra-60371900294,2026-04-23T23:55:14.039Z
4703964,909432,8517.04,2026-04-23T22:03:04.634Z,bid-extra-60371900304,2026-04-23T23:55:14.039Z
4704094,909742,9152.64,2026-04-23T22:03:04.634Z,bid-extra-60371900314,2026-04-23T23:55:14.039Z
4704224,910052,9788.24,2026-04-23T22:03:04.634Z,bid-extra-60371900324,2026-04-23T23:55:14.039Z
4704354,910362,10423.84,2026-04-23T22:03:04.634Z,bid-extra-60371900334,2026-04-23T23:55:14.039Z
4704484,910672,11059.44,2026-04-23T22:03:04.634Z,bid-extra-60371900344,2026-04-23T23:55:14.039Z
4704614,910982,11695.04,2026-04-23T22:03:04.635Z,bid-extra-60371900354,2026-04-23T23:55:14.039Z
4704744,911292,12330.640000000001,2026-04-23T22:03:04.635Z,bid-extra-60371900364,2026-04-23T23:55:14.039Z
4704874,911602,8426.24,2026-04-23T22:03:04.635Z,bid-extra-60371900374,2026-04-23T23:55:14.039Z
4705004,911912,9061.84,2026-04-23T22:03:04.635Z,bid-extra-60371900384,2026-04-23T23:55:14.039Z
4705134,912222,9697.44,2026-04-23T22:03:04.635Z,bid-extra-60371900394,2026-04-23T23:55:14.039Z
4705264,912532,10333.04,2026-04-23T22:03:04.635Z,bid-extra-60371900404,2026-04-23T23:55:14.039Z
4705394,912842,1979.44,2026-04-23T22:03:04.635Z,bid-extra-60371900414,2026-04-23T23:55:14.039Z
4705524,913152,2615.04,2026-04-23T22:03:04.635Z,bid-extra-60371900424,2026-04-23T23:55:14.039Z
4705654,913462,3250.6400000000003,2026-04-23T22:03:04.635Z,bid-extra-60371900434,2026-04-23T23:55:14.039Z
4705784,913772,3886.2400000000002,2026-04-23T22:03:04.635Z,bid-extra-60371900444,2026-04-23T23:55:14.039Z
4705914,914082,4521.84,2026-04-23T22:03:04.636Z,bid-extra-60371900454,2026-04-23T23:55:14.039Z
4706044,914392,5157.4400000000005,2026-04-23T22:03:04.636Z,bid-extra-60371900464,2026-04-23T23:55:14.039Z
4706174,914702,5793.04,2026-04-23T22:03:04.636Z,bid-extra-60371900474,2026-04-23T23:55:14.039Z
4706304,915012,6428.64,2026-04-23T22:03:04.636Z,bid-extra-60371900484,2026-04-23T23:55:14.039Z
4706434,915322,2524.2400000000002,2026-04-23T22:03:04.636Z,bid-extra-60371900494,2026-04-23T23:55:14.039Z
4706564,915632,3159.84,2026-04-23T22:03:04.636Z,bid-extra-60371900504,2026-04-23T23:55:14.039Z
4706694,915942,3795.44,2026-04-23T22:03:04.636Z,bid-extra-60371900514,2026-04-23T23:55:14.039Z
4706824,916252,4431.04,2026-04-23T22:03:04.636Z,bid-extra-60371900524,2026-04-23T23:55:14.039Z
4706954,916562,5066.64,2026-04-23T22:03:04.636Z,bid-extra-60371900534,2026-04-23T23:55:14.039Z
4707084,916872,5702.24,2026-04-23T22:03:04.636Z,bid-extra-60371900544,2026-04-23T23:55:14.039Z
4707214,917182,6337.84,2026-04-23T22:03:04.637Z,bid-extra-60371900554,2026-04-23T23:55:14.039Z
4707344,917492,6973.4400000000005,2026-04-23T22:03:04.637Z,bid-extra-60371900564,2026-04-23T23:55:14.039Z
4707474,917802,7609.04,2026-04-23T22:03:04.637Z,bid-extra-60371900574,2026-04-23T23:55:14.039Z
4707604,918112,8244.64,2026-04-23T22:03:04.637Z,bid-extra-60371900584,2026-04-23T23:55:14.039Z
4707734,918422,8880.24,2026-04-23T22:03:04.637Z,bid-extra-60371900594,2026-04-23T23:55:14.039Z
4707864,918732,9515.84,2026-04-23T22:03:04.637Z,bid-extra-60371900604,2026-04-23T23:55:14.039Z
