auction,bidder,price,dateTime,extra,processed_time
3700064,900132,7064.24,2026-04-23T22:01:54.631Z,bid-extra-60364900004,2026-04-23T23:55:14.039Z
3700194,900442,7699.84,2026-04-23T22:01:54.631Z,bid-extra-60364900014,2026-04-23T23:55:14.039Z
3700324,900752,8335.44,2026-04-23T22:01:54.631Z,bid-extra-60364900024,2026-04-23T23:55:14.039Z
3700454,901062,8971.04,2026-04-23T22:01:54.631Z,bid-extra-60364900034,2026-04-23T23:55:14.039Z
3700584,901372,9606.64,2026-04-23T22:01:54.631Z,bid-extra-60364900044,2026-04-23T23:55:14.039Z
3700714,901682,10242.24,2026-04-23T22:01:54.632Z,bid-extra-60364900054,2026-04-23T23:55:14.039Z
3700844,901992,10877.84,2026-04-23T22:01:54.632Z,bid-extra-60364900064,2026-04-23T23:55:14.039Z
3700974,902302,11513.44,2026-04-23T22:01:54.632Z,bid-extra-60364900074,2026-04-23T23:55:14.039Z
3701104,902612,12149.04,2026-04-23T22:01:54.632Z,bid-extra-60364900084,2026-04-23T23:55:14.039Z
3701234,902922,3795.44,2026-04-23T22:01:54.632Z,bid-extra-60364900094,2026-04-23T23:55:14.039Z
3701364,903232,4431.04,2026-04-23T22:01:54.632Z,bid-extra-60364900104,2026-04-23T23:55:14.039Z
3701494,903542,5066.64,2026-04-23T22:01:54.632Z,bid-extra-60364900114,2026-04-23T23:55:14.039Z
3701624,903852,1162.24,2026-04-23T22:01:54.632Z,bid-extra-60364900124,2026-04-23T23:55:14.039Z
3701754,904162,1797.8400000000001,2026-04-23T22:01:54.632Z,bid-extra-60364900134,2026-04-23T23:55:14.039Z
3701884,904472,2433.44,2026-04-23T22:01:54.632Z,bid-extra-60364900144,2026-04-23T23:55:14.039Z
3702014,904782,3069.04,2026-04-23T22:01:54.633Z,bid-extra-60364900154,2026-04-23T23:55:14.039Z
3702144,905092,3704.6400000000003,2026-04-23T22:01:54.633Z,bid-extra-60364900164,2026-04-23T23:55:14.039Z
3702274,905402,4340.24,2026-04-23T22:01:54.633Z,bid-extra-60364900174,2026-04-23T23:55:14.039Z
3702404,905712,4975.84,2026-04-23T22:01:54.633Z,bid-extra-60364900184,2026-04-23T23:55:14.039Z
3702534,906022,5611.4400000000005,2026-04-23T22:01:54.633Z,bid-extra-60364900194,2026-04-23T23:55:14.039Z
3702664,906332,6247.04,2026-04-23T22:01:54.633Z,bid-extra-60364900204,2026-04-23T23:55:14.039Z
3702794,906642,6882.64,2026-04-23T22:01:54.633Z,bid-extra-60364900214,2026-04-23T23:55:14.039Z
3702924,906952,7518.240000000001,2026-04-23T22:01:54.633Z,bid-extra-60364900224,2026-04-23T23:55:14.039Z
3703054,907262,8153.84,2026-04-23T22:01:54.633Z,bid-extra-60364900234,2026-04-23T23:55:14.039Z
3703184,907572,4249.4400000000005,2026-04-23T22:01:54.633Z,bid-extra-60364900244,2026-04-23T23:55:14.039Z
3703314,907882,4885.04,2026-04-23T22:01:54.634Z,bid-extra-60364900254,2026-04-23T23:55:14.039Z
3703444,908192,5520.64,2026-04-23T22:01:54.634Z,bid-extra-60364900264,2026-04-23T23:55:14.039Z
3703574,908502,6156.24,2026-04-23T22:01:54.634Z,bid-extra-60364900274,2026-04-23T23:55:14.039Z
3703704,908812,6791.84,2026-04-23T22:01:54.634Z,bid-extra-60364900284,2026-04-23T23:55:14.039Z
3703834,909122,7427.4400000000005,2026-04-23T22:01:54.634Z,bid-extra-60364900294,2026-04-23T23:55:14.039Z
3703964,909432,8063.04,2026-04-23T22:01:54.634Z,bid-extra-60364900304,2026-04-23T23:55:14.039Z
3704094,909742,8698.64,2026-04-23T22:01:54.634Z,bid-extra-60364900314,2026-04-23T23:55:14.039Z
3704224,910052,9334.24,2026-04-23T22:01:54.634Z,bid-extra-60364900324,2026-04-23T23:55:14.039Z
3704354,910362,9969.84,2026-04-23T22:01:54.634Z,bid-extra-60364900334,2026-04-23T23:55:14.039Z
3704484,910672,10605.44,2026-04-23T22:01:54.634Z,bid-extra-60364900344,2026-04-23T23:55:14.039Z
3704614,910982,11241.04,2026-04-23T22:01:54.635Z,bid-extra-60364900354,2026-04-23T23:55:14.039Z
3704744,911292,11876.640000000001,2026-04-23T22:01:54.635Z,bid-extra-60364900364,2026-04-23T23:55:14.039Z
3704874,911602,7972.240000000001,2026-04-23T22:01:54.635Z,bid-extra-60364900374,2026-04-23T23:55:14.039Z
3705004,911912,8607.84,2026-04-23T22:01:54.635Z,bid-extra-60364900384,2026-04-23T23:55:14.039Z
3705134,912222,9243.44,2026-04-23T22:01:54.635Z,bid-extra-60364900394,2026-04-23T23:55:14.039Z
