auction,bidder,price,dateTime,extra,processed_time
3700064,900132,7699.84,2026-04-23T22:00:14.631Z,bid-extra-60354900004,2026-04-23T23:55:14.039Z
3700194,900442,8335.44,2026-04-23T22:00:14.631Z,bid-extra-60354900014,2026-04-23T23:55:14.039Z
3700324,900752,8971.04,2026-04-23T22:00:14.631Z,bid-extra-60354900024,2026-04-23T23:55:14.039Z
3700454,901062,9606.64,2026-04-23T22:00:14.631Z,bid-extra-60354900034,2026-04-23T23:55:14.039Z
3700584,901372,10242.24,2026-04-23T22:00:14.631Z,bid-extra-60354900044,2026-04-23T23:55:14.039Z
3700714,901682,10877.84,2026-04-23T22:00:14.632Z,bid-extra-60354900054,2026-04-23T23:55:14.039Z
3700844,901992,2524.2400000000002,2026-04-23T22:00:14.632Z,bid-extra-60354900064,2026-04-23T23:55:14.039Z
3700974,902302,3159.84,2026-04-23T22:00:14.632Z,bid-extra-60354900074,2026-04-23T23:55:14.039Z
3701104,902612,3795.44,2026-04-23T22:00:14.632Z,bid-extra-60354900084,2026-04-23T23:55:14.039Z
3701234,902922,4431.04,2026-04-23T22:00:14.632Z,bid-extra-60354900094,2026-04-23T23:55:14.039Z
3701364,903232,5066.64,2026-04-23T22:00:14.632Z,bid-extra-60354900104,2026-04-23T23:55:14.039Z
3701494,903542,5702.24,2026-04-23T22:00:14.632Z,bid-extra-60354900114,2026-04-23T23:55:14.039Z
3701624,903852,1797.8400000000001,2026-04-23T22:00:14.632Z,bid-extra-60354900124,2026-04-23T23:55:14.039Z
3701754,904162,2433.44,2026-04-23T22:00:14.632Z,bid-extra-60354900134,2026-04-23T23:55:14.039Z
3701884,904472,3069.04,2026-04-23T22:00:14.632Z,bid-extra-60354900144,2026-04-23T23:55:14.039Z
3702014,904782,3704.6400000000003,2026-04-23T22:00:14.633Z,bid-extra-60354900154,2026-04-23T23:55:14.039Z
3702144,905092,4340.24,2026-04-23T22:00:14.633Z,bid-extra-60354900164,2026-04-23T23:55:14.039Z
3702274,905402,4975.84,2026-04-23T22:00:14.633Z,bid-extra-60354900174,2026-04-23T23:55:14.039Z
3702404,905712,5611.4400000000005,2026-04-23T22:00:14.633Z,bid-extra-60354900184,2026-04-23T23:55:14.039Z
3702534,906022,6247.04,2026-04-23T22:00:14.633Z,bid-extra-60354900194,2026-04-23T23:55:14.039Z
3702664,906332,6882.64,2026-04-23T22:00:14.633Z,bid-extra-60354900204,2026-04-23T23:55:14.039Z
3702794,906642,7518.240000000001,2026-04-23T22:00:14.633Z,bid-extra-60354900214,2026-04-23T23:55:14.039Z
3702924,906952,8153.84,2026-04-23T22:00:14.633Z,bid-extra-60354900224,2026-04-23T23:55:14.039Z
3703054,907262,8789.44,2026-04-23T22:00:14.633Z,bid-extra-60354900234,2026-04-23T23:55:14.039Z
3703184,907572,4885.04,2026-04-23T22:00:14.633Z,bid-extra-60354900244,2026-04-23T23:55:14.039Z
3703314,907882,5520.64,2026-04-23T22:00:14.634Z,bid-extra-60354900254,2026-04-23T23:55:14.039Z
3703444,908192,6156.24,2026-04-23T22:00:14.634Z,bid-extra-60354900264,2026-04-23T23:55:14.039Z
3703574,908502,6791.84,2026-04-23T22:00:14.634Z,bid-extra-60354900274,2026-04-23T23:55:14.039Z
3703704,908812,7427.4400000000005,2026-04-23T22:00:14.634Z,bid-extra-60354900284,2026-04-23T23:55:14.039Z
3703834,909122,8063.04,2026-04-23T22:00:14.634Z,bid-extra-60354900294,2026-04-23T23:55:14.039Z
3703964,909432,8698.64,2026-04-23T22:00:14.634Z,bid-extra-60354900304,2026-04-23T23:55:14.039Z
3704094,909742,9334.24,2026-04-23T22:00:14.634Z,bid-extra-60354900314,2026-04-23T23:55:14.039Z
3704224,910052,9969.84,2026-04-23T22:00:14.634Z,bid-extra-60354900324,2026-04-23T23:55:14.039Z
3704354,910362,10605.44,2026-04-23T22:00:14.634Z,bid-extra-60354900334,2026-04-23T23:55:14.039Z
3704484,910672,11241.04,2026-04-23T22:00:14.634Z,bid-extra-60354900344,2026-04-23T23:55:14.039Z
3704614,910982,11876.640000000001,2026-04-23T22:00:14.635Z,bid-extra-60354900354,2026-04-23T23:55:14.039Z
3704744,911292,12512.24,2026-04-23T22:00:14.635Z,bid-extra-60354900364,2026-04-23T23:55:14.039Z
3704874,911602,8607.84,2026-04-23T22:00:14.635Z,bid-extra-60354900374,2026-04-23T23:55:14.039Z
3705004,911912,9243.44,2026-04-23T22:00:14.635Z,bid-extra-60354900384,2026-04-23T23:55:14.039Z
3705134,912222,9879.04,2026-04-23T22:00:14.635Z,bid-extra-60354900394,2026-04-23T23:55:14.039Z
