auction,bidder,price,dateTime,extra,processed_time
9700064,900132,3341.44,2026-04-23T22:02:14.631Z,bid-extra-60366900004,2026-04-23T23:55:14.039Z
9700194,900442,3977.04,2026-04-23T22:02:14.631Z,bid-extra-60366900014,2026-04-23T23:55:14.039Z
9700324,900752,4612.64,2026-04-23T22:02:14.631Z,bid-extra-60366900024,2026-04-23T23:55:14.039Z
9700454,901062,5248.24,2026-04-23T22:02:14.631Z,bid-extra-60366900034,2026-04-23T23:55:14.039Z
9700584,901372,5883.84,2026-04-23T22:02:14.631Z,bid-extra-60366900044,2026-04-23T23:55:14.039Z
9700714,901682,6519.4400000000005,2026-04-23T22:02:14.632Z,bid-extra-60366900054,2026-04-23T23:55:14.039Z
9700844,901992,7155.04,2026-04-23T22:02:14.632Z,bid-extra-60366900064,2026-04-23T23:55:14.039Z
9700974,902302,7790.64,2026-04-23T22:02:14.632Z,bid-extra-60366900074,2026-04-23T23:55:14.039Z
9701104,902612,8426.24,2026-04-23T22:02:14.632Z,bid-extra-60366900084,2026-04-23T23:55:14.039Z
9701234,902922,9061.84,2026-04-23T22:02:14.632Z,bid-extra-60366900094,2026-04-23T23:55:14.039Z
9701364,903232,9697.44,2026-04-23T22:02:14.632Z,bid-extra-60366900104,2026-04-23T23:55:14.039Z
9701494,903542,10333.04,2026-04-23T22:02:14.632Z,bid-extra-60366900114,2026-04-23T23:55:14.039Z
9701624,903852,6428.64,2026-04-23T22:02:14.632Z,bid-extra-60366900124,2026-04-23T23:55:14.039Z
9701754,904162,7064.24,2026-04-23T22:02:14.632Z,bid-extra-60366900134,2026-04-23T23:55:14.039Z
9701884,904472,7699.84,2026-04-23T22:02:14.632Z,bid-extra-60366900144,2026-04-23T23:55:14.039Z
9702014,904782,8335.44,2026-04-23T22:02:14.633Z,bid-extra-60366900154,2026-04-23T23:55:14.039Z
9702144,905092,8971.04,2026-04-23T22:02:14.633Z,bid-extra-60366900164,2026-04-23T23:55:14.039Z
9702274,905402,9606.64,2026-04-23T22:02:14.633Z,bid-extra-60366900174,2026-04-23T23:55:14.039Z
9702404,905712,10242.24,2026-04-23T22:02:14.633Z,bid-extra-60366900184,2026-04-23T23:55:14.039Z
9702534,906022,10877.84,2026-04-23T22:02:14.633Z,bid-extra-60366900194,2026-04-23T23:55:14.039Z
9702664,906332,11513.44,2026-04-23T22:02:14.633Z,bid-extra-60366900204,2026-04-23T23:55:14.039Z
9702794,906642,12149.04,2026-04-23T22:02:14.633Z,bid-extra-60366900214,2026-04-23T23:55:14.039Z
9702924,906952,12784.640000000001,2026-04-23T22:02:14.633Z,bid-extra-60366900224,2026-04-23T23:55:14.039Z
9703054,907262,4431.04,2026-04-23T22:02:14.633Z,bid-extra-60366900234,2026-04-23T23:55:14.039Z
9703184,907572,526.64,2026-04-23T22:02:14.633Z,bid-extra-60366900244,2026-04-23T23:55:14.039Z
9703314,907882,1162.24,2026-04-23T22:02:14.634Z,bid-extra-60366900254,2026-04-23T23:55:14.039Z
9703444,908192,1797.8400000000001,2026-04-23T22:02:14.634Z,bid-extra-60366900264,2026-04-23T23:55:14.039Z
9703574,908502,2433.44,2026-04-23T22:02:14.634Z,bid-extra-60366900274,2026-04-23T23:55:14.039Z
9703704,908812,3069.04,2026-04-23T22:02:14.634Z,bid-extra-60366900284,2026-04-23T23:55:14.039Z
9703834,909122,3704.6400000000003,2026-04-23T22:02:14.634Z,bid-extra-60366900294,2026-04-23T23:55:14.039Z
9703964,909432,4340.24,2026-04-23T22:02:14.634Z,bid-extra-60366900304,2026-04-23T23:55:14.039Z
9704094,909742,4975.84,2026-04-23T22:02:14.634Z,bid-extra-60366900314,2026-04-23T23:55:14.039Z
9704224,910052,5611.4400000000005,2026-04-23T22:02:14.634Z,bid-extra-60366900324,2026-04-23T23:55:14.039Z
9704354,910362,6247.04,2026-04-23T22:02:14.634Z,bid-extra-60366900334,2026-04-23T23:55:14.039Z
9704484,910672,6882.64,2026-04-23T22:02:14.634Z,bid-extra-60366900344,2026-04-23T23:55:14.039Z
9704614,910982,7518.240000000001,2026-04-23T22:02:14.635Z,bid-extra-60366900354,2026-04-23T23:55:14.039Z
9704744,911292,8153.84,2026-04-23T22:02:14.635Z,bid-extra-60366900364,2026-04-23T23:55:14.039Z
9704874,911602,4249.4400000000005,2026-04-23T22:02:14.635Z,bid-extra-60366900374,2026-04-23T23:55:14.039Z
9705004,911912,4885.04,2026-04-23T22:02:14.635Z,bid-extra-60366900384,2026-04-23T23:55:14.039Z
9705134,912222,5520.64,2026-04-23T22:02:14.635Z,bid-extra-60366900394,2026-04-23T23:55:14.039Z
9705264,912532,6156.24,2026-04-23T22:02:14.635Z,bid-extra-60366900404,2026-04-23T23:55:14.039Z
9705394,912842,6791.84,2026-04-23T22:02:14.635Z,bid-extra-60366900414,2026-04-23T23:55:14.039Z
9705524,913152,7427.4400000000005,2026-04-23T22:02:14.635Z,bid-extra-60366900424,2026-04-23T23:55:14.039Z
9705654,913462,8063.04,2026-04-23T22:02:14.635Z,bid-extra-60366900434,2026-04-23T23:55:14.039Z
9705784,913772,8698.64,2026-04-23T22:02:14.635Z,bid-extra-60366900444,2026-04-23T23:55:14.039Z
9705914,914082,9334.24,2026-04-23T22:02:14.636Z,bid-extra-60366900454,2026-04-23T23:55:14.039Z
9706044,914392,9969.84,2026-04-23T22:02:14.636Z,bid-extra-60366900464,2026-04-23T23:55:14.039Z
9706174,914702,10605.44,2026-04-23T22:02:14.636Z,bid-extra-60366900474,2026-04-23T23:55:14.039Z
9706304,915012,11241.04,2026-04-23T22:02:14.636Z,bid-extra-60366900484,2026-04-23T23:55:14.039Z
9706434,915322,7336.64,2026-04-23T22:02:14.636Z,bid-extra-60366900494,2026-04-23T23:55:14.039Z
9706564,915632,7972.240000000001,2026-04-23T22:02:14.636Z,bid-extra-60366900504,2026-04-23T23:55:14.039Z
9706694,915942,8607.84,2026-04-23T22:02:14.636Z,bid-extra-60366900514,2026-04-23T23:55:14.039Z
9706824,916252,9243.44,2026-04-23T22:02:14.636Z,bid-extra-60366900524,2026-04-23T23:55:14.039Z
9706954,916562,9879.04,2026-04-23T22:02:14.636Z,bid-extra-60366900534,2026-04-23T23:55:14.039Z
9707084,916872,10514.640000000001,2026-04-23T22:02:14.636Z,bid-extra-60366900544,2026-04-23T23:55:14.039Z
