auction,bidder,price,dateTime,extra,processed_time
8700064,900132,3523.04,2026-04-23T21:59:24.631Z,bid-extra-60349900004,2026-04-23T23:55:14.039Z
8700194,900442,4158.64,2026-04-23T21:59:24.631Z,bid-extra-60349900014,2026-04-23T23:55:14.039Z
8700324,900752,4794.24,2026-04-23T21:59:24.631Z,bid-extra-60349900024,2026-04-23T23:55:14.039Z
8700454,901062,5429.84,2026-04-23T21:59:24.631Z,bid-extra-60349900034,2026-04-23T23:55:14.039Z
8700584,901372,6065.4400000000005,2026-04-23T21:59:24.631Z,bid-extra-60349900044,2026-04-23T23:55:14.039Z
8700714,901682,6701.04,2026-04-23T21:59:24.632Z,bid-extra-60349900054,2026-04-23T23:55:14.039Z
8700844,901992,7336.64,2026-04-23T21:59:24.632Z,bid-extra-60349900064,2026-04-23T23:55:14.039Z
8700974,902302,7972.240000000001,2026-04-23T21:59:24.632Z,bid-extra-60349900074,2026-04-23T23:55:14.039Z
8701104,902612,8607.84,2026-04-23T21:59:24.632Z,bid-extra-60349900084,2026-04-23T23:55:14.039Z
8701234,902922,9243.44,2026-04-23T21:59:24.632Z,bid-extra-60349900094,2026-04-23T23:55:14.039Z
8701364,903232,9879.04,2026-04-23T21:59:24.632Z,bid-extra-60349900104,2026-04-23T23:55:14.039Z
8701494,903542,10514.640000000001,2026-04-23T21:59:24.632Z,bid-extra-60349900114,2026-04-23T23:55:14.039Z
8701624,903852,6610.24,2026-04-23T21:59:24.632Z,bid-extra-60349900124,2026-04-23T23:55:14.039Z
8701754,904162,7245.84,2026-04-23T21:59:24.632Z,bid-extra-60349900134,2026-04-23T23:55:14.039Z
8701884,904472,7881.4400000000005,2026-04-23T21:59:24.632Z,bid-extra-60349900144,2026-04-23T23:55:14.039Z
8702014,904782,8517.04,2026-04-23T21:59:24.633Z,bid-extra-60349900154,2026-04-23T23:55:14.039Z
8702144,905092,9152.64,2026-04-23T21:59:24.633Z,bid-extra-60349900164,2026-04-23T23:55:14.039Z
8702274,905402,9788.24,2026-04-23T21:59:24.633Z,bid-extra-60349900174,2026-04-23T23:55:14.039Z
8702404,905712,10423.84,2026-04-23T21:59:24.633Z,bid-extra-60349900184,2026-04-23T23:55:14.039Z
8702534,906022,11059.44,2026-04-23T21:59:24.633Z,bid-extra-60349900194,2026-04-23T23:55:14.039Z
8702664,906332,11695.04,2026-04-23T21:59:24.633Z,bid-extra-60349900204,2026-04-23T23:55:14.039Z
8702794,906642,12330.640000000001,2026-04-23T21:59:24.633Z,bid-extra-60349900214,2026-04-23T23:55:14.039Z
8702924,906952,3977.04,2026-04-23T21:59:24.633Z,bid-extra-60349900224,2026-04-23T23:55:14.039Z
8703054,907262,4612.64,2026-04-23T21:59:24.633Z,bid-extra-60349900234,2026-04-23T23:55:14.039Z
8703184,907572,708.24,2026-04-23T21:59:24.633Z,bid-extra-60349900244,2026-04-23T23:55:14.039Z
8703314,907882,1343.8400000000001,2026-04-23T21:59:24.634Z,bid-extra-60349900254,2026-04-23T23:55:14.039Z
8703444,908192,1979.44,2026-04-23T21:59:24.634Z,bid-extra-60349900264,2026-04-23T23:55:14.039Z
8703574,908502,2615.04,2026-04-23T21:59:24.634Z,bid-extra-60349900274,2026-04-23T23:55:14.039Z
8703704,908812,3250.6400000000003,2026-04-23T21:59:24.634Z,bid-extra-60349900284,2026-04-23T23:55:14.039Z
8703834,909122,3886.2400000000002,2026-04-23T21:59:24.634Z,bid-extra-60349900294,2026-04-23T23:55:14.039Z
8703964,909432,4521.84,2026-04-23T21:59:24.634Z,bid-extra-60349900304,2026-04-23T23:55:14.039Z
8704094,909742,5157.4400000000005,2026-04-23T21:59:24.634Z,bid-extra-60349900314,2026-04-23T23:55:14.039Z
8704224,910052,5793.04,2026-04-23T21:59:24.634Z,bid-extra-60349900324,2026-04-23T23:55:14.039Z
8704354,910362,6428.64,2026-04-23T21:59:24.634Z,bid-extra-60349900334,2026-04-23T23:55:14.039Z
8704484,910672,7064.24,2026-04-23T21:59:24.634Z,bid-extra-60349900344,2026-04-23T23:55:14.039Z
8704614,910982,7699.84,2026-04-23T21:59:24.635Z,bid-extra-60349900354,2026-04-23T23:55:14.039Z
8704744,911292,8335.44,2026-04-23T21:59:24.635Z,bid-extra-60349900364,2026-04-23T23:55:14.039Z
8704874,911602,4431.04,2026-04-23T21:59:24.635Z,bid-extra-60349900374,2026-04-23T23:55:14.039Z
8705004,911912,5066.64,2026-04-23T21:59:24.635Z,bid-extra-60349900384,2026-04-23T23:55:14.039Z
8705134,912222,5702.24,2026-04-23T21:59:24.635Z,bid-extra-60349900394,2026-04-23T23:55:14.039Z
8705264,912532,6337.84,2026-04-23T21:59:24.635Z,bid-extra-60349900404,2026-04-23T23:55:14.039Z
8705394,912842,6973.4400000000005,2026-04-23T21:59:24.635Z,bid-extra-60349900414,2026-04-23T23:55:14.039Z
8705524,913152,7609.04,2026-04-23T21:59:24.635Z,bid-extra-60349900424,2026-04-23T23:55:14.039Z
8705654,913462,8244.64,2026-04-23T21:59:24.635Z,bid-extra-60349900434,2026-04-23T23:55:14.039Z
8705784,913772,8880.24,2026-04-23T21:59:24.635Z,bid-extra-60349900444,2026-04-23T23:55:14.039Z
8705914,914082,9515.84,2026-04-23T21:59:24.636Z,bid-extra-60349900454,2026-04-23T23:55:14.039Z
8706044,914392,10151.44,2026-04-23T21:59:24.636Z,bid-extra-60349900464,2026-04-23T23:55:14.039Z
8706174,914702,10787.04,2026-04-23T21:59:24.636Z,bid-extra-60349900474,2026-04-23T23:55:14.039Z
8706304,915012,11422.640000000001,2026-04-23T21:59:24.636Z,bid-extra-60349900484,2026-04-23T23:55:14.039Z
8706434,915322,7518.240000000001,2026-04-23T21:59:24.636Z,bid-extra-60349900494,2026-04-23T23:55:14.039Z
8706564,915632,8153.84,2026-04-23T21:59:24.636Z,bid-extra-60349900504,2026-04-23T23:55:14.039Z
8706694,915942,8789.44,2026-04-23T21:59:24.636Z,bid-extra-60349900514,2026-04-23T23:55:14.039Z
8706824,916252,9425.04,2026-04-23T21:59:24.636Z,bid-extra-60349900524,2026-04-23T23:55:14.039Z
8706954,916562,10060.64,2026-04-23T21:59:24.636Z,bid-extra-60349900534,2026-04-23T23:55:14.039Z
8707084,916872,10696.24,2026-04-23T21:59:24.636Z,bid-extra-60349900544,2026-04-23T23:55:14.039Z
8707214,917182,11331.84,2026-04-23T21:59:24.637Z,bid-extra-60349900554,2026-04-23T23:55:14.039Z
8707344,917492,2978.2400000000002,2026-04-23T21:59:24.637Z,bid-extra-60349900564,2026-04-23T23:55:14.039Z
8707474,917802,3613.84,2026-04-23T21:59:24.637Z,bid-extra-60349900574,2026-04-23T23:55:14.039Z
8707604,918112,4249.4400000000005,2026-04-23T21:59:24.637Z,bid-extra-60349900584,2026-04-23T23:55:14.039Z
8707734,918422,4885.04,2026-04-23T21:59:24.637Z,bid-extra-60349900594,2026-04-23T23:55:14.039Z
8707864,918732,5520.64,2026-04-23T21:59:24.637Z,bid-extra-60349900604,2026-04-23T23:55:14.039Z
8707994,919042,1616.24,2026-04-23T21:59:24.637Z,bid-extra-60349900614,2026-04-23T23:55:14.039Z
8708124,919352,2251.84,2026-04-23T21:59:24.637Z,bid-extra-60349900624,2026-04-23T23:55:14.039Z
8708254,919662,2887.44,2026-04-23T21:59:24.637Z,bid-extra-60349900634,2026-04-23T23:55:14.039Z
8708384,919972,3523.04,2026-04-23T21:59:24.637Z,bid-extra-60349900644,2026-04-23T23:55:14.039Z
8708514,920282,4158.64,2026-04-23T21:59:24.638Z,bid-extra-60349900654,2026-04-23T23:55:14.039Z
8708644,920592,4794.24,2026-04-23T21:59:24.638Z,bid-extra-60349900664,2026-04-23T23:55:14.039Z
8708774,920902,5429.84,2026-04-23T21:59:24.638Z,bid-extra-60349900674,2026-04-23T23:55:14.039Z
8708904,921212,6065.4400000000005,2026-04-23T21:59:24.638Z,bid-extra-60349900684,2026-04-23T23:55:14.039Z
8709034,921522,6701.04,2026-04-23T21:59:24.638Z,bid-extra-60349900694,2026-04-23T23:55:14.039Z
8709164,921832,7336.64,2026-04-23T21:59:24.638Z,bid-extra-60349900704,2026-04-23T23:55:14.039Z
8709294,922142,7972.240000000001,2026-04-23T21:59:24.638Z,bid-extra-60349900714,2026-04-23T23:55:14.039Z
8709424,922452,8607.84,2026-04-23T21:59:24.638Z,bid-extra-60349900724,2026-04-23T23:55:14.039Z
8709554,922762,4703.4400000000005,2026-04-23T21:59:24.638Z,bid-extra-60349900734,2026-04-23T23:55:14.039Z
8709684,923072,5339.04,2026-04-23T21:59:24.638Z,bid-extra-60349900744,2026-04-23T23:55:14.039Z
8709814,923382,5974.64,2026-04-23T21:59:24.639Z,bid-extra-60349900754,2026-04-23T23:55:14.039Z
8709944,923692,6610.24,2026-04-23T21:59:24.639Z,bid-extra-60349900764,2026-04-23T23:55:14.039Z
8710074,924002,7245.84,2026-04-23T21:59:24.639Z,bid-extra-60349900774,2026-04-23T23:55:14.039Z
8710204,924312,7881.4400000000005,2026-04-23T21:59:24.639Z,bid-extra-60349900784,2026-04-23T23:55:14.039Z
8710334,924622,8517.04,2026-04-23T21:59:24.639Z,bid-extra-60349900794,2026-04-23T23:55:14.039Z
8710464,924932,9152.64,2026-04-23T21:59:24.639Z,bid-extra-60349900804,2026-04-23T23:55:14.039Z
8710594,925242,9788.24,2026-04-23T21:59:24.639Z,bid-extra-60349900814,2026-04-23T23:55:14.039Z
8710724,925552,10423.84,2026-04-23T21:59:24.639Z,bid-extra-60349900824,2026-04-23T23:55:14.039Z
8710854,925862,11059.44,2026-04-23T21:59:24.639Z,bid-extra-60349900834,2026-04-23T23:55:14.039Z
8710984,926172,11695.04,2026-04-23T21:59:24.639Z,bid-extra-60349900844,2026-04-23T23:55:14.039Z
8711114,926482,7790.64,2026-04-23T21:59:24.640Z,bid-extra-60349900854,2026-04-23T23:55:14.039Z
8711244,926792,8426.24,2026-04-23T21:59:24.640Z,bid-extra-60349900864,2026-04-23T23:55:14.039Z
8711374,927102,9061.84,2026-04-23T21:59:24.640Z,bid-extra-60349900874,2026-04-23T23:55:14.039Z
8711504,927412,9697.44,2026-04-23T21:59:24.640Z,bid-extra-60349900884,2026-04-23T23:55:14.039Z
8711634,927722,10333.04,2026-04-23T21:59:24.640Z,bid-extra-60349900894,2026-04-23T23:55:14.039Z
8711764,928032,1979.44,2026-04-23T21:59:24.640Z,bid-extra-60349900904,2026-04-23T23:55:14.039Z
8711894,928342,2615.04,2026-04-23T21:59:24.640Z,bid-extra-60349900914,2026-04-23T23:55:14.039Z
8712024,928652,3250.6400000000003,2026-04-23T21:59:24.640Z,bid-extra-60349900924,2026-04-23T23:55:14.039Z
8712154,928962,3886.2400000000002,2026-04-23T21:59:24.640Z,bid-extra-60349900934,2026-04-23T23:55:14.039Z
8712284,929272,4521.84,2026-04-23T21:59:24.640Z,bid-extra-60349900944,2026-04-23T23:55:14.039Z
8712414,929582,5157.4400000000005,2026-04-23T21:59:24.641Z,bid-extra-60349900954,2026-04-23T23:55:14.039Z
8712544,929892,5793.04,2026-04-23T21:59:24.641Z,bid-extra-60349900964,2026-04-23T23:55:14.039Z
8712674,930202,6428.64,2026-04-23T21:59:24.641Z,bid-extra-60349900974,2026-04-23T23:55:14.039Z
8712804,930512,2524.2400000000002,2026-04-23T21:59:24.641Z,bid-extra-60349900984,2026-04-23T23:55:14.039Z
8712934,930822,3159.84,2026-04-23T21:59:24.641Z,bid-extra-60349900994,2026-04-23T23:55:14.039Z
8713064,931132,3795.44,2026-04-23T21:59:24.641Z,bid-extra-60349901004,2026-04-23T23:55:14.039Z
8713194,931442,4431.04,2026-04-23T21:59:24.641Z,bid-extra-60349901014,2026-04-23T23:55:14.039Z
8713324,931752,5066.64,2026-04-23T21:59:24.641Z,bid-extra-60349901024,2026-04-23T23:55:14.039Z
8713454,932062,5702.24,2026-04-23T21:59:24.641Z,bid-extra-60349901034,2026-04-23T23:55:14.039Z
8713584,932372,6337.84,2026-04-23T21:59:24.641Z,bid-extra-60349901044,2026-04-23T23:55:14.039Z
8713714,932682,6973.4400000000005,2026-04-23T21:59:24.642Z,bid-extra-60349901054,2026-04-23T23:55:14.039Z
8713844,932992,7609.04,2026-04-23T21:59:24.642Z,bid-extra-60349901064,2026-04-23T23:55:14.039Z
8713974,933302,8244.64,2026-04-23T21:59:24.642Z,bid-extra-60349901074,2026-04-23T23:55:14.039Z
8714104,933612,8880.24,2026-04-23T21:59:24.642Z,bid-extra-60349901084,2026-04-23T23:55:14.039Z
8714234,933922,9515.84,2026-04-23T21:59:24.642Z,bid-extra-60349901094,2026-04-23T23:55:14.039Z
8714364,934232,5611.4400000000005,2026-04-23T21:59:24.642Z,bid-extra-60349901104,2026-04-23T23:55:14.039Z
8714494,934542,6247.04,2026-04-23T21:59:24.642Z,bid-extra-60349901114,2026-04-23T23:55:14.039Z
