auction,bidder,price,dateTime,extra,processed_time
1700064,900132,6156.24,2026-04-23T21:59:34.631Z,bid-extra-60350900004,2026-04-23T23:55:14.039Z
1700194,900442,6791.84,2026-04-23T21:59:34.631Z,bid-extra-60350900014,2026-04-23T23:55:14.039Z
1700324,900752,7427.4400000000005,2026-04-23T21:59:34.631Z,bid-extra-60350900024,2026-04-23T23:55:14.039Z
1700454,901062,8063.04,2026-04-23T21:59:34.631Z,bid-extra-60350900034,2026-04-23T23:55:14.039Z
1700584,901372,8698.64,2026-04-23T21:59:34.631Z,bid-extra-60350900044,2026-04-23T23:55:14.039Z
1700714,901682,9334.24,2026-04-23T21:59:34.632Z,bid-extra-60350900054,2026-04-23T23:55:14.039Z
1700844,901992,9969.84,2026-04-23T21:59:34.632Z,bid-extra-60350900064,2026-04-23T23:55:14.039Z
1700974,902302,10605.44,2026-04-23T21:59:34.632Z,bid-extra-60350900074,2026-04-23T23:55:14.039Z
1701104,902612,11241.04,2026-04-23T21:59:34.632Z,bid-extra-60350900084,2026-04-23T23:55:14.039Z
1701234,902922,11876.640000000001,2026-04-23T21:59:34.632Z,bid-extra-60350900094,2026-04-23T23:55:14.039Z
1701364,903232,12512.24,2026-04-23T21:59:34.632Z,bid-extra-60350900104,2026-04-23T23:55:14.039Z
1701494,903542,13147.84,2026-04-23T21:59:34.632Z,bid-extra-60350900114,2026-04-23T23:55:14.039Z
1701624,903852,254.24,2026-04-23T21:59:34.632Z,bid-extra-60350900124,2026-04-23T23:55:14.039Z
1701754,904162,889.84,2026-04-23T21:59:34.632Z,bid-extra-60350900134,2026-04-23T23:55:14.039Z
1701884,904472,1525.44,2026-04-23T21:59:34.632Z,bid-extra-60350900144,2026-04-23T23:55:14.039Z
1702014,904782,2161.04,2026-04-23T21:59:34.633Z,bid-extra-60350900154,2026-04-23T23:55:14.039Z
1702144,905092,2796.64,2026-04-23T21:59:34.633Z,bid-extra-60350900164,2026-04-23T23:55:14.039Z
1702274,905402,3432.2400000000002,2026-04-23T21:59:34.633Z,bid-extra-60350900174,2026-04-23T23:55:14.039Z
1702404,905712,4067.84,2026-04-23T21:59:34.633Z,bid-extra-60350900184,2026-04-23T23:55:14.039Z
1702534,906022,4703.4400000000005,2026-04-23T21:59:34.633Z,bid-extra-60350900194,2026-04-23T23:55:14.039Z
1702664,906332,5339.04,2026-04-23T21:59:34.633Z,bid-extra-60350900204,2026-04-23T23:55:14.039Z
1702794,906642,5974.64,2026-04-23T21:59:34.633Z,bid-extra-60350900214,2026-04-23T23:55:14.039Z
1702924,906952,6610.24,2026-04-23T21:59:34.633Z,bid-extra-60350900224,2026-04-23T23:55:14.039Z
1703054,907262,7245.84,2026-04-23T21:59:34.633Z,bid-extra-60350900234,2026-04-23T23:55:14.039Z
1703184,907572,3341.44,2026-04-23T21:59:34.633Z,bid-extra-60350900244,2026-04-23T23:55:14.039Z
1703314,907882,3977.04,2026-04-23T21:59:34.634Z,bid-extra-60350900254,2026-04-23T23:55:14.039Z
1703444,908192,4612.64,2026-04-23T21:59:34.634Z,bid-extra-60350900264,2026-04-23T23:55:14.039Z
1703574,908502,5248.24,2026-04-23T21:59:34.634Z,bid-extra-60350900274,2026-04-23T23:55:14.039Z
1703704,908812,5883.84,2026-04-23T21:59:34.634Z,bid-extra-60350900284,2026-04-23T23:55:14.039Z
1703834,909122,6519.4400000000005,2026-04-23T21:59:34.634Z,bid-extra-60350900294,2026-04-23T23:55:14.039Z
1703964,909432,7155.04,2026-04-23T21:59:34.634Z,bid-extra-60350900304,2026-04-23T23:55:14.039Z
1704094,909742,7790.64,2026-04-23T21:59:34.634Z,bid-extra-60350900314,2026-04-23T23:55:14.039Z
1704224,910052,8426.24,2026-04-23T21:59:34.634Z,bid-extra-60350900324,2026-04-23T23:55:14.039Z
1704354,910362,9061.84,2026-04-23T21:59:34.634Z,bid-extra-60350900334,2026-04-23T23:55:14.039Z
1704484,910672,9697.44,2026-04-23T21:59:34.634Z,bid-extra-60350900344,2026-04-23T23:55:14.039Z
1704614,910982,10333.04,2026-04-23T21:59:34.635Z,bid-extra-60350900354,2026-04-23T23:55:14.039Z
