auction,bidder,price,dateTime,extra,processed_time
1700064,900132,5520.64,2026-04-23T22:01:14.631Z,bid-extra-60360900004,2026-04-23T23:55:14.039Z
1700194,900442,6156.24,2026-04-23T22:01:14.631Z,bid-extra-60360900014,2026-04-23T23:55:14.039Z
1700324,900752,6791.84,2026-04-23T22:01:14.631Z,bid-extra-60360900024,2026-04-23T23:55:14.039Z
1700454,901062,7427.4400000000005,2026-04-23T22:01:14.631Z,bid-extra-60360900034,2026-04-23T23:55:14.039Z
1700584,901372,8063.04,2026-04-23T22:01:14.631Z,bid-extra-60360900044,2026-04-23T23:55:14.039Z
1700714,901682,8698.64,2026-04-23T22:01:14.632Z,bid-extra-60360900054,2026-04-23T23:55:14.039Z
1700844,901992,9334.24,2026-04-23T22:01:14.632Z,bid-extra-60360900064,2026-04-23T23:55:14.039Z
1700974,902302,9969.84,2026-04-23T22:01:14.632Z,bid-extra-60360900074,2026-04-23T23:55:14.039Z
1701104,902612,10605.44,2026-04-23T22:01:14.632Z,bid-extra-60360900084,2026-04-23T23:55:14.039Z
1701234,902922,11241.04,2026-04-23T22:01:14.632Z,bid-extra-60360900094,2026-04-23T23:55:14.039Z
1701364,903232,11876.640000000001,2026-04-23T22:01:14.632Z,bid-extra-60360900104,2026-04-23T23:55:14.039Z
1701494,903542,12512.24,2026-04-23T22:01:14.632Z,bid-extra-60360900114,2026-04-23T23:55:14.039Z
1701624,903852,8607.84,2026-04-23T22:01:14.632Z,bid-extra-60360900124,2026-04-23T23:55:14.039Z
1701754,904162,9243.44,2026-04-23T22:01:14.632Z,bid-extra-60360900134,2026-04-23T23:55:14.039Z
1701884,904472,9879.04,2026-04-23T22:01:14.632Z,bid-extra-60360900144,2026-04-23T23:55:14.039Z
1702014,904782,1525.44,2026-04-23T22:01:14.633Z,bid-extra-60360900154,2026-04-23T23:55:14.039Z
1702144,905092,2161.04,2026-04-23T22:01:14.633Z,bid-extra-60360900164,2026-04-23T23:55:14.039Z
1702274,905402,2796.64,2026-04-23T22:01:14.633Z,bid-extra-60360900174,2026-04-23T23:55:14.039Z
1702404,905712,3432.2400000000002,2026-04-23T22:01:14.633Z,bid-extra-60360900184,2026-04-23T23:55:14.039Z
1702534,906022,4067.84,2026-04-23T22:01:14.633Z,bid-extra-60360900194,2026-04-23T23:55:14.039Z
1702664,906332,4703.4400000000005,2026-04-23T22:01:14.633Z,bid-extra-60360900204,2026-04-23T23:55:14.039Z
1702794,906642,5339.04,2026-04-23T22:01:14.633Z,bid-extra-60360900214,2026-04-23T23:55:14.039Z
1702924,906952,5974.64,2026-04-23T22:01:14.633Z,bid-extra-60360900224,2026-04-23T23:55:14.039Z
1703054,907262,6610.24,2026-04-23T22:01:14.633Z,bid-extra-60360900234,2026-04-23T23:55:14.039Z
1703184,907572,2705.84,2026-04-23T22:01:14.633Z,bid-extra-60360900244,2026-04-23T23:55:14.039Z
1703314,907882,3341.44,2026-04-23T22:01:14.634Z,bid-extra-60360900254,2026-04-23T23:55:14.039Z
1703444,908192,3977.04,2026-04-23T22:01:14.634Z,bid-extra-60360900264,2026-04-23T23:55:14.039Z
1703574,908502,4612.64,2026-04-23T22:01:14.634Z,bid-extra-60360900274,2026-04-23T23:55:14.039Z
1703704,908812,5248.24,2026-04-23T22:01:14.634Z,bid-extra-60360900284,2026-04-23T23:55:14.039Z
1703834,909122,5883.84,2026-04-23T22:01:14.634Z,bid-extra-60360900294,2026-04-23T23:55:14.039Z
1703964,909432,6519.4400000000005,2026-04-23T22:01:14.634Z,bid-extra-60360900304,2026-04-23T23:55:14.039Z
1704094,909742,7155.04,2026-04-23T22:01:14.634Z,bid-extra-60360900314,2026-04-23T23:55:14.039Z
1704224,910052,7790.64,2026-04-23T22:01:14.634Z,bid-extra-60360900324,2026-04-23T23:55:14.039Z
1704354,910362,8426.24,2026-04-23T22:01:14.634Z,bid-extra-60360900334,2026-04-23T23:55:14.039Z
1704484,910672,9061.84,2026-04-23T22:01:14.634Z,bid-extra-60360900344,2026-04-23T23:55:14.039Z
1704614,910982,9697.44,2026-04-23T22:01:14.635Z,bid-extra-60360900354,2026-04-23T23:55:14.039Z
1704744,911292,10333.04,2026-04-23T22:01:14.635Z,bid-extra-60360900364,2026-04-23T23:55:14.039Z
1704874,911602,6428.64,2026-04-23T22:01:14.635Z,bid-extra-60360900374,2026-04-23T23:55:14.039Z
1705004,911912,7064.24,2026-04-23T22:01:14.635Z,bid-extra-60360900384,2026-04-23T23:55:14.039Z
1705134,912222,7699.84,2026-04-23T22:01:14.635Z,bid-extra-60360900394,2026-04-23T23:55:14.039Z
1705264,912532,8335.44,2026-04-23T22:01:14.635Z,bid-extra-60360900404,2026-04-23T23:55:14.039Z
1705394,912842,8971.04,2026-04-23T22:01:14.635Z,bid-extra-60360900414,2026-04-23T23:55:14.039Z
1705524,913152,9606.64,2026-04-23T22:01:14.635Z,bid-extra-60360900424,2026-04-23T23:55:14.039Z
1705654,913462,10242.24,2026-04-23T22:01:14.635Z,bid-extra-60360900434,2026-04-23T23:55:14.039Z
1705784,913772,10877.84,2026-04-23T22:01:14.635Z,bid-extra-60360900444,2026-04-23T23:55:14.039Z
1705914,914082,11513.44,2026-04-23T22:01:14.636Z,bid-extra-60360900454,2026-04-23T23:55:14.039Z
1706044,914392,12149.04,2026-04-23T22:01:14.636Z,bid-extra-60360900464,2026-04-23T23:55:14.039Z
1706174,914702,12784.640000000001,2026-04-23T22:01:14.636Z,bid-extra-60360900474,2026-04-23T23:55:14.039Z
1706304,915012,13420.24,2026-04-23T22:01:14.636Z,bid-extra-60360900484,2026-04-23T23:55:14.039Z
