auction,bidder,price,dateTime,extra,processed_time
6700064,900132,1979.44,2026-04-23T21:58:44.631Z,bid-extra-60345900004,2026-04-23T23:55:14.039Z
6700194,900442,2615.04,2026-04-23T21:58:44.631Z,bid-extra-60345900014,2026-04-23T23:55:14.039Z
6700324,900752,3250.6400000000003,2026-04-23T21:58:44.631Z,bid-extra-60345900024,2026-04-23T23:55:14.039Z
6700454,901062,3886.2400000000002,2026-04-23T21:58:44.631Z,bid-extra-60345900034,2026-04-23T23:55:14.039Z
6700584,901372,4521.84,2026-04-23T21:58:44.631Z,bid-extra-60345900044,2026-04-23T23:55:14.039Z
6700714,901682,5157.4400000000005,2026-04-23T21:58:44.632Z,bid-extra-60345900054,2026-04-23T23:55:14.039Z
6700844,901992,5793.04,2026-04-23T21:58:44.632Z,bid-extra-60345900064,2026-04-23T23:55:14.039Z
6700974,902302,6428.64,2026-04-23T21:58:44.632Z,bid-extra-60345900074,2026-04-23T23:55:14.039Z
6701104,902612,7064.24,2026-04-23T21:58:44.632Z,bid-extra-60345900084,2026-04-23T23:55:14.039Z
6701234,902922,7699.84,2026-04-23T21:58:44.632Z,bid-extra-60345900094,2026-04-23T23:55:14.039Z
6701364,903232,8335.44,2026-04-23T21:58:44.632Z,bid-extra-60345900104,2026-04-23T23:55:14.039Z
6701494,903542,8971.04,2026-04-23T21:58:44.632Z,bid-extra-60345900114,2026-04-23T23:55:14.039Z
6701624,903852,5066.64,2026-04-23T21:58:44.632Z,bid-extra-60345900124,2026-04-23T23:55:14.039Z
6701754,904162,5702.24,2026-04-23T21:58:44.632Z,bid-extra-60345900134,2026-04-23T23:55:14.039Z
6701884,904472,6337.84,2026-04-23T21:58:44.632Z,bid-extra-60345900144,2026-04-23T23:55:14.039Z
6702014,904782,6973.4400000000005,2026-04-23T21:58:44.633Z,bid-extra-60345900154,2026-04-23T23:55:14.039Z
6702144,905092,7609.04,2026-04-23T21:58:44.633Z,bid-extra-60345900164,2026-04-23T23:55:14.039Z
6702274,905402,8244.64,2026-04-23T21:58:44.633Z,bid-extra-60345900174,2026-04-23T23:55:14.039Z
6702404,905712,8880.24,2026-04-23T21:58:44.633Z,bid-extra-60345900184,2026-04-23T23:55:14.039Z
6702534,906022,9515.84,2026-04-23T21:58:44.633Z,bid-extra-60345900194,2026-04-23T23:55:14.039Z
6702664,906332,10151.44,2026-04-23T21:58:44.633Z,bid-extra-60345900204,2026-04-23T23:55:14.039Z
6702794,906642,10787.04,2026-04-23T21:58:44.633Z,bid-extra-60345900214,2026-04-23T23:55:14.039Z
6702924,906952,11422.640000000001,2026-04-23T21:58:44.633Z,bid-extra-60345900224,2026-04-23T23:55:14.039Z
6703054,907262,12058.24,2026-04-23T21:58:44.633Z,bid-extra-60345900234,2026-04-23T23:55:14.039Z
6703184,907572,8153.84,2026-04-23T21:58:44.633Z,bid-extra-60345900244,2026-04-23T23:55:14.039Z
6703314,907882,8789.44,2026-04-23T21:58:44.634Z,bid-extra-60345900254,2026-04-23T23:55:14.039Z
6703444,908192,9425.04,2026-04-23T21:58:44.634Z,bid-extra-60345900264,2026-04-23T23:55:14.039Z
6703574,908502,10060.64,2026-04-23T21:58:44.634Z,bid-extra-60345900274,2026-04-23T23:55:14.039Z
6703704,908812,1707.04,2026-04-23T21:58:44.634Z,bid-extra-60345900284,2026-04-23T23:55:14.039Z
6703834,909122,2342.64,2026-04-23T21:58:44.634Z,bid-extra-60345900294,2026-04-23T23:55:14.039Z
6703964,909432,2978.2400000000002,2026-04-23T21:58:44.634Z,bid-extra-60345900304,2026-04-23T23:55:14.039Z
6704094,909742,3613.84,2026-04-23T21:58:44.634Z,bid-extra-60345900314,2026-04-23T23:55:14.039Z
6704224,910052,4249.4400000000005,2026-04-23T21:58:44.634Z,bid-extra-60345900324,2026-04-23T23:55:14.039Z
6704354,910362,4885.04,2026-04-23T21:58:44.634Z,bid-extra-60345900334,2026-04-23T23:55:14.039Z
6704484,910672,5520.64,2026-04-23T21:58:44.634Z,bid-extra-60345900344,2026-04-23T23:55:14.039Z
6704614,910982,6156.24,2026-04-23T21:58:44.635Z,bid-extra-60345900354,2026-04-23T23:55:14.039Z
6704744,911292,6791.84,2026-04-23T21:58:44.635Z,bid-extra-60345900364,2026-04-23T23:55:14.039Z
6704874,911602,2887.44,2026-04-23T21:58:44.635Z,bid-extra-60345900374,2026-04-23T23:55:14.039Z
6705004,911912,3523.04,2026-04-23T21:58:44.635Z,bid-extra-60345900384,2026-04-23T23:55:14.039Z
6705134,912222,4158.64,2026-04-23T21:58:44.635Z,bid-extra-60345900394,2026-04-23T23:55:14.039Z
6705264,912532,4794.24,2026-04-23T21:58:44.635Z,bid-extra-60345900404,2026-04-23T23:55:14.039Z
6705394,912842,5429.84,2026-04-23T21:58:44.635Z,bid-extra-60345900414,2026-04-23T23:55:14.039Z
6705524,913152,6065.4400000000005,2026-04-23T21:58:44.635Z,bid-extra-60345900424,2026-04-23T23:55:14.039Z
6705654,913462,6701.04,2026-04-23T21:58:44.635Z,bid-extra-60345900434,2026-04-23T23:55:14.039Z
6705784,913772,7336.64,2026-04-23T21:58:44.635Z,bid-extra-60345900444,2026-04-23T23:55:14.039Z
6705914,914082,7972.240000000001,2026-04-23T21:58:44.636Z,bid-extra-60345900454,2026-04-23T23:55:14.039Z
6706044,914392,8607.84,2026-04-23T21:58:44.636Z,bid-extra-60345900464,2026-04-23T23:55:14.039Z
6706174,914702,9243.44,2026-04-23T21:58:44.636Z,bid-extra-60345900474,2026-04-23T23:55:14.039Z
6706304,915012,9879.04,2026-04-23T21:58:44.636Z,bid-extra-60345900484,2026-04-23T23:55:14.039Z
6706434,915322,5974.64,2026-04-23T21:58:44.636Z,bid-extra-60345900494,2026-04-23T23:55:14.039Z
6706564,915632,6610.24,2026-04-23T21:58:44.636Z,bid-extra-60345900504,2026-04-23T23:55:14.039Z
6706694,915942,7245.84,2026-04-23T21:58:44.636Z,bid-extra-60345900514,2026-04-23T23:55:14.039Z
6706824,916252,7881.4400000000005,2026-04-23T21:58:44.636Z,bid-extra-60345900524,2026-04-23T23:55:14.039Z
6706954,916562,8517.04,2026-04-23T21:58:44.636Z,bid-extra-60345900534,2026-04-23T23:55:14.039Z
6707084,916872,9152.64,2026-04-23T21:58:44.636Z,bid-extra-60345900544,2026-04-23T23:55:14.039Z
6707214,917182,9788.24,2026-04-23T21:58:44.637Z,bid-extra-60345900554,2026-04-23T23:55:14.039Z
6707344,917492,10423.84,2026-04-23T21:58:44.637Z,bid-extra-60345900564,2026-04-23T23:55:14.039Z
6707474,917802,11059.44,2026-04-23T21:58:44.637Z,bid-extra-60345900574,2026-04-23T23:55:14.039Z
6707604,918112,11695.04,2026-04-23T21:58:44.637Z,bid-extra-60345900584,2026-04-23T23:55:14.039Z
6707734,918422,12330.640000000001,2026-04-23T21:58:44.637Z,bid-extra-60345900594,2026-04-23T23:55:14.039Z
6707864,918732,12966.24,2026-04-23T21:58:44.637Z,bid-extra-60345900604,2026-04-23T23:55:14.039Z
6707994,919042,9061.84,2026-04-23T21:58:44.637Z,bid-extra-60345900614,2026-04-23T23:55:14.039Z
6708124,919352,708.24,2026-04-23T21:58:44.637Z,bid-extra-60345900624,2026-04-23T23:55:14.039Z
6708254,919662,1343.8400000000001,2026-04-23T21:58:44.637Z,bid-extra-60345900634,2026-04-23T23:55:14.039Z
6708384,919972,1979.44,2026-04-23T21:58:44.637Z,bid-extra-60345900644,2026-04-23T23:55:14.039Z
6708514,920282,2615.04,2026-04-23T21:58:44.638Z,bid-extra-60345900654,2026-04-23T23:55:14.039Z
6708644,920592,3250.6400000000003,2026-04-23T21:58:44.638Z,bid-extra-60345900664,2026-04-23T23:55:14.039Z
6708774,920902,3886.2400000000002,2026-04-23T21:58:44.638Z,bid-extra-60345900674,2026-04-23T23:55:14.039Z
