auction,bidder,price,dateTime,extra,processed_time
5700064,900132,889.84,2026-04-23T21:59:14.631Z,bid-extra-60348900004,2026-04-23T23:55:14.039Z
5700194,900442,1525.44,2026-04-23T21:59:14.631Z,bid-extra-60348900014,2026-04-23T23:55:14.039Z
5700324,900752,2161.04,2026-04-23T21:59:14.631Z,bid-extra-60348900024,2026-04-23T23:55:14.039Z
5700454,901062,2796.64,2026-04-23T21:59:14.631Z,bid-extra-60348900034,2026-04-23T23:55:14.039Z
5700584,901372,3432.2400000000002,2026-04-23T21:59:14.631Z,bid-extra-60348900044,2026-04-23T23:55:14.039Z
5700714,901682,4067.84,2026-04-23T21:59:14.632Z,bid-extra-60348900054,2026-04-23T23:55:14.039Z
5700844,901992,4703.4400000000005,2026-04-23T21:59:14.632Z,bid-extra-60348900064,2026-04-23T23:55:14.039Z
5700974,902302,5339.04,2026-04-23T21:59:14.632Z,bid-extra-60348900074,2026-04-23T23:55:14.039Z
5701104,902612,5974.64,2026-04-23T21:59:14.632Z,bid-extra-60348900084,2026-04-23T23:55:14.039Z
5701234,902922,6610.24,2026-04-23T21:59:14.632Z,bid-extra-60348900094,2026-04-23T23:55:14.039Z
5701364,903232,7245.84,2026-04-23T21:59:14.632Z,bid-extra-60348900104,2026-04-23T23:55:14.039Z
5701494,903542,7881.4400000000005,2026-04-23T21:59:14.632Z,bid-extra-60348900114,2026-04-23T23:55:14.039Z
5701624,903852,3977.04,2026-04-23T21:59:14.632Z,bid-extra-60348900124,2026-04-23T23:55:14.039Z
5701754,904162,4612.64,2026-04-23T21:59:14.632Z,bid-extra-60348900134,2026-04-23T23:55:14.039Z
5701884,904472,5248.24,2026-04-23T21:59:14.632Z,bid-extra-60348900144,2026-04-23T23:55:14.039Z
5702014,904782,5883.84,2026-04-23T21:59:14.633Z,bid-extra-60348900154,2026-04-23T23:55:14.039Z
5702144,905092,6519.4400000000005,2026-04-23T21:59:14.633Z,bid-extra-60348900164,2026-04-23T23:55:14.039Z
5702274,905402,7155.04,2026-04-23T21:59:14.633Z,bid-extra-60348900174,2026-04-23T23:55:14.039Z
5702404,905712,7790.64,2026-04-23T21:59:14.633Z,bid-extra-60348900184,2026-04-23T23:55:14.039Z
