auction,bidder,price,dateTime,extra,processed_time
6700064,900132,708.24,2026-04-23T22:02:04.631Z,bid-extra-60365900004,2026-04-23T23:55:14.039Z
6700194,900442,1343.8400000000001,2026-04-23T22:02:04.631Z,bid-extra-60365900014,2026-04-23T23:55:14.039Z
6700324,900752,1979.44,2026-04-23T22:02:04.631Z,bid-extra-60365900024,2026-04-23T23:55:14.039Z
6700454,901062,2615.04,2026-04-23T22:02:04.631Z,bid-extra-60365900034,2026-04-23T23:55:14.039Z
6700584,901372,3250.6400000000003,2026-04-23T22:02:04.631Z,bid-extra-60365900044,2026-04-23T23:55:14.039Z
6700714,901682,3886.2400000000002,2026-04-23T22:02:04.632Z,bid-extra-60365900054,2026-04-23T23:55:14.039Z
6700844,901992,4521.84,2026-04-23T22:02:04.632Z,bid-extra-60365900064,2026-04-23T23:55:14.039Z
6700974,902302,5157.4400000000005,2026-04-23T22:02:04.632Z,bid-extra-60365900074,2026-04-23T23:55:14.039Z
6701104,902612,5793.04,2026-04-23T22:02:04.632Z,bid-extra-60365900084,2026-04-23T23:55:14.039Z
6701234,902922,6428.64,2026-04-23T22:02:04.632Z,bid-extra-60365900094,2026-04-23T23:55:14.039Z
6701364,903232,7064.24,2026-04-23T22:02:04.632Z,bid-extra-60365900104,2026-04-23T23:55:14.039Z
6701494,903542,7699.84,2026-04-23T22:02:04.632Z,bid-extra-60365900114,2026-04-23T23:55:14.039Z
6701624,903852,3795.44,2026-04-23T22:02:04.632Z,bid-extra-60365900124,2026-04-23T23:55:14.039Z
6701754,904162,4431.04,2026-04-23T22:02:04.632Z,bid-extra-60365900134,2026-04-23T23:55:14.039Z
6701884,904472,5066.64,2026-04-23T22:02:04.632Z,bid-extra-60365900144,2026-04-23T23:55:14.039Z
6702014,904782,5702.24,2026-04-23T22:02:04.633Z,bid-extra-60365900154,2026-04-23T23:55:14.039Z
6702144,905092,6337.84,2026-04-23T22:02:04.633Z,bid-extra-60365900164,2026-04-23T23:55:14.039Z
6702274,905402,6973.4400000000005,2026-04-23T22:02:04.633Z,bid-extra-60365900174,2026-04-23T23:55:14.039Z
6702404,905712,7609.04,2026-04-23T22:02:04.633Z,bid-extra-60365900184,2026-04-23T23:55:14.039Z
6702534,906022,8244.64,2026-04-23T22:02:04.633Z,bid-extra-60365900194,2026-04-23T23:55:14.039Z
6702664,906332,8880.24,2026-04-23T22:02:04.633Z,bid-extra-60365900204,2026-04-23T23:55:14.039Z
6702794,906642,9515.84,2026-04-23T22:02:04.633Z,bid-extra-60365900214,2026-04-23T23:55:14.039Z
6702924,906952,10151.44,2026-04-23T22:02:04.633Z,bid-extra-60365900224,2026-04-23T23:55:14.039Z
6703054,907262,10787.04,2026-04-23T22:02:04.633Z,bid-extra-60365900234,2026-04-23T23:55:14.039Z
6703184,907572,6882.64,2026-04-23T22:02:04.633Z,bid-extra-60365900244,2026-04-23T23:55:14.039Z
6703314,907882,7518.240000000001,2026-04-23T22:02:04.634Z,bid-extra-60365900254,2026-04-23T23:55:14.039Z
6703444,908192,8153.84,2026-04-23T22:02:04.634Z,bid-extra-60365900264,2026-04-23T23:55:14.039Z
6703574,908502,8789.44,2026-04-23T22:02:04.634Z,bid-extra-60365900274,2026-04-23T23:55:14.039Z
6703704,908812,9425.04,2026-04-23T22:02:04.634Z,bid-extra-60365900284,2026-04-23T23:55:14.039Z
6703834,909122,10060.64,2026-04-23T22:02:04.634Z,bid-extra-60365900294,2026-04-23T23:55:14.039Z
