auction,bidder,price,dateTime,extra,processed_time
9700064,900132,4612.64,2026-04-23T21:58:54.631Z,bid-extra-60346900004,2026-04-23T23:55:14.039Z
9700194,900442,5248.24,2026-04-23T21:58:54.631Z,bid-extra-60346900014,2026-04-23T23:55:14.039Z
9700324,900752,5883.84,2026-04-23T21:58:54.631Z,bid-extra-60346900024,2026-04-23T23:55:14.039Z
9700454,901062,6519.4400000000005,2026-04-23T21:58:54.631Z,bid-extra-60346900034,2026-04-23T23:55:14.039Z
9700584,901372,7155.04,2026-04-23T21:58:54.631Z,bid-extra-60346900044,2026-04-23T23:55:14.039Z
9700714,901682,7790.64,2026-04-23T21:58:54.632Z,bid-extra-60346900054,2026-04-23T23:55:14.039Z
9700844,901992,8426.24,2026-04-23T21:58:54.632Z,bid-extra-60346900064,2026-04-23T23:55:14.039Z
9700974,902302,9061.84,2026-04-23T21:58:54.632Z,bid-extra-60346900074,2026-04-23T23:55:14.039Z
9701104,902612,9697.44,2026-04-23T21:58:54.632Z,bid-extra-60346900084,2026-04-23T23:55:14.039Z
9701234,902922,10333.04,2026-04-23T21:58:54.632Z,bid-extra-60346900094,2026-04-23T23:55:14.039Z
9701364,903232,10968.640000000001,2026-04-23T21:58:54.632Z,bid-extra-60346900104,2026-04-23T23:55:14.039Z
9701494,903542,11604.24,2026-04-23T21:58:54.632Z,bid-extra-60346900114,2026-04-23T23:55:14.039Z
9701624,903852,7699.84,2026-04-23T21:58:54.632Z,bid-extra-60346900124,2026-04-23T23:55:14.039Z
9701754,904162,8335.44,2026-04-23T21:58:54.632Z,bid-extra-60346900134,2026-04-23T23:55:14.039Z
9701884,904472,8971.04,2026-04-23T21:58:54.632Z,bid-extra-60346900144,2026-04-23T23:55:14.039Z
9702014,904782,9606.64,2026-04-23T21:58:54.633Z,bid-extra-60346900154,2026-04-23T23:55:14.039Z
9702144,905092,10242.24,2026-04-23T21:58:54.633Z,bid-extra-60346900164,2026-04-23T23:55:14.039Z
9702274,905402,10877.84,2026-04-23T21:58:54.633Z,bid-extra-60346900174,2026-04-23T23:55:14.039Z
9702404,905712,2524.2400000000002,2026-04-23T21:58:54.633Z,bid-extra-60346900184,2026-04-23T23:55:14.039Z
