auction,bidder,price,dateTime,extra,processed_time
5700064,900132,254.24,2026-04-23T22:00:54.631Z,bid-extra-60358900004,2026-04-23T23:55:14.039Z
5700194,900442,889.84,2026-04-23T22:00:54.631Z,bid-extra-60358900014,2026-04-23T23:55:14.039Z
5700324,900752,1525.44,2026-04-23T22:00:54.631Z,bid-extra-60358900024,2026-04-23T23:55:14.039Z
5700454,901062,2161.04,2026-04-23T22:00:54.631Z,bid-extra-60358900034,2026-04-23T23:55:14.039Z
5700584,901372,2796.64,2026-04-23T22:00:54.631Z,bid-extra-60358900044,2026-04-23T23:55:14.039Z
5700714,901682,3432.2400000000002,2026-04-23T22:00:54.632Z,bid-extra-60358900054,2026-04-23T23:55:14.039Z
5700844,901992,4067.84,2026-04-23T22:00:54.632Z,bid-extra-60358900064,2026-04-23T23:55:14.039Z
5700974,902302,4703.4400000000005,2026-04-23T22:00:54.632Z,bid-extra-60358900074,2026-04-23T23:55:14.039Z
5701104,902612,5339.04,2026-04-23T22:00:54.632Z,bid-extra-60358900084,2026-04-23T23:55:14.039Z
5701234,902922,5974.64,2026-04-23T22:00:54.632Z,bid-extra-60358900094,2026-04-23T23:55:14.039Z
5701364,903232,6610.24,2026-04-23T22:00:54.632Z,bid-extra-60358900104,2026-04-23T23:55:14.039Z
5701494,903542,7245.84,2026-04-23T22:00:54.632Z,bid-extra-60358900114,2026-04-23T23:55:14.039Z
5701624,903852,3341.44,2026-04-23T22:00:54.632Z,bid-extra-60358900124,2026-04-23T23:55:14.039Z
5701754,904162,3977.04,2026-04-23T22:00:54.632Z,bid-extra-60358900134,2026-04-23T23:55:14.039Z
5701884,904472,4612.64,2026-04-23T22:00:54.632Z,bid-extra-60358900144,2026-04-23T23:55:14.039Z
5702014,904782,5248.24,2026-04-23T22:00:54.633Z,bid-extra-60358900154,2026-04-23T23:55:14.039Z
5702144,905092,5883.84,2026-04-23T22:00:54.633Z,bid-extra-60358900164,2026-04-23T23:55:14.039Z
5702274,905402,6519.4400000000005,2026-04-23T22:00:54.633Z,bid-extra-60358900174,2026-04-23T23:55:14.039Z
5702404,905712,7155.04,2026-04-23T22:00:54.633Z,bid-extra-60358900184,2026-04-23T23:55:14.039Z
5702534,906022,7790.64,2026-04-23T22:00:54.633Z,bid-extra-60358900194,2026-04-23T23:55:14.039Z
5702664,906332,8426.24,2026-04-23T22:00:54.633Z,bid-extra-60358900204,2026-04-23T23:55:14.039Z
5702794,906642,9061.84,2026-04-23T22:00:54.633Z,bid-extra-60358900214,2026-04-23T23:55:14.039Z
5702924,906952,9697.44,2026-04-23T22:00:54.633Z,bid-extra-60358900224,2026-04-23T23:55:14.039Z
5703054,907262,10333.04,2026-04-23T22:00:54.633Z,bid-extra-60358900234,2026-04-23T23:55:14.039Z
5703184,907572,6428.64,2026-04-23T22:00:54.633Z,bid-extra-60358900244,2026-04-23T23:55:14.039Z
5703314,907882,7064.24,2026-04-23T22:00:54.634Z,bid-extra-60358900254,2026-04-23T23:55:14.039Z
5703444,908192,7699.84,2026-04-23T22:00:54.634Z,bid-extra-60358900264,2026-04-23T23:55:14.039Z
5703574,908502,8335.44,2026-04-23T22:00:54.634Z,bid-extra-60358900274,2026-04-23T23:55:14.039Z
5703704,908812,8971.04,2026-04-23T22:00:54.634Z,bid-extra-60358900284,2026-04-23T23:55:14.039Z
5703834,909122,9606.64,2026-04-23T22:00:54.634Z,bid-extra-60358900294,2026-04-23T23:55:14.039Z
5703964,909432,10242.24,2026-04-23T22:00:54.634Z,bid-extra-60358900304,2026-04-23T23:55:14.039Z
5704094,909742,10877.84,2026-04-23T22:00:54.634Z,bid-extra-60358900314,2026-04-23T23:55:14.039Z
5704224,910052,11513.44,2026-04-23T22:00:54.634Z,bid-extra-60358900324,2026-04-23T23:55:14.039Z
5704354,910362,12149.04,2026-04-23T22:00:54.634Z,bid-extra-60358900334,2026-04-23T23:55:14.039Z
5704484,910672,12784.640000000001,2026-04-23T22:00:54.634Z,bid-extra-60358900344,2026-04-23T23:55:14.039Z
5704614,910982,4431.04,2026-04-23T22:00:54.635Z,bid-extra-60358900354,2026-04-23T23:55:14.039Z
5704744,911292,5066.64,2026-04-23T22:00:54.635Z,bid-extra-60358900364,2026-04-23T23:55:14.039Z
5704874,911602,1162.24,2026-04-23T22:00:54.635Z,bid-extra-60358900374,2026-04-23T23:55:14.039Z
5705004,911912,1797.8400000000001,2026-04-23T22:00:54.635Z,bid-extra-60358900384,2026-04-23T23:55:14.039Z
5705134,912222,2433.44,2026-04-23T22:00:54.635Z,bid-extra-60358900394,2026-04-23T23:55:14.039Z
5705264,912532,3069.04,2026-04-23T22:00:54.635Z,bid-extra-60358900404,2026-04-23T23:55:14.039Z
5705394,912842,3704.6400000000003,2026-04-23T22:00:54.635Z,bid-extra-60358900414,2026-04-23T23:55:14.039Z
5705524,913152,4340.24,2026-04-23T22:00:54.635Z,bid-extra-60358900424,2026-04-23T23:55:14.039Z
5705654,913462,4975.84,2026-04-23T22:00:54.635Z,bid-extra-60358900434,2026-04-23T23:55:14.039Z
5705784,913772,5611.4400000000005,2026-04-23T22:00:54.635Z,bid-extra-60358900444,2026-04-23T23:55:14.039Z
5705914,914082,6247.04,2026-04-23T22:00:54.636Z,bid-extra-60358900454,2026-04-23T23:55:14.039Z
5706044,914392,6882.64,2026-04-23T22:00:54.636Z,bid-extra-60358900464,2026-04-23T23:55:14.039Z
5706174,914702,7518.240000000001,2026-04-23T22:00:54.636Z,bid-extra-60358900474,2026-04-23T23:55:14.039Z
5706304,915012,8153.84,2026-04-23T22:00:54.636Z,bid-extra-60358900484,2026-04-23T23:55:14.039Z
5706434,915322,4249.4400000000005,2026-04-23T22:00:54.636Z,bid-extra-60358900494,2026-04-23T23:55:14.039Z
5706564,915632,4885.04,2026-04-23T22:00:54.636Z,bid-extra-60358900504,2026-04-23T23:55:14.039Z
5706694,915942,5520.64,2026-04-23T22:00:54.636Z,bid-extra-60358900514,2026-04-23T23:55:14.039Z
5706824,916252,6156.24,2026-04-23T22:00:54.636Z,bid-extra-60358900524,2026-04-23T23:55:14.039Z
5706954,916562,6791.84,2026-04-23T22:00:54.636Z,bid-extra-60358900534,2026-04-23T23:55:14.039Z
5707084,916872,7427.4400000000005,2026-04-23T22:00:54.636Z,bid-extra-60358900544,2026-04-23T23:55:14.039Z
5707214,917182,8063.04,2026-04-23T22:00:54.637Z,bid-extra-60358900554,2026-04-23T23:55:14.039Z
5707344,917492,8698.64,2026-04-23T22:00:54.637Z,bid-extra-60358900564,2026-04-23T23:55:14.039Z
5707474,917802,9334.24,2026-04-23T22:00:54.637Z,bid-extra-60358900574,2026-04-23T23:55:14.039Z
5707604,918112,9969.84,2026-04-23T22:00:54.637Z,bid-extra-60358900584,2026-04-23T23:55:14.039Z
5707734,918422,10605.44,2026-04-23T22:00:54.637Z,bid-extra-60358900594,2026-04-23T23:55:14.039Z
