auction,bidder,price,dateTime,extra,processed_time
4700064,900132,8153.84,2026-04-23T22:01:24.631Z,bid-extra-60361900004,2026-04-23T23:55:14.039Z
4700194,900442,8789.44,2026-04-23T22:01:24.631Z,bid-extra-60361900014,2026-04-23T23:55:14.039Z
4700324,900752,9425.04,2026-04-23T22:01:24.631Z,bid-extra-60361900024,2026-04-23T23:55:14.039Z
4700454,901062,10060.64,2026-04-23T22:01:24.631Z,bid-extra-60361900034,2026-04-23T23:55:14.039Z
4700584,901372,10696.24,2026-04-23T22:01:24.631Z,bid-extra-60361900044,2026-04-23T23:55:14.039Z
4700714,901682,2342.64,2026-04-23T22:01:24.632Z,bid-extra-60361900054,2026-04-23T23:55:14.039Z
4700844,901992,2978.2400000000002,2026-04-23T22:01:24.632Z,bid-extra-60361900064,2026-04-23T23:55:14.039Z
4700974,902302,3613.84,2026-04-23T22:01:24.632Z,bid-extra-60361900074,2026-04-23T23:55:14.039Z
4701104,902612,4249.4400000000005,2026-04-23T22:01:24.632Z,bid-extra-60361900084,2026-04-23T23:55:14.039Z
4701234,902922,4885.04,2026-04-23T22:01:24.632Z,bid-extra-60361900094,2026-04-23T23:55:14.039Z
4701364,903232,5520.64,2026-04-23T22:01:24.632Z,bid-extra-60361900104,2026-04-23T23:55:14.039Z
4701494,903542,6156.24,2026-04-23T22:01:24.632Z,bid-extra-60361900114,2026-04-23T23:55:14.039Z
4701624,903852,2251.84,2026-04-23T22:01:24.632Z,bid-extra-60361900124,2026-04-23T23:55:14.039Z
4701754,904162,2887.44,2026-04-23T22:01:24.632Z,bid-extra-60361900134,2026-04-23T23:55:14.039Z
4701884,904472,3523.04,2026-04-23T22:01:24.632Z,bid-extra-60361900144,2026-04-23T23:55:14.039Z
4702014,904782,4158.64,2026-04-23T22:01:24.633Z,bid-extra-60361900154,2026-04-23T23:55:14.039Z
4702144,905092,4794.24,2026-04-23T22:01:24.633Z,bid-extra-60361900164,2026-04-23T23:55:14.039Z
4702274,905402,5429.84,2026-04-23T22:01:24.633Z,bid-extra-60361900174,2026-04-23T23:55:14.039Z
4702404,905712,6065.4400000000005,2026-04-23T22:01:24.633Z,bid-extra-60361900184,2026-04-23T23:55:14.039Z
4702534,906022,6701.04,2026-04-23T22:01:24.633Z,bid-extra-60361900194,2026-04-23T23:55:14.039Z
4702664,906332,7336.64,2026-04-23T22:01:24.633Z,bid-extra-60361900204,2026-04-23T23:55:14.039Z
4702794,906642,7972.240000000001,2026-04-23T22:01:24.633Z,bid-extra-60361900214,2026-04-23T23:55:14.039Z
4702924,906952,8607.84,2026-04-23T22:01:24.633Z,bid-extra-60361900224,2026-04-23T23:55:14.039Z
4703054,907262,9243.44,2026-04-23T22:01:24.633Z,bid-extra-60361900234,2026-04-23T23:55:14.039Z
4703184,907572,5339.04,2026-04-23T22:01:24.633Z,bid-extra-60361900244,2026-04-23T23:55:14.039Z
4703314,907882,5974.64,2026-04-23T22:01:24.634Z,bid-extra-60361900254,2026-04-23T23:55:14.039Z
4703444,908192,6610.24,2026-04-23T22:01:24.634Z,bid-extra-60361900264,2026-04-23T23:55:14.039Z
