auction,bidder,price,dateTime,extra,processed_time
2700064,900132,7245.84,2026-04-23T21:59:04.631Z,bid-extra-60347900004,2026-04-23T23:55:14.039Z
2700194,900442,7881.4400000000005,2026-04-23T21:59:04.631Z,bid-extra-60347900014,2026-04-23T23:55:14.039Z
2700324,900752,8517.04,2026-04-23T21:59:04.631Z,bid-extra-60347900024,2026-04-23T23:55:14.039Z
2700454,901062,9152.64,2026-04-23T21:59:04.631Z,bid-extra-60347900034,2026-04-23T23:55:14.039Z
2700584,901372,9788.24,2026-04-23T21:59:04.631Z,bid-extra-60347900044,2026-04-23T23:55:14.039Z
2700714,901682,10423.84,2026-04-23T21:59:04.632Z,bid-extra-60347900054,2026-04-23T23:55:14.039Z
2700844,901992,11059.44,2026-04-23T21:59:04.632Z,bid-extra-60347900064,2026-04-23T23:55:14.039Z
2700974,902302,11695.04,2026-04-23T21:59:04.632Z,bid-extra-60347900074,2026-04-23T23:55:14.039Z
2701104,902612,3341.44,2026-04-23T21:59:04.632Z,bid-extra-60347900084,2026-04-23T23:55:14.039Z
2701234,902922,3977.04,2026-04-23T21:59:04.632Z,bid-extra-60347900094,2026-04-23T23:55:14.039Z
2701364,903232,4612.64,2026-04-23T21:59:04.632Z,bid-extra-60347900104,2026-04-23T23:55:14.039Z
2701494,903542,5248.24,2026-04-23T21:59:04.632Z,bid-extra-60347900114,2026-04-23T23:55:14.039Z
2701624,903852,1343.8400000000001,2026-04-23T21:59:04.632Z,bid-extra-60347900124,2026-04-23T23:55:14.039Z
2701754,904162,1979.44,2026-04-23T21:59:04.632Z,bid-extra-60347900134,2026-04-23T23:55:14.039Z
2701884,904472,2615.04,2026-04-23T21:59:04.632Z,bid-extra-60347900144,2026-04-23T23:55:14.039Z
2702014,904782,3250.6400000000003,2026-04-23T21:59:04.633Z,bid-extra-60347900154,2026-04-23T23:55:14.039Z
2702144,905092,3886.2400000000002,2026-04-23T21:59:04.633Z,bid-extra-60347900164,2026-04-23T23:55:14.039Z
2702274,905402,4521.84,2026-04-23T21:59:04.633Z,bid-extra-60347900174,2026-04-23T23:55:14.039Z
2702404,905712,5157.4400000000005,2026-04-23T21:59:04.633Z,bid-extra-60347900184,2026-04-23T23:55:14.039Z
2702534,906022,5793.04,2026-04-23T21:59:04.633Z,bid-extra-60347900194,2026-04-23T23:55:14.039Z
2702664,906332,6428.64,2026-04-23T21:59:04.633Z,bid-extra-60347900204,2026-04-23T23:55:14.039Z
2702794,906642,7064.24,2026-04-23T21:59:04.633Z,bid-extra-60347900214,2026-04-23T23:55:14.039Z
2702924,906952,7699.84,2026-04-23T21:59:04.633Z,bid-extra-60347900224,2026-04-23T23:55:14.039Z
2703054,907262,8335.44,2026-04-23T21:59:04.633Z,bid-extra-60347900234,2026-04-23T23:55:14.039Z
2703184,907572,4431.04,2026-04-23T21:59:04.633Z,bid-extra-60347900244,2026-04-23T23:55:14.039Z
2703314,907882,5066.64,2026-04-23T21:59:04.634Z,bid-extra-60347900254,2026-04-23T23:55:14.039Z
2703444,908192,5702.24,2026-04-23T21:59:04.634Z,bid-extra-60347900264,2026-04-23T23:55:14.039Z
2703574,908502,6337.84,2026-04-23T21:59:04.634Z,bid-extra-60347900274,2026-04-23T23:55:14.039Z
2703704,908812,6973.4400000000005,2026-04-23T21:59:04.634Z,bid-extra-60347900284,2026-04-23T23:55:14.039Z
2703834,909122,7609.04,2026-04-23T21:59:04.634Z,bid-extra-60347900294,2026-04-23T23:55:14.039Z
2703964,909432,8244.64,2026-04-23T21:59:04.634Z,bid-extra-60347900304,2026-04-23T23:55:14.039Z
2704094,909742,8880.24,2026-04-23T21:59:04.634Z,bid-extra-60347900314,2026-04-23T23:55:14.039Z
2704224,910052,9515.84,2026-04-23T21:59:04.634Z,bid-extra-60347900324,2026-04-23T23:55:14.039Z
2704354,910362,10151.44,2026-04-23T21:59:04.634Z,bid-extra-60347900334,2026-04-23T23:55:14.039Z
2704484,910672,10787.04,2026-04-23T21:59:04.634Z,bid-extra-60347900344,2026-04-23T23:55:14.039Z
