auction,bidder,price,dateTime,extra,processed_time
7700064,900132,2433.44,2026-04-23T21:59:54.631Z,bid-extra-60352900004,2026-04-23T23:55:14.039Z
7700194,900442,3069.04,2026-04-23T21:59:54.631Z,bid-extra-60352900014,2026-04-23T23:55:14.039Z
7700324,900752,3704.6400000000003,2026-04-23T21:59:54.631Z,bid-extra-60352900024,2026-04-23T23:55:14.039Z
7700454,901062,4340.24,2026-04-23T21:59:54.631Z,bid-extra-60352900034,2026-04-23T23:55:14.039Z
7700584,901372,4975.84,2026-04-23T21:59:54.631Z,bid-extra-60352900044,2026-04-23T23:55:14.039Z
7700714,901682,5611.4400000000005,2026-04-23T21:59:54.632Z,bid-extra-60352900054,2026-04-23T23:55:14.039Z
7700844,901992,6247.04,2026-04-23T21:59:54.632Z,bid-extra-60352900064,2026-04-23T23:55:14.039Z
7700974,902302,6882.64,2026-04-23T21:59:54.632Z,bid-extra-60352900074,2026-04-23T23:55:14.039Z
7701104,902612,7518.240000000001,2026-04-23T21:59:54.632Z,bid-extra-60352900084,2026-04-23T23:55:14.039Z
7701234,902922,8153.84,2026-04-23T21:59:54.632Z,bid-extra-60352900094,2026-04-23T23:55:14.039Z
7701364,903232,8789.44,2026-04-23T21:59:54.632Z,bid-extra-60352900104,2026-04-23T23:55:14.039Z
7701494,903542,9425.04,2026-04-23T21:59:54.632Z,bid-extra-60352900114,2026-04-23T23:55:14.039Z
7701624,903852,5520.64,2026-04-23T21:59:54.632Z,bid-extra-60352900124,2026-04-23T23:55:14.039Z
7701754,904162,6156.24,2026-04-23T21:59:54.632Z,bid-extra-60352900134,2026-04-23T23:55:14.039Z
7701884,904472,6791.84,2026-04-23T21:59:54.632Z,bid-extra-60352900144,2026-04-23T23:55:14.039Z
7702014,904782,7427.4400000000005,2026-04-23T21:59:54.633Z,bid-extra-60352900154,2026-04-23T23:55:14.039Z
7702144,905092,8063.04,2026-04-23T21:59:54.633Z,bid-extra-60352900164,2026-04-23T23:55:14.039Z
7702274,905402,8698.64,2026-04-23T21:59:54.633Z,bid-extra-60352900174,2026-04-23T23:55:14.039Z
7702404,905712,9334.24,2026-04-23T21:59:54.633Z,bid-extra-60352900184,2026-04-23T23:55:14.039Z
7702534,906022,9969.84,2026-04-23T21:59:54.633Z,bid-extra-60352900194,2026-04-23T23:55:14.039Z
7702664,906332,10605.44,2026-04-23T21:59:54.633Z,bid-extra-60352900204,2026-04-23T23:55:14.039Z
7702794,906642,11241.04,2026-04-23T21:59:54.633Z,bid-extra-60352900214,2026-04-23T23:55:14.039Z
7702924,906952,11876.640000000001,2026-04-23T21:59:54.633Z,bid-extra-60352900224,2026-04-23T23:55:14.039Z
7703054,907262,12512.24,2026-04-23T21:59:54.633Z,bid-extra-60352900234,2026-04-23T23:55:14.039Z
7703184,907572,8607.84,2026-04-23T21:59:54.633Z,bid-extra-60352900244,2026-04-23T23:55:14.039Z
7703314,907882,9243.44,2026-04-23T21:59:54.634Z,bid-extra-60352900254,2026-04-23T23:55:14.039Z
7703444,908192,889.84,2026-04-23T21:59:54.634Z,bid-extra-60352900264,2026-04-23T23:55:14.039Z
7703574,908502,1525.44,2026-04-23T21:59:54.634Z,bid-extra-60352900274,2026-04-23T23:55:14.039Z
7703704,908812,2161.04,2026-04-23T21:59:54.634Z,bid-extra-60352900284,2026-04-23T23:55:14.039Z
7703834,909122,2796.64,2026-04-23T21:59:54.634Z,bid-extra-60352900294,2026-04-23T23:55:14.039Z
7703964,909432,3432.2400000000002,2026-04-23T21:59:54.634Z,bid-extra-60352900304,2026-04-23T23:55:14.039Z
7704094,909742,4067.84,2026-04-23T21:59:54.634Z,bid-extra-60352900314,2026-04-23T23:55:14.039Z
7704224,910052,4703.4400000000005,2026-04-23T21:59:54.634Z,bid-extra-60352900324,2026-04-23T23:55:14.039Z
7704354,910362,5339.04,2026-04-23T21:59:54.634Z,bid-extra-60352900334,2026-04-23T23:55:14.039Z
7704484,910672,5974.64,2026-04-23T21:59:54.634Z,bid-extra-60352900344,2026-04-23T23:55:14.039Z
7704614,910982,6610.24,2026-04-23T21:59:54.635Z,bid-extra-60352900354,2026-04-23T23:55:14.039Z
7704744,911292,7245.84,2026-04-23T21:59:54.635Z,bid-extra-60352900364,2026-04-23T23:55:14.039Z
7704874,911602,3341.44,2026-04-23T21:59:54.635Z,bid-extra-60352900374,2026-04-23T23:55:14.039Z
7705004,911912,3977.04,2026-04-23T21:59:54.635Z,bid-extra-60352900384,2026-04-23T23:55:14.039Z
7705134,912222,4612.64,2026-04-23T21:59:54.635Z,bid-extra-60352900394,2026-04-23T23:55:14.039Z
7705264,912532,5248.24,2026-04-23T21:59:54.635Z,bid-extra-60352900404,2026-04-23T23:55:14.039Z
7705394,912842,5883.84,2026-04-23T21:59:54.635Z,bid-extra-60352900414,2026-04-23T23:55:14.039Z
7705524,913152,6519.4400000000005,2026-04-23T21:59:54.635Z,bid-extra-60352900424,2026-04-23T23:55:14.039Z
7705654,913462,7155.04,2026-04-23T21:59:54.635Z,bid-extra-60352900434,2026-04-23T23:55:14.039Z
7705784,913772,7790.64,2026-04-23T21:59:54.635Z,bid-extra-60352900444,2026-04-23T23:55:14.039Z
7705914,914082,8426.24,2026-04-23T21:59:54.636Z,bid-extra-60352900454,2026-04-23T23:55:14.039Z
7706044,914392,9061.84,2026-04-23T21:59:54.636Z,bid-extra-60352900464,2026-04-23T23:55:14.039Z
7706174,914702,9697.44,2026-04-23T21:59:54.636Z,bid-extra-60352900474,2026-04-23T23:55:14.039Z
7706304,915012,10333.04,2026-04-23T21:59:54.636Z,bid-extra-60352900484,2026-04-23T23:55:14.039Z
7706434,915322,6428.64,2026-04-23T21:59:54.636Z,bid-extra-60352900494,2026-04-23T23:55:14.039Z
7706564,915632,7064.24,2026-04-23T21:59:54.636Z,bid-extra-60352900504,2026-04-23T23:55:14.039Z
7706694,915942,7699.84,2026-04-23T21:59:54.636Z,bid-extra-60352900514,2026-04-23T23:55:14.039Z
