auction,bidder,price,dateTime,extra,processed_time
7700064,900132,3069.04,2026-04-23T21:58:14.631Z,bid-extra-60342900004,2026-04-23T23:55:14.039Z
7700194,900442,3704.6400000000003,2026-04-23T21:58:14.631Z,bid-extra-60342900014,2026-04-23T23:55:14.039Z
7700324,900752,4340.24,2026-04-23T21:58:14.631Z,bid-extra-60342900024,2026-04-23T23:55:14.039Z
7700454,901062,4975.84,2026-04-23T21:58:14.631Z,bid-extra-60342900034,2026-04-23T23:55:14.039Z
7700584,901372,5611.4400000000005,2026-04-23T21:58:14.631Z,bid-extra-60342900044,2026-04-23T23:55:14.039Z
7700714,901682,6247.04,2026-04-23T21:58:14.632Z,bid-extra-60342900054,2026-04-23T23:55:14.039Z
7700844,901992,6882.64,2026-04-23T21:58:14.632Z,bid-extra-60342900064,2026-04-23T23:55:14.039Z
7700974,902302,7518.240000000001,2026-04-23T21:58:14.632Z,bid-extra-60342900074,2026-04-23T23:55:14.039Z
7701104,902612,8153.84,2026-04-23T21:58:14.632Z,bid-extra-60342900084,2026-04-23T23:55:14.039Z
7701234,902922,8789.44,2026-04-23T21:58:14.632Z,bid-extra-60342900094,2026-04-23T23:55:14.039Z
7701364,903232,9425.04,2026-04-23T21:58:14.632Z,bid-extra-60342900104,2026-04-23T23:55:14.039Z
7701494,903542,10060.64,2026-04-23T21:58:14.632Z,bid-extra-60342900114,2026-04-23T23:55:14.039Z
7701624,903852,6156.24,2026-04-23T21:58:14.632Z,bid-extra-60342900124,2026-04-23T23:55:14.039Z
7701754,904162,6791.84,2026-04-23T21:58:14.632Z,bid-extra-60342900134,2026-04-23T23:55:14.039Z
7701884,904472,7427.4400000000005,2026-04-23T21:58:14.632Z,bid-extra-60342900144,2026-04-23T23:55:14.039Z
7702014,904782,8063.04,2026-04-23T21:58:14.633Z,bid-extra-60342900154,2026-04-23T23:55:14.039Z
7702144,905092,8698.64,2026-04-23T21:58:14.633Z,bid-extra-60342900164,2026-04-23T23:55:14.039Z
7702274,905402,9334.24,2026-04-23T21:58:14.633Z,bid-extra-60342900174,2026-04-23T23:55:14.039Z
7702404,905712,9969.84,2026-04-23T21:58:14.633Z,bid-extra-60342900184,2026-04-23T23:55:14.039Z
7702534,906022,10605.44,2026-04-23T21:58:14.633Z,bid-extra-60342900194,2026-04-23T23:55:14.039Z
7702664,906332,11241.04,2026-04-23T21:58:14.633Z,bid-extra-60342900204,2026-04-23T23:55:14.039Z
7702794,906642,11876.640000000001,2026-04-23T21:58:14.633Z,bid-extra-60342900214,2026-04-23T23:55:14.039Z
7702924,906952,12512.24,2026-04-23T21:58:14.633Z,bid-extra-60342900224,2026-04-23T23:55:14.039Z
7703054,907262,13147.84,2026-04-23T21:58:14.633Z,bid-extra-60342900234,2026-04-23T23:55:14.039Z
7703184,907572,254.24,2026-04-23T21:58:14.633Z,bid-extra-60342900244,2026-04-23T23:55:14.039Z
7703314,907882,889.84,2026-04-23T21:58:14.634Z,bid-extra-60342900254,2026-04-23T23:55:14.039Z
7703444,908192,1525.44,2026-04-23T21:58:14.634Z,bid-extra-60342900264,2026-04-23T23:55:14.039Z
7703574,908502,2161.04,2026-04-23T21:58:14.634Z,bid-extra-60342900274,2026-04-23T23:55:14.039Z
7703704,908812,2796.64,2026-04-23T21:58:14.634Z,bid-extra-60342900284,2026-04-23T23:55:14.039Z
7703834,909122,3432.2400000000002,2026-04-23T21:58:14.634Z,bid-extra-60342900294,2026-04-23T23:55:14.039Z
7703964,909432,4067.84,2026-04-23T21:58:14.634Z,bid-extra-60342900304,2026-04-23T23:55:14.039Z
7704094,909742,4703.4400000000005,2026-04-23T21:58:14.634Z,bid-extra-60342900314,2026-04-23T23:55:14.039Z
7704224,910052,5339.04,2026-04-23T21:58:14.634Z,bid-extra-60342900324,2026-04-23T23:55:14.039Z
7704354,910362,5974.64,2026-04-23T21:58:14.634Z,bid-extra-60342900334,2026-04-23T23:55:14.039Z
7704484,910672,6610.24,2026-04-23T21:58:14.634Z,bid-extra-60342900344,2026-04-23T23:55:14.039Z
7704614,910982,7245.84,2026-04-23T21:58:14.635Z,bid-extra-60342900354,2026-04-23T23:55:14.039Z
7704744,911292,7881.4400000000005,2026-04-23T21:58:14.635Z,bid-extra-60342900364,2026-04-23T23:55:14.039Z
7704874,911602,3977.04,2026-04-23T21:58:14.635Z,bid-extra-60342900374,2026-04-23T23:55:14.039Z
7705004,911912,4612.64,2026-04-23T21:58:14.635Z,bid-extra-60342900384,2026-04-23T23:55:14.039Z
7705134,912222,5248.24,2026-04-23T21:58:14.635Z,bid-extra-60342900394,2026-04-23T23:55:14.039Z
7705264,912532,5883.84,2026-04-23T21:58:14.635Z,bid-extra-60342900404,2026-04-23T23:55:14.039Z
7705394,912842,6519.4400000000005,2026-04-23T21:58:14.635Z,bid-extra-60342900414,2026-04-23T23:55:14.039Z
7705524,913152,7155.04,2026-04-23T21:58:14.635Z,bid-extra-60342900424,2026-04-23T23:55:14.039Z
7705654,913462,7790.64,2026-04-23T21:58:14.635Z,bid-extra-60342900434,2026-04-23T23:55:14.039Z
7705784,913772,8426.24,2026-04-23T21:58:14.635Z,bid-extra-60342900444,2026-04-23T23:55:14.039Z
7705914,914082,9061.84,2026-04-23T21:58:14.636Z,bid-extra-60342900454,2026-04-23T23:55:14.039Z
7706044,914392,9697.44,2026-04-23T21:58:14.636Z,bid-extra-60342900464,2026-04-23T23:55:14.039Z
7706174,914702,10333.04,2026-04-23T21:58:14.636Z,bid-extra-60342900474,2026-04-23T23:55:14.039Z
7706304,915012,10968.640000000001,2026-04-23T21:58:14.636Z,bid-extra-60342900484,2026-04-23T23:55:14.039Z
7706434,915322,7064.24,2026-04-23T21:58:14.636Z,bid-extra-60342900494,2026-04-23T23:55:14.039Z
7706564,915632,7699.84,2026-04-23T21:58:14.636Z,bid-extra-60342900504,2026-04-23T23:55:14.039Z
7706694,915942,8335.44,2026-04-23T21:58:14.636Z,bid-extra-60342900514,2026-04-23T23:55:14.039Z
7706824,916252,8971.04,2026-04-23T21:58:14.636Z,bid-extra-60342900524,2026-04-23T23:55:14.039Z
7706954,916562,9606.64,2026-04-23T21:58:14.636Z,bid-extra-60342900534,2026-04-23T23:55:14.039Z
7707084,916872,10242.24,2026-04-23T21:58:14.636Z,bid-extra-60342900544,2026-04-23T23:55:14.039Z
7707214,917182,10877.84,2026-04-23T21:58:14.637Z,bid-extra-60342900554,2026-04-23T23:55:14.039Z
7707344,917492,11513.44,2026-04-23T21:58:14.637Z,bid-extra-60342900564,2026-04-23T23:55:14.039Z
7707474,917802,12149.04,2026-04-23T21:58:14.637Z,bid-extra-60342900574,2026-04-23T23:55:14.039Z
7707604,918112,3795.44,2026-04-23T21:58:14.637Z,bid-extra-60342900584,2026-04-23T23:55:14.039Z
7707734,918422,4431.04,2026-04-23T21:58:14.637Z,bid-extra-60342900594,2026-04-23T23:55:14.039Z
7707864,918732,5066.64,2026-04-23T21:58:14.637Z,bid-extra-60342900604,2026-04-23T23:55:14.039Z
7707994,919042,1162.24,2026-04-23T21:58:14.637Z,bid-extra-60342900614,2026-04-23T23:55:14.039Z
7708124,919352,1797.8400000000001,2026-04-23T21:58:14.637Z,bid-extra-60342900624,2026-04-23T23:55:14.039Z
7708254,919662,2433.44,2026-04-23T21:58:14.637Z,bid-extra-60342900634,2026-04-23T23:55:14.039Z
