auction,bidder,price,dateTime,extra,processed_time
8700077,900163,2951.0,2026-04-23T22:01:04.631Z,bid-extra-60359900005,2026-04-23T23:55:14.039Z
8700207,900473,3586.6,2026-04-23T22:01:04.631Z,bid-extra-60359900015,2026-04-23T23:55:14.039Z
8700337,900783,4222.2,2026-04-23T22:01:04.631Z,bid-extra-60359900025,2026-04-23T23:55:14.039Z
8700467,901093,4857.8,2026-04-23T22:01:04.631Z,bid-extra-60359900035,2026-04-23T23:55:14.039Z
8700597,901403,5493.400000000001,2026-04-23T22:01:04.631Z,bid-extra-60359900045,2026-04-23T23:55:14.039Z
8700727,901713,6129.0,2026-04-23T22:01:04.632Z,bid-extra-60359900055,2026-04-23T23:55:14.039Z
8700857,902023,6764.6,2026-04-23T22:01:04.632Z,bid-extra-60359900065,2026-04-23T23:55:14.039Z
8700987,902333,7400.2,2026-04-23T22:01:04.632Z,bid-extra-60359900075,2026-04-23T23:55:14.039Z
8701117,902643,8035.8,2026-04-23T22:01:04.632Z,bid-extra-60359900085,2026-04-23T23:55:14.039Z
8701247,902953,8671.4,2026-04-23T22:01:04.632Z,bid-extra-60359900095,2026-04-23T23:55:14.039Z
8701377,903263,9307.0,2026-04-23T22:01:04.632Z,bid-extra-60359900105,2026-04-23T23:55:14.039Z
8701507,903573,9942.6,2026-04-23T22:01:04.632Z,bid-extra-60359900115,2026-04-23T23:55:14.039Z
8701637,903883,6038.2,2026-04-23T22:01:04.632Z,bid-extra-60359900125,2026-04-23T23:55:14.039Z
8701767,904193,6673.8,2026-04-23T22:01:04.632Z,bid-extra-60359900135,2026-04-23T23:55:14.039Z
8701897,904503,7309.400000000001,2026-04-23T22:01:04.632Z,bid-extra-60359900145,2026-04-23T23:55:14.039Z
8702027,904813,7945.0,2026-04-23T22:01:04.633Z,bid-extra-60359900155,2026-04-23T23:55:14.039Z
8702157,905123,8580.6,2026-04-23T22:01:04.633Z,bid-extra-60359900165,2026-04-23T23:55:14.039Z
8702287,905433,9216.2,2026-04-23T22:01:04.633Z,bid-extra-60359900175,2026-04-23T23:55:14.039Z
8702417,905743,9851.800000000001,2026-04-23T22:01:04.633Z,bid-extra-60359900185,2026-04-23T23:55:14.039Z
8702547,906053,10487.4,2026-04-23T22:01:04.633Z,bid-extra-60359900195,2026-04-23T23:55:14.039Z
8702677,906363,11123.0,2026-04-23T22:01:04.633Z,bid-extra-60359900205,2026-04-23T23:55:14.039Z
8702807,906673,11758.6,2026-04-23T22:01:04.633Z,bid-extra-60359900215,2026-04-23T23:55:14.039Z
8702937,906983,12394.2,2026-04-23T22:01:04.633Z,bid-extra-60359900225,2026-04-23T23:55:14.039Z
8703067,907293,13029.800000000001,2026-04-23T22:01:04.633Z,bid-extra-60359900235,2026-04-23T23:55:14.039Z
8703197,907603,136.20000000000002,2026-04-23T22:01:04.633Z,bid-extra-60359900245,2026-04-23T23:55:14.039Z
8703327,907913,771.8000000000001,2026-04-23T22:01:04.634Z,bid-extra-60359900255,2026-04-23T23:55:14.039Z
8703457,908223,1407.4,2026-04-23T22:01:04.634Z,bid-extra-60359900265,2026-04-23T23:55:14.039Z
8703587,908533,2043.0,2026-04-23T22:01:04.634Z,bid-extra-60359900275,2026-04-23T23:55:14.039Z
8703717,908843,2678.6,2026-04-23T22:01:04.634Z,bid-extra-60359900285,2026-04-23T23:55:14.039Z
8703847,909153,3314.2000000000003,2026-04-23T22:01:04.634Z,bid-extra-60359900295,2026-04-23T23:55:14.039Z
8703977,909463,3949.8,2026-04-23T22:01:04.634Z,bid-extra-60359900305,2026-04-23T23:55:14.039Z
8704107,909773,4585.400000000001,2026-04-23T22:01:04.634Z,bid-extra-60359900315,2026-04-23T23:55:14.039Z
8704237,910083,5221.0,2026-04-23T22:01:04.634Z,bid-extra-60359900325,2026-04-23T23:55:14.039Z
8704367,910393,5856.6,2026-04-23T22:01:04.634Z,bid-extra-60359900335,2026-04-23T23:55:14.039Z
8704497,910703,6492.2,2026-04-23T22:01:04.634Z,bid-extra-60359900345,2026-04-23T23:55:14.039Z
8704627,911013,7127.8,2026-04-23T22:01:04.635Z,bid-extra-60359900355,2026-04-23T23:55:14.039Z
8704757,911323,7763.400000000001,2026-04-23T22:01:04.635Z,bid-extra-60359900365,2026-04-23T23:55:14.039Z
8704887,911633,3859.0,2026-04-23T22:01:04.635Z,bid-extra-60359900375,2026-04-23T23:55:14.039Z
8705017,911943,4494.6,2026-04-23T22:01:04.635Z,bid-extra-60359900385,2026-04-23T23:55:14.039Z
8705147,912253,5130.2,2026-04-23T22:01:04.635Z,bid-extra-60359900395,2026-04-23T23:55:14.039Z
8705277,912563,5765.8,2026-04-23T22:01:04.635Z,bid-extra-60359900405,2026-04-23T23:55:14.039Z
8705407,912873,6401.400000000001,2026-04-23T22:01:04.635Z,bid-extra-60359900415,2026-04-23T23:55:14.039Z
8705537,913183,7037.0,2026-04-23T22:01:04.635Z,bid-extra-60359900425,2026-04-23T23:55:14.039Z
8705667,913493,7672.6,2026-04-23T22:01:04.635Z,bid-extra-60359900435,2026-04-23T23:55:14.039Z
8705797,913803,8308.2,2026-04-23T22:01:04.635Z,bid-extra-60359900445,2026-04-23T23:55:14.039Z
8705927,914113,8943.800000000001,2026-04-23T22:01:04.636Z,bid-extra-60359900455,2026-04-23T23:55:14.039Z
8706057,914423,9579.4,2026-04-23T22:01:04.636Z,bid-extra-60359900465,2026-04-23T23:55:14.039Z
8706187,914733,10215.0,2026-04-23T22:01:04.636Z,bid-extra-60359900475,2026-04-23T23:55:14.039Z
8706317,915043,10850.6,2026-04-23T22:01:04.636Z,bid-extra-60359900485,2026-04-23T23:55:14.039Z
8706447,915353,6946.2,2026-04-23T22:01:04.636Z,bid-extra-60359900495,2026-04-23T23:55:14.039Z
8706577,915663,7581.8,2026-04-23T22:01:04.636Z,bid-extra-60359900505,2026-04-23T23:55:14.039Z
8706707,915973,8217.4,2026-04-23T22:01:04.636Z,bid-extra-60359900515,2026-04-23T23:55:14.039Z
8706837,916283,8853.0,2026-04-23T22:01:04.636Z,bid-extra-60359900525,2026-04-23T23:55:14.039Z
8706967,916593,9488.6,2026-04-23T22:01:04.636Z,bid-extra-60359900535,2026-04-23T23:55:14.039Z
8707097,916903,10124.2,2026-04-23T22:01:04.636Z,bid-extra-60359900545,2026-04-23T23:55:14.039Z
8707227,917213,10759.800000000001,2026-04-23T22:01:04.637Z,bid-extra-60359900555,2026-04-23T23:55:14.039Z
8707357,917523,11395.4,2026-04-23T22:01:04.637Z,bid-extra-60359900565,2026-04-23T23:55:14.039Z
8707487,917833,12031.0,2026-04-23T22:01:04.637Z,bid-extra-60359900575,2026-04-23T23:55:14.039Z
8707617,918143,12666.6,2026-04-23T22:01:04.637Z,bid-extra-60359900585,2026-04-23T23:55:14.039Z
8707747,918453,4313.0,2026-04-23T22:01:04.637Z,bid-extra-60359900595,2026-04-23T23:55:14.039Z
8707877,918763,4948.6,2026-04-23T22:01:04.637Z,bid-extra-60359900605,2026-04-23T23:55:14.039Z
8708007,919073,1044.2,2026-04-23T22:01:04.637Z,bid-extra-60359900615,2026-04-23T23:55:14.039Z
8708137,919383,1679.8,2026-04-23T22:01:04.637Z,bid-extra-60359900625,2026-04-23T23:55:14.039Z
8708267,919693,2315.4,2026-04-23T22:01:04.637Z,bid-extra-60359900635,2026-04-23T23:55:14.039Z
8708397,920003,2951.0,2026-04-23T22:01:04.637Z,bid-extra-60359900645,2026-04-23T23:55:14.039Z
8708527,920313,3586.6,2026-04-23T22:01:04.638Z,bid-extra-60359900655,2026-04-23T23:55:14.039Z
8708657,920623,4222.2,2026-04-23T22:01:04.638Z,bid-extra-60359900665,2026-04-23T23:55:14.039Z
8708787,920933,4857.8,2026-04-23T22:01:04.638Z,bid-extra-60359900675,2026-04-23T23:55:14.039Z
8708917,921243,5493.400000000001,2026-04-23T22:01:04.638Z,bid-extra-60359900685,2026-04-23T23:55:14.039Z
8709047,921553,6129.0,2026-04-23T22:01:04.638Z,bid-extra-60359900695,2026-04-23T23:55:14.039Z
8709177,921863,6764.6,2026-04-23T22:01:04.638Z,bid-extra-60359900705,2026-04-23T23:55:14.039Z
8709307,922173,7400.2,2026-04-23T22:01:04.638Z,bid-extra-60359900715,2026-04-23T23:55:14.039Z
8709437,922483,8035.8,2026-04-23T22:01:04.638Z,bid-extra-60359900725,2026-04-23T23:55:14.039Z
8709567,922793,4131.400000000001,2026-04-23T22:01:04.638Z,bid-extra-60359900735,2026-04-23T23:55:14.039Z
8709697,923103,4767.0,2026-04-23T22:01:04.638Z,bid-extra-60359900745,2026-04-23T23:55:14.039Z
8709827,923413,5402.6,2026-04-23T22:01:04.639Z,bid-extra-60359900755,2026-04-23T23:55:14.039Z
8709957,923723,6038.2,2026-04-23T22:01:04.639Z,bid-extra-60359900765,2026-04-23T23:55:14.039Z
8710087,924033,6673.8,2026-04-23T22:01:04.639Z,bid-extra-60359900775,2026-04-23T23:55:14.039Z
8710217,924343,7309.400000000001,2026-04-23T22:01:04.639Z,bid-extra-60359900785,2026-04-23T23:55:14.039Z
8710347,924653,7945.0,2026-04-23T22:01:04.639Z,bid-extra-60359900795,2026-04-23T23:55:14.039Z
