auction,bidder,price,dateTime,extra,processed_time
8700077,900163,3586.6,2026-04-23T21:59:24.631Z,bid-extra-60349900005,2026-04-23T23:55:14.039Z
8700207,900473,4222.2,2026-04-23T21:59:24.631Z,bid-extra-60349900015,2026-04-23T23:55:14.039Z
8700337,900783,4857.8,2026-04-23T21:59:24.631Z,bid-extra-60349900025,2026-04-23T23:55:14.039Z
8700467,901093,5493.400000000001,2026-04-23T21:59:24.631Z,bid-extra-60349900035,2026-04-23T23:55:14.039Z
8700597,901403,6129.0,2026-04-23T21:59:24.631Z,bid-extra-60349900045,2026-04-23T23:55:14.039Z
8700727,901713,6764.6,2026-04-23T21:59:24.632Z,bid-extra-60349900055,2026-04-23T23:55:14.039Z
8700857,902023,7400.2,2026-04-23T21:59:24.632Z,bid-extra-60349900065,2026-04-23T23:55:14.039Z
8700987,902333,8035.8,2026-04-23T21:59:24.632Z,bid-extra-60349900075,2026-04-23T23:55:14.039Z
8701117,902643,8671.4,2026-04-23T21:59:24.632Z,bid-extra-60349900085,2026-04-23T23:55:14.039Z
8701247,902953,9307.0,2026-04-23T21:59:24.632Z,bid-extra-60349900095,2026-04-23T23:55:14.039Z
8701377,903263,9942.6,2026-04-23T21:59:24.632Z,bid-extra-60349900105,2026-04-23T23:55:14.039Z
8701507,903573,10578.2,2026-04-23T21:59:24.632Z,bid-extra-60349900115,2026-04-23T23:55:14.039Z
8701637,903883,6673.8,2026-04-23T21:59:24.632Z,bid-extra-60349900125,2026-04-23T23:55:14.039Z
8701767,904193,7309.400000000001,2026-04-23T21:59:24.632Z,bid-extra-60349900135,2026-04-23T23:55:14.039Z
8701897,904503,7945.0,2026-04-23T21:59:24.632Z,bid-extra-60349900145,2026-04-23T23:55:14.039Z
8702027,904813,8580.6,2026-04-23T21:59:24.633Z,bid-extra-60349900155,2026-04-23T23:55:14.039Z
8702157,905123,9216.2,2026-04-23T21:59:24.633Z,bid-extra-60349900165,2026-04-23T23:55:14.039Z
8702287,905433,9851.800000000001,2026-04-23T21:59:24.633Z,bid-extra-60349900175,2026-04-23T23:55:14.039Z
8702417,905743,10487.4,2026-04-23T21:59:24.633Z,bid-extra-60349900185,2026-04-23T23:55:14.039Z
8702547,906053,11123.0,2026-04-23T21:59:24.633Z,bid-extra-60349900195,2026-04-23T23:55:14.039Z
8702677,906363,11758.6,2026-04-23T21:59:24.633Z,bid-extra-60349900205,2026-04-23T23:55:14.039Z
8702807,906673,12394.2,2026-04-23T21:59:24.633Z,bid-extra-60349900215,2026-04-23T23:55:14.039Z
8702937,906983,4040.6,2026-04-23T21:59:24.633Z,bid-extra-60349900225,2026-04-23T23:55:14.039Z
