auction,bidder,price,dateTime,extra,processed_time
5700077,900163,317.8,2026-04-23T22:00:54.631Z,bid-extra-60358900005,2026-04-23T23:55:14.039Z
5700207,900473,953.4,2026-04-23T22:00:54.631Z,bid-extra-60358900015,2026-04-23T23:55:14.039Z
5700337,900783,1589.0,2026-04-23T22:00:54.631Z,bid-extra-60358900025,2026-04-23T23:55:14.039Z
5700467,901093,2224.6,2026-04-23T22:00:54.631Z,bid-extra-60358900035,2026-04-23T23:55:14.039Z
5700597,901403,2860.2000000000003,2026-04-23T22:00:54.631Z,bid-extra-60358900045,2026-04-23T23:55:14.039Z
5700727,901713,3495.8,2026-04-23T22:00:54.632Z,bid-extra-60358900055,2026-04-23T23:55:14.039Z
5700857,902023,4131.400000000001,2026-04-23T22:00:54.632Z,bid-extra-60358900065,2026-04-23T23:55:14.039Z
5700987,902333,4767.0,2026-04-23T22:00:54.632Z,bid-extra-60358900075,2026-04-23T23:55:14.039Z
5701117,902643,5402.6,2026-04-23T22:00:54.632Z,bid-extra-60358900085,2026-04-23T23:55:14.039Z
5701247,902953,6038.2,2026-04-23T22:00:54.632Z,bid-extra-60358900095,2026-04-23T23:55:14.039Z
5701377,903263,6673.8,2026-04-23T22:00:54.632Z,bid-extra-60358900105,2026-04-23T23:55:14.039Z
5701507,903573,7309.400000000001,2026-04-23T22:00:54.632Z,bid-extra-60358900115,2026-04-23T23:55:14.039Z
5701637,903883,3405.0,2026-04-23T22:00:54.632Z,bid-extra-60358900125,2026-04-23T23:55:14.039Z
5701767,904193,4040.6,2026-04-23T22:00:54.632Z,bid-extra-60358900135,2026-04-23T23:55:14.039Z
5701897,904503,4676.2,2026-04-23T22:00:54.632Z,bid-extra-60358900145,2026-04-23T23:55:14.039Z
5702027,904813,5311.8,2026-04-23T22:00:54.633Z,bid-extra-60358900155,2026-04-23T23:55:14.039Z
5702157,905123,5947.400000000001,2026-04-23T22:00:54.633Z,bid-extra-60358900165,2026-04-23T23:55:14.039Z
5702287,905433,6583.0,2026-04-23T22:00:54.633Z,bid-extra-60358900175,2026-04-23T23:55:14.039Z
5702417,905743,7218.6,2026-04-23T22:00:54.633Z,bid-extra-60358900185,2026-04-23T23:55:14.039Z
5702547,906053,7854.2,2026-04-23T22:00:54.633Z,bid-extra-60358900195,2026-04-23T23:55:14.039Z
5702677,906363,8489.800000000001,2026-04-23T22:00:54.633Z,bid-extra-60358900205,2026-04-23T23:55:14.039Z
5702807,906673,9125.4,2026-04-23T22:00:54.633Z,bid-extra-60358900215,2026-04-23T23:55:14.039Z
5702937,906983,9761.0,2026-04-23T22:00:54.633Z,bid-extra-60358900225,2026-04-23T23:55:14.039Z
5703067,907293,10396.6,2026-04-23T22:00:54.633Z,bid-extra-60358900235,2026-04-23T23:55:14.039Z
5703197,907603,6492.2,2026-04-23T22:00:54.633Z,bid-extra-60358900245,2026-04-23T23:55:14.039Z
5703327,907913,7127.8,2026-04-23T22:00:54.634Z,bid-extra-60358900255,2026-04-23T23:55:14.039Z
5703457,908223,7763.400000000001,2026-04-23T22:00:54.634Z,bid-extra-60358900265,2026-04-23T23:55:14.039Z
5703587,908533,8399.0,2026-04-23T22:00:54.634Z,bid-extra-60358900275,2026-04-23T23:55:14.039Z
5703717,908843,9034.6,2026-04-23T22:00:54.634Z,bid-extra-60358900285,2026-04-23T23:55:14.039Z
5703847,909153,9670.2,2026-04-23T22:00:54.634Z,bid-extra-60358900295,2026-04-23T23:55:14.039Z
5703977,909463,10305.800000000001,2026-04-23T22:00:54.634Z,bid-extra-60358900305,2026-04-23T23:55:14.039Z
5704107,909773,10941.4,2026-04-23T22:00:54.634Z,bid-extra-60358900315,2026-04-23T23:55:14.039Z
5704237,910083,11577.0,2026-04-23T22:00:54.634Z,bid-extra-60358900325,2026-04-23T23:55:14.039Z
5704367,910393,12212.6,2026-04-23T22:00:54.634Z,bid-extra-60358900335,2026-04-23T23:55:14.039Z
5704497,910703,3859.0,2026-04-23T22:00:54.634Z,bid-extra-60358900345,2026-04-23T23:55:14.039Z
5704627,911013,4494.6,2026-04-23T22:00:54.635Z,bid-extra-60358900355,2026-04-23T23:55:14.039Z
5704757,911323,5130.2,2026-04-23T22:00:54.635Z,bid-extra-60358900365,2026-04-23T23:55:14.039Z
5704887,911633,1225.8,2026-04-23T22:00:54.635Z,bid-extra-60358900375,2026-04-23T23:55:14.039Z
5705017,911943,1861.4,2026-04-23T22:00:54.635Z,bid-extra-60358900385,2026-04-23T23:55:14.039Z
5705147,912253,2497.0,2026-04-23T22:00:54.635Z,bid-extra-60358900395,2026-04-23T23:55:14.039Z
