auction,bidder,price,dateTime,extra,processed_time
9700077,900163,4676.2,2026-04-23T21:58:54.631Z,bid-extra-60346900005,2026-04-23T23:55:14.039Z
9700207,900473,5311.8,2026-04-23T21:58:54.631Z,bid-extra-60346900015,2026-04-23T23:55:14.039Z
9700337,900783,5947.400000000001,2026-04-23T21:58:54.631Z,bid-extra-60346900025,2026-04-23T23:55:14.039Z
9700467,901093,6583.0,2026-04-23T21:58:54.631Z,bid-extra-60346900035,2026-04-23T23:55:14.039Z
9700597,901403,7218.6,2026-04-23T21:58:54.631Z,bid-extra-60346900045,2026-04-23T23:55:14.039Z
9700727,901713,7854.2,2026-04-23T21:58:54.632Z,bid-extra-60346900055,2026-04-23T23:55:14.039Z
9700857,902023,8489.800000000001,2026-04-23T21:58:54.632Z,bid-extra-60346900065,2026-04-23T23:55:14.039Z
9700987,902333,9125.4,2026-04-23T21:58:54.632Z,bid-extra-60346900075,2026-04-23T23:55:14.039Z
9701117,902643,9761.0,2026-04-23T21:58:54.632Z,bid-extra-60346900085,2026-04-23T23:55:14.039Z
9701247,902953,10396.6,2026-04-23T21:58:54.632Z,bid-extra-60346900095,2026-04-23T23:55:14.039Z
9701377,903263,11032.2,2026-04-23T21:58:54.632Z,bid-extra-60346900105,2026-04-23T23:55:14.039Z
9701507,903573,11667.800000000001,2026-04-23T21:58:54.632Z,bid-extra-60346900115,2026-04-23T23:55:14.039Z
9701637,903883,7763.400000000001,2026-04-23T21:58:54.632Z,bid-extra-60346900125,2026-04-23T23:55:14.039Z
9701767,904193,8399.0,2026-04-23T21:58:54.632Z,bid-extra-60346900135,2026-04-23T23:55:14.039Z
9701897,904503,9034.6,2026-04-23T21:58:54.632Z,bid-extra-60346900145,2026-04-23T23:55:14.039Z
9702027,904813,9670.2,2026-04-23T21:58:54.633Z,bid-extra-60346900155,2026-04-23T23:55:14.039Z
9702157,905123,10305.800000000001,2026-04-23T21:58:54.633Z,bid-extra-60346900165,2026-04-23T23:55:14.039Z
9702287,905433,10941.4,2026-04-23T21:58:54.633Z,bid-extra-60346900175,2026-04-23T23:55:14.039Z
9702417,905743,2587.8,2026-04-23T21:58:54.633Z,bid-extra-60346900185,2026-04-23T23:55:14.039Z
9702547,906053,3223.4,2026-04-23T21:58:54.633Z,bid-extra-60346900195,2026-04-23T23:55:14.039Z
9702677,906363,3859.0,2026-04-23T21:58:54.633Z,bid-extra-60346900205,2026-04-23T23:55:14.039Z
9702807,906673,4494.6,2026-04-23T21:58:54.633Z,bid-extra-60346900215,2026-04-23T23:55:14.039Z
9702937,906983,5130.2,2026-04-23T21:58:54.633Z,bid-extra-60346900225,2026-04-23T23:55:14.039Z
9703067,907293,5765.8,2026-04-23T21:58:54.633Z,bid-extra-60346900235,2026-04-23T23:55:14.039Z
9703197,907603,1861.4,2026-04-23T21:58:54.633Z,bid-extra-60346900245,2026-04-23T23:55:14.039Z
9703327,907913,2497.0,2026-04-23T21:58:54.634Z,bid-extra-60346900255,2026-04-23T23:55:14.039Z
9703457,908223,3132.6,2026-04-23T21:58:54.634Z,bid-extra-60346900265,2026-04-23T23:55:14.039Z
9703587,908533,3768.2000000000003,2026-04-23T21:58:54.634Z,bid-extra-60346900275,2026-04-23T23:55:14.039Z
