auction,bidder,price,dateTime,extra,processed_time
700077,900163,4494.6,2026-04-23T22:01:44.631Z,bid-extra-60363900005,2026-04-23T23:55:14.039Z
700207,900473,5130.2,2026-04-23T22:01:44.631Z,bid-extra-60363900015,2026-04-23T23:55:14.039Z
700337,900783,5765.8,2026-04-23T22:01:44.631Z,bid-extra-60363900025,2026-04-23T23:55:14.039Z
700467,901093,6401.400000000001,2026-04-23T22:01:44.631Z,bid-extra-60363900035,2026-04-23T23:55:14.039Z
700597,901403,7037.0,2026-04-23T22:01:44.631Z,bid-extra-60363900045,2026-04-23T23:55:14.039Z
700727,901713,7672.6,2026-04-23T22:01:44.632Z,bid-extra-60363900055,2026-04-23T23:55:14.039Z
700857,902023,8308.2,2026-04-23T22:01:44.632Z,bid-extra-60363900065,2026-04-23T23:55:14.039Z
700987,902333,8943.800000000001,2026-04-23T22:01:44.632Z,bid-extra-60363900075,2026-04-23T23:55:14.039Z
701117,902643,9579.4,2026-04-23T22:01:44.632Z,bid-extra-60363900085,2026-04-23T23:55:14.039Z
701247,902953,10215.0,2026-04-23T22:01:44.632Z,bid-extra-60363900095,2026-04-23T23:55:14.039Z
701377,903263,10850.6,2026-04-23T22:01:44.632Z,bid-extra-60363900105,2026-04-23T23:55:14.039Z
701507,903573,11486.2,2026-04-23T22:01:44.632Z,bid-extra-60363900115,2026-04-23T23:55:14.039Z
701637,903883,7581.8,2026-04-23T22:01:44.632Z,bid-extra-60363900125,2026-04-23T23:55:14.039Z
701767,904193,8217.4,2026-04-23T22:01:44.632Z,bid-extra-60363900135,2026-04-23T23:55:14.039Z
701897,904503,8853.0,2026-04-23T22:01:44.632Z,bid-extra-60363900145,2026-04-23T23:55:14.039Z
702027,904813,9488.6,2026-04-23T22:01:44.633Z,bid-extra-60363900155,2026-04-23T23:55:14.039Z
702157,905123,10124.2,2026-04-23T22:01:44.633Z,bid-extra-60363900165,2026-04-23T23:55:14.039Z
702287,905433,10759.800000000001,2026-04-23T22:01:44.633Z,bid-extra-60363900175,2026-04-23T23:55:14.039Z
702417,905743,11395.4,2026-04-23T22:01:44.633Z,bid-extra-60363900185,2026-04-23T23:55:14.039Z
702547,906053,3041.8,2026-04-23T22:01:44.633Z,bid-extra-60363900195,2026-04-23T23:55:14.039Z
702677,906363,3677.4,2026-04-23T22:01:44.633Z,bid-extra-60363900205,2026-04-23T23:55:14.039Z
702807,906673,4313.0,2026-04-23T22:01:44.633Z,bid-extra-60363900215,2026-04-23T23:55:14.039Z
702937,906983,4948.6,2026-04-23T22:01:44.633Z,bid-extra-60363900225,2026-04-23T23:55:14.039Z
703067,907293,5584.2,2026-04-23T22:01:44.633Z,bid-extra-60363900235,2026-04-23T23:55:14.039Z
703197,907603,1679.8,2026-04-23T22:01:44.633Z,bid-extra-60363900245,2026-04-23T23:55:14.039Z
703327,907913,2315.4,2026-04-23T22:01:44.634Z,bid-extra-60363900255,2026-04-23T23:55:14.039Z
703457,908223,2951.0,2026-04-23T22:01:44.634Z,bid-extra-60363900265,2026-04-23T23:55:14.039Z
703587,908533,3586.6,2026-04-23T22:01:44.634Z,bid-extra-60363900275,2026-04-23T23:55:14.039Z
703717,908843,4222.2,2026-04-23T22:01:44.634Z,bid-extra-60363900285,2026-04-23T23:55:14.039Z
703847,909153,4857.8,2026-04-23T22:01:44.634Z,bid-extra-60363900295,2026-04-23T23:55:14.039Z
703977,909463,5493.400000000001,2026-04-23T22:01:44.634Z,bid-extra-60363900305,2026-04-23T23:55:14.039Z
704107,909773,6129.0,2026-04-23T22:01:44.634Z,bid-extra-60363900315,2026-04-23T23:55:14.039Z
704237,910083,6764.6,2026-04-23T22:01:44.634Z,bid-extra-60363900325,2026-04-23T23:55:14.039Z
704367,910393,7400.2,2026-04-23T22:01:44.634Z,bid-extra-60363900335,2026-04-23T23:55:14.039Z
704497,910703,8035.8,2026-04-23T22:01:44.634Z,bid-extra-60363900345,2026-04-23T23:55:14.039Z
704627,911013,8671.4,2026-04-23T22:01:44.635Z,bid-extra-60363900355,2026-04-23T23:55:14.039Z
704757,911323,9307.0,2026-04-23T22:01:44.635Z,bid-extra-60363900365,2026-04-23T23:55:14.039Z
704887,911633,5402.6,2026-04-23T22:01:44.635Z,bid-extra-60363900375,2026-04-23T23:55:14.039Z
705017,911943,6038.2,2026-04-23T22:01:44.635Z,bid-extra-60363900385,2026-04-23T23:55:14.039Z
705147,912253,6673.8,2026-04-23T22:01:44.635Z,bid-extra-60363900395,2026-04-23T23:55:14.039Z
705277,912563,7309.400000000001,2026-04-23T22:01:44.635Z,bid-extra-60363900405,2026-04-23T23:55:14.039Z
705407,912873,7945.0,2026-04-23T22:01:44.635Z,bid-extra-60363900415,2026-04-23T23:55:14.039Z
705537,913183,8580.6,2026-04-23T22:01:44.635Z,bid-extra-60363900425,2026-04-23T23:55:14.039Z
705667,913493,9216.2,2026-04-23T22:01:44.635Z,bid-extra-60363900435,2026-04-23T23:55:14.039Z
705797,913803,9851.800000000001,2026-04-23T22:01:44.635Z,bid-extra-60363900445,2026-04-23T23:55:14.039Z
705927,914113,10487.4,2026-04-23T22:01:44.636Z,bid-extra-60363900455,2026-04-23T23:55:14.039Z
