auction,bidder,price,dateTime,extra,processed_time
1700077,900163,5584.2,2026-04-23T22:01:14.631Z,bid-extra-60360900005,2026-04-23T23:55:14.039Z
1700207,900473,6219.8,2026-04-23T22:01:14.631Z,bid-extra-60360900015,2026-04-23T23:55:14.039Z
1700337,900783,6855.400000000001,2026-04-23T22:01:14.631Z,bid-extra-60360900025,2026-04-23T23:55:14.039Z
1700467,901093,7491.0,2026-04-23T22:01:14.631Z,bid-extra-60360900035,2026-04-23T23:55:14.039Z
1700597,901403,8126.6,2026-04-23T22:01:14.631Z,bid-extra-60360900045,2026-04-23T23:55:14.039Z
1700727,901713,8762.2,2026-04-23T22:01:14.632Z,bid-extra-60360900055,2026-04-23T23:55:14.039Z
1700857,902023,9397.800000000001,2026-04-23T22:01:14.632Z,bid-extra-60360900065,2026-04-23T23:55:14.039Z
1700987,902333,10033.4,2026-04-23T22:01:14.632Z,bid-extra-60360900075,2026-04-23T23:55:14.039Z
1701117,902643,10669.0,2026-04-23T22:01:14.632Z,bid-extra-60360900085,2026-04-23T23:55:14.039Z
1701247,902953,11304.6,2026-04-23T22:01:14.632Z,bid-extra-60360900095,2026-04-23T23:55:14.039Z
1701377,903263,11940.2,2026-04-23T22:01:14.632Z,bid-extra-60360900105,2026-04-23T23:55:14.039Z
1701507,903573,12575.800000000001,2026-04-23T22:01:14.632Z,bid-extra-60360900115,2026-04-23T23:55:14.039Z
1701637,903883,8671.4,2026-04-23T22:01:14.632Z,bid-extra-60360900125,2026-04-23T23:55:14.039Z
1701767,904193,9307.0,2026-04-23T22:01:14.632Z,bid-extra-60360900135,2026-04-23T23:55:14.039Z
1701897,904503,953.4,2026-04-23T22:01:14.632Z,bid-extra-60360900145,2026-04-23T23:55:14.039Z
1702027,904813,1589.0,2026-04-23T22:01:14.633Z,bid-extra-60360900155,2026-04-23T23:55:14.039Z
1702157,905123,2224.6,2026-04-23T22:01:14.633Z,bid-extra-60360900165,2026-04-23T23:55:14.039Z
1702287,905433,2860.2000000000003,2026-04-23T22:01:14.633Z,bid-extra-60360900175,2026-04-23T23:55:14.039Z
1702417,905743,3495.8,2026-04-23T22:01:14.633Z,bid-extra-60360900185,2026-04-23T23:55:14.039Z
1702547,906053,4131.400000000001,2026-04-23T22:01:14.633Z,bid-extra-60360900195,2026-04-23T23:55:14.039Z
1702677,906363,4767.0,2026-04-23T22:01:14.633Z,bid-extra-60360900205,2026-04-23T23:55:14.039Z
1702807,906673,5402.6,2026-04-23T22:01:14.633Z,bid-extra-60360900215,2026-04-23T23:55:14.039Z
1702937,906983,6038.2,2026-04-23T22:01:14.633Z,bid-extra-60360900225,2026-04-23T23:55:14.039Z
1703067,907293,6673.8,2026-04-23T22:01:14.633Z,bid-extra-60360900235,2026-04-23T23:55:14.039Z
1703197,907603,2769.4,2026-04-23T22:01:14.633Z,bid-extra-60360900245,2026-04-23T23:55:14.039Z
1703327,907913,3405.0,2026-04-23T22:01:14.634Z,bid-extra-60360900255,2026-04-23T23:55:14.039Z
1703457,908223,4040.6,2026-04-23T22:01:14.634Z,bid-extra-60360900265,2026-04-23T23:55:14.039Z
1703587,908533,4676.2,2026-04-23T22:01:14.634Z,bid-extra-60360900275,2026-04-23T23:55:14.039Z
1703717,908843,5311.8,2026-04-23T22:01:14.634Z,bid-extra-60360900285,2026-04-23T23:55:14.039Z
1703847,909153,5947.400000000001,2026-04-23T22:01:14.634Z,bid-extra-60360900295,2026-04-23T23:55:14.039Z
1703977,909463,6583.0,2026-04-23T22:01:14.634Z,bid-extra-60360900305,2026-04-23T23:55:14.039Z
1704107,909773,7218.6,2026-04-23T22:01:14.634Z,bid-extra-60360900315,2026-04-23T23:55:14.039Z
1704237,910083,7854.2,2026-04-23T22:01:14.634Z,bid-extra-60360900325,2026-04-23T23:55:14.039Z
1704367,910393,8489.800000000001,2026-04-23T22:01:14.634Z,bid-extra-60360900335,2026-04-23T23:55:14.039Z
