auction,bidder,price,dateTime,extra,processed_time
4700077,900163,7581.8,2026-04-23T22:03:04.631Z,bid-extra-60371900005,2026-04-23T23:55:14.039Z
4700207,900473,8217.4,2026-04-23T22:03:04.631Z,bid-extra-60371900015,2026-04-23T23:55:14.039Z
4700337,900783,8853.0,2026-04-23T22:03:04.631Z,bid-extra-60371900025,2026-04-23T23:55:14.039Z
4700467,901093,9488.6,2026-04-23T22:03:04.631Z,bid-extra-60371900035,2026-04-23T23:55:14.039Z
4700597,901403,10124.2,2026-04-23T22:03:04.631Z,bid-extra-60371900045,2026-04-23T23:55:14.039Z
4700727,901713,10759.800000000001,2026-04-23T22:03:04.632Z,bid-extra-60371900055,2026-04-23T23:55:14.039Z
4700857,902023,11395.4,2026-04-23T22:03:04.632Z,bid-extra-60371900065,2026-04-23T23:55:14.039Z
4700987,902333,3041.8,2026-04-23T22:03:04.632Z,bid-extra-60371900075,2026-04-23T23:55:14.039Z
4701117,902643,3677.4,2026-04-23T22:03:04.632Z,bid-extra-60371900085,2026-04-23T23:55:14.039Z
4701247,902953,4313.0,2026-04-23T22:03:04.632Z,bid-extra-60371900095,2026-04-23T23:55:14.039Z
4701377,903263,4948.6,2026-04-23T22:03:04.632Z,bid-extra-60371900105,2026-04-23T23:55:14.039Z
4701507,903573,5584.2,2026-04-23T22:03:04.632Z,bid-extra-60371900115,2026-04-23T23:55:14.039Z
4701637,903883,1679.8,2026-04-23T22:03:04.632Z,bid-extra-60371900125,2026-04-23T23:55:14.039Z
4701767,904193,2315.4,2026-04-23T22:03:04.632Z,bid-extra-60371900135,2026-04-23T23:55:14.039Z
4701897,904503,2951.0,2026-04-23T22:03:04.632Z,bid-extra-60371900145,2026-04-23T23:55:14.039Z
4702027,904813,3586.6,2026-04-23T22:03:04.633Z,bid-extra-60371900155,2026-04-23T23:55:14.039Z
4702157,905123,4222.2,2026-04-23T22:03:04.633Z,bid-extra-60371900165,2026-04-23T23:55:14.039Z
4702287,905433,4857.8,2026-04-23T22:03:04.633Z,bid-extra-60371900175,2026-04-23T23:55:14.039Z
4702417,905743,5493.400000000001,2026-04-23T22:03:04.633Z,bid-extra-60371900185,2026-04-23T23:55:14.039Z
4702547,906053,6129.0,2026-04-23T22:03:04.633Z,bid-extra-60371900195,2026-04-23T23:55:14.039Z
4702677,906363,6764.6,2026-04-23T22:03:04.633Z,bid-extra-60371900205,2026-04-23T23:55:14.039Z
4702807,906673,7400.2,2026-04-23T22:03:04.633Z,bid-extra-60371900215,2026-04-23T23:55:14.039Z
4702937,906983,8035.8,2026-04-23T22:03:04.633Z,bid-extra-60371900225,2026-04-23T23:55:14.039Z
