auction,bidder,price,dateTime,extra,processed_time
7700077,900163,3132.6,2026-04-23T21:58:14.631Z,bid-extra-60342900005,2026-04-23T23:55:14.039Z
7700207,900473,3768.2000000000003,2026-04-23T21:58:14.631Z,bid-extra-60342900015,2026-04-23T23:55:14.039Z
7700337,900783,4403.8,2026-04-23T21:58:14.631Z,bid-extra-60342900025,2026-04-23T23:55:14.039Z
7700467,901093,5039.400000000001,2026-04-23T21:58:14.631Z,bid-extra-60342900035,2026-04-23T23:55:14.039Z
7700597,901403,5675.0,2026-04-23T21:58:14.631Z,bid-extra-60342900045,2026-04-23T23:55:14.039Z
7700727,901713,6310.6,2026-04-23T21:58:14.632Z,bid-extra-60342900055,2026-04-23T23:55:14.039Z
7700857,902023,6946.2,2026-04-23T21:58:14.632Z,bid-extra-60342900065,2026-04-23T23:55:14.039Z
7700987,902333,7581.8,2026-04-23T21:58:14.632Z,bid-extra-60342900075,2026-04-23T23:55:14.039Z
7701117,902643,8217.4,2026-04-23T21:58:14.632Z,bid-extra-60342900085,2026-04-23T23:55:14.039Z
7701247,902953,8853.0,2026-04-23T21:58:14.632Z,bid-extra-60342900095,2026-04-23T23:55:14.039Z
7701377,903263,9488.6,2026-04-23T21:58:14.632Z,bid-extra-60342900105,2026-04-23T23:55:14.039Z
7701507,903573,10124.2,2026-04-23T21:58:14.632Z,bid-extra-60342900115,2026-04-23T23:55:14.039Z
7701637,903883,6219.8,2026-04-23T21:58:14.632Z,bid-extra-60342900125,2026-04-23T23:55:14.039Z
7701767,904193,6855.400000000001,2026-04-23T21:58:14.632Z,bid-extra-60342900135,2026-04-23T23:55:14.039Z
7701897,904503,7491.0,2026-04-23T21:58:14.632Z,bid-extra-60342900145,2026-04-23T23:55:14.039Z
7702027,904813,8126.6,2026-04-23T21:58:14.633Z,bid-extra-60342900155,2026-04-23T23:55:14.039Z
7702157,905123,8762.2,2026-04-23T21:58:14.633Z,bid-extra-60342900165,2026-04-23T23:55:14.039Z
7702287,905433,9397.800000000001,2026-04-23T21:58:14.633Z,bid-extra-60342900175,2026-04-23T23:55:14.039Z
7702417,905743,10033.4,2026-04-23T21:58:14.633Z,bid-extra-60342900185,2026-04-23T23:55:14.039Z
7702547,906053,10669.0,2026-04-23T21:58:14.633Z,bid-extra-60342900195,2026-04-23T23:55:14.039Z
7702677,906363,11304.6,2026-04-23T21:58:14.633Z,bid-extra-60342900205,2026-04-23T23:55:14.039Z
7702807,906673,11940.2,2026-04-23T21:58:14.633Z,bid-extra-60342900215,2026-04-23T23:55:14.039Z
7702937,906983,12575.800000000001,2026-04-23T21:58:14.633Z,bid-extra-60342900225,2026-04-23T23:55:14.039Z
7703067,907293,13211.4,2026-04-23T21:58:14.633Z,bid-extra-60342900235,2026-04-23T23:55:14.039Z
7703197,907603,317.8,2026-04-23T21:58:14.633Z,bid-extra-60342900245,2026-04-23T23:55:14.039Z
7703327,907913,953.4,2026-04-23T21:58:14.634Z,bid-extra-60342900255,2026-04-23T23:55:14.039Z
7703457,908223,1589.0,2026-04-23T21:58:14.634Z,bid-extra-60342900265,2026-04-23T23:55:14.039Z
7703587,908533,2224.6,2026-04-23T21:58:14.634Z,bid-extra-60342900275,2026-04-23T23:55:14.039Z
7703717,908843,2860.2000000000003,2026-04-23T21:58:14.634Z,bid-extra-60342900285,2026-04-23T23:55:14.039Z
7703847,909153,3495.8,2026-04-23T21:58:14.634Z,bid-extra-60342900295,2026-04-23T23:55:14.039Z
7703977,909463,4131.400000000001,2026-04-23T21:58:14.634Z,bid-extra-60342900305,2026-04-23T23:55:14.039Z
7704107,909773,4767.0,2026-04-23T21:58:14.634Z,bid-extra-60342900315,2026-04-23T23:55:14.039Z
7704237,910083,5402.6,2026-04-23T21:58:14.634Z,bid-extra-60342900325,2026-04-23T23:55:14.039Z
7704367,910393,6038.2,2026-04-23T21:58:14.634Z,bid-extra-60342900335,2026-04-23T23:55:14.039Z
7704497,910703,6673.8,2026-04-23T21:58:14.634Z,bid-extra-60342900345,2026-04-23T23:55:14.039Z
7704627,911013,7309.400000000001,2026-04-23T21:58:14.635Z,bid-extra-60342900355,2026-04-23T23:55:14.039Z
7704757,911323,7945.0,2026-04-23T21:58:14.635Z,bid-extra-60342900365,2026-04-23T23:55:14.039Z
7704887,911633,4040.6,2026-04-23T21:58:14.635Z,bid-extra-60342900375,2026-04-23T23:55:14.039Z
7705017,911943,4676.2,2026-04-23T21:58:14.635Z,bid-extra-60342900385,2026-04-23T23:55:14.039Z
7705147,912253,5311.8,2026-04-23T21:58:14.635Z,bid-extra-60342900395,2026-04-23T23:55:14.039Z
7705277,912563,5947.400000000001,2026-04-23T21:58:14.635Z,bid-extra-60342900405,2026-04-23T23:55:14.039Z
7705407,912873,6583.0,2026-04-23T21:58:14.635Z,bid-extra-60342900415,2026-04-23T23:55:14.039Z
7705537,913183,7218.6,2026-04-23T21:58:14.635Z,bid-extra-60342900425,2026-04-23T23:55:14.039Z
