auction,bidder,price,dateTime,extra,processed_time
5700077,900163,8671.4,2026-04-23T22:02:34.631Z,bid-extra-60368900005,2026-04-23T23:55:14.039Z
5700207,900473,9307.0,2026-04-23T22:02:34.631Z,bid-extra-60368900015,2026-04-23T23:55:14.039Z
5700337,900783,9942.6,2026-04-23T22:02:34.631Z,bid-extra-60368900025,2026-04-23T23:55:14.039Z
5700467,901093,1589.0,2026-04-23T22:02:34.631Z,bid-extra-60368900035,2026-04-23T23:55:14.039Z
5700597,901403,2224.6,2026-04-23T22:02:34.631Z,bid-extra-60368900045,2026-04-23T23:55:14.039Z
5700727,901713,2860.2000000000003,2026-04-23T22:02:34.632Z,bid-extra-60368900055,2026-04-23T23:55:14.039Z
5700857,902023,3495.8,2026-04-23T22:02:34.632Z,bid-extra-60368900065,2026-04-23T23:55:14.039Z
5700987,902333,4131.400000000001,2026-04-23T22:02:34.632Z,bid-extra-60368900075,2026-04-23T23:55:14.039Z
5701117,902643,4767.0,2026-04-23T22:02:34.632Z,bid-extra-60368900085,2026-04-23T23:55:14.039Z
5701247,902953,5402.6,2026-04-23T22:02:34.632Z,bid-extra-60368900095,2026-04-23T23:55:14.039Z
5701377,903263,6038.2,2026-04-23T22:02:34.632Z,bid-extra-60368900105,2026-04-23T23:55:14.039Z
5701507,903573,6673.8,2026-04-23T22:02:34.632Z,bid-extra-60368900115,2026-04-23T23:55:14.039Z
5701637,903883,2769.4,2026-04-23T22:02:34.632Z,bid-extra-60368900125,2026-04-23T23:55:14.039Z
5701767,904193,3405.0,2026-04-23T22:02:34.632Z,bid-extra-60368900135,2026-04-23T23:55:14.039Z
5701897,904503,4040.6,2026-04-23T22:02:34.632Z,bid-extra-60368900145,2026-04-23T23:55:14.039Z
5702027,904813,4676.2,2026-04-23T22:02:34.633Z,bid-extra-60368900155,2026-04-23T23:55:14.039Z
5702157,905123,5311.8,2026-04-23T22:02:34.633Z,bid-extra-60368900165,2026-04-23T23:55:14.039Z
5702287,905433,5947.400000000001,2026-04-23T22:02:34.633Z,bid-extra-60368900175,2026-04-23T23:55:14.039Z
5702417,905743,6583.0,2026-04-23T22:02:34.633Z,bid-extra-60368900185,2026-04-23T23:55:14.039Z
5702547,906053,7218.6,2026-04-23T22:02:34.633Z,bid-extra-60368900195,2026-04-23T23:55:14.039Z
5702677,906363,7854.2,2026-04-23T22:02:34.633Z,bid-extra-60368900205,2026-04-23T23:55:14.039Z
5702807,906673,8489.800000000001,2026-04-23T22:02:34.633Z,bid-extra-60368900215,2026-04-23T23:55:14.039Z
5702937,906983,9125.4,2026-04-23T22:02:34.633Z,bid-extra-60368900225,2026-04-23T23:55:14.039Z
5703067,907293,9761.0,2026-04-23T22:02:34.633Z,bid-extra-60368900235,2026-04-23T23:55:14.039Z
5703197,907603,5856.6,2026-04-23T22:02:34.633Z,bid-extra-60368900245,2026-04-23T23:55:14.039Z
5703327,907913,6492.2,2026-04-23T22:02:34.634Z,bid-extra-60368900255,2026-04-23T23:55:14.039Z
5703457,908223,7127.8,2026-04-23T22:02:34.634Z,bid-extra-60368900265,2026-04-23T23:55:14.039Z
5703587,908533,7763.400000000001,2026-04-23T22:02:34.634Z,bid-extra-60368900275,2026-04-23T23:55:14.039Z
5703717,908843,8399.0,2026-04-23T22:02:34.634Z,bid-extra-60368900285,2026-04-23T23:55:14.039Z
5703847,909153,9034.6,2026-04-23T22:02:34.634Z,bid-extra-60368900295,2026-04-23T23:55:14.039Z
5703977,909463,9670.2,2026-04-23T22:02:34.634Z,bid-extra-60368900305,2026-04-23T23:55:14.039Z
