auction,bidder,price,dateTime,extra,processed_time
700077,900163,5765.8,2026-04-23T21:58:24.631Z,bid-extra-60343900005,2026-04-23T23:55:14.039Z
700207,900473,6401.400000000001,2026-04-23T21:58:24.631Z,bid-extra-60343900015,2026-04-23T23:55:14.039Z
700337,900783,7037.0,2026-04-23T21:58:24.631Z,bid-extra-60343900025,2026-04-23T23:55:14.039Z
700467,901093,7672.6,2026-04-23T21:58:24.631Z,bid-extra-60343900035,2026-04-23T23:55:14.039Z
700597,901403,8308.2,2026-04-23T21:58:24.631Z,bid-extra-60343900045,2026-04-23T23:55:14.039Z
700727,901713,8943.800000000001,2026-04-23T21:58:24.632Z,bid-extra-60343900055,2026-04-23T23:55:14.039Z
700857,902023,9579.4,2026-04-23T21:58:24.632Z,bid-extra-60343900065,2026-04-23T23:55:14.039Z
700987,902333,10215.0,2026-04-23T21:58:24.632Z,bid-extra-60343900075,2026-04-23T23:55:14.039Z
701117,902643,10850.6,2026-04-23T21:58:24.632Z,bid-extra-60343900085,2026-04-23T23:55:14.039Z
701247,902953,11486.2,2026-04-23T21:58:24.632Z,bid-extra-60343900095,2026-04-23T23:55:14.039Z
701377,903263,12121.800000000001,2026-04-23T21:58:24.632Z,bid-extra-60343900105,2026-04-23T23:55:14.039Z
701507,903573,12757.4,2026-04-23T21:58:24.632Z,bid-extra-60343900115,2026-04-23T23:55:14.039Z
701637,903883,8853.0,2026-04-23T21:58:24.632Z,bid-extra-60343900125,2026-04-23T23:55:14.039Z
701767,904193,9488.6,2026-04-23T21:58:24.632Z,bid-extra-60343900135,2026-04-23T23:55:14.039Z
701897,904503,1135.0,2026-04-23T21:58:24.632Z,bid-extra-60343900145,2026-04-23T23:55:14.039Z
702027,904813,1770.6000000000001,2026-04-23T21:58:24.633Z,bid-extra-60343900155,2026-04-23T23:55:14.039Z
702157,905123,2406.2000000000003,2026-04-23T21:58:24.633Z,bid-extra-60343900165,2026-04-23T23:55:14.039Z
702287,905433,3041.8,2026-04-23T21:58:24.633Z,bid-extra-60343900175,2026-04-23T23:55:14.039Z
702417,905743,3677.4,2026-04-23T21:58:24.633Z,bid-extra-60343900185,2026-04-23T23:55:14.039Z
702547,906053,4313.0,2026-04-23T21:58:24.633Z,bid-extra-60343900195,2026-04-23T23:55:14.039Z
702677,906363,4948.6,2026-04-23T21:58:24.633Z,bid-extra-60343900205,2026-04-23T23:55:14.039Z
702807,906673,5584.2,2026-04-23T21:58:24.633Z,bid-extra-60343900215,2026-04-23T23:55:14.039Z
702937,906983,6219.8,2026-04-23T21:58:24.633Z,bid-extra-60343900225,2026-04-23T23:55:14.039Z
703067,907293,6855.400000000001,2026-04-23T21:58:24.633Z,bid-extra-60343900235,2026-04-23T23:55:14.039Z
703197,907603,2951.0,2026-04-23T21:58:24.633Z,bid-extra-60343900245,2026-04-23T23:55:14.039Z
703327,907913,3586.6,2026-04-23T21:58:24.634Z,bid-extra-60343900255,2026-04-23T23:55:14.039Z
703457,908223,4222.2,2026-04-23T21:58:24.634Z,bid-extra-60343900265,2026-04-23T23:55:14.039Z
703587,908533,4857.8,2026-04-23T21:58:24.634Z,bid-extra-60343900275,2026-04-23T23:55:14.039Z
703717,908843,5493.400000000001,2026-04-23T21:58:24.634Z,bid-extra-60343900285,2026-04-23T23:55:14.039Z
703847,909153,6129.0,2026-04-23T21:58:24.634Z,bid-extra-60343900295,2026-04-23T23:55:14.039Z
703977,909463,6764.6,2026-04-23T21:58:24.634Z,bid-extra-60343900305,2026-04-23T23:55:14.039Z
704107,909773,7400.2,2026-04-23T21:58:24.634Z,bid-extra-60343900315,2026-04-23T23:55:14.039Z
704237,910083,8035.8,2026-04-23T21:58:24.634Z,bid-extra-60343900325,2026-04-23T23:55:14.039Z
704367,910393,8671.4,2026-04-23T21:58:24.634Z,bid-extra-60343900335,2026-04-23T23:55:14.039Z
704497,910703,9307.0,2026-04-23T21:58:24.634Z,bid-extra-60343900345,2026-04-23T23:55:14.039Z
704627,911013,9942.6,2026-04-23T21:58:24.635Z,bid-extra-60343900355,2026-04-23T23:55:14.039Z
704757,911323,10578.2,2026-04-23T21:58:24.635Z,bid-extra-60343900365,2026-04-23T23:55:14.039Z
704887,911633,6673.8,2026-04-23T21:58:24.635Z,bid-extra-60343900375,2026-04-23T23:55:14.039Z
705017,911943,7309.400000000001,2026-04-23T21:58:24.635Z,bid-extra-60343900385,2026-04-23T23:55:14.039Z
705147,912253,7945.0,2026-04-23T21:58:24.635Z,bid-extra-60343900395,2026-04-23T23:55:14.039Z
705277,912563,8580.6,2026-04-23T21:58:24.635Z,bid-extra-60343900405,2026-04-23T23:55:14.039Z
705407,912873,9216.2,2026-04-23T21:58:24.635Z,bid-extra-60343900415,2026-04-23T23:55:14.039Z
705537,913183,9851.800000000001,2026-04-23T21:58:24.635Z,bid-extra-60343900425,2026-04-23T23:55:14.039Z
705667,913493,10487.4,2026-04-23T21:58:24.635Z,bid-extra-60343900435,2026-04-23T23:55:14.039Z
705797,913803,11123.0,2026-04-23T21:58:24.635Z,bid-extra-60343900445,2026-04-23T23:55:14.039Z
705927,914113,11758.6,2026-04-23T21:58:24.636Z,bid-extra-60343900455,2026-04-23T23:55:14.039Z
706057,914423,12394.2,2026-04-23T21:58:24.636Z,bid-extra-60343900465,2026-04-23T23:55:14.039Z
706187,914733,13029.800000000001,2026-04-23T21:58:24.636Z,bid-extra-60343900475,2026-04-23T23:55:14.039Z
